29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
1.000000e-05 1.88794710e+02
1.250000e-05 1.68862818e+02
1.500000e-05 1.54150274e+02
2.000000e-05 1.33497942e+02
2.750000e-05 1.13847464e+02
3.500000e-05 1.00915322e+02
4.250000e-05 9.15785705e+01
5.000000e-05 8.44317394e+01
6.250000e-05 7.55178223e+01
7.500000e-05 6.89380163e+01
1.000000e-04 5.97020598e+01
1.250000e-04 5.33991768e+01
1.500000e-04 4.87465313e+01
2.000000e-04 4.22157469e+01
2.750000e-04 3.60016581e+01
3.500000e-04 3.19120621e+01
4.250000e-04 2.89597596e+01
5.000000e-04 2.66995193e+01
6.250000e-04 2.38808039e+01
7.500000e-04 2.18000509e+01
1.000000e-03 1.88793710e+01
1.250000e-03 1.68862065e+01
1.500000e-03 1.54148860e+01
2.000000e-03 1.33496497e+01
2.750000e-03 1.13846019e+01
3.500000e-03 1.00913155e+01
4.250000e-03 9.15770950e+00
5.000000e-03 8.44295724e+00
6.250000e-03 7.55156553e+00
7.500000e-03 6.89356109e+00
1.000000e-02 5.96992778e+00
1.250000e-02 5.33960491e+00
1.500000e-02 4.87431653e+00
2.000000e-02 4.22117968e+00
2.530000e-02 3.75299623e+00
2.530010e-02 3.75298968e+00
2.530020e-02 3.75298277e+00
2.530040e-02 3.75296585e+00
2.530080e-02 3.75293894e+00
2.530150e-02 3.75288128e+00
2.530300e-02 3.75277287e+00
2.530610e-02 3.75254607e+00
2.531210e-02 3.75209936e+00
2.532410e-02 3.75120212e+00
2.534830e-02 3.74942147e+00
2.539650e-02 3.74585325e+00
2.549300e-02 3.73875757e+00
2.568600e-02 3.72468152e+00
2.607190e-02 3.69700995e+00
2.684380e-02 3.64345747e+00
2.838750e-02 3.54297766e+00
3.147500e-02 3.36467596e+00
3.765000e-02 3.07631385e+00
5.000000e-02 2.66933330e+00
6.250000e-02 2.38738953e+00
7.500000e-02 2.17924582e+00
1.000000e-01 1.88706411e+00
1.250000e-01 1.68764468e+00
1.500000e-01 1.54041780e+00
2.000000e-01 1.33373371e+00
2.750000e-01 1.13701068e+00
3.500000e-01 1.00749991e+00
5.000000e-01 8.42343784e-01
7.500000e-01 6.86971589e-01
1.000000e+00 5.94243307e-01
1.500000e+00 4.84072238e-01
2.000000e+00 4.18250355e-01
2.750000e+00 3.55453182e-01
3.500000e+00 3.13992693e-01
5.000000e+00 2.60914955e-01
7.500000e+00 2.10649957e-01
1.000000e+01 1.80414837e-01
1.500000e+01 1.44144808e-01
2.000000e+01 1.22229601e-01
2.750000e+01 1.01107945e-01
3.500000e+01 8.70452904e-02
5.000000e+01 6.89497463e-02
7.500000e+01 5.19017052e-02
1.000000e+02 4.19059814e-02
