29-Cu_n-tot
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
1.000000e-05 1.96576107e+02
1.250000e-05 1.76644370e+02
1.500000e-05 1.61931103e+02
2.000000e-05 1.41279493e+02
2.750000e-05 1.21629015e+02
3.500000e-05 1.08696151e+02
4.250000e-05 9.93600909e+01
5.000000e-05 9.22125992e+01
6.250000e-05 8.32990969e+01
7.500000e-05 7.67193292e+01
1.000000e-04 6.74833727e+01
1.250000e-04 6.11804514e+01
1.500000e-04 5.65277751e+01
2.000000e-04 4.99969907e+01
2.750000e-04 4.37829711e+01
3.500000e-04 3.96933367e+01
4.250000e-04 3.67410035e+01
5.000000e-04 3.44808322e+01
6.250000e-04 3.16620477e+01
7.500000e-04 2.95812947e+01
1.000000e-03 2.66606456e+01
1.250000e-03 2.46674719e+01
1.500000e-03 2.31962144e+01
2.000000e-03 2.11309688e+01
2.750000e-03 1.91658581e+01
3.500000e-03 1.78725655e+01
4.250000e-03 1.69389625e+01
5.000000e-03 1.62242196e+01
6.250000e-03 1.53327648e+01
7.500000e-03 1.46747934e+01
1.000000e-02 1.37511778e+01
1.250000e-02 1.31208310e+01
1.500000e-02 1.26554865e+01
2.000000e-02 1.20022896e+01
2.530000e-02 1.15340797e+01
2.530010e-02 1.15340762e+01
2.530020e-02 1.15340727e+01
2.530040e-02 1.15340589e+01
2.530080e-02 1.15340312e+01
2.530150e-02 1.15339589e+01
2.530300e-02 1.15338690e+01
2.530610e-02 1.15336515e+01
2.531210e-02 1.15331924e+01
2.532410e-02 1.15322983e+01
2.534830e-02 1.15305238e+01
2.539650e-02 1.15269371e+01
2.549300e-02 1.15198599e+01
2.568600e-02 1.15057715e+01
2.607190e-02 1.14781053e+01
2.684380e-02 1.14245305e+01
2.838750e-02 1.13240469e+01
3.147500e-02 1.11457159e+01
3.765000e-02 1.08573076e+01
5.000000e-02 1.04502364e+01
6.250000e-02 1.01681802e+01
7.500000e-02 9.95994962e+00
1.000000e-01 9.66759876e+00
1.250000e-01 9.46798840e+00
1.500000e-01 9.32054808e+00
2.000000e-01 9.11348448e+00
2.750000e-01 8.91621829e+00
3.500000e-01 8.78610839e+00
5.000000e-01 8.61981954e+00
7.500000e-01 8.46255203e+00
1.000000e+00 8.36792163e+00
1.500000e+00 8.25581028e+00
2.000000e+00 8.18804285e+00
2.750000e+00 8.12237067e+00
3.500000e+00 8.07805395e+00
5.000000e+00 8.01929995e+00
7.500000e+00 7.95977582e+00
1.000000e+01 7.92049597e+00
1.500000e+01 7.86673112e+00
2.000000e+01 7.82814296e+00
2.750000e+01 7.78337041e+00
3.500000e+01 7.74723302e+00
5.000000e+01 7.68914666e+00
7.500000e+01 7.61594353e+00
1.000000e+02 7.56032193e+00
1.350000e+02 7.50080102e+00
1.500000e+02 7.48085468e+00
1.700000e+02 7.45268004e+00
1.750000e+02 7.42841721e+00
1.875000e+02 7.36495278e+00
2.000000e+02 7.29615130e+00
2.074670e+02 7.25084528e+00
2.112010e+02 7.22451990e+00
2.149350e+02 7.19365957e+00
2.186680e+02 7.15474983e+00
2.205350e+02 7.13017264e+00
2.224020e+02 7.10032010e+00
2.233350e+02 7.08289620e+00
2.242690e+02 7.06377311e+00
2.252020e+02 7.04394291e+00
2.261350e+02 7.02753706e+00
2.266020e+02 7.02476252e+00
2.270690e+02 7.03179827e+00
2.275360e+02 7.06107688e+00
2.280020e+02 7.14425287e+00
2.282360e+02 7.23033955e+00
2.284690e+02 7.37686383e+00
2.287020e+02 7.63762565e+00
2.289360e+02 8.13454178e+00
2.291690e+02 9.19036980e+00
2.292860e+02 1.01896552e+01
2.294020e+02 1.18615347e+01
2.295190e+02 1.49042932e+01
2.296360e+02 2.11082821e+01
2.296940e+02 2.67919754e+01
