30-Zn_n-g
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
1.000000e-05 5.31738004e+01
1.250000e-05 4.76863823e+01
1.308720e-05 4.65177890e+01
1.500000e-05 4.34162251e+01
1.617430e-05 4.18939667e+01
2.000000e-05 3.75995680e+01
2.234860e-05 3.56726654e+01
2.750000e-05 3.20650054e+01
2.852300e-05 3.15138357e+01
3.161020e-05 2.99639188e+01
3.469730e-05 2.85544255e+01
3.500000e-05 2.84226065e+01
3.575290e-05 2.81345998e+01
3.650570e-05 2.78527135e+01
3.801150e-05 2.73059701e+01
4.102300e-05 2.62733816e+01
4.250000e-05 2.58152444e+01
4.704590e-05 2.45353892e+01
5.000000e-05 2.37800832e+01
5.939450e-05 2.18445660e+01
6.250000e-05 2.13050319e+01
7.174320e-05 1.98685391e+01
7.500000e-05 1.94163117e+01
8.409180e-05 1.83832339e+01
1.000000e-04 1.68150443e+01
1.087890e-04 1.61457124e+01
1.250000e-04 1.50741877e+01
1.334860e-04 1.45682477e+01
1.500000e-04 1.37294111e+01
1.581840e-04 1.33900275e+01
1.790920e-04 1.25977627e+01
2.000000e-04 1.18900267e+01
2.075780e-04 1.16856862e+01
2.322760e-04 1.10692236e+01
2.569730e-04 1.05142367e+01
2.750000e-04 1.01398497e+01
3.063670e-04 9.62465834e+00
3.500000e-04 8.98801841e+00
4.051560e-04 8.36174293e+00
4.250000e-04 8.17139660e+00
5.000000e-04 7.51991637e+00
5.039450e-04 7.49196901e+00
5.162940e-04 7.40592093e+00
5.286420e-04 7.32194447e+00
5.533400e-04 7.15973944e+00
6.027340e-04 6.85550296e+00
6.250000e-04 6.73636825e+00
7.500000e-04 6.13998101e+00
8.003130e-04 5.95450809e+00
9.978910e-04 5.32346087e+00
1.000000e-03 5.31738372e+00
1.006110e-03 5.30206542e+00
1.012220e-03 5.28684969e+00
1.024430e-03 5.25670143e+00
1.048870e-03 5.19747482e+00
1.097740e-03 5.08307954e+00
1.195470e-03 4.86856141e+00
1.250000e-03 4.76503638e+00
1.500000e-03 4.34162619e+00
1.590630e-03 4.22311808e+00
1.788210e-03 3.98682686e+00
1.985780e-03 3.77448045e+00
2.000000e-03 3.75996049e+00
2.047620e-03 3.71906176e+00
2.095240e-03 3.67915005e+00
2.190470e-03 3.60205108e+00
2.380940e-03 3.45749405e+00
2.750000e-03 3.20651099e+00
3.171250e-03 2.99152041e+00
3.500000e-03 2.84226399e+00
3.961560e-03 2.67465753e+00
4.250000e-03 2.58419085e+00
4.751880e-03 2.44115460e+00
5.000000e-03 2.37801165e+00
5.666250e-03 2.23744365e+00
6.250000e-03 2.12764917e+00
6.332500e-03 2.11364381e+00
7.500000e-03 1.94163635e+00
7.913130e-03 1.89319450e+00
9.493750e-03 1.72869965e+00
1.000000e-02 1.68151090e+00
1.132750e-02 1.58246554e+00
1.250000e-02 1.50445118e+00
1.265500e-02 1.49514219e+00
1.500000e-02 1.37295191e+00
1.581630e-02 1.33909581e+00
1.897750e-02 1.22271549e+00
2.000000e-02 1.18901254e+00
2.265000e-02 1.11931382e+00
2.530000e-02 1.05716374e+00
3.147500e-02 9.50460851e-01
3.209780e-02 9.40688400e-01
3.387200e-02 9.15120738e-01
3.765000e-02 8.66606485e-01
3.889560e-02 8.53791520e-01
4.167170e-02 8.25882831e-01
4.244410e-02 8.18336369e-01
4.444780e-02 8.00240506e-01
5.000000e-02 7.52006652e-01
5.101610e-02 7.44899716e-01
5.249130e-02 7.34761783e-01
5.315910e-02 7.30338823e-01
5.530210e-02 7.16470850e-01
5.928920e-02 6.91467811e-01
5.958810e-02 6.89679686e-01
6.250000e-02 6.73598452e-01
6.608700e-02 6.55867334e-01
7.500000e-02 6.14017236e-01
7.673220e-02 6.07546115e-01
7.968260e-02 5.96768174e-01
8.101820e-02 5.92078415e-01
8.530430e-02 5.77483872e-01
8.984130e-02 5.62645137e-01
9.387630e-02 5.50063799e-01
1.000000e-01 5.31760214e-01
1.068740e-01 5.15362120e-01
1.140820e-01 4.99200084e-01
1.250000e-01 4.76352894e-01
1.281640e-01 4.70380007e-01
1.340650e-01 4.60042823e-01
1.500000e-01 4.34189802e-01
1.612560e-01 4.19607756e-01
1.624520e-01 4.18132177e-01
1.884480e-01 3.88457655e-01
