31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.000000e-05 1.54134396e+02
1.250000e-05 1.38594338e+02
1.500000e-05 1.27123355e+02
2.000000e-05 1.11021919e+02
2.750000e-05 9.57009783e+01
3.500000e-05 8.56179598e+01
4.250000e-05 7.83391368e+01
5.000000e-05 7.27664457e+01
6.250000e-05 6.58168784e+01
7.500000e-05 6.06869368e+01
1.000000e-04 5.34860679e+01
1.250000e-04 4.85718876e+01
1.500000e-04 4.49444429e+01
2.000000e-04 3.98526194e+01
2.750000e-04 3.50078023e+01
3.500000e-04 3.18193318e+01
4.250000e-04 2.95175199e+01
5.000000e-04 2.77553305e+01
6.250000e-04 2.55577031e+01
7.500000e-04 2.39354188e+01
1.000000e-03 2.16583395e+01
1.250000e-03 2.01043397e+01
1.500000e-03 1.89572295e+01
2.000000e-03 1.73470918e+01
2.750000e-03 1.58150076e+01
3.500000e-03 1.48067238e+01
4.250000e-03 1.40788295e+01
5.000000e-03 1.35216063e+01
6.250000e-03 1.28266556e+01
7.500000e-03 1.23136034e+01
1.000000e-02 1.15935005e+01
1.250000e-02 1.11021044e+01
1.500000e-02 1.07393859e+01
2.000000e-02 1.02301896e+01
2.530000e-02 9.86519348e+00
3.147500e-02 9.56245052e+00
3.765000e-02 9.33764132e+00
5.000000e-02 9.02034243e+00
6.250000e-02 8.80051166e+00
7.500000e-02 8.63821520e+00
1.000000e-01 8.41034923e+00
1.250000e-01 8.25478724e+00
1.500000e-01 8.13990621e+00
2.000000e-01 7.97852649e+00
2.750000e-01 7.82474818e+00
3.500000e-01 7.72333395e+00
5.000000e-01 7.59359858e+00
7.500000e-01 7.47070310e+00
1.000000e+00 7.39654771e+00
1.500000e+00 7.30673426e+00
2.000000e+00 7.25133678e+00
2.750000e+00 7.19609785e+00
3.500000e+00 7.15734673e+00
5.000000e+00 7.10284119e+00
7.500000e+00 7.04126053e+00
1.000000e+01 6.99486728e+00
1.500000e+01 6.92007336e+00
2.000000e+01 6.85554039e+00
2.750000e+01 6.76634457e+00
3.500000e+01 6.68075591e+00
5.000000e+01 6.51111832e+00
6.138670e+01 6.38025962e+00
6.250000e+01 6.36829885e+00
6.708010e+01 6.31431983e+00
7.277340e+01 6.25648754e+00
7.500000e+01 6.24482196e+00
7.846680e+01 6.22163923e+00
8.125000e+01 6.23173062e+00
8.131340e+01 6.23186093e+00
8.416010e+01 6.29047976e+00
8.558340e+01 6.36190565e+00
8.700680e+01 6.49011283e+00
8.750000e+01 6.57211805e+00
8.843010e+01 6.72539433e+00
8.985350e+01 7.19244915e+00
9.056510e+01 7.60499504e+00
9.062500e+01 7.65943532e+00
9.127680e+01 8.25125508e+00
9.198850e+01 9.33307136e+00
9.270010e+01 1.13203415e+01
9.305600e+01 1.29914413e+01
9.341180e+01 1.55242892e+01
9.375000e+01 1.94110559e+01
9.376760e+01 1.96133273e+01
9.412350e+01 2.68126044e+01
9.447930e+01 4.12032933e+01
9.465720e+01 5.44438714e+01
9.483510e+01 7.64417808e+01
9.501310e+01 1.16767669e+02
9.510200e+01 1.50685177e+02
9.519100e+01 2.02029504e+02
9.527990e+01 2.84377495e+02
9.536890e+01 4.26099142e+02
9.545790e+01 6.90191095e+02
9.554680e+01 1.20826743e+03
9.562340e+01 1.93702554e+03
9.570000e+01 2.42857784e+03
9.577660e+01 1.95106569e+03
9.585320e+01 1.22621916e+03
9.591800e+01 8.15378651e+02
9.598280e+01 5.63276392e+02
9.604760e+01 4.06775311e+02
9.611240e+01 3.05744455e+02
9.624200e+01 1.90010227e+02
9.637160e+01 1.29771357e+02
9.650110e+01 9.47932988e+01
9.663070e+01 7.27841288e+01
9.687500e+01 4.91920769e+01
9.688990e+01 4.77532571e+01
9.714910e+01 3.46141556e+01
9.740830e+01 2.68716438e+01
9.766740e+01 2.19243652e+01
9.792660e+01 1.85688963e+01
9.844500e+01 1.44311521e+01
9.896330e+01 1.20654113e+01
9.948170e+01 1.05813228e+01
1.000000e+02 9.58583228e+00
1.007810e+02 8.61287458e+00
1.013270e+02 8.17875096e+00
1.015630e+02 7.99584417e+00
1.026550e+02 7.51092040e+00
1.031250e+02 7.32279079e+00
1.039820e+02 7.16131706e+00
1.046880e+02 7.10218204e+00
1.053090e+02 7.11128911e+00
1.059730e+02 7.23578202e+00
1.062500e+02 7.35379069e+00
1.066360e+02 7.54437567e+00
1.073000e+02 8.17546369e+00
1.079640e+02 9.45711862e+00
1.082950e+02 1.05943256e+01
1.086270e+02 1.23688861e+01
1.089590e+02 1.53002852e+01
1.092910e+02 2.05416949e+01
