32-Ge_n-g
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
1.000000e-05 1.11248022e+02
1.250000e-05 9.95034980e+01
1.500000e-05 9.08337174e+01
2.000000e-05 7.86643148e+01
2.750000e-05 6.70851698e+01
3.500000e-05 5.94646444e+01
4.250000e-05 5.39632454e+01
5.000000e-05 4.97516695e+01
6.250000e-05 4.44992689e+01
7.500000e-05 4.06220910e+01
1.000000e-04 3.51797462e+01
1.250000e-04 3.14657375e+01
1.500000e-04 2.87241400e+01
2.000000e-04 2.48758280e+01
2.750000e-04 2.12141740e+01
3.500000e-04 1.88043761e+01
4.250000e-04 1.70646233e+01
5.000000e-04 1.57328543e+01
6.250000e-04 1.40718618e+01
7.500000e-04 1.28457800e+01
1.000000e-03 1.11247530e+01
1.250000e-03 9.95026858e+00
1.500000e-03 9.08328643e+00
2.000000e-03 7.86635267e+00
2.750000e-03 6.70840682e+00
3.500000e-03 5.94634607e+00
4.250000e-03 5.39618997e+00
5.000000e-03 4.97502257e+00
6.250000e-03 4.44976297e+00
7.500000e-03 4.06203372e+00
1.000000e-02 3.51776833e+00
1.250000e-02 3.14634817e+00
1.500000e-02 2.87216578e+00
2.000000e-02 2.48729351e+00
2.530000e-02 2.21140419e+00
3.147500e-02 1.98257992e+00
3.765000e-02 1.81265881e+00
5.000000e-02 1.57283224e+00
6.250000e-02 1.40667885e+00
7.500000e-02 1.28402414e+00
1.000000e-01 1.11183679e+00
1.250000e-01 9.94313000e-01
1.500000e-01 9.07548645e-01
2.000000e-01 7.85734033e-01
2.750000e-01 6.69788381e-01
3.500000e-01 5.93451019e-01
5.000000e-01 4.96095867e-01
7.500000e-01 4.04497708e-01
1.000000e+00 3.49828094e-01
1.500000e+00 2.84877327e-01
2.000000e+00 2.46084385e-01
2.750000e+00 2.09101039e-01
3.500000e+00 1.84719958e-01
5.000000e+00 1.53604869e-01
7.500000e+00 1.24390123e-01
1.000000e+01 1.07101055e-01
1.500000e+01 8.70580307e-02
2.000000e+01 7.57813531e-02
2.750000e+01 6.63638798e-02
3.500000e+01 6.19465913e-02
5.000000e+01 6.33652203e-02
6.250000e+01 7.81243193e-02
6.875000e+01 9.43537100e-02
7.500000e+01 1.23967351e-01
7.812500e+01 1.48546514e-01
8.125000e+01 1.84722002e-01
8.437500e+01 2.40959140e-01
8.750000e+01 3.35214679e-01
9.062500e+01 5.11343542e-01
9.218750e+01 6.63417161e-01
9.375000e+01 9.01359230e-01
9.531250e+01 1.30444527e+00
9.687500e+01 2.06941757e+00
9.765630e+01 2.73914971e+00
9.843750e+01 3.79900136e+00
9.921880e+01 5.61491975e+00
1.000000e+02 9.08518416e+00
1.004330e+02 1.25166212e+01
1.008650e+02 1.81416183e+01
1.012980e+02 2.79285203e+01
1.017300e+02 4.54696849e+01
1.021600e+02 7.26804472e+01
1.025900e+02 9.05081294e+01
1.030200e+02 7.19474692e+01
1.034500e+02 4.47570289e+01
1.038270e+02 2.90876649e+01
1.042040e+02 1.97026209e+01
1.045820e+02 1.39870468e+01
1.049590e+02 1.03518827e+01
1.057130e+02 6.25074668e+00
1.064670e+02 4.15009488e+00
1.072220e+02 2.94496325e+00
1.079760e+02 2.19399720e+00
1.094840e+02 1.34969134e+00
1.109930e+02 9.12740918e-01
1.125020e+02 6.58503717e-01
1.140100e+02 4.97975711e-01
1.155190e+02 3.90323560e-01
1.185360e+02 2.59638478e-01
1.215530e+02 1.86519621e-01
1.245700e+02 1.41623164e-01
1.275880e+02 1.12152237e-01
1.336220e+02 7.72131257e-02
1.396560e+02 5.82253743e-02
1.456910e+02 4.69434551e-02
1.500000e+02 4.19206144e-02
1.517250e+02 3.99606405e-02
1.637940e+02 3.34472455e-02
1.758630e+02 3.42090080e-02
1.818970e+02 3.88386534e-02
1.879310e+02 5.10311364e-02
1.909490e+02 6.44075320e-02
1.939660e+02 9.10761485e-02
1.954740e+02 1.15753997e-01
1.969830e+02 1.57450805e-01
1.984920e+02 2.36909488e-01
1.992460e+02 3.07219187e-01
2.000000e+02 4.20275561e-01
2.004740e+02 5.30752906e-01
2.009480e+02 6.95849926e-01
2.014210e+02 9.58841870e-01
2.016580e+02 1.15319847e+00
2.018950e+02 1.41561557e+00
2.021320e+02 1.78230891e+00
2.023690e+02 2.31633251e+00
2.026060e+02 3.13660236e+00
2.028430e+02 4.48772396e+00
2.030790e+02 6.94157758e+00
2.031980e+02 8.98964399e+00
2.033160e+02 1.20658487e+01
2.034350e+02 1.69599708e+01
2.035530e+02 2.52784305e+01
2.036720e+02 4.05329852e+01
