33-As_n-tot
>  33-As-75:1.000000
1.000000e-05 2.31691000e+02
1.250000e-05 2.07804000e+02
1.500000e-05 1.90172000e+02
2.000000e-05 1.65421000e+02
2.750000e-05 1.41871000e+02
3.500000e-05 1.26372000e+02
4.250000e-05 1.15183000e+02
5.000000e-05 1.06617000e+02
6.250000e-05 9.59347000e+01
7.500000e-05 8.80492000e+01
1.000000e-04 7.69804000e+01
1.250000e-04 6.94267000e+01
1.500000e-04 6.38508000e+01
2.000000e-04 5.60239000e+01
2.750000e-04 4.85768000e+01
3.500000e-04 4.36756000e+01
4.250000e-04 4.01374000e+01
5.000000e-04 3.74287000e+01
6.250000e-04 3.40506000e+01
7.500000e-04 3.15570000e+01
1.000000e-03 2.80568000e+01
1.250000e-03 2.56681000e+01
1.500000e-03 2.39049000e+01
2.000000e-03 2.14299000e+01
2.750000e-03 1.90749000e+01
3.500000e-03 1.75251000e+01
4.250000e-03 1.64063000e+01
5.000000e-03 1.55497000e+01
6.250000e-03 1.44815000e+01
7.500000e-03 1.36930000e+01
1.000000e-02 1.25863000e+01
1.250000e-02 1.18310000e+01
1.500000e-02 1.12735000e+01
2.000000e-02 1.04909000e+01
2.530000e-02 9.92997000e+00
3.147500e-02 9.46475000e+00
3.765000e-02 9.11931000e+00
5.000000e-02 8.63179000e+00
6.250000e-02 8.29407000e+00
7.500000e-02 8.04477000e+00
1.000000e-01 7.69482000e+00
1.250000e-01 7.45598000e+00
1.500000e-01 7.27963000e+00
2.000000e-01 7.03202000e+00
2.750000e-01 6.79623000e+00
3.500000e-01 6.64084000e+00
5.000000e-01 6.44232000e+00
7.500000e-01 6.25466000e+00
1.000000e+00 6.14174000e+00
1.500000e+00 6.00555000e+00
2.000000e+00 5.92203000e+00
2.750000e+00 5.83928000e+00
3.500000e+00 5.78167000e+00
5.000000e+00 5.70137000e+00
7.500000e+00 5.61170000e+00
1.000000e+01 5.54465000e+00
1.500000e+01 5.43657000e+00
2.000000e+01 5.34311000e+00
2.671360e+01 5.23322000e+00
3.007040e+01 5.19374000e+00
3.342720e+01 5.18849000e+00
3.678400e+01 5.29235000e+00
3.846240e+01 5.46278000e+00
4.014080e+01 5.85117000e+00
4.098000e+01 6.22121000e+00
4.181920e+01 6.82976000e+00
4.265840e+01 7.89483000e+00
4.349760e+01 9.93749000e+00
4.391720e+01 1.17082000e+01
4.433680e+01 1.44525000e+01
4.475640e+01 1.89893000e+01
4.517600e+01 2.71920000e+01
4.538580e+01 3.39850000e+01
4.559560e+01 4.41277000e+01
4.580540e+01 6.01645000e+01
4.601520e+01 8.75500000e+01
4.612010e+01 1.09067000e+02
4.622500e+01 1.39688000e+02
4.632990e+01 1.85193000e+02
4.643480e+01 2.56636000e+02
4.653970e+01 3.77041000e+02
4.659220e+01 4.70033000e+02
4.664460e+01 5.99634000e+02
4.669710e+01 7.85826000e+02
4.674950e+01 1.06183000e+03
4.680200e+01 1.48169000e+03
4.685440e+01 2.12139000e+03
4.692720e+01 3.41767000e+03
4.700000e+01 4.30354000e+03
4.707280e+01 3.47009000e+03
4.714560e+01 2.18739000e+03
4.719020e+01 1.62536000e+03
4.723480e+01 1.22874000e+03
4.732400e+01 7.52301000e+02
4.741320e+01 5.00885000e+02
4.750240e+01 3.56113000e+02
4.759160e+01 2.66211000e+02
4.768080e+01 2.06893000e+02
4.785920e+01 1.36229000e+02
4.803760e+01 9.74337000e+01
4.821600e+01 7.38770000e+01
4.857280e+01 4.78900000e+01
4.892960e+01 3.45784000e+01
4.928640e+01 2.68253000e+01
4.964320e+01 2.18959000e+01
5.000000e+01 1.85555000e+01
5.066040e+01 1.46561000e+01
5.132070e+01 1.23293000e+01
5.198110e+01 1.08181000e+01
5.264140e+01 9.77425000e+00
5.396210e+01 8.45031000e+00
5.528280e+01 7.66116000e+00
5.660350e+01 7.14434000e+00
5.792420e+01 6.78206000e+00
6.056560e+01 6.30894000e+00
6.320700e+01 6.01171000e+00
6.584840e+01 5.80415000e+00
7.113120e+01 5.52147000e+00
7.641390e+01 5.32174000e+00
7.905530e+01 5.23749000e+00
8.169670e+01 5.16244000e+00
8.433810e+01 5.10792000e+00
8.565880e+01 5.10376000e+00
8.697950e+01 5.14583000e+00
8.763990e+01 5.20619000e+00
8.830020e+01 5.32201000e+00
8.896060e+01 5.54693000e+00
8.962090e+01 6.01113000e+00
8.995110e+01 6.42947000e+00
9.028130e+01 7.09202000e+00
9.061140e+01 8.20636000e+00
9.094160e+01 1.02458000e+01
9.127180e+01 1.44782000e+01
9.143690e+01 1.84750000e+01
9.160200e+01 2.52436000e+01
9.176710e+01 3.79091000e+01
9.184960e+01 4.87322000e+01
9.193210e+01 6.53292000e+01
9.201470e+01 9.23473000e+01
9.209720e+01 1.39693000e+02
9.213850e+01 1.77201000e+02
9.217980e+01 2.30026000e+02
9.222100e+01 3.05498000e+02
9.226230e+01 4.12797000e+02
9.233120e+01 6.67531000e+02
9.240000e+01 8.45742000e+02
9.246890e+01 6.87579000e+02
9.253770e+01 4.37880000e+02
9.259600e+01 2.94647000e+02
9.265430e+01 2.06171000e+02
9.271260e+01 1.50954000e+02
9.277090e+01 1.15121000e+02
9.288750e+01 7.37956000e+01
9.300410e+01 5.20826000e+01
9.312070e+01 3.93612000e+01
9.323730e+01 3.12854000e+01
9.347050e+01 2.19883000e+01
9.370370e+01 1.70241000e+01
9.393690e+01 1.40502000e+01
9.417010e+01 1.21193000e+01
9.440330e+01 1.07889000e+01
9.486970e+01 9.11224000e+00
9.533610e+01 8.12457000e+00
9.580250e+01 7.48689000e+00
9.626890e+01 7.04704000e+00
9.720160e+01 6.48760000e+00
9.813440e+01 6.15096000e+00
9.906720e+01 5.92747000e+00
1.000000e+02 5.76827000e+00
