34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
1.000000e-05 6.05789143e+02
1.250000e-05 5.41833737e+02
1.500000e-05 4.94624712e+02
2.000000e-05 4.28357532e+02
2.750000e-05 3.65305163e+02
3.500000e-05 3.23807776e+02
4.250000e-05 2.93851636e+02
5.000000e-05 2.70917364e+02
6.250000e-05 2.42315344e+02
7.500000e-05 2.21203154e+02
1.000000e-04 1.91567043e+02
1.250000e-04 1.71343120e+02
1.500000e-04 1.56413882e+02
2.000000e-04 1.35458092e+02
2.750000e-04 1.15518897e+02
3.500000e-04 1.02396464e+02
4.250000e-04 9.29231462e+01
5.000000e-04 8.56708000e+01
6.250000e-04 7.66260929e+01
7.500000e-04 6.99496274e+01
1.000000e-03 6.05778421e+01
1.250000e-03 5.41822431e+01
1.500000e-03 4.94612057e+01
2.000000e-03 4.28342593e+01
2.750000e-03 3.65287377e+01
3.500000e-03 3.23788732e+01
4.250000e-03 2.93829544e+01
5.000000e-03 2.70893364e+01
6.250000e-03 2.42289335e+01
7.500000e-03 2.21174309e+01
1.000000e-02 1.91534003e+01
1.250000e-02 1.71306265e+01
1.500000e-02 1.56373475e+01
2.000000e-02 1.35411451e+01
2.530000e-02 1.20384374e+01
3.147500e-02 1.07919855e+01
3.765000e-02 9.86631574e+00
5.000000e-02 8.55972796e+00
6.250000e-02 7.65439254e+00
7.500000e-02 6.98596966e+00
1.000000e-01 6.04741429e+00
1.250000e-01 5.40663778e+00
1.500000e-01 4.93344726e+00
2.000000e-01 4.26883006e+00
2.750000e-01 3.63581535e+00
3.500000e-01 3.21870937e+00
5.000000e-01 2.68618569e+00
7.500000e-01 2.18420992e+00
1.000000e+00 1.88392503e+00
1.500000e+00 1.52615696e+00
2.000000e+00 1.31174458e+00
2.750000e+00 1.10671008e+00
3.500000e+00 9.71202316e-01
5.000000e+00 7.98146842e-01
7.500000e+00 6.36861143e-01
1.000000e+01 5.44528172e-01
1.250000e+01 4.96489839e-01
1.500000e+01 4.56407128e-01
1.750000e+01 4.55942576e-01
1.812500e+01 4.60513245e-01
1.875000e+01 4.68104574e-01
1.906250e+01 4.73328688e-01
1.921880e+01 4.76363705e-01
1.929690e+01 4.77998039e-01
1.937500e+01 4.79712473e-01
1.945310e+01 4.81512346e-01
1.949220e+01 4.82444533e-01
1.953130e+01 4.83398080e-01
1.957030e+01 4.84377017e-01
1.960940e+01 4.85377733e-01
1.968750e+01 4.87451727e-01
1.976560e+01 4.89625401e-01
1.984380e+01 4.91901844e-01
2.000000e+01 4.96785861e-01
2.021590e+01 5.05422868e-01
2.043190e+01 5.15078075e-01
2.064780e+01 5.25888462e-01
2.086380e+01 5.38014309e-01
2.129560e+01 5.67010513e-01
2.172750e+01 6.04062147e-01
2.215940e+01 6.52072351e-01
2.259130e+01 7.15378985e-01
2.302310e+01 8.00721089e-01
2.345500e+01 9.19000353e-01
2.388690e+01 1.08884800e+00
2.431880e+01 1.34420506e+00
2.475060e+01 1.75245429e+00
2.518250e+01 2.46307128e+00
2.539840e+01 3.03380024e+00
2.561440e+01 3.86499576e+00
2.583030e+01 5.14155703e+00
2.604630e+01 7.24481175e+00
2.626220e+01 1.10632397e+01
2.637020e+01 1.42491449e+01
2.647810e+01 1.90400770e+01
2.658610e+01 2.66607632e+01
2.669410e+01 3.96400504e+01
2.680200e+01 6.34918455e+01
2.691000e+01 1.09425875e+02
2.700500e+01 1.74564167e+02
2.710000e+01 2.17484500e+02
2.719500e+01 1.73516803e+02
2.729000e+01 1.08319935e+02
2.737870e+01 6.87205896e+01
2.746740e+01 4.57176968e+01
