34-Se_n-tot
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
1.000000e-05 6.14102027e+02
1.250000e-05 5.50147384e+02
1.500000e-05 5.02937572e+02
2.000000e-05 4.36670416e+02
2.750000e-05 3.73618046e+02
3.500000e-05 3.32120661e+02
4.250000e-05 3.02164521e+02
5.000000e-05 2.79230414e+02
6.250000e-05 2.50628448e+02
7.500000e-05 2.29516257e+02
1.000000e-04 1.99880114e+02
1.250000e-04 1.79656201e+02
1.500000e-04 1.64726961e+02
2.000000e-04 1.43771359e+02
2.750000e-04 1.23832202e+02
3.500000e-04 1.10709682e+02
4.250000e-04 1.01236447e+02
5.000000e-04 9.39840319e+01
6.250000e-04 8.49392992e+01
7.500000e-04 7.82627182e+01
1.000000e-03 6.88910425e+01
1.250000e-03 6.24955263e+01
1.500000e-03 5.77743809e+01
2.000000e-03 5.11474420e+01
2.750000e-03 4.48418409e+01
3.500000e-03 4.06919767e+01
4.250000e-03 3.76960552e+01
5.000000e-03 3.54024343e+01
6.250000e-03 3.25420139e+01
7.500000e-03 3.04305009e+01
1.000000e-02 2.74664359e+01
1.250000e-02 2.54435414e+01
1.500000e-02 2.39502284e+01
2.000000e-02 2.18540179e+01
2.530000e-02 2.03511908e+01
3.147500e-02 1.91046236e+01
3.765000e-02 1.81788552e+01
5.000000e-02 1.68720397e+01
6.250000e-02 1.59664900e+01
7.500000e-02 1.52978404e+01
1.000000e-01 1.43588487e+01
1.250000e-01 1.37176401e+01
1.500000e-01 1.32440084e+01
2.000000e-01 1.25785157e+01
2.750000e-01 1.19441936e+01
3.500000e-01 1.15257800e+01
5.000000e-01 1.09906463e+01
7.500000e-01 1.04843477e+01
1.000000e+00 1.01797569e+01
1.500000e+00 9.81346657e+00
2.000000e+00 9.59061490e+00
2.750000e+00 9.37308774e+00
3.500000e+00 9.22524509e+00
5.000000e+00 9.02797162e+00
7.500000e+00 8.82729125e+00
1.000000e+01 8.69630022e+00
1.250000e+01 8.61051868e+00
1.500000e+01 8.53141107e+00
1.750000e+01 8.49409502e+00
1.812500e+01 8.48992378e+00
1.875000e+01 8.48930364e+00
1.906250e+01 8.49072150e+00
1.921880e+01 8.49195212e+00
1.929690e+01 8.49271235e+00
1.937500e+01 8.49357405e+00
1.945310e+01 8.49454255e+00
1.949220e+01 8.49506654e+00
1.953130e+01 8.49561901e+00
1.957030e+01 8.49620414e+00
1.960940e+01 8.49681535e+00
1.968750e+01 8.49813183e+00
1.976560e+01 8.49957648e+00
1.984380e+01 8.50115224e+00
2.000000e+01 8.50473217e+00
2.021590e+01 8.51199248e+00
2.043190e+01 8.52059045e+00
2.064780e+01 8.53072902e+00
2.086380e+01 8.54263689e+00
2.129560e+01 8.57293899e+00
2.172750e+01 8.61445953e+00
2.215940e+01 8.67157376e+00
2.259130e+01 8.75092641e+00
2.302310e+01 8.86299281e+00
2.345500e+01 9.02498286e+00
2.388690e+01 9.26675251e+00
2.431880e+01 9.64351379e+00
2.475060e+01 1.02665132e+01
2.518250e+01 1.13863533e+01
2.539840e+01 1.23057007e+01
2.561440e+01 1.36649733e+01
2.583030e+01 1.57838895e+01
2.604630e+01 1.93269996e+01
2.626220e+01 2.58549313e+01
2.637020e+01 3.13586257e+01
2.647810e+01 3.96967049e+01
2.658610e+01 5.30606123e+01
2.669410e+01 7.60011868e+01
2.680200e+01 1.18515533e+02
2.691000e+01 2.01198158e+02
2.700500e+01 3.19992767e+02
2.710000e+01 4.01367325e+02
2.719500e+01 3.25509143e+02
2.729000e+01 2.08459982e+02
2.737870e+01 1.36485873e+02
2.746740e+01 9.43321038e+01
