37-Rb_n-g
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
1.000000e-05 1.95908828e+01
1.250000e-05 1.75226377e+01
1.500000e-05 1.59959077e+01
2.000000e-05 1.38528335e+01
2.750000e-05 1.18137184e+01
3.500000e-05 1.04717763e+01
4.250000e-05 9.50297809e+00
5.000000e-05 8.76128278e+00
6.250000e-05 7.83634644e+00
7.500000e-05 7.15357440e+00
1.000000e-04 6.19517871e+00
1.250000e-04 5.54113507e+00
1.500000e-04 5.05834458e+00
2.000000e-04 4.38065722e+00
2.750000e-04 3.73583063e+00
3.500000e-04 3.31146255e+00
4.250000e-04 3.00510594e+00
5.000000e-04 2.77056726e+00
6.250000e-04 2.47807176e+00
7.500000e-04 2.26216181e+00
1.000000e-03 1.95908911e+00
1.250000e-03 1.75226461e+00
1.500000e-03 1.59959161e+00
2.000000e-03 1.38528446e+00
2.750000e-03 1.18138044e+00
3.500000e-03 1.04717903e+00
4.250000e-03 9.50299200e-01
5.000000e-03 8.76137165e-01
6.250000e-03 7.83641366e-01
7.500000e-03 7.15364440e-01
1.000000e-02 6.19525871e-01
1.250000e-02 5.54122507e-01
1.500000e-02 5.05844457e-01
2.000000e-02 4.38076722e-01
2.530000e-02 3.89500544e-01
3.147500e-02 3.49211717e-01
3.765000e-02 3.19295585e-01
5.000000e-02 2.77074781e-01
6.250000e-02 2.47827287e-01
7.500000e-02 2.26238264e-01
1.000000e-01 1.95934106e-01
1.250000e-01 1.75254683e-01
1.500000e-01 1.59990328e-01
2.000000e-01 1.38564558e-01
2.750000e-01 1.18180267e-01
3.500000e-01 1.04765264e-01
5.000000e-01 8.76701896e-02
7.500000e-01 7.16060893e-02
1.000000e+00 6.20331602e-02
1.500000e+00 5.06833302e-02
2.000000e+00 4.39221401e-02
2.750000e+00 3.74944298e-02
3.500000e+00 3.32687325e-02
5.000000e+00 2.78912409e-02
7.500000e+00 2.28517864e-02
1.000000e+01 1.98599926e-02
1.500000e+01 1.63338947e-02
2.000000e+01 1.42531890e-02
2.750000e+01 1.23016885e-02
3.500000e+01 1.10443494e-02
5.000000e+01 9.50352103e-03
7.500000e+01 8.20481616e-03
1.000000e+02 7.62828743e-03
1.377350e+02 7.69706553e-03
1.500000e+02 8.39167761e-03
1.566020e+02 8.79268526e-03
1.613190e+02 9.78631479e-03
1.660350e+02 1.24088136e-02
1.683940e+02 1.59232403e-02
1.695730e+02 1.93819298e-02
1.707520e+02 2.56341034e-02
1.719310e+02 3.88077409e-02
1.725210e+02 5.17218517e-02
1.731110e+02 7.48314906e-02
1.734050e+02 9.39320729e-02
1.737000e+02 1.22549721e-01
1.739950e+02 1.68220418e-01
1.742900e+02 2.47702038e-01
1.745850e+02 4.04631451e-01
1.747320e+02 5.47656187e-01
1.748790e+02 7.83461954e-01
1.750000e+02 1.13357993e+00
1.750270e+02 1.21170557e+00
1.751010e+02 1.56897691e+00
1.751740e+02 2.10601649e+00
1.752480e+02 2.95955762e+00
1.753220e+02 4.41115710e+00
1.753950e+02 7.07283818e+00
1.754690e+02 1.21880467e+01
1.755350e+02 1.95460677e+01
1.756000e+02 2.44739083e+01
1.756660e+02 1.95532143e+01
1.757310e+02 1.21970714e+01
1.757790e+02 8.53285675e+00
1.758260e+02 6.13272855e+00
1.758730e+02 4.55335366e+00
1.759210e+02 3.48632806e+00
1.760160e+02 2.20715214e+00
1.761100e+02 1.51199750e+00
1.762050e+02 1.09737488e+00
1.763000e+02 8.31833830e-01
1.764900e+02 5.25123926e-01
1.766790e+02 3.62105923e-01
1.768690e+02 2.65481446e-01
1.772480e+02 1.61656161e-01
1.776270e+02 1.10067522e-01
1.780060e+02 8.07779696e-02
1.783860e+02 6.25779282e-02
1.787650e+02 5.05061892e-02
1.795230e+02 3.60028911e-02
1.802820e+02 2.79665434e-02
1.817980e+02 1.98686066e-02
1.833150e+02 1.61166160e-02
1.848320e+02 1.41189338e-02
1.878660e+02 1.22799368e-02
1.939330e+02 1.15402590e-02
2.000000e+02 1.22502600e-02
2.057680e+02 1.40936646e-02
2.115350e+02 1.80529983e-02
2.144190e+02 2.20391831e-02
2.167580e+02 2.86703217e-02
2.173030e+02 3.02285184e-02
2.187440e+02 3.91057831e-02
2.194650e+02 4.68866678e-02
2.201860e+02 5.98807525e-02
2.209070e+02 8.53116768e-02
2.212680e+02 1.09054630e-01
2.216280e+02 1.50027402e-01
2.219890e+02 2.31170044e-01
2.221690e+02 3.05919970e-01
2.223490e+02 4.31147760e-01
2.225290e+02 6.65024597e-01
2.226200e+02 8.65966057e-01
2.227100e+02 1.17753542e+00
2.228000e+02 1.69485423e+00
2.228900e+02 2.63303240e+00
2.229350e+02 3.40508754e+00
2.229800e+02 4.52900029e+00
2.230250e+02 6.20973347e+00
2.230700e+02 8.70851359e+00
2.231350e+02 1.38851264e+01
2.232000e+02 1.73264116e+01
2.232650e+02 1.38897514e+01
2.233300e+02 8.71487684e+00
2.233750e+02 6.21181407e+00
2.234200e+02 4.53265846e+00
2.234650e+02 3.40772515e+00
2.235100e+02 2.63840951e+00
2.236000e+02 1.70121414e+00
2.236910e+02 1.18468332e+00
2.237810e+02 8.73873038e-01
2.238710e+02 6.73703694e-01
2.240510e+02 4.41536983e-01
2.242310e+02 3.17986844e-01
2.244110e+02 2.45017050e-01
2.247720e+02 1.67688083e-01
2.251320e+02 1.30790869e-01
2.254930e+02 1.11433176e-01
2.262130e+02 9.58655034e-02
2.276550e+02 1.01704386e-01
2.290970e+02 1.37814254e-01
2.298170e+02 1.71704682e-01
2.305380e+02 2.24635768e-01
2.312590e+02 3.12010708e-01
2.319800e+02 4.69835116e-01
2.323400e+02 6.01021831e-01
2.327010e+02 7.98429621e-01
2.330610e+02 1.11522242e+00
2.334210e+02 1.67082575e+00
2.335160e+02 1.96306936e+00
2.337820e+02 2.78136698e+00
2.339620e+02 3.80717427e+00
2.341420e+02 5.52356187e+00
2.343220e+02 8.71183496e+00
2.344130e+02 1.14353960e+01
2.345030e+02 1.56289877e+01
2.345930e+02 2.25218096e+01
2.346830e+02 3.48323612e+01
2.347730e+02 5.91271021e+01
2.348180e+02 8.01729614e+01
2.348630e+02 1.10887075e+02
2.348970e+02 1.42063797e+02
2.349320e+02 1.77631341e+02
2.350000e+02 2.22205706e+02
