37-Rb_n-tot
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
1.000000e-05 2.53167187e+01
1.250000e-05 2.32484737e+01
1.500000e-05 2.17217437e+01
2.000000e-05 1.95786695e+01
2.750000e-05 1.75396293e+01
3.500000e-05 1.61976151e+01
4.250000e-05 1.52288141e+01
5.000000e-05 1.44871909e+01
6.250000e-05 1.35622041e+01
7.500000e-05 1.28794709e+01
1.000000e-04 1.19210147e+01
1.250000e-04 1.12670144e+01
1.500000e-04 1.07842311e+01
2.000000e-04 1.01064788e+01
2.750000e-04 9.46171269e+00
3.500000e-04 9.03734183e+00
4.250000e-04 8.73098689e+00
5.000000e-04 8.49642656e+00
6.250000e-04 8.20393023e+00
7.500000e-04 7.98802111e+00
1.000000e-03 7.68494674e+00
1.250000e-03 7.47811641e+00
1.500000e-03 7.32545118e+00
2.000000e-03 7.11114349e+00
2.750000e-03 6.90723113e+00
3.500000e-03 6.77303000e+00
4.250000e-03 6.67614850e+00
5.000000e-03 6.60198841e+00
6.250000e-03 6.50948806e+00
7.500000e-03 6.44120836e+00
1.000000e-02 6.34536856e+00
1.250000e-02 6.27996076e+00
1.500000e-02 6.23167604e+00
2.000000e-02 6.16389998e+00
2.530000e-02 6.11531319e+00
3.147500e-02 6.07501670e+00
3.765000e-02 6.04508835e+00
5.000000e-02 6.00284950e+00
6.250000e-02 5.97357860e+00
7.500000e-02 5.95196497e+00
1.000000e-01 5.92162072e+00
1.250000e-01 5.90089776e+00
1.500000e-01 5.88559042e+00
2.000000e-01 5.86407618e+00
2.750000e-01 5.84356199e+00
3.500000e-01 5.83001876e+00
5.000000e-01 5.81266298e+00
7.500000e-01 5.79617507e+00
1.000000e+00 5.78616892e+00
1.500000e+00 5.77395215e+00
2.000000e+00 5.76632808e+00
2.750000e+00 5.75860401e+00
3.500000e+00 5.75308716e+00
5.000000e+00 5.74510805e+00
7.500000e+00 5.73572383e+00
1.000000e+01 5.72838137e+00
1.500000e+01 5.71610296e+00
2.000000e+01 5.70520657e+00
2.750000e+01 5.68991108e+00
3.500000e+01 5.67515851e+00
5.000000e+01 5.64610716e+00
7.500000e+01 5.59717385e+00
1.000000e+02 5.54615210e+00
1.377350e+02 5.46182258e+00
1.500000e+02 5.43298849e+00
1.566020e+02 5.41657327e+00
1.613190e+02 5.40504747e+00
1.660350e+02 5.39491513e+00
1.683940e+02 5.39195213e+00
1.695730e+02 5.39215249e+00
1.707520e+02 5.39513139e+00
1.719310e+02 5.40504582e+00
1.725210e+02 5.41634289e+00
1.731110e+02 5.43787365e+00
1.734050e+02 5.45621386e+00
1.737000e+02 5.48410879e+00
1.739950e+02 5.52912245e+00
1.742900e+02 5.60807044e+00
1.745850e+02 5.76478161e+00
1.747320e+02 5.90794614e+00
1.748790e+02 6.14425328e+00
1.750000e+02 6.49539136e+00
1.750270e+02 6.57374079e+00
1.751010e+02 6.93217756e+00
1.751740e+02 7.47109057e+00
1.752480e+02 8.32771684e+00
1.753220e+02 9.78475422e+00
1.753950e+02 1.24565072e+01
1.754690e+02 1.75912051e+01
1.755350e+02 2.49773963e+01
1.756000e+02 2.99238091e+01
1.756660e+02 2.49837251e+01
1.757310e+02 1.75989552e+01
1.757790e+02 1.39205601e+01
1.758260e+02 1.15109865e+01
