38-Sr_n-g
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
1.000000e-05 6.12871581e+01
1.250000e-05 5.48169735e+01
1.500000e-05 5.00408831e+01
2.000000e-05 4.33367476e+01
2.750000e-05 3.69578188e+01
3.500000e-05 3.27596774e+01
4.250000e-05 2.97290387e+01
5.000000e-05 2.74088763e+01
6.250000e-05 2.45153849e+01
7.500000e-05 2.23794910e+01
1.000000e-04 1.93814190e+01
1.250000e-04 1.73353991e+01
1.500000e-04 1.58251881e+01
2.000000e-04 1.37052383e+01
2.750000e-04 1.16882379e+01
3.500000e-04 1.03608406e+01
4.250000e-04 9.40254763e+00
5.000000e-04 8.66903158e+00
6.250000e-04 7.75416561e+00
7.500000e-04 7.07892026e+00
1.000000e-03 6.13113180e+00
1.250000e-03 5.48439438e+00
1.500000e-03 5.00704434e+00
2.000000e-03 4.33709377e+00
2.750000e-03 3.69978895e+00
3.500000e-03 3.28049275e+00
4.250000e-03 2.97789094e+00
5.000000e-03 2.74630170e+00
6.250000e-03 2.45759055e+00
7.500000e-03 2.24458314e+00
1.000000e-02 1.94580500e+00
1.250000e-02 1.74212099e+00
1.500000e-02 1.59192688e+00
2.000000e-02 1.38141695e+00
2.530000e-02 1.23085089e+00
3.147500e-02 1.10627613e+00
3.765000e-02 1.01402626e+00
5.000000e-02 8.84352063e-01
6.250000e-02 7.95036796e-01
7.500000e-02 7.29501579e-01
1.000000e-01 6.38348276e-01
1.250000e-01 5.76974858e-01
1.500000e-01 5.32322294e-01
2.000000e-01 4.71073297e-01
2.750000e-01 4.15373081e-01
3.500000e-01 3.81157525e-01
5.000000e-01 3.43099130e-01
7.500000e-01 3.20535324e-01
1.000000e+00 3.23540237e-01
1.500000e+00 3.85215940e-01
2.000000e+00 5.57290536e-01
2.356800e+00 8.46458105e-01
2.535200e+00 1.11890564e+00
2.713600e+00 1.58239717e+00
2.750000e+00 1.76270399e+00
2.892000e+00 2.46621722e+00
2.981200e+00 3.24373293e+00
3.070400e+00 4.48056065e+00
3.159600e+00 6.61540436e+00
3.248800e+00 1.07355391e+01
3.293400e+00 1.43529979e+01
3.338000e+00 1.99910768e+01
3.382600e+00 2.91537256e+01
3.427200e+00 4.42393545e+01
3.452900e+00 5.64060835e+01
3.478600e+00 7.02370625e+01
3.500000e+00 7.72752969e+01
3.530000e+00 8.71419980e+01
3.581400e+00 6.92171159e+01
3.632800e+00 4.29653838e+01
3.675530e+00 2.84488106e+01
3.718250e+00 1.95259373e+01
3.760980e+00 1.39816840e+01
3.803700e+00 1.04025407e+01
3.889150e+00 6.31119917e+00
3.974600e+00 4.19225461e+00
4.060050e+00 2.97000305e+00
4.145500e+00 2.20654549e+00
4.316400e+00 1.34785037e+00
4.487300e+00 9.04451249e-01
4.658200e+00 6.47472630e-01
4.829100e+00 4.85966310e-01
5.000000e+00 3.78186391e-01
5.312500e+00 2.56601727e-01
5.625000e+00 1.86254264e-01
5.937500e+00 1.42074901e-01
6.250000e+00 1.12585038e-01
6.875000e+00 7.69468112e-02
7.500000e+00 5.70365347e-02
8.125000e+00 4.48872628e-02
8.750000e+00 3.68516810e-02
1.000000e+01 2.70994172e-02
1.125000e+01 2.16601299e-02
1.250000e+01 1.81834326e-02
1.500000e+01 1.39537380e-02
1.750000e+01 1.15860163e-02
2.000000e+01 9.97257949e-03
2.380370e+01 8.40524228e-03
2.750000e+01 7.34718842e-03
2.760730e+01 7.31925965e-03
3.141100e+01 6.75252528e-03
3.236190e+01 6.80339531e-03
3.331280e+01 7.25974734e-03
3.378820e+01 8.02444059e-03
3.402600e+01 8.81323074e-03
3.426370e+01 1.02554964e-02
3.450140e+01 1.32715930e-02
3.462030e+01 1.61708541e-02
3.473920e+01 2.12185551e-02
3.485800e+01 3.11652807e-02
3.491750e+01 4.01977290e-02
3.497690e+01 5.50225418e-02
3.500000e+01 6.54164773e-02
3.503630e+01 8.17504618e-02
3.506600e+01 1.03880871e-01
3.509570e+01 1.36872480e-01
3.512550e+01 1.88750786e-01
3.515520e+01 2.75567496e-01
3.518490e+01 4.31168305e-01
3.521460e+01 7.20784114e-01
3.524230e+01 1.15034538e+00
3.527000e+01 1.43716264e+00
3.529770e+01 1.15123290e+00
3.532540e+01 7.21887163e-01
3.535410e+01 4.39567299e-01
3.538270e+01 2.84604738e-01
3.541140e+01 1.96628673e-01
3.544010e+01 1.43434209e-01
3.546870e+01 1.09285347e-01
3.549740e+01 8.62447832e-02
3.555470e+01 5.82160274e-02
3.561200e+01 4.25535415e-02
3.566940e+01 3.29599130e-02
3.578400e+01 2.23289713e-02
3.589860e+01 1.68886697e-02
3.601330e+01 1.37379253e-02
3.624260e+01 1.04129793e-02
3.647190e+01 8.77889033e-03
3.670120e+01 7.84991132e-03
3.715970e+01 6.87235297e-03
3.807690e+01 6.08385095e-03
3.899410e+01 5.73597792e-03
4.266270e+01 5.12259715e-03
5.000000e+01 4.45737293e-03
6.250000e+01 3.84316280e-03
7.500000e+01 3.41240866e-03
1.000000e+02 2.98581291e-03
1.250000e+02 2.84113796e-03
1.500000e+02 2.76224762e-03
2.000000e+02 2.93788915e-03
2.409580e+02 3.41950975e-03
2.606210e+02 3.69663246e-03
2.614370e+02 3.70876247e-03
2.750000e+02 3.96205897e-03
2.757760e+02 3.98651721e-03
2.819170e+02 4.18689630e-03
2.909320e+02 4.53297204e-03
2.921560e+02 4.58345534e-03
2.985090e+02 4.89285512e-03
3.022980e+02 5.09403551e-03
3.023960e+02 5.09995268e-03
3.060870e+02 5.37381522e-03
3.098760e+02 5.72456201e-03
3.117700e+02 5.96503807e-03
3.126350e+02 6.12428305e-03
3.136640e+02 6.34335016e-03
3.146120e+02 6.62756808e-03
3.155590e+02 7.01934485e-03
3.165060e+02 7.61172062e-03
3.174530e+02 8.62496439e-03
3.179270e+02 9.45115535e-03
3.184000e+02 1.06919532e-02
3.188740e+02 1.27009761e-02
3.193480e+02 1.63074271e-02
3.195840e+02 1.93116744e-02
3.198210e+02 2.38578989e-02
3.200580e+02 3.12242134e-02
3.202950e+02 4.43498478e-02
3.204130e+02 5.51573515e-02
3.205320e+02 7.12929923e-02
3.206500e+02 9.69270560e-02
3.207680e+02 1.41258540e-01
3.208870e+02 2.27947110e-01
3.209460e+02 3.06153452e-01
3.210050e+02 4.33694394e-01
3.210640e+02 6.61576836e-01
3.210940e+02 8.48542450e-01
3.211240e+02 1.12494006e+00
3.211530e+02 1.55435759e+00
3.211830e+02 2.26156321e+00
3.212120e+02 3.49968373e+00
3.212420e+02 5.73617235e+00
3.212570e+02 7.33949566e+00
3.212710e+02 9.17125688e+00
3.213000e+02 1.14599094e+01
3.213290e+02 9.17035193e+00
3.213580e+02 5.73510446e+00
3.213800e+02 3.96069738e+00
3.214020e+02 2.81874029e+00
3.214240e+02 2.07712021e+00
3.214450e+02 1.58136804e+00
3.214890e+02 9.93602875e-01
3.215330e+02 6.77684109e-01
3.215760e+02 4.90297857e-01
3.216200e+02 3.71235891e-01
3.217070e+02 2.34395573e-01
3.217940e+02 1.61949655e-01
3.218820e+02 1.19208324e-01
3.219690e+02 9.19047064e-02
3.220560e+02 7.34219985e-02
3.222300e+02 5.07321025e-02
3.224050e+02 3.78884937e-02
3.225790e+02 2.99182678e-02
3.227540e+02 2.46438290e-02
3.228750e+02 2.24507907e-02
3.231030e+02 1.83283694e-02
3.234520e+02 1.48484117e-02
3.238000e+02 1.27377335e-02
3.241490e+02 1.13694729e-02
3.248470e+02 9.78065064e-03
3.255450e+02 8.95020841e-03
3.262430e+02 8.48194618e-03
3.269410e+02 8.20830495e-03
3.279950e+02 8.02032794e-03
3.283360e+02 7.97866986e-03
3.297320e+02 8.00435889e-03
3.325230e+02 8.29123662e-03
3.331140e+02 8.37862174e-03
3.353150e+02 8.85443031e-03
3.356740e+02 8.93842396e-03
3.381060e+02 9.67838655e-03
3.382340e+02 9.71869823e-03
3.395140e+02 1.02129914e-02
3.401540e+02 1.04886000e-02
3.407940e+02 1.07858694e-02
3.414340e+02 1.11073756e-02
3.420740e+02 1.14557058e-02
3.427140e+02 1.18341640e-02
3.433540e+02 1.22463342e-02
3.436880e+02 1.24813085e-02
3.439940e+02 1.26986693e-02
3.446340e+02 1.31961761e-02
3.452740e+02 1.37423469e-02
3.459140e+02 1.43438458e-02
3.471940e+02 1.57465954e-02
3.484740e+02 1.74876971e-02
3.497540e+02 1.96883907e-02
3.500000e+02 2.02342120e-02
3.510340e+02 2.25510331e-02
3.523140e+02 2.63365556e-02
3.535940e+02 3.14856221e-02
3.548530e+02 3.86351472e-02
3.548740e+02 3.87544530e-02
3.561530e+02 4.95041497e-02
3.574330e+02 6.63825299e-02
3.587130e+02 9.51197501e-02
3.593530e+02 1.17735200e-01
3.599930e+02 1.50050970e-01
3.606330e+02 1.98449940e-01
3.612730e+02 2.75431870e-01
3.619130e+02 4.08083401e-01
3.622330e+02 5.12997646e-01
3.625530e+02 6.62629571e-01
3.628730e+02 8.84437096e-01
3.631930e+02 1.22708142e+00
3.635130e+02 1.77697055e+00
3.638330e+02 2.66812927e+00
3.642170e+02 4.26085878e+00
3.646000e+02 5.31666025e+00
3.649840e+02 4.24814656e+00
3.653680e+02 2.65441447e+00
3.656070e+02 1.95224647e+00
3.658470e+02 1.46202731e+00
3.660190e+02 1.25285315e+00
3.663250e+02 8.80718062e-01
3.668040e+02 5.78367453e-01
3.672820e+02 4.06229679e-01
3.677610e+02 3.00286190e-01
3.682400e+02 2.30942621e-01
3.691970e+02 1.49172718e-01
3.701540e+02 1.04859536e-01
3.711110e+02 7.82815532e-02
3.730250e+02 4.94450439e-02
3.749390e+02 3.50196866e-02
3.768540e+02 2.68207340e-02
3.787680e+02 2.17400968e-02
3.806820e+02 1.83908675e-02
3.845110e+02 1.44250857e-02
3.875000e+02 1.27635402e-02
3.883390e+02 1.23254913e-02
3.921680e+02 1.12191874e-02
3.959960e+02 1.05974963e-02
4.036540e+02 1.01046093e-02
4.106790e+02 1.01072216e-02
4.113110e+02 1.01078366e-02
4.189680e+02 1.03521509e-02
4.250000e+02 1.06448726e-02
4.266250e+02 1.08514416e-02
4.419390e+02 1.29939402e-02
4.553400e+02 1.49838753e-02
4.572530e+02 1.52694957e-02
4.625000e+02 1.60815493e-02
4.718750e+02 1.84690780e-02
4.725670e+02 1.86792169e-02
4.763960e+02 1.98685087e-02
4.765630e+02 1.99225906e-02
4.789060e+02 2.07506337e-02
4.802240e+02 2.12451817e-02
4.812500e+02 2.16659695e-02
4.821390e+02 2.20517735e-02
4.830960e+02 2.25183065e-02
4.835940e+02 2.28046203e-02
4.840530e+02 2.30805020e-02
4.850100e+02 2.38621785e-02
4.854890e+02 2.44411598e-02
4.859380e+02 2.52674955e-02
4.859670e+02 2.53216994e-02
4.864460e+02 2.69382341e-02
4.866850e+02 2.83819976e-02
4.869240e+02 3.08010234e-02
4.871640e+02 3.54302971e-02
4.872830e+02 3.95624526e-02
4.874030e+02 4.62560934e-02
4.875230e+02 5.81646222e-02
4.875820e+02 6.78925412e-02
4.876420e+02 8.22338977e-02
4.877020e+02 1.04439502e-01
4.877620e+02 1.40856226e-01
4.878220e+02 2.04253751e-01
4.878810e+02 3.17970758e-01
4.879410e+02 4.94211642e-01
4.880000e+02 6.11696329e-01
4.880590e+02 4.94000616e-01
4.881190e+02 3.17896221e-01
4.881650e+02 2.24220502e-01
4.882120e+02 1.64850820e-01
4.882580e+02 1.26900700e-01
4.882810e+02 1.14374041e-01
4.883040e+02 1.01848096e-01
4.883970e+02 7.25334958e-02
4.884900e+02 5.69867760e-02
4.885830e+02 4.78639282e-02
4.886760e+02 4.21061764e-02
4.888610e+02 3.55596443e-02
4.890470e+02 3.21533887e-02
4.892330e+02 3.01840930e-02
4.896040e+02 2.81601101e-02
4.899750e+02 2.72474808e-02
4.903470e+02 2.68067951e-02
4.906250e+02 2.66994073e-02
4.910890e+02 2.65361163e-02
4.918320e+02 2.66060848e-02
4.925740e+02 2.68107232e-02
4.929690e+02 2.69640058e-02
4.940590e+02 2.74281620e-02
4.953130e+02 2.80546132e-02
4.970300e+02 2.89845796e-02
4.976560e+02 2.93415950e-02
5.000000e+02 3.07859894e-02
5.026640e+02 3.26145386e-02
5.042200e+02 3.37849037e-02
5.053280e+02 3.46396335e-02
5.084400e+02 3.74049341e-02
5.105500e+02 3.93722227e-02
5.106550e+02 3.94770677e-02
5.116050e+02 4.06109343e-02
5.126600e+02 4.19842107e-02
5.137160e+02 4.36406787e-02
5.142430e+02 4.47253147e-02
5.147710e+02 4.62253527e-02
5.150340e+02 4.72808409e-02
5.152980e+02 4.87229583e-02
5.155620e+02 5.08564685e-02
5.158260e+02 5.43564795e-02
5.159830e+02 5.83119503e-02
5.160890e+02 6.10100042e-02
5.162210e+02 6.69573278e-02
5.163530e+02 7.66199153e-02
5.164850e+02 9.39788068e-02
5.165510e+02 1.08366725e-01
5.166170e+02 1.29845474e-01
5.166830e+02 1.63822304e-01
5.167490e+02 2.21064894e-01
5.168150e+02 3.24842924e-01
5.168810e+02 5.21230953e-01
5.169400e+02 8.06814923e-01
5.170000e+02 9.96863096e-01
5.170600e+02 8.06542468e-01
5.171200e+02 5.21650721e-01
5.171770e+02 3.44272764e-01
5.172340e+02 2.42711528e-01
5.172920e+02 1.83161135e-01
5.173490e+02 1.46328059e-01
5.174070e+02 1.22315266e-01
5.174640e+02 1.05926110e-01
5.175790e+02 8.58115603e-02
5.176930e+02 7.44895360e-02
5.178080e+02 6.75633787e-02
5.180380e+02 5.99658720e-02
5.182670e+02 5.62022024e-02
5.184970e+02 5.41472957e-02
5.187260e+02 5.29614405e-02
5.189560e+02 5.22667346e-02
5.194150e+02 5.16585663e-02
5.198740e+02 5.15830980e-02
5.203330e+02 5.17689481e-02
5.207920e+02 5.20979230e-02
5.213100e+02 5.25951891e-02
5.214720e+02 5.28075632e-02
5.217100e+02 5.31205058e-02
5.226280e+02 5.44763508e-02
5.244640e+02 5.73701254e-02
5.263000e+02 6.03625071e-02
5.266380e+02 6.09206796e-02
5.268400e+02 6.13530328e-02
5.281360e+02 6.41374464e-02
5.318090e+02 7.20771283e-02
5.319650e+02 7.24157053e-02
5.322070e+02 7.31103136e-02
5.348910e+02 8.08718169e-02
5.362330e+02 8.47971224e-02
5.372930e+02 8.79557763e-02
5.375750e+02 8.90897667e-02
5.389170e+02 9.46713261e-02
5.391530e+02 9.57134041e-02
5.395880e+02 9.76357542e-02
5.402590e+02 1.00884465e-01
5.409300e+02 1.04839419e-01
5.412660e+02 1.07468523e-01
5.416010e+02 1.11149292e-01
5.419370e+02 1.17412089e-01
5.421050e+02 1.22862693e-01
5.422720e+02 1.31962837e-01
5.423560e+02 1.39172408e-01
5.424400e+02 1.49658960e-01
5.425240e+02 1.65875572e-01
5.426080e+02 1.93021214e-01
5.426200e+02 2.00302913e-01
5.426920e+02 2.44109418e-01
5.427340e+02 2.88249263e-01
5.427750e+02 3.57188093e-01
5.428170e+02 4.73349538e-01
5.428590e+02 6.87572582e-01
5.428800e+02 8.67575805e-01
5.429010e+02 1.13385963e+00
5.429220e+02 1.54262845e+00
5.429430e+02 2.16541527e+00
5.429720e+02 3.40047322e+00
5.430000e+02 4.21976765e+00
5.430290e+02 3.39599259e+00
5.430570e+02 2.16582002e+00
5.430830e+02 1.43587042e+00
5.431080e+02 1.00281331e+00
5.431340e+02 7.41503205e-01
5.431590e+02 5.76405389e-01
5.432110e+02 3.91479887e-01
5.432620e+02 2.97410971e-01
5.433130e+02 2.43719454e-01
5.433640e+02 2.10416837e-01
5.434670e+02 1.73246938e-01
5.435690e+02 1.54266274e-01
5.436710e+02 1.43438791e-01
5.437740e+02 1.36799462e-01
