38-Sr_n-tot
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
1.000000e-05 6.80679348e+01
1.250000e-05 6.15977510e+01
1.500000e-05 5.68216573e+01
2.000000e-05 5.01175210e+01
2.750000e-05 4.37385935e+01
3.500000e-05 3.95404557e+01
4.250000e-05 3.65098121e+01
5.000000e-05 3.41896472e+01
6.250000e-05 3.12961525e+01
7.500000e-05 2.91602644e+01
1.000000e-04 2.61621946e+01
1.250000e-04 2.41161788e+01
1.500000e-04 2.26059639e+01
2.000000e-04 2.04860164e+01
2.750000e-04 1.84690111e+01
3.500000e-04 1.71416179e+01
4.250000e-04 1.61833241e+01
5.000000e-04 1.54498038e+01
6.250000e-04 1.45349399e+01
7.500000e-04 1.38596915e+01
1.000000e-03 1.29119017e+01
1.250000e-03 1.22651660e+01
1.500000e-03 1.17878045e+01
2.000000e-03 1.11178460e+01
2.750000e-03 1.04805470e+01
3.500000e-03 1.00612377e+01
4.250000e-03 9.75862816e+00
5.000000e-03 9.52703612e+00
6.250000e-03 9.23831913e+00
7.500000e-03 9.02529749e+00
1.000000e-02 8.72651223e+00
1.250000e-02 8.52280500e+00
1.500000e-02 8.37258603e+00
2.000000e-02 8.16204105e+00
2.530000e-02 8.01144158e+00
3.147500e-02 7.88682275e+00
3.765000e-02 7.79451991e+00
5.000000e-02 7.66475315e+00
6.250000e-02 7.57533801e+00
7.500000e-02 7.50971234e+00
1.000000e-01 7.41837408e+00
1.250000e-01 7.35680494e+00
1.500000e-01 7.31196060e+00
2.000000e-01 7.25031972e+00
2.750000e-01 7.19401458e+00
3.500000e-01 7.15918472e+00
5.000000e-01 7.11982227e+00
7.500000e-01 7.09487515e+00
1.000000e+00 7.09517412e+00
1.500000e+00 7.14999769e+00
2.000000e+00 7.31173944e+00
2.356800e+00 7.58911135e+00
2.535200e+00 7.85295031e+00
2.713600e+00 8.30463426e+00
2.750000e+00 8.48142216e+00
2.892000e+00 9.17120781e+00
2.981200e+00 9.93677878e+00
3.070400e+00 1.11582527e+01
3.159600e+00 1.32730107e+01
3.248800e+00 1.73671937e+01
3.293400e+00 2.09701507e+01
3.338000e+00 2.65951977e+01
3.382600e+00 3.57540546e+01
3.427200e+00 5.08668316e+01
3.452900e+00 6.30817838e+01
3.478600e+00 7.70015160e+01
3.500000e+00 8.41589434e+01
3.530000e+00 9.41927378e+01
3.581400e+00 7.64490720e+01
3.632800e+00 5.01768863e+01
3.675530e+00 3.55996817e+01
3.718250e+00 2.66200970e+01
3.760980e+00 2.10301924e+01
3.803700e+00 1.74152678e+01
3.889150e+00 1.32734825e+01
3.974600e+00 1.11214613e+01
4.060050e+00 9.87617799e+00
4.145500e+00 9.09585572e+00
4.316400e+00 8.21421119e+00
4.487300e+00 7.75593366e+00
4.658200e+00 7.48850413e+00
4.829100e+00 7.31922860e+00
5.000000e+00 7.20542106e+00
5.312500e+00 7.07565227e+00
5.625000e+00 6.99938518e+00
5.937500e+00 6.95066869e+00
6.250000e+00 6.91754470e+00
6.875000e+00 6.87633292e+00
7.500000e+00 6.85222283e+00
8.125000e+00 6.83669272e+00
8.750000e+00 6.82580782e+00
1.000000e+01 6.81135790e+00
1.125000e+01 6.80204508e+00
1.250000e+01 6.79520676e+00
1.500000e+01 6.78520582e+00
1.750000e+01 6.77786381e+00
2.000000e+01 6.77181191e+00
2.380370e+01 6.76421049e+00
2.750000e+01 6.75792146e+00
2.760730e+01 6.75774116e+00
3.141100e+01 6.75227140e+00
3.236190e+01 6.75116192e+00
3.331280e+01 6.75048224e+00
3.378820e+01 6.75068737e+00
3.402600e+01 6.75119905e+00
3.426370e+01 6.75236596e+00
3.450140e+01 6.75510858e+00
3.462030e+01 6.75787217e+00
3.473920e+01 6.76278616e+00
3.485800e+01 6.77260228e+00
3.491750e+01 6.78157206e+00
3.497690e+01 6.79633787e+00
3.500000e+01 6.80671172e+00
3.503630e+01 6.82301379e+00
3.506600e+01 6.84512284e+00
3.509570e+01 6.87810010e+00
3.512550e+01 6.92997522e+00
3.515520e+01 7.01681188e+00
3.518490e+01 7.17246833e+00
3.521460e+01 7.46222379e+00
3.524230e+01 7.89201489e+00
3.527000e+01 8.17897098e+00
3.529770e+01 7.89284408e+00
3.532540e+01 7.46321018e+00
3.535410e+01 7.18068096e+00
3.538270e+01 7.02559377e+00
3.541140e+01 6.93753224e+00
3.544010e+01 6.88427262e+00
3.546870e+01 6.85007053e+00
3.549740e+01 6.82698300e+00
3.555470e+01 6.79887219e+00
3.561200e+01 6.78313457e+00
3.566940e+01 6.77347013e+00
3.578400e+01 6.76270230e+00
3.589860e+01 6.75712917e+00
3.601330e+01 6.75384641e+00
3.624260e+01 6.75026082e+00
3.647190e+01 6.74836853e+00
3.670120e+01 6.74718254e+00
3.715970e+01 6.74569539e+00
3.807690e+01 6.74390123e+00
3.899410e+01 6.74256487e+00
4.266270e+01 6.73815328e+00
5.000000e+01 6.73053129e+00
6.250000e+01 6.71935827e+00
7.500000e+01 6.70970915e+00
1.000000e+02 6.69283524e+00
1.250000e+02 6.67729163e+00
1.500000e+02 6.66308642e+00
2.000000e+02 6.63332935e+00
2.409580e+02 6.60490265e+00
2.606210e+02 6.59066994e+00
2.614370e+02 6.59008183e+00
2.750000e+02 6.57983686e+00
2.757760e+02 6.57910126e+00
2.819170e+02 6.57322274e+00
2.909320e+02 6.56424636e+00
2.921560e+02 6.56300197e+00
2.985090e+02 6.55631929e+00
3.022980e+02 6.55224098e+00
3.023960e+02 6.55213241e+00
3.060870e+02 6.54788335e+00
3.098760e+02 6.54329818e+00
3.117700e+02 6.54085347e+00
3.126350e+02 6.53965415e+00
3.136640e+02 6.53818284e+00
3.146120e+02 6.53672628e+00
3.155590e+02 6.53517481e+00
3.165060e+02 6.53350154e+00
3.174530e+02 6.53169248e+00
3.179270e+02 6.53075350e+00
3.184000e+02 6.52984491e+00
3.188740e+02 6.52909773e+00
3.193480e+02 6.52891335e+00
3.195840e+02 6.52937865e+00
3.198210e+02 6.53069066e+00
3.200580e+02 6.53375477e+00
3.202950e+02 6.54080608e+00
3.204130e+02 6.54750673e+00
3.205320e+02 6.55842459e+00
3.206500e+02 6.57720584e+00
3.207680e+02 6.61213610e+00
3.208870e+02 6.68520975e+00
3.209460e+02 6.75413258e+00
3.210050e+02 6.87002191e+00
3.210640e+02 7.08338623e+00
3.210940e+02 7.26214340e+00
3.211240e+02 7.53034656e+00
3.211530e+02 7.95329972e+00
3.211830e+02 8.66068289e+00
3.212120e+02 9.91959705e+00
3.212420e+02 1.22369662e+01
3.212570e+02 1.39266603e+01
3.212710e+02 1.58907064e+01
3.213000e+02 1.85205075e+01
3.213290e+02 1.63589487e+01
3.213580e+02 1.28224009e+01
3.213800e+02 1.09509430e+01
3.214020e+02 9.72936510e+00
3.214240e+02 8.92646422e+00
3.214450e+02 8.38385934e+00
3.214890e+02 7.73128258e+00
3.215330e+02 7.37375582e+00
3.215760e+02 7.15780506e+00
3.216200e+02 7.01816030e+00
3.217070e+02 6.85376279e+00
3.217940e+02 6.76379627e+00
3.218820e+02 6.70899185e+00
3.219690e+02 6.67287633e+00
3.220560e+02 6.64767311e+00
3.222300e+02 6.61539598e+00
3.224050e+02 6.59602794e+00
3.225790e+02 6.58330740e+00
3.227540e+02 6.57440437e+00
3.228750e+02 6.57040046e+00
3.231030e+02 6.56285345e+00
3.234520e+02 6.55572382e+00
3.238000e+02 6.55087861e+00
3.241490e+02 6.54734908e+00
3.248470e+02 6.54247123e+00
3.255450e+02 6.53915929e+00
3.262430e+02 6.53667054e+00
3.269410e+02 6.53466619e+00
3.279950e+02 6.53225590e+00
3.283360e+02 6.53149062e+00
3.297320e+02 6.52896098e+00
3.325230e+02 6.52474544e+00
3.331140e+02 6.52396523e+00
3.353150e+02 6.52127100e+00
3.356740e+02 6.52086392e+00
3.381060e+02 6.51843455e+00
3.382340e+02 6.51831495e+00
3.395140e+02 6.51732411e+00
3.401540e+02 6.51689917e+00
3.407940e+02 6.51653088e+00
3.414340e+02 6.51622815e+00
3.420740e+02 6.51600103e+00
3.427140e+02 6.51586176e+00
3.433540e+02 6.51582430e+00
3.436880e+02 6.51586666e+00
3.439940e+02 6.51592110e+00
3.446340e+02 6.51617328e+00
3.452740e+02 6.51658731e+00
3.459140e+02 6.51719112e+00
3.471940e+02 6.51911100e+00
3.484740e+02 6.52229783e+00
3.497540e+02 6.52729984e+00
3.500000e+02 6.52877198e+00
3.510340e+02 6.53474949e+00
3.523140e+02 6.54615379e+00
3.535940e+02 6.56379453e+00
3.548530e+02 6.59111793e+00
3.548740e+02 6.59157417e+00
3.561530e+02 6.63675230e+00
3.574330e+02 6.71384099e+00
3.587130e+02 6.85523449e+00
3.593530e+02 6.97204724e+00
3.599930e+02 7.14443271e+00
3.606330e+02 7.41075481e+00
3.612730e+02 7.84728892e+00
3.619130e+02 8.62196783e+00
3.622330e+02 9.24745288e+00
3.625530e+02 1.01526131e+01
3.628730e+02 1.15143582e+01
3.631930e+02 1.36503424e+01
3.635130e+02 1.71347227e+01
3.638330e+02 2.28881670e+01
3.642170e+02 3.34724969e+01
3.646000e+02 4.11503718e+01
3.649840e+02 3.49755257e+01
3.653680e+02 2.47803276e+01
3.656070e+02 2.01658478e+01
3.658470e+02 1.68983350e+01
3.660190e+02 1.54806205e+01
3.663250e+02 1.29584096e+01
3.668040e+02 1.08657844e+01
3.672820e+02 9.65128500e+00
3.677610e+02 8.89006538e+00
3.682400e+02 8.38296256e+00
3.691970e+02 7.77026114e+00
3.701540e+02 7.42681892e+00
3.711110e+02 7.21389030e+00
3.730250e+02 6.97191578e+00
3.749390e+02 6.84253710e+00
3.768540e+02 6.76384747e+00
3.787680e+02 6.71155727e+00
3.806820e+02 6.67448115e+00
3.845110e+02 6.62542429e+00
3.875000e+02 6.60101774e+00
3.883390e+02 6.59404873e+00
3.921680e+02 6.57147019e+00
3.959960e+02 6.55421395e+00
4.036540e+02 6.52853536e+00
4.106790e+02 6.51079072e+00
4.113110e+02 6.50918362e+00
4.189680e+02 6.49304757e+00
4.250000e+02 6.48187604e+00
4.266250e+02 6.47890071e+00
4.419390e+02 6.45416220e+00
4.553400e+02 6.43462026e+00
4.572530e+02 6.43174478e+00
4.625000e+02 6.42430254e+00
4.718750e+02 6.41401338e+00
4.725670e+02 6.41342201e+00
4.763960e+02 6.41030026e+00
4.765630e+02 6.41016799e+00
4.789060e+02 6.40869708e+00
4.802240e+02 6.40804182e+00
4.812500e+02 6.40757487e+00
4.821390e+02 6.40730269e+00
4.830960e+02 6.40706443e+00
4.835940e+02 6.40698541e+00
4.840530e+02 6.40699059e+00
4.850100e+02 6.40721193e+00
4.854890e+02 6.40751318e+00
4.859380e+02 6.40808245e+00
4.859670e+02 6.40812485e+00
4.864460e+02 6.40955434e+00
4.866850e+02 6.41091135e+00
4.869240e+02 6.41325363e+00
4.871640e+02 6.41782829e+00
4.872830e+02 6.42195150e+00
4.874030e+02 6.42866162e+00
4.875230e+02 6.44063854e+00
4.875820e+02 6.45043848e+00
4.876420e+02 6.46489667e+00
4.877020e+02 6.48729733e+00
4.877620e+02 6.52404799e+00
4.878220e+02 6.58804433e+00
4.878810e+02 6.70285155e+00
4.879410e+02 6.88078661e+00
4.880000e+02 6.99937103e+00
4.880590e+02 6.88047738e+00
4.881190e+02 6.70261812e+00
4.881650e+02 6.60800733e+00
4.882120e+02 6.54803999e+00
4.882580e+02 6.50970137e+00
4.882810e+02 6.49704346e+00
4.883040e+02 6.48439063e+00
4.883970e+02 6.45477132e+00
4.884900e+02 6.43905344e+00
4.885830e+02 6.42982149e+00
4.886760e+02 6.42398762e+00
4.888610e+02 6.41733608e+00
4.890470e+02 6.41385492e+00
4.892330e+02 6.41182444e+00
4.896040e+02 6.40969643e+00
4.899750e+02 6.40869039e+00
4.903470e+02 6.40816084e+00
4.906250e+02 6.40798921e+00
4.910890e+02 6.40782012e+00
4.918320e+02 6.40788472e+00
4.925740e+02 6.40808595e+00
4.929690e+02 6.40823848e+00
4.940590e+02 6.40897465e+00
4.953130e+02 6.40991872e+00
4.970300e+02 6.41178087e+00
4.976560e+02 6.41248023e+00
5.000000e+02 6.41598671e+00
5.026640e+02 6.42107990e+00
5.042200e+02 6.42495794e+00
5.053280e+02 6.42774552e+00
5.084400e+02 6.43895166e+00
5.105500e+02 6.44664880e+00
5.106550e+02 6.44703900e+00
5.116050e+02 6.45238990e+00
5.126600e+02 6.45844875e+00
5.137160e+02 6.46480050e+00
5.142430e+02 6.46823253e+00
5.147710e+02 6.47209140e+00
5.150340e+02 6.47432675e+00
5.152980e+02 6.47695972e+00
5.155620e+02 6.48029543e+00
5.158260e+02 6.48502028e+00
5.159830e+02 6.48973533e+00
5.160890e+02 6.49320652e+00
5.162210e+02 6.50015971e+00
5.163530e+02 6.51089122e+00
5.164850e+02 6.52944761e+00
5.165510e+02 6.54453105e+00
5.166170e+02 6.56682448e+00
5.166830e+02 6.60182824e+00
5.167490e+02 6.66049256e+00
5.168150e+02 6.76648247e+00
5.168810e+02 6.96666159e+00
5.169400e+02 7.25752031e+00
5.170000e+02 7.45126489e+00
5.170600e+02 7.25816707e+00
5.171200e+02 6.96884837e+00
5.171770e+02 6.78883851e+00
5.172340e+02 6.68593338e+00
5.172920e+02 6.62576178e+00
5.173490e+02 6.58868857e+00
5.174070e+02 6.56466105e+00
5.174640e+02 6.54838176e+00
5.175790e+02 6.52871038e+00
5.176930e+02 6.51797556e+00
5.178080e+02 6.51171955e+00
5.180380e+02 6.50557007e+00
5.182670e+02 6.50331413e+00
5.184970e+02 6.50280374e+00
5.187260e+02 6.50317072e+00
5.189560e+02 6.50404449e+00
5.194150e+02 6.50658012e+00
5.198740e+02 6.50965806e+00
5.203330e+02 6.51300211e+00
5.207920e+02 6.51649192e+00
5.213100e+02 6.52055877e+00
5.214720e+02 6.52246383e+00
5.217100e+02 6.52524879e+00
5.226280e+02 6.53614269e+00
5.244640e+02 6.55811661e+00
5.263000e+02 6.58019179e+00
5.266380e+02 6.58426328e+00
5.268400e+02 6.58786123e+00
5.281360e+02 6.61088031e+00
5.318090e+02 6.67616901e+00
5.319650e+02 6.67894326e+00
5.322070e+02 6.68535741e+00
5.348910e+02 6.75630204e+00
5.362330e+02 6.79168231e+00
5.372930e+02 6.81955001e+00
5.375750e+02 6.83081816e+00
5.389170e+02 6.88428983e+00
5.391530e+02 6.89366746e+00
5.395880e+02 6.91095305e+00
5.402590e+02 6.93757876e+00
5.409300e+02 6.96428427e+00
5.412660e+02 6.97784980e+00
5.416010e+02 6.99184029e+00
5.419370e+02 7.00731961e+00
5.421050e+02 7.01657372e+00
5.422720e+02 7.02843890e+00
5.423560e+02 7.03644416e+00
5.424400e+02 7.04710241e+00
5.425240e+02 7.06257247e+00
5.426080e+02 7.08755552e+00
5.426200e+02 7.09419273e+00
5.426920e+02 7.13562090e+00
5.427340e+02 7.17700104e+00
5.427750e+02 7.24178795e+00
5.428170e+02 7.35211178e+00
5.428590e+02 7.55872482e+00
5.428800e+02 7.73472913e+00
5.429010e+02 7.99811445e+00
5.429220e+02 8.40778577e+00
5.429430e+02 9.04191908e+00
5.429720e+02 1.03345270e+01
5.430000e+02 1.12734531e+01
5.430290e+02 1.05277240e+01
5.430570e+02 9.29204409e+00
5.430830e+02 8.53705453e+00
5.431080e+02 8.08095815e+00
5.431340e+02 7.80186359e+00
5.431590e+02 7.62338720e+00
5.432110e+02 7.42092408e+00
5.432620e+02 7.31658154e+00
5.433130e+02 7.25673659e+00
5.433640e+02 7.21977115e+00
5.434670e+02 7.17963188e+00
5.435690e+02 7.16081549e+00
5.436710e+02 7.15188870e+00
5.437740e+02 7.14825374e+00
