40-Zr_n-g
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
1.000000e-05 9.56439261e+00
1.250000e-05 8.55466397e+00
1.500000e-05 7.80930155e+00
2.000000e-05 6.76304829e+00
2.750000e-05 5.76755535e+00
3.500000e-05 5.11238580e+00
4.250000e-05 4.63941053e+00
5.000000e-05 4.27733307e+00
6.250000e-05 3.82575451e+00
7.500000e-05 3.49242796e+00
1.000000e-04 3.02453143e+00
1.250000e-04 2.70522143e+00
1.500000e-04 2.46952147e+00
2.000000e-04 2.13866698e+00
2.750000e-04 1.82385929e+00
3.500000e-04 1.61667535e+00
4.250000e-04 1.46711089e+00
5.000000e-04 1.35260841e+00
6.250000e-04 1.20981005e+00
7.500000e-04 1.10439962e+00
1.000000e-03 9.56437073e-01
1.250000e-03 8.55464209e-01
1.500000e-03 7.80926684e-01
2.000000e-03 6.76301370e-01
2.750000e-03 5.76750967e-01
3.500000e-03 5.11233852e-01
4.250000e-03 4.63936215e-01
5.000000e-03 4.27726406e-01
6.250000e-03 3.82569635e-01
7.500000e-03 3.49234544e-01
1.000000e-02 3.02444017e-01
1.250000e-02 2.70512814e-01
1.500000e-02 2.46941698e-01
2.000000e-02 2.13853867e-01
2.530000e-02 1.90137201e-01
3.147500e-02 1.70465466e-01
3.765000e-02 1.55857983e-01
5.000000e-02 1.35241768e-01
6.250000e-02 1.20959646e-01
7.500000e-02 1.10416572e-01
1.000000e-01 9.56168003e-02
1.250000e-01 8.55160842e-02
1.500000e-01 7.80596724e-02
2.000000e-01 6.75920334e-02
2.750000e-01 5.76304845e-02
3.500000e-01 5.10731005e-02
5.000000e-01 4.27127073e-02
7.500000e-01 3.48501734e-02
1.000000e+00 3.01598282e-02
1.500000e+00 2.45909027e-02
2.000000e+00 2.12666822e-02
2.750000e+00 1.80987462e-02
3.500000e+00 1.60099406e-02
5.000000e+00 1.33407284e-02
7.500000e+00 1.08212440e-02
1.000000e+01 9.31199961e-03
1.500000e+01 7.51182324e-03
2.000000e+01 6.43266327e-03
2.750000e+01 5.40260318e-03
3.500000e+01 4.72535413e-03
5.000000e+01 3.87219846e-03
7.500000e+01 3.11313235e-03
1.000000e+02 2.73437625e-03
1.250000e+02 2.62862447e-03
1.296370e+02 2.61101414e-03
1.444560e+02 2.72557136e-03
1.500000e+02 2.92189736e-03
1.518650e+02 2.99187395e-03
1.537170e+02 3.18498568e-03
1.555690e+02 3.64020783e-03
1.564960e+02 4.20804301e-03
1.569590e+02 4.74649189e-03
1.574220e+02 5.69000520e-03
1.578850e+02 7.59905562e-03
1.581160e+02 9.39738651e-03
1.583480e+02 1.24792069e-02
1.585800e+02 1.84377119e-02
1.586950e+02 2.37507243e-02
1.588110e+02 3.23009312e-02
1.589270e+02 4.73149801e-02
1.590430e+02 7.69352250e-02
1.591000e+02 1.03550751e-01
1.591580e+02 1.45951470e-01
1.592160e+02 2.16847287e-01
1.592740e+02 3.37401702e-01
1.593370e+02 5.37946864e-01
1.594000e+02 6.71671315e-01
1.594630e+02 5.38164538e-01
1.595260e+02 3.37679971e-01
1.595690e+02 2.41696239e-01
1.596130e+02 1.77262026e-01
1.596560e+02 1.33943852e-01
1.596990e+02 1.04175287e-01
1.597850e+02 6.78201347e-02
1.598720e+02 4.77478957e-02
1.599580e+02 3.56274951e-02
1.600450e+02 2.78147891e-02
1.602180e+02 1.87206513e-02
1.603910e+02 1.38576877e-02
1.605630e+02 1.09666615e-02
1.609090e+02 7.85840244e-03
1.612550e+02 6.32092097e-03
1.616010e+02 5.45775028e-03
1.622920e+02 4.59262240e-03
1.636760e+02 4.03566458e-03
1.650590e+02 3.95104626e-03
1.678250e+02 4.25304964e-03
1.705920e+02 5.06357712e-03
1.733580e+02 6.89318349e-03
1.747410e+02 8.73388352e-03
1.750000e+02 9.36485364e-03
1.761240e+02 1.21050584e-02
1.768160e+02 1.49531388e-02
1.775080e+02 1.93127777e-02
1.781990e+02 2.64793222e-02
1.788910e+02 3.95027084e-02
1.792370e+02 5.04331742e-02
1.795820e+02 6.70563295e-02
1.799280e+02 9.41340583e-02
1.802740e+02 1.42679798e-01
1.804470e+02 1.82870146e-01
1.806200e+02 2.43170099e-01
1.807930e+02 3.39586111e-01
1.809660e+02 5.07834806e-01
1.811380e+02 8.41436006e-01
1.812250e+02 1.14709028e+00
1.813110e+02 1.65293291e+00
1.813980e+02 2.57955921e+00
1.814410e+02 3.35772238e+00
1.814840e+02 4.53614784e+00
1.815270e+02 6.42814286e+00
1.815710e+02 9.69228777e+00
1.816140e+02 1.58016564e+01
1.816570e+02 2.78562001e+01
