40-Zr_n-tot
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
1.000000e-05 1.63749057e+01
1.250000e-05 1.53651787e+01
1.500000e-05 1.46198243e+01
2.000000e-05 1.35735616e+01
2.750000e-05 1.25780658e+01
3.500000e-05 1.19229055e+01
4.250000e-05 1.14499314e+01
5.000000e-05 1.10878540e+01
6.250000e-05 1.06362840e+01
7.500000e-05 1.03029450e+01
1.000000e-04 9.83505249e+00
1.250000e-04 9.51574462e+00
1.500000e-04 9.28004188e+00
2.000000e-04 8.94918702e+00
2.750000e-04 8.63438029e+00
3.500000e-04 8.42719360e+00
4.250000e-04 8.27762741e+00
5.000000e-04 8.16312243e+00
6.250000e-04 8.02032607e+00
7.500000e-04 7.91491067e+00
1.000000e-03 7.76695264e+00
1.250000e-03 7.66598118e+00
1.500000e-03 7.59144075e+00
2.000000e-03 7.48682038e+00
2.750000e-03 7.38727002e+00
3.500000e-03 7.32174850e+00
4.250000e-03 7.27444238e+00
5.000000e-03 7.23823337e+00
6.250000e-03 7.19308271e+00
7.500000e-03 7.15973740e+00
1.000000e-02 7.11294100e+00
1.250000e-02 7.08100554e+00
1.500000e-02 7.05743338e+00
2.000000e-02 7.02434090e+00
2.530000e-02 7.00060956e+00
3.147500e-02 6.98093400e+00
3.765000e-02 6.96630863e+00
5.000000e-02 6.94566767e+00
6.250000e-02 6.93136869e+00
7.500000e-02 6.92080081e+00
1.000000e-01 6.90595421e+00
1.250000e-01 6.89581703e+00
1.500000e-01 6.88831545e+00
2.000000e-01 6.87775877e+00
2.750000e-01 6.86766037e+00
3.500000e-01 6.86097359e+00
5.000000e-01 6.85235316e+00
7.500000e-01 6.84405361e+00
1.000000e+00 6.83891455e+00
1.500000e+00 6.83247562e+00
2.000000e+00 6.82826969e+00
2.750000e+00 6.82379323e+00
3.500000e+00 6.82039502e+00
5.000000e+00 6.81511842e+00
7.500000e+00 6.80827098e+00
1.000000e+01 6.80247134e+00
1.500000e+01 6.79218049e+00
2.000000e+01 6.78271806e+00
2.750000e+01 6.76930366e+00
3.500000e+01 6.75645597e+00
5.000000e+01 6.73179661e+00
7.500000e+01 6.69256482e+00
1.000000e+02 6.65454245e+00
1.250000e+02 6.61679896e+00
1.296370e+02 6.60980230e+00
1.444560e+02 6.58688959e+00
1.500000e+02 6.57823496e+00
1.518650e+02 6.57536390e+00
1.537170e+02 6.57259506e+00
1.555690e+02 6.57007193e+00
1.564960e+02 6.56914421e+00
1.569590e+02 6.56893362e+00
1.574220e+02 6.56912807e+00
1.578850e+02 6.57028856e+00
1.581160e+02 6.57171281e+00
1.583480e+02 6.57442235e+00
1.585800e+02 6.58001095e+00
1.586950e+02 6.58514233e+00
1.588110e+02 6.59351353e+00
1.589270e+02 6.60835306e+00
1.590430e+02 6.63780888e+00
1.591000e+02 6.66435084e+00
1.591580e+02 6.70668557e+00
1.592160e+02 6.77753704e+00
1.592740e+02 6.89805497e+00
1.593370e+02 7.09858015e+00
1.594000e+02 7.23218925e+00
1.594630e+02 7.09844819e+00
1.595260e+02 6.89774617e+00
1.595690e+02 6.80164725e+00
1.596130e+02 6.73712202e+00
1.596560e+02 6.69371895e+00
1.596990e+02 6.66387301e+00
1.597850e+02 6.62736950e+00
1.598720e+02 6.60715356e+00
1.599580e+02 6.59489198e+00
1.600450e+02 6.58693725e+00
1.602180e+02 6.57756171e+00
1.603910e+02 6.57241722e+00
1.605630e+02 6.56924461e+00
1.609090e+02 6.56556984e+00
1.612550e+02 6.56346474e+00
1.616010e+02 6.56203285e+00
1.622920e+02 6.56002678e+00
1.636760e+02 6.55717713e+00
1.650590e+02 6.55478801e+00
1.678250e+02 6.55044175e+00
1.705920e+02 6.54656061e+00
1.733580e+02 6.54367855e+00
1.747410e+02 6.54318225e+00
1.750000e+02 6.54338579e+00
1.761240e+02 6.54427267e+00
1.768160e+02 6.54602923e+00
1.775080e+02 6.54936669e+00
1.781990e+02 6.55564318e+00
1.788910e+02 6.56805875e+00
1.792370e+02 6.57889927e+00
1.795820e+02 6.59571270e+00
1.799280e+02 6.62349318e+00
1.802740e+02 6.67379780e+00
1.804470e+02 6.71565221e+00
1.806200e+02 6.77860246e+00
1.807930e+02 6.87946060e+00
1.809660e+02 7.05569470e+00
1.811380e+02 7.40545783e+00
1.812250e+02 7.72604741e+00
1.813110e+02 8.25673201e+00
1.813980e+02 9.22902408e+00
1.814410e+02 1.00455938e+01
1.814840e+02 1.12822515e+01
1.815270e+02 1.32677768e+01
1.815710e+02 1.66933887e+01
1.816140e+02 2.31051143e+01
1.816570e+02 3.57564278e+01
