41-Nb_n-g
>  41-Nb-93:1.000000
1.000000e-05 5.76221000e+01
1.253500e-05 5.14673000e+01
1.507000e-05 4.69398000e+01
2.000000e-05 4.07464000e+01
2.271000e-05 3.82384000e+01
2.787000e-05 3.45180000e+01
3.421000e-05 3.11562000e+01
4.200000e-05 2.81193000e+01
5.000000e-05 2.57723000e+01
5.155000e-05 2.53819000e+01
5.741500e-05 2.40509000e+01
6.328000e-05 2.29095000e+01
7.768000e-05 2.06779000e+01
9.536000e-05 1.86635000e+01
1.000000e-04 1.82255000e+01
1.171000e-04 1.68427000e+01
1.437000e-04 1.52048000e+01
1.764000e-04 1.37240000e+01
2.000000e-04 1.28892000e+01
2.165000e-04 1.23886000e+01
2.658000e-04 1.11815000e+01
3.262000e-04 1.00940000e+01
4.005000e-04 9.11043000e+00
4.916000e-04 8.22380000e+00
5.000000e-04 8.15448000e+00
5.258500e-04 7.95171000e+00
5.517000e-04 7.76337000e+00
6.034000e-04 7.42367000e+00
7.407000e-04 6.70115000e+00
9.093000e-04 6.04884000e+00
1.000000e-03 5.76838000e+00
1.116000e-03 5.46081000e+00
1.370000e-03 4.92947000e+00
1.682000e-03 4.44968000e+00
2.000000e-03 4.08135000e+00
2.064000e-03 4.01771000e+00
2.299000e-03 3.80730000e+00
2.534000e-03 3.62690000e+00
3.111000e-03 3.27421000e+00
3.819000e-03 2.95608000e+00
4.687000e-03 2.66929000e+00
5.000000e-03 2.58470000e+00
5.754000e-03 2.41008000e+00
7.063000e-03 2.17629000e+00
8.670000e-03 1.96528000e+00
1.000000e-02 1.83064000e+00
1.064000e-02 1.77506000e+00
1.306000e-02 1.60323000e+00
1.604000e-02 1.44772000e+00
1.969000e-02 1.30776000e+00
2.000000e-02 1.29767000e+00
2.104000e-02 1.26547000e+00
2.208000e-02 1.23558000e+00
2.416000e-02 1.18171000e+00
2.530000e-02 1.15504000e+00
2.966000e-02 1.06767000e+00
3.641000e-02 9.64796000e-01
4.470000e-02 8.71922000e-01
5.000000e-02 8.25083000e-01
5.487000e-02 7.88189000e-01
6.735000e-02 7.12647000e-01
8.267000e-02 6.44479000e-01
1.000000e-01 5.87149000e-01
1.015000e-01 5.82892000e-01
1.072750e-01 5.67339000e-01
1.130500e-01 5.52998000e-01
1.246000e-01 5.27381000e-01
1.529000e-01 4.77376000e-01
1.877000e-01 4.32173000e-01
2.000000e-01 4.19092000e-01
2.304000e-01 3.91408000e-01
2.829000e-01 3.54577000e-01
3.472000e-01 3.21425000e-01
4.262000e-01 2.91483000e-01
5.000000e-01 2.70194000e-01
5.232000e-01 2.64460000e-01
5.827000e-01 2.51327000e-01
6.422000e-01 2.40080000e-01
7.883000e-01 2.18083000e-01
9.677000e-01 1.98222000e-01
1.000000e+00 1.95221000e-01
1.094000e+00 1.87267000e-01
1.188000e+00 1.80288000e-01
1.458000e+00 1.64118000e-01
1.790000e+00 1.49488000e-01
2.000000e+00 1.42169000e-01
2.197000e+00 1.36297000e-01
2.697000e+00 1.24354000e-01
3.311000e+00 1.13563000e-01
4.064000e+00 1.03813000e-01
4.989000e+00 9.49856000e-02
5.000000e+00 9.48952000e-02
5.035130e+00 9.46083000e-02
5.070250e+00 9.43246000e-02
5.140500e+00 9.37660000e-02
5.281000e+00 9.26834000e-02
5.562000e+00 9.06463000e-02
6.124000e+00 8.70152000e-02
7.517000e+00 7.98120000e-02
9.228000e+00 7.33075000e-02
1.000000e+01 7.09312000e-02
1.133000e+01 6.74636000e-02
1.390000e+01 6.22767000e-02
1.707000e+01 5.76943000e-02
2.000000e+01 5.46437000e-02
2.095000e+01 5.38649000e-02
2.333500e+01 5.22751000e-02
2.572000e+01 5.13644000e-02
2.864500e+01 5.17428000e-02
3.157000e+01 5.79167000e-02
3.262640e+01 6.61490000e-02
3.315460e+01 7.44356000e-02
3.368280e+01 8.94469000e-02
3.421090e+01 1.20766000e-01
3.447500e+01 1.50976000e-01
3.473910e+01 2.03939000e-01
3.500320e+01 3.09648000e-01
3.513530e+01 4.07078000e-01
3.526730e+01 5.69625000e-01
3.539940e+01 8.70145000e-01
3.546540e+01 1.12547000e+00
3.553140e+01 1.51637000e+00
3.559740e+01 2.15369000e+00
3.566350e+01 3.27768000e+00
3.572950e+01 5.45276000e+00
3.576250e+01 7.29824000e+00
3.579550e+01 9.95416000e+00
3.584780e+01 1.59067000e+01
3.590000e+01 1.98835000e+01
3.595230e+01 1.59238000e+01
3.600460e+01 9.97366000e+00
3.604750e+01 6.69309000e+00
3.609040e+01 4.65405000e+00
3.613330e+01 3.37496000e+00
3.617620e+01 2.54277000e+00
3.626200e+01 1.58235000e+00
3.634780e+01 1.07947000e+00
3.643360e+01 7.86646000e-01
3.651940e+01 6.02230000e-01
3.669100e+01 3.92608000e-01
3.686250e+01 2.82898000e-01
3.703410e+01 2.18579000e-01
3.737730e+01 1.50348000e-01
3.772050e+01 1.17161000e-01
3.806370e+01 9.89775000e-02
3.875000e+01 8.23676000e-02
3.960980e+01 7.96399000e-02
4.003960e+01 8.48570000e-02
4.046950e+01 9.76259000e-02
4.089940e+01 1.27027000e-01
4.111430e+01 1.55991000e-01
4.132930e+01 2.06642000e-01
4.154420e+01 3.06065000e-01
4.165170e+01 3.95625000e-01
4.175910e+01 5.41109000e-01
4.186660e+01 7.99147000e-01
4.197410e+01 1.31693000e+00
4.202780e+01 1.78967000e+00
4.208150e+01 2.55549000e+00
4.213530e+01 3.86576000e+00
4.218900e+01 6.16394000e+00
4.224450e+01 9.83791000e+00
4.230000e+01 1.22918000e+01
4.235560e+01 9.84699000e+00
4.241110e+01 6.17403000e+00
4.245140e+01 4.33711000e+00
4.249170e+01 3.13003000e+00
4.253200e+01 2.33526000e+00
4.257230e+01 1.79838000e+00
4.265290e+01 1.15460000e+00
4.273350e+01 8.04678000e-01
4.281420e+01 5.95905000e-01
