41-Nb_n-tot
>  41-Nb-93:1.000000
1.000000e-05 6.39682000e+01
1.253500e-05 5.78134000e+01
1.507000e-05 5.32859000e+01
2.000000e-05 4.70925000e+01
2.271000e-05 4.45845000e+01
2.787000e-05 4.08641000e+01
3.421000e-05 3.75023000e+01
4.200000e-05 3.44654000e+01
5.000000e-05 3.21184000e+01
5.155000e-05 3.17281000e+01
5.741500e-05 3.03971000e+01
6.328000e-05 2.92557000e+01
7.768000e-05 2.70240000e+01
9.536000e-05 2.50095000e+01
1.000000e-04 2.45716000e+01
1.171000e-04 2.31889000e+01
1.437000e-04 2.15509000e+01
1.764000e-04 2.00700000e+01
2.000000e-04 1.92353000e+01
2.165000e-04 1.87347000e+01
2.658000e-04 1.75276000e+01
3.262000e-04 1.64402000e+01
4.005000e-04 1.54565000e+01
4.916000e-04 1.45699000e+01
5.000000e-04 1.45006000e+01
5.258500e-04 1.42978000e+01
5.517000e-04 1.41095000e+01
6.034000e-04 1.37697000e+01
7.407000e-04 1.30473000e+01
9.093000e-04 1.23950000e+01
1.000000e-03 1.21145000e+01
1.116000e-03 1.18069000e+01
1.370000e-03 1.12756000e+01
1.682000e-03 1.07958000e+01
2.000000e-03 1.04275000e+01
2.064000e-03 1.03638000e+01
2.299000e-03 1.01534000e+01
2.534000e-03 9.97300000e+00
3.111000e-03 9.62032000e+00
3.819000e-03 9.30218000e+00
4.687000e-03 9.01538000e+00
5.000000e-03 8.93078000e+00
5.754000e-03 8.75614000e+00
7.063000e-03 8.52233000e+00
8.670000e-03 8.31128000e+00
1.000000e-02 8.17668000e+00
1.064000e-02 8.12111000e+00
1.306000e-02 7.94923000e+00
1.604000e-02 7.79366000e+00
1.969000e-02 7.65372000e+00
2.000000e-02 7.64363000e+00
2.104000e-02 7.61141000e+00
2.208000e-02 7.58150000e+00
2.416000e-02 7.52758000e+00
2.530000e-02 7.49370000e+00
2.966000e-02 7.37874000e+00
3.641000e-02 7.24534000e+00
4.470000e-02 7.12554000e+00
5.000000e-02 7.06632000e+00
5.487000e-02 7.01804000e+00
6.735000e-02 6.92172000e+00
8.267000e-02 6.83514000e+00
1.000000e-01 6.76296000e+00
1.015000e-01 6.75742000e+00
1.072750e-01 6.73830000e+00
1.130500e-01 6.72038000e+00
1.246000e-01 6.68762000e+00
1.529000e-01 6.62500000e+00
1.877000e-01 6.56860000e+00
2.000000e-01 6.55266000e+00
2.304000e-01 6.51792000e+00
2.829000e-01 6.47226000e+00
3.472000e-01 6.43122000e+00
4.262000e-01 6.39417000e+00
5.000000e-01 6.36799000e+00
5.232000e-01 6.36071000e+00
5.827000e-01 6.34463000e+00
6.422000e-01 6.33042000e+00
7.883000e-01 6.30295000e+00
9.677000e-01 6.27790000e+00
1.000000e+00 6.27417000e+00
1.094000e+00 6.26408000e+00
1.188000e+00 6.25497000e+00
1.458000e+00 6.23387000e+00
1.790000e+00 6.21426000e+00
2.000000e+00 6.20426000e+00
2.197000e+00 6.19589000e+00
2.697000e+00 6.17844000e+00
3.311000e+00 6.16164000e+00
4.064000e+00 6.14521000e+00
4.989000e+00 6.12881000e+00
5.000000e+00 6.12864000e+00
5.035130e+00 6.12808000e+00
5.070250e+00 6.12753000e+00
5.140500e+00 6.12643000e+00
5.281000e+00 6.12427000e+00
5.562000e+00 6.12008000e+00
6.124000e+00 6.11217000e+00
7.517000e+00 6.09495000e+00
9.228000e+00 6.07679000e+00
1.000000e+01 6.06937000e+00
1.133000e+01 6.05735000e+00
1.390000e+01 6.03638000e+00
1.707000e+01 6.01337000e+00
2.000000e+01 5.99415000e+00
2.095000e+01 5.98827000e+00
2.333500e+01 5.97424000e+00
2.572000e+01 5.96127000e+00
2.864500e+01 5.94742000e+00
3.157000e+01 5.93985000e+00
3.262640e+01 5.94326000e+00
3.315460e+01 5.94915000e+00
3.368280e+01 5.96179000e+00
3.421090e+01 5.99076000e+00
3.447500e+01 6.01981000e+00
3.473910e+01 6.07162000e+00
3.500320e+01 6.17621000e+00
3.513530e+01 6.27310000e+00
3.526730e+01 6.43514000e+00
3.539940e+01 6.73522000e+00
3.546540e+01 6.99038000e+00
3.553140e+01 7.38118000e+00
3.559740e+01 8.01852000e+00
3.566350e+01 9.14276000e+00
3.572950e+01 1.13186000e+01
3.576250e+01 1.31648000e+01
3.579550e+01 1.58219000e+01
3.584780e+01 2.17772000e+01
3.590000e+01 2.57556000e+01
3.595230e+01 2.17938000e+01
3.600460e+01 1.58406000e+01
3.604750e+01 1.25582000e+01
3.609040e+01 1.05180000e+01
3.613330e+01 9.23806000e+00
3.617620e+01 8.40528000e+00
3.626200e+01 7.44401000e+00
3.634780e+01 6.94052000e+00
3.643360e+01 6.64717000e+00
3.651940e+01 6.46229000e+00
3.669100e+01 6.25182000e+00
3.686250e+01 6.14131000e+00
3.703410e+01 6.07621000e+00
3.737730e+01 6.00646000e+00
3.772050e+01 5.97178000e+00
3.806370e+01 5.95211000e+00
3.875000e+01 5.93256000e+00
3.960980e+01 5.92620000e+00
4.003960e+01 5.92961000e+00
4.046950e+01 5.94059000e+00
4.089940e+01 5.96821000e+00
4.111430e+01 5.99629000e+00
4.132930e+01 6.04608000e+00
4.154420e+01 6.14465000e+00
4.165170e+01 6.23381000e+00
4.175910e+01 6.37891000e+00
4.186660e+01 6.63662000e+00
4.197410e+01 7.15418000e+00
4.202780e+01 7.62690000e+00
4.208150e+01 8.39283000e+00
4.213530e+01 9.70345000e+00
4.218900e+01 1.20024000e+01
4.224450e+01 1.56777000e+01
4.230000e+01 1.81325000e+01
4.235560e+01 1.56864000e+01
4.241110e+01 1.20116000e+01
4.245140e+01 1.01737000e+01
4.249170e+01 8.96596000e+00
4.253200e+01 8.17068000e+00
4.257230e+01 7.63341000e+00
4.265290e+01 6.98901000e+00
4.273350e+01 6.63861000e+00
4.281420e+01 6.42942000e+00
4.289480e+01 6.29526000e+00
4.305600e+01 6.13990000e+00
4.321720e+01 6.05687000e+00
4.337840e+01 6.00729000e+00
4.370080e+01 5.95318000e+00
4.402330e+01 5.92544000e+00
4.434570e+01 5.90898000e+00
