42-Mo_n-g
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.000000e-05 1.27099678e+02
1.250000e-05 1.13681374e+02
1.500000e-05 1.03776426e+02
2.000000e-05 8.98729564e+01
2.581140e-05 7.91929903e+01
2.750000e-05 7.68522557e+01
3.162280e-05 7.15348575e+01
3.500000e-05 6.82653435e+01
4.081140e-05 6.29392902e+01
4.250000e-05 6.17752317e+01
5.000000e-05 5.68406870e+01
6.250000e-05 5.08398402e+01
7.500000e-05 4.64102437e+01
1.000000e-04 4.01923758e+01
1.250000e-04 3.59490914e+01
1.500000e-04 3.28169460e+01
2.000000e-04 2.84201786e+01
2.581140e-04 2.50429311e+01
2.750000e-04 2.43026981e+01
3.162280e-04 2.26211263e+01
3.500000e-04 2.15872307e+01
4.081140e-04 1.99030082e+01
4.250000e-04 1.95348870e+01
5.000000e-04 1.79743899e+01
6.250000e-04 1.60767347e+01
7.500000e-04 1.46759465e+01
1.000000e-03 1.27096634e+01
1.250000e-03 1.13678038e+01
1.500000e-03 1.03772763e+01
2.000000e-03 8.98687969e+00
2.581140e-03 7.91881412e+00
2.750000e-03 7.68472522e+00
3.162280e-03 7.15295053e+00
3.500000e-03 6.82597491e+00
4.081140e-03 6.29332740e+00
4.250000e-03 6.17690638e+00
5.000000e-03 5.68338509e+00
6.250000e-03 5.08323271e+00
7.500000e-03 4.64018995e+00
1.000000e-02 4.01828581e+00
1.250000e-02 3.59385561e+00
1.500000e-02 3.28052526e+00
2.000000e-02 2.84068113e+00
2.530000e-02 2.52535817e+00
3.147500e-02 2.26456935e+00
3.162280e-02 2.25858494e+00
3.765000e-02 2.07900177e+00
4.081140e-02 1.98948472e+00
5.000000e-02 1.79532482e+00
6.250000e-02 1.60531185e+00
7.500000e-02 1.46500887e+00
1.000000e-01 1.26798951e+00
1.250000e-01 1.13345862e+00
1.500000e-01 1.03409558e+00
2.000000e-01 8.94513405e-01
2.581140e-01 7.87165140e-01
2.750000e-01 7.63616799e-01
3.162280e-01 7.10101724e-01
3.500000e-01 6.77160332e-01
4.081140e-01 6.24393237e-01
5.000000e-01 5.61914560e-01
7.500000e-01 4.56327351e-01
1.000000e+00 3.93149765e-01
1.500000e+00 3.17914735e-01
2.000000e+00 2.72921329e-01
2.581140e+00 2.38352413e-01
2.750000e+00 2.30800590e-01
3.162280e+00 2.13652439e-01
3.500000e+00 2.03199859e-01
4.081140e+00 1.86537955e-01
5.000000e+00 1.67200242e-01
6.250000e+00 1.52143433e-01
7.500000e+00 1.37889860e-01
8.125000e+00 1.35121048e-01
8.750000e+00 1.33222057e-01
9.375000e+00 1.33084121e-01
9.687500e+00 1.34302604e-01
9.999990e+00 1.37122249e-01
1.000000e+01 1.37122234e-01
1.000010e+01 1.37124107e-01
1.000030e+01 1.37128091e-01
1.000050e+01 1.37131679e-01
1.000110e+01 1.37143394e-01
1.000210e+01 1.37162127e-01
1.000420e+01 1.37202020e-01
1.000830e+01 1.37279694e-01
1.001650e+01 1.37434886e-01
1.003310e+01 1.37750125e-01
1.006610e+01 1.38376855e-01
1.013220e+01 1.39636070e-01
1.025500e+01 1.41987641e-01
1.026440e+01 1.42283691e-01
1.051000e+01 1.50066307e-01
1.052880e+01 1.51088533e-01
1.076500e+01 1.64018488e-01
1.102000e+01 1.89853319e-01
1.105770e+01 1.96272382e-01
1.114750e+01 2.11622140e-01
1.127500e+01 2.44497414e-01
1.140250e+01 2.97205417e-01
1.153000e+01 3.89139369e-01
1.165750e+01 5.70508767e-01
1.172130e+01 7.35296234e-01
1.178500e+01 1.00575124e+00
1.184880e+01 1.49306475e+00
1.188060e+01 1.89617752e+00
1.191250e+01 2.49648803e+00
1.194440e+01 3.43884390e+00
1.197630e+01 5.01180565e+00
1.200810e+01 7.81999925e+00
1.204000e+01 1.30193882e+01
1.207000e+01 2.07902692e+01
1.210000e+01 2.59922004e+01
1.211530e+01 2.33652703e+01
1.211540e+01 2.33481009e+01
1.211550e+01 2.33309315e+01
1.211560e+01 2.33137619e+01
1.211590e+01 2.32622535e+01
1.211660e+01 2.31420676e+01
1.211780e+01 2.29360342e+01
1.212030e+01 2.25067983e+01
1.212530e+01 2.16483265e+01
1.213000e+01 2.08413631e+01
1.213530e+01 1.94707487e+01
1.215540e+01 1.42727585e+01
1.216000e+01 1.30831688e+01
1.219060e+01 8.02658049e+00
1.219540e+01 7.58880670e+00
1.222130e+01 5.22665350e+00
1.225190e+01 3.62586133e+00
1.227550e+01 2.87601231e+00
1.228250e+01 2.65360006e+00
1.231310e+01 2.02718371e+00
1.234380e+01 1.60332119e+00
1.240500e+01 1.08609576e+00
1.243570e+01 9.40911184e-01
