42-Mo_n-tot
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
1.000000e-05 1.32794120e+02
1.250000e-05 1.19375903e+02
1.500000e-05 1.09470852e+02
2.000000e-05 9.55675296e+01
2.581140e-05 8.48875500e+01
2.750000e-05 8.25468114e+01
3.162280e-05 7.72294117e+01
3.500000e-05 7.39598965e+01
4.081140e-05 6.86338482e+01
4.250000e-05 6.74697620e+01
5.000000e-05 6.25350823e+01
6.250000e-05 5.65342571e+01
7.500000e-05 5.21046352e+01
1.000000e-04 4.58867927e+01
1.250000e-04 4.16436412e+01
1.500000e-04 3.85113477e+01
2.000000e-04 3.41147539e+01
2.581140e-04 3.07373399e+01
2.750000e-04 2.99971505e+01
3.162280e-04 2.83156937e+01
3.500000e-04 2.72817421e+01
4.081140e-04 2.55974184e+01
4.250000e-04 2.52293085e+01
5.000000e-04 2.36688653e+01
6.250000e-04 2.17712389e+01
7.500000e-04 2.03704261e+01
1.000000e-03 1.84041545e+01
1.250000e-03 1.70622867e+01
1.500000e-03 1.60717459e+01
2.000000e-03 1.46813478e+01
2.581140e-03 1.36132807e+01
2.750000e-03 1.33791868e+01
3.162280e-03 1.28474001e+01
3.500000e-03 1.25204180e+01
4.081140e-03 1.19877578e+01
4.250000e-03 1.18713360e+01
5.000000e-03 1.13778134e+01
6.250000e-03 1.07776221e+01
7.500000e-03 1.03345624e+01
1.000000e-02 9.71261546e+00
1.250000e-02 9.28812406e+00
1.500000e-02 8.97476823e+00
2.000000e-02 8.53482760e+00
2.530000e-02 8.21940662e+00
3.147500e-02 7.95851782e+00
3.162280e-02 7.95253098e+00
3.765000e-02 7.77284082e+00
4.081140e-02 7.68326813e+00
5.000000e-02 7.48893065e+00
6.250000e-02 7.29869880e+00
7.500000e-02 7.15818221e+00
1.000000e-01 6.96071315e+00
1.250000e-01 6.82574421e+00
1.500000e-01 6.72593825e+00
2.000000e-01 6.58546547e+00
2.581140e-01 6.47708434e+00
2.750000e-01 6.45323956e+00
3.162280e-01 6.39900130e+00
3.500000e-01 6.36546565e+00
4.081140e-01 6.31167593e+00
5.000000e-01 6.24758034e+00
7.500000e-01 6.13761973e+00
1.000000e+00 6.07009583e+00
1.500000e+00 5.98624440e+00
2.000000e+00 5.93273256e+00
2.581140e+00 5.88837380e+00
2.750000e+00 5.87800637e+00
3.162280e+00 5.85399330e+00
3.500000e+00 5.83797905e+00
4.081140e+00 5.81176665e+00
5.000000e+00 5.77750003e+00
6.250000e+00 5.74248064e+00
7.500000e+00 5.70826370e+00
8.125000e+00 5.69561095e+00
8.750000e+00 5.68382648e+00
9.375000e+00 5.67380298e+00
9.687500e+00 5.67007901e+00
9.999990e+00 5.66795754e+00
1.000000e+01 5.66795765e+00
1.000010e+01 5.66795800e+00
1.000030e+01 5.66795870e+00
1.000050e+01 5.66795939e+00
1.000110e+01 5.66796148e+00
1.000210e+01 5.66796496e+00
1.000420e+01 5.66797227e+00
1.000830e+01 5.66798495e+00
1.001650e+01 5.66800873e+00
1.003310e+01 5.66806332e+00
1.006610e+01 5.66816705e+00
1.013220e+01 5.66838120e+00
1.025500e+01 5.66879082e+00
1.026440e+01 5.66893815e+00
1.051000e+01 5.67283186e+00
1.052880e+01 5.67355661e+00
1.076500e+01 5.68273944e+00
1.102000e+01 5.70453352e+00
1.105770e+01 5.71035548e+00
1.114750e+01 5.72427401e+00
1.127500e+01 5.75511865e+00
1.140250e+01 5.80580213e+00
1.153000e+01 5.89572179e+00
1.165750e+01 6.07509422e+00
1.172130e+01 6.23890315e+00
1.178500e+01 6.50840313e+00
1.184880e+01 6.99481372e+00
1.188060e+01 7.39750952e+00
1.191250e+01 7.99746978e+00
1.194440e+01 8.93952418e+00
1.197630e+01 1.05123528e+01
1.200810e+01 1.33207074e+01
1.204000e+01 1.85208656e+01
1.207000e+01 2.62931310e+01
1.210000e+01 3.14958368e+01
1.211530e+01 2.88680454e+01
1.211540e+01 2.88508702e+01
1.211550e+01 2.88336950e+01
1.211560e+01 2.88165198e+01
1.211590e+01 2.87649942e+01
1.211660e+01 2.86447694e+01
1.211780e+01 2.84386670e+01
1.212030e+01 2.80092901e+01
1.212530e+01 2.71505365e+01
1.213000e+01 2.63433080e+01
1.213530e+01 2.49722784e+01
1.215540e+01 1.97727150e+01
1.216000e+01 1.85827650e+01
1.219060e+01 1.35244761e+01
1.219540e+01 1.30865163e+01
1.222130e+01 1.07233585e+01
1.225190e+01 9.12169424e+00
1.227550e+01 8.37128547e+00
1.228250e+01 8.14870715e+00
1.231310e+01 7.52164529e+00
1.234380e+01 7.09718935e+00
1.240500e+01 6.57884853e+00
1.243570e+01 6.43313509e+00
