45-Rh_n-g
> 45-Rh-103:1.000000
1.000000e-05 6.87390000e+03
1.250000e-05 6.14822000e+03
1.500000e-05 5.61256000e+03
2.000000e-05 4.86065000e+03
2.750000e-05 4.14522000e+03
3.500000e-05 3.67439000e+03
4.250000e-05 3.33449000e+03
5.000000e-05 3.07428000e+03
6.250000e-05 2.74978000e+03
7.500000e-05 2.51024000e+03
1.000000e-04 2.17401000e+03
1.250000e-04 1.94457000e+03
1.500000e-04 1.77520000e+03
2.000000e-04 1.53749000e+03
2.750000e-04 1.31132000e+03
3.500000e-04 1.16249000e+03
4.250000e-04 1.05506000e+03
5.000000e-04 9.72829000e+02
6.250000e-04 8.70288000e+02
7.500000e-04 7.94609000e+02
1.000000e-03 6.88409000e+02
1.250000e-03 6.15963000e+02
1.500000e-03 5.62505000e+02
2.000000e-03 4.87509000e+02
2.750000e-03 4.16217000e+02
3.500000e-03 3.69353000e+02
4.250000e-03 3.35560000e+02
5.000000e-03 3.09720000e+02
6.250000e-03 2.77544000e+02
7.500000e-03 2.53839000e+02
1.000000e-02 2.20662000e+02
1.250000e-02 1.98113000e+02
1.500000e-02 1.81538000e+02
2.000000e-02 1.58417000e+02
2.530000e-02 1.41995000e+02
3.147500e-02 1.28519000e+02
3.765000e-02 1.18634000e+02
5.000000e-02 1.04944000e+02
6.250000e-02 9.57304000e+01
7.500000e-02 8.91470000e+01
1.000000e-01 8.03962000e+01
1.250000e-01 7.49544000e+01
1.500000e-01 7.13936000e+01
2.000000e-01 6.75273000e+01
2.750000e-01 6.63043000e+01
3.500000e-01 6.84736000e+01
5.000000e-01 8.12344000e+01
6.250000e-01 1.03064000e+02
7.500000e-01 1.44072000e+02
8.750000e-01 2.29417000e+02
9.375000e-01 3.10377000e+02
1.000000e+00 4.48820000e+02
1.045680e+00 6.21805000e+02
1.091350e+00 9.17761000e+02
1.114190e+00 1.14776000e+03
1.137030e+00 1.46677000e+03
1.159860e+00 1.91484000e+03
1.182700e+00 2.53954000e+03
1.202000e+00 3.22368000e+03
1.221300e+00 3.99668000e+03
1.259900e+00 4.91709000e+03
1.279200e+00 4.59293000e+03
1.298500e+00 3.87545000e+03
1.337100e+00 2.38795000e+03
1.378530e+00 1.39992000e+03
1.419960e+00 8.75401000e+02
1.461390e+00 5.85562000e+02
1.502830e+00 4.14017000e+02
1.544260e+00 3.05840000e+02
1.585690e+00 2.33918000e+02
1.668550e+00 1.48037000e+02
1.751410e+00 1.01150000e+02
1.834280e+00 7.30114000e+01
1.917140e+00 5.49130000e+01
2.000000e+00 4.26422000e+01
2.187500e+00 2.62535000e+01
2.375000e+00 1.76265000e+01
2.562500e+00 1.25770000e+01
2.750000e+00 9.38899000e+00
3.125000e+00 5.77038000e+00
3.500000e+00 3.89010000e+00
3.875000e+00 2.79824000e+00
4.250000e+00 2.11180000e+00
5.000000e+00 1.33316000e+00
5.625000e+00 9.78962000e-01
6.250000e+00 7.54148000e-01
7.500000e+00 4.94667000e-01
8.750000e+00 3.55104000e-01
1.000000e+01 2.70612000e-01
1.250000e+01 1.76363000e-01
1.500000e+01 1.26803000e-01
1.750000e+01 9.71652000e-02
2.000000e+01 7.79602000e-02
2.360000e+01 6.04413000e-02
2.720000e+01 5.00271000e-02
