45-Rh_n-tot
> 45-Rh-103:1.000000
1.000000e-05 6.87824000e+03
1.250000e-05 6.15256000e+03
1.500000e-05 5.61690000e+03
2.000000e-05 4.86499000e+03
2.750000e-05 4.14956000e+03
3.500000e-05 3.67873000e+03
4.250000e-05 3.33883000e+03
5.000000e-05 3.07862000e+03
6.250000e-05 2.75412000e+03
7.500000e-05 2.51458000e+03
1.000000e-04 2.17835000e+03
1.250000e-04 1.94891000e+03
1.500000e-04 1.77954000e+03
2.000000e-04 1.54183000e+03
2.750000e-04 1.31566000e+03
3.500000e-04 1.16683000e+03
4.250000e-04 1.05940000e+03
5.000000e-04 9.77169000e+02
6.250000e-04 8.74627000e+02
7.500000e-04 7.98949000e+02
1.000000e-03 6.92749000e+02
1.250000e-03 6.20302000e+02
1.500000e-03 5.66844000e+02
2.000000e-03 4.91848000e+02
2.750000e-03 4.20555000e+02
3.500000e-03 3.73690000e+02
4.250000e-03 3.39897000e+02
5.000000e-03 3.14057000e+02
6.250000e-03 2.81879000e+02
7.500000e-03 2.58174000e+02
1.000000e-02 2.24995000e+02
1.250000e-02 2.02445000e+02
1.500000e-02 1.85868000e+02
2.000000e-02 1.62743000e+02
2.530000e-02 1.46317000e+02
3.147500e-02 1.32837000e+02
3.765000e-02 1.22947000e+02
5.000000e-02 1.09248000e+02
6.250000e-02 1.00025000e+02
7.500000e-02 9.34320000e+01
1.000000e-01 8.46615000e+01
1.250000e-01 7.91992000e+01
1.500000e-01 7.56172000e+01
2.000000e-01 7.17057000e+01
2.750000e-01 7.04076000e+01
3.500000e-01 7.24915000e+01
5.000000e-01 8.50396000e+01
6.250000e-01 1.06631000e+02
7.500000e-01 1.47315000e+02
8.750000e-01 2.32208000e+02
9.375000e-01 3.12880000e+02
1.000000e+00 4.51009000e+02
1.045680e+00 6.23796000e+02
1.091350e+00 9.19719000e+02
1.114190e+00 1.14988000e+03
1.137030e+00 1.46929000e+03
1.159860e+00 1.91823000e+03
1.182700e+00 2.54463000e+03
1.202000e+00 3.23123000e+03
1.221300e+00 4.00794000e+03
1.259900e+00 4.93765000e+03
1.279200e+00 4.61626000e+03
1.298500e+00 3.89918000e+03
1.337100e+00 2.40863000e+03
1.378530e+00 1.41681000e+03
1.419960e+00 8.89596000e+02
1.461390e+00 5.97930000e+02
1.502830e+00 4.25117000e+02
1.544260e+00 3.16025000e+02
1.585690e+00 2.43419000e+02
1.668550e+00 1.56593000e+02
1.751410e+00 1.09089000e+02
1.834280e+00 8.05191000e+01
1.917140e+00 6.21025000e+01
2.000000e+00 4.95876000e+01
2.187500e+00 3.28133000e+01
2.375000e+00 2.39341000e+01
2.562500e+00 1.87062000e+01
2.750000e+00 1.53852000e+01
3.125000e+00 1.15804000e+01
3.500000e+00 9.57489000e+00
3.875000e+00 8.39221000e+00
4.250000e+00 7.63622000e+00
5.000000e+00 6.75664000e+00
5.625000e+00 6.34168000e+00
6.250000e+00 6.06896000e+00
7.500000e+00 5.73722000e+00
8.750000e+00 5.54429000e+00
1.000000e+01 5.41776000e+00
1.250000e+01 5.25961000e+00
1.500000e+01 5.16215000e+00
1.750000e+01 5.09419000e+00
2.000000e+01 5.04295000e+00
2.360000e+01 4.98666000e+00
2.720000e+01 4.94315000e+00
3.080000e+01 4.90893000e+00
3.260000e+01 4.90000000e+00
3.305000e+01 4.90316000e+00
3.350000e+01 4.91816000e+00
3.372500e+01 4.94051000e+00
3.383750e+01 4.96221000e+00
3.395000e+01 4.99960000e+00
3.406250e+01 5.07116000e+00
3.411880e+01 5.13380000e+00
3.417500e+01 5.23239000e+00
3.423130e+01 5.39924000e+00
3.428750e+01 5.71007000e+00
3.431560e+01 5.97242000e+00
3.434380e+01 6.36475000e+00
3.437190e+01 6.96895000e+00
3.440000e+01 7.90174000e+00
3.443750e+01 9.71946000e+00
3.447500e+01 1.09333000e+01
3.451250e+01 9.72413000e+00
3.455000e+01 7.90713000e+00
3.458890e+01 6.71017000e+00
3.462780e+01 6.05346000e+00
3.466660e+01 5.68066000e+00
3.470550e+01 5.45531000e+00
3.478330e+01 5.21285000e+00
3.486100e+01 5.09374000e+00
3.493880e+01 5.02695000e+00
3.501650e+01 4.98581000e+00
3.517200e+01 4.93972000e+00
3.532750e+01 4.91558000e+00
3.548300e+01 4.90113000e+00
3.579400e+01 4.88483000e+00
3.641600e+01 4.86961000e+00
3.703800e+01 4.86124000e+00
3.952600e+01 4.84161000e+00
