46-Pd_n-g
> 46-Pd-102:0.011554
> 46-Pd-104:0.126189
> 46-Pd-105:0.252945
> 46-Pd-106:0.309583
> 46-Pd-108:0.299728
1.000000e-05 4.03683030e+02
1.250000e-05 3.61065148e+02
1.500000e-05 3.29606008e+02
2.000000e-05 2.85447128e+02
2.750000e-05 2.43429971e+02
3.500000e-05 2.15777842e+02
4.250000e-05 1.95814837e+02
5.000000e-05 1.80532485e+02
6.250000e-05 1.61473146e+02
7.500000e-05 1.47403947e+02
1.000000e-04 1.27655682e+02
1.250000e-04 1.14178496e+02
1.500000e-04 1.04230160e+02
2.000000e-04 9.02659149e+01
2.750000e-04 7.69786730e+01
3.500000e-04 6.82341595e+01
4.250000e-04 6.19214660e+01
5.000000e-04 5.70885875e+01
6.250000e-04 5.10614579e+01
7.500000e-04 4.66123361e+01
1.000000e-03 4.03670459e+01
1.250000e-03 3.61052177e+01
1.500000e-03 3.29591326e+01
2.000000e-03 2.85430381e+01
2.750000e-03 2.43410180e+01
3.500000e-03 2.15755475e+01
4.250000e-03 1.95790448e+01
5.000000e-03 1.80505687e+01
6.250000e-03 1.61443637e+01
7.500000e-03 1.47371663e+01
1.000000e-02 1.27617980e+01
1.250000e-02 1.14136351e+01
1.500000e-02 1.04184382e+01
2.000000e-02 9.02128172e+00
2.530000e-02 8.01966022e+00
3.147500e-02 7.18874913e+00
3.765000e-02 6.57167030e+00
5.000000e-02 5.70054603e+00
6.250000e-02 5.09687158e+00
7.500000e-02 4.65111960e+00
1.000000e-01 4.02511257e+00
1.250000e-01 3.59762608e+00
1.500000e-01 3.28187744e+00
2.000000e-01 2.83830839e+00
2.750000e-01 2.41571847e+00
3.500000e-01 2.13724186e+00
5.000000e-01 1.78182719e+00
7.500000e-01 1.44751259e+00
1.000000e+00 1.24878597e+00
1.500000e+00 1.01739277e+00
2.000000e+00 8.94685353e-01
2.228530e+00 8.75407191e-01
2.457050e+00 8.96473709e-01
2.571310e+00 9.55296169e-01
2.685580e+00 1.12962958e+00
2.742710e+00 1.34435073e+00
2.750000e+00 1.40469044e+00
2.799840e+00 1.81951649e+00
2.828400e+00 2.29112471e+00
2.856970e+00 3.12341596e+00
2.885540e+00 4.72963524e+00
2.899820e+00 6.08699357e+00
2.914100e+00 8.03340760e+00
2.937050e+00 1.24669212e+01
2.960000e+00 1.54602710e+01
2.982950e+00 1.25532626e+01
3.005900e+00 8.13751275e+00
3.021480e+00 6.03800091e+00
3.037060e+00 4.61584469e+00
3.068220e+00 2.98995410e+00
3.099370e+00 2.17397471e+00
3.130530e+00 1.71867237e+00
3.192850e+00 1.26048632e+00
3.255160e+00 1.04615690e+00
3.379790e+00 8.54120618e-01
3.500000e+00 7.71394772e-01
3.504430e+00 7.68500996e-01
3.753690e+00 6.94167324e-01
4.002950e+00 6.56209559e-01
5.000000e+00 5.74953822e-01
7.500000e+00 5.37444502e-01
8.750000e+00 5.85936695e-01
9.375000e+00 6.41721261e-01
1.000000e+01 7.46089006e-01
1.042850e+01 8.84476197e-01
1.085700e+01 1.15880118e+00
1.107130e+01 1.43517908e+00
1.128550e+01 2.00873074e+00
1.139260e+01 2.61030569e+00
1.149980e+01 3.84902818e+00
1.155330e+01 5.06096267e+00
1.160690e+01 7.22885428e+00
1.166040e+01 1.15909174e+01
1.168720e+01 1.54657085e+01
1.171400e+01 2.12748219e+01
1.175200e+01 3.31602163e+01
1.179000e+01 4.10872970e+01
1.182800e+01 3.31906335e+01
1.186600e+01 2.14134369e+01
1.190590e+01 1.36672773e+01
1.194570e+01 9.50775245e+00
1.198550e+01 7.21450766e+00
1.202540e+01 5.88721132e+00
1.210510e+01 4.60876546e+00
1.218480e+01 4.17945654e+00
1.234410e+01 4.42036467e+00
1.250350e+01 5.69832413e+00
1.266290e+01 8.55332088e+00
1.274260e+01 1.11673724e+01
1.282230e+01 1.53971113e+01
1.290190e+01 2.28096325e+01
1.298160e+01 3.73572833e+01
1.302150e+01 5.03230587e+01
1.306130e+01 7.08088928e+01
1.310120e+01 1.04702846e+02
1.314100e+01 1.61760758e+02
1.316330e+01 2.06972494e+02
1.318550e+01 2.58712491e+02
1.323000e+01 3.23244494e+02
1.327450e+01 2.57810736e+02
1.331900e+01 1.60638430e+02
1.337120e+01 9.12163421e+01
1.342340e+01 5.60921021e+01
1.347560e+01 3.73265853e+01
1.352780e+01 2.64494168e+01
1.358000e+01 1.96725908e+01
1.363220e+01 1.51985270e+01
1.373660e+01 9.87581205e+00
1.384100e+01 6.96745878e+00
1.394540e+01 5.21309199e+00
1.415410e+01 3.29907514e+00
1.436290e+01 2.33586291e+00
1.457170e+01 1.78550021e+00
1.478050e+01 1.44263349e+00
1.498930e+01 1.21526659e+00
1.500000e+01 1.20829797e+00
1.540680e+01 9.49550954e-01
1.582440e+01 8.07367508e-01
1.665950e+01 6.76348221e-01
1.749460e+01 6.30179140e-01
1.750000e+01 6.30113176e-01
1.832980e+01 6.36144172e-01
2.000000e+01 7.03037013e-01
2.127020e+01 8.36536298e-01
2.162430e+01 8.89565221e-01
2.190530e+01 9.39425537e-01
2.243640e+01 1.06979507e+00
2.254040e+01 1.09810496e+00
2.317550e+01 1.37554072e+00
2.324850e+01 1.42918816e+00
2.349310e+01 1.61527017e+00
2.365460e+01 1.81541062e+00
2.381060e+01 2.01117352e+00
2.385760e+01 2.10334073e+00
2.396940e+01 2.32388179e+00
2.406060e+01 2.58491591e+00
2.412820e+01 2.77902456e+00
2.416220e+01 2.93092661e+00
2.426370e+01 3.38509274e+00
2.428690e+01 3.48906313e+00
2.436520e+01 4.08701829e+00
2.444570e+01 4.70235901e+00
2.446670e+01 5.01489353e+00
2.456820e+01 6.52625037e+00
2.460450e+01 7.06705460e+00
2.466970e+01 8.82605608e+00
2.468390e+01 9.20927058e+00
2.476330e+01 1.27324058e+01
2.477120e+01 1.33694663e+01
2.484260e+01 1.91278123e+01
2.487280e+01 2.31908677e+01
2.488230e+01 2.44690710e+01
2.492200e+01 3.25098185e+01
2.496170e+01 4.53286751e+01
2.497430e+01 5.22772475e+01
2.500140e+01 6.72224553e+01
2.502130e+01 8.41917914e+01
2.504110e+01 1.07637003e+02
2.506100e+01 1.40440454e+02
2.507580e+01 1.74475140e+02
2.508080e+01 1.85973422e+02
2.509810e+01 2.37582921e+02
2.511540e+01 2.96519736e+02
2.515000e+01 3.70010087e+02
2.518460e+01 2.96116873e+02
2.521920e+01 1.85492479e+02
2.525690e+01 1.10038964e+02
2.527880e+01 8.67232736e+01
2.529460e+01 6.99022610e+01
2.533230e+01 4.76568596e+01
2.537000e+01 3.44423598e+01
2.540770e+01 2.60672829e+01
2.544540e+01 2.04714664e+01
2.548190e+01 1.72119301e+01
2.552080e+01 1.37390474e+01
2.559610e+01 1.00251250e+01
2.567150e+01 7.77591461e+00
2.568490e+01 7.55806115e+00
2.582230e+01 5.33020658e+00
2.597310e+01 4.11732715e+00
2.609090e+01 3.59100943e+00
2.612380e+01 3.44631083e+00
2.627460e+01 3.05614529e+00
2.642540e+01 2.81827044e+00
2.649700e+01 2.76271563e+00
2.672690e+01 2.60469675e+00
2.690310e+01 2.57937150e+00
2.702850e+01 2.57566071e+00
2.730910e+01 2.64221632e+00
2.733000e+01 2.65029102e+00
2.750000e+01 2.74123065e+00
2.763160e+01 2.81163521e+00
2.771520e+01 2.86683325e+00
2.812130e+01 3.21599484e+00
2.823460e+01 3.34435916e+00
2.852730e+01 3.71299045e+00
2.883770e+01 4.22281549e+00
2.893340e+01 4.39567940e+00
2.913930e+01 4.88223340e+00
2.929010e+01 5.26951422e+00
2.933940e+01 5.41115755e+00
2.944080e+01 5.78753406e+00
2.959160e+01 6.44966744e+00
2.966700e+01 6.86434895e+00
2.974240e+01 7.39649820e+00
2.974550e+01 7.42813475e+00
2.981780e+01 8.26204862e+00
2.989310e+01 9.68226602e+00
2.993080e+01 1.08501612e+01
2.996850e+01 1.26513046e+01
3.000620e+01 1.56433898e+01
3.004390e+01 2.08295214e+01
3.008200e+01 2.88833225e+01
3.012000e+01 3.42984173e+01
3.015160e+01 3.00593444e+01
3.015810e+01 2.92019242e+01
3.019610e+01 2.15572768e+01
3.022800e+01 1.73439168e+01
3.025990e+01 1.48367731e+01
3.029180e+01 1.33586105e+01
3.032370e+01 1.24782332e+01
3.038750e+01 1.16498167e+01
3.045130e+01 1.14211991e+01
3.051510e+01 1.14656383e+01
3.055760e+01 1.15885975e+01
3.057890e+01 1.17369689e+01
3.070650e+01 1.28305787e+01
3.083410e+01 1.40521660e+01
3.096170e+01 1.53316956e+01
3.096370e+01 1.53523536e+01
3.121690e+01 2.00652572e+01
3.136980e+01 2.29379460e+01
3.147220e+01 2.61080644e+01
3.157280e+01 2.92299429e+01
3.172740e+01 3.63781261e+01
3.177580e+01 3.86182966e+01
3.197890e+01 5.34929276e+01
3.218190e+01 7.90894394e+01
3.223780e+01 9.02940360e+01
3.228340e+01 9.94356402e+01
3.238490e+01 1.28777371e+02
3.248640e+01 1.73262866e+02
3.258790e+01 2.45226238e+02
3.268950e+01 3.72330593e+02
3.274020e+01 4.75405824e+02
3.279100e+01 6.26026927e+02
3.284170e+01 8.56525582e+02
3.289250e+01 1.22825313e+03
3.294330e+01 1.86026460e+03
3.299400e+01 2.95936041e+03
3.304700e+01 4.72356489e+03
3.310000e+01 5.88983572e+03
3.315300e+01 4.70911533e+03
3.320600e+01 2.94450955e+03
3.323880e+01 2.16954664e+03
3.325860e+01 1.84182138e+03
3.327160e+01 1.62664843e+03
3.333720e+01 9.80122191e+02
3.340280e+01 6.42441819e+02
3.346840e+01 4.49653026e+02
3.353400e+01 3.30813159e+02
3.359960e+01 2.52945829e+02
3.373080e+01 1.61005306e+02
3.386200e+01 1.11119637e+02
3.399320e+01 8.11676880e+01
3.425560e+01 4.86187781e+01
3.427950e+01 4.71314020e+01
3.451800e+01 3.22906192e+01
3.478040e+01 2.29715196e+01
3.500000e+01 1.81115890e+01
3.504290e+01 1.71621780e+01
3.530030e+01 1.33750917e+01
3.530530e+01 1.33015855e+01
3.583010e+01 8.66097929e+00
3.632110e+01 6.25302947e+00
3.635490e+01 6.08811811e+00
3.683160e+01 4.67306327e+00
3.687970e+01 4.53202783e+00
3.708680e+01 4.13954597e+00
3.734200e+01 3.67047663e+00
3.740450e+01 3.56400823e+00
3.759720e+01 3.39026188e+00
3.772480e+01 3.30490222e+00
3.785240e+01 3.26422735e+00
3.798000e+01 3.32210245e+00
3.804380e+01 3.42965156e+00
3.810760e+01 3.64439379e+00
3.817140e+01 4.06730989e+00
3.823520e+01 4.94474064e+00
3.826710e+01 5.73441618e+00
3.829900e+01 6.97083337e+00
3.833090e+01 8.96985497e+00
3.836280e+01 1.22198928e+01
3.840140e+01 1.81000961e+01
3.844000e+01 2.19986003e+01
3.845410e+01 2.05358575e+01
3.847860e+01 1.80071753e+01
3.851720e+01 1.20534507e+01
3.854840e+01 8.80742288e+00
3.857950e+01 6.76838647e+00
3.861070e+01 5.47365360e+00
3.864180e+01 4.62075299e+00
3.870410e+01 3.61549581e+00
3.876640e+01 3.06824140e+00
3.882880e+01 2.73234265e+00
3.889110e+01 2.50590871e+00
3.901570e+01 2.21411634e+00
3.914030e+01 2.02356021e+00
3.926490e+01 1.87901810e+00
3.950380e+01 1.66060225e+00
3.951420e+01 1.65371572e+00
3.976340e+01 1.52412184e+00
4.001260e+01 1.40961741e+00
4.051110e+01 1.20009940e+00
4.055340e+01 1.18337024e+00
4.100960e+01 1.06457076e+00
4.150810e+01 9.45089727e-01
4.160300e+01 9.25574301e-01
4.175730e+01 9.09766586e-01
4.200650e+01 9.03714858e-01
4.213120e+01 9.23028429e-01
4.219350e+01 9.47211122e-01
4.225580e+01 9.91205746e-01
4.231810e+01 1.07372898e+00
4.238040e+01 1.24056795e+00
4.241160e+01 1.38928052e+00
4.244270e+01 1.62125941e+00
4.247390e+01 1.99584444e+00
4.250500e+01 2.60519729e+00
4.254250e+01 3.70260515e+00
4.258000e+01 4.43319951e+00
4.261750e+01 3.69413182e+00
4.265500e+01 2.58630042e+00
4.268370e+01 2.00638164e+00
4.271240e+01 1.63254995e+00
4.274110e+01 1.38990321e+00
4.276980e+01 1.22714667e+00
4.282720e+01 1.03174607e+00
4.288450e+01 9.23383191e-01
4.294190e+01 8.55969053e-01
4.299930e+01 8.10059554e-01
4.311410e+01 7.50248493e-01
4.322880e+01 7.10775032e-01
4.334360e+01 6.80619768e-01
4.357310e+01 6.32852842e-01
4.370230e+01 6.10980800e-01
4.403220e+01 5.77336479e-01
4.449130e+01 5.37808819e-01
4.580150e+01 4.36008912e-01
4.632750e+01 4.11843677e-01
4.790080e+01 3.48096965e-01
4.816380e+01 3.41892218e-01
5.000000e+01 3.14123051e-01
5.128300e+01 3.38571657e-01
5.192450e+01 3.72189810e-01
5.256610e+01 4.40677276e-01
5.288680e+01 5.01088378e-01
5.320760e+01 5.95044878e-01
5.352830e+01 7.50311685e-01
5.384910e+01 1.03068625e+00
5.400950e+01 1.26305687e+00
5.416980e+01 1.61111848e+00
5.433020e+01 2.16542255e+00
5.449060e+01 3.12569603e+00
5.465100e+01 5.00638641e+00
5.473120e+01 6.70483358e+00
5.481140e+01 9.47733655e+00
5.489150e+01 1.44377914e+01
5.493160e+01 1.85137734e+01
5.497170e+01 2.45465139e+01
5.501180e+01 3.39394034e+01
5.505190e+01 4.94468884e+01
5.507200e+01 6.10813150e+01
5.508110e+01 6.81884538e+01
5.509200e+01 7.67015032e+01
5.511210e+01 9.78438230e+01
5.513210e+01 1.26187240e+02
5.515160e+01 1.61466921e+02
5.517110e+01 2.01763517e+02
5.521000e+01 2.52101938e+02
5.522950e+01 2.37220821e+02
5.524900e+01 2.01612617e+02
5.528790e+01 1.26002300e+02
5.531320e+01 9.14673136e+01
5.533850e+01 6.77346035e+01
5.538920e+01 4.01362555e+01
5.543980e+01 2.60692103e+01
5.549050e+01 1.81652242e+01
5.554110e+01 1.33440333e+01
5.559170e+01 1.02086461e+01
5.569300e+01 6.53248158e+00
5.579430e+01 4.55094855e+00
5.589550e+01 3.36606686e+00
5.609810e+01 2.08262611e+00
5.630060e+01 1.44015653e+00
5.650320e+01 1.07361168e+00
5.668330e+01 8.70230689e-01
5.670570e+01 8.44936841e-01
5.690830e+01 6.92710403e-01
5.731330e+01 5.08779320e-01
5.771840e+01 4.05845839e-01
5.812350e+01 3.42236479e-01
5.852860e+01 3.00005286e-01
5.933880e+01 2.48734873e-01
6.002490e+01 2.24047607e-01
6.014900e+01 2.19615257e-01
6.016210e+01 2.19372400e-01
6.086030e+01 2.10051821e-01
6.169570e+01 1.99426570e-01
6.176930e+01 1.98614575e-01
6.211340e+01 1.98617666e-01
6.232230e+01 1.99152342e-01
6.253110e+01 2.00541082e-01
6.274000e+01 2.03973951e-01
6.284440e+01 2.07485621e-01
6.294880e+01 2.13746543e-01
6.305320e+01 2.26207735e-01
6.310540e+01 2.37510944e-01
6.315770e+01 2.55941730e-01
6.320990e+01 2.88748893e-01
6.323600e+01 3.15508341e-01
6.326210e+01 3.54790736e-01
6.328820e+01 4.15264098e-01
6.331430e+01 5.13469762e-01
6.334040e+01 6.82160389e-01
6.336650e+01 9.79235145e-01
6.338970e+01 1.38790431e+00
6.339330e+01 1.45135606e+00
6.342000e+01 1.76653674e+00
6.344680e+01 1.45230471e+00
6.347350e+01 9.80487890e-01
6.349130e+01 7.60227922e-01
6.350920e+01 6.10346267e-01
6.354490e+01 4.38226098e-01
6.358050e+01 3.51650403e-01
6.361620e+01 3.03482991e-01
6.365190e+01 2.74362372e-01
6.368750e+01 2.55581980e-01
6.375890e+01 2.33866909e-01
6.383020e+01 2.22452533e-01
6.390160e+01 2.15862084e-01
6.404420e+01 2.09241804e-01
6.418690e+01 2.06486858e-01
6.432960e+01 2.05393632e-01
6.461500e+01 2.05326832e-01
6.490030e+01 2.06444834e-01
6.501000e+01 2.07062399e-01
6.518570e+01 2.11418161e-01
6.524320e+01 2.12904366e-01
6.575640e+01 2.28833702e-01
6.582020e+01 2.30858183e-01
6.622530e+01 2.54702896e-01
6.663040e+01 2.96040286e-01
6.689790e+01 3.51308021e-01
6.703540e+01 3.79752094e-01
6.723800e+01 4.59537951e-01
6.744050e+01 5.98968020e-01
6.764310e+01 8.78135634e-01
6.774440e+01 1.13737768e+00
6.784560e+01 1.57445739e+00
6.794690e+01 2.39688946e+00
6.799750e+01 3.10950838e+00
6.803930e+01 4.02751864e+00
6.804820e+01 4.22298113e+00
6.809880e+01 6.09291574e+00
6.814940e+01 9.54092471e+00
6.817480e+01 1.24240510e+01
6.820010e+01 1.67004493e+01
6.822540e+01 2.32146031e+01
6.825070e+01 3.31497391e+01
6.826800e+01 4.23734755e+01
6.828540e+01 5.29059508e+01
6.832000e+01 6.60643400e+01
6.835470e+01 5.28792487e+01
6.838930e+01 3.31173293e+01
6.842550e+01 2.00417205e+01
6.846170e+01 1.29049356e+01
6.849790e+01 8.87059910e+00
6.853400e+01 6.44023803e+00
6.857020e+01 4.88408130e+00
6.860640e+01 3.83611672e+00
6.867880e+01 2.56421717e+00
6.875120e+01 1.85564928e+00
6.882350e+01 1.42273041e+00
6.896830e+01 9.44952081e-01
6.911300e+01 7.02166883e-01
6.925770e+01 5.62831203e-01
6.954720e+01 4.18529901e-01
6.983670e+01 3.50552023e-01
7.012620e+01 3.14511509e-01
7.032430e+01 3.03693481e-01
7.070510e+01 2.85200220e-01
7.128410e+01 2.80545648e-01
7.186300e+01 2.87222397e-01
7.260510e+01 3.11044947e-01
7.286480e+01 3.19390255e-01
7.302100e+01 3.25537326e-01
7.417890e+01 4.15627095e-01
7.475780e+01 4.97157383e-01
7.500000e+01 5.55586961e-01
7.533680e+01 6.36850900e-01
7.540530e+01 6.63639833e-01
7.562630e+01 7.52948697e-01
7.591570e+01 9.25331100e-01
7.620520e+01 1.19864432e+00
7.649470e+01 1.67712137e+00
7.663940e+01 2.06692772e+00
7.678420e+01 2.64485762e+00
7.692890e+01 3.55649493e+00
7.707370e+01 5.12037729e+00
7.721840e+01 8.14627960e+00
7.729080e+01 1.08479735e+01
7.736310e+01 1.52073910e+01
7.743550e+01 2.28769787e+01
7.747170e+01 2.90729525e+01
7.750790e+01 3.80923509e+01
7.754410e+01 5.18263945e+01
7.758020e+01 7.38147947e+01
7.761640e+01 1.10846354e+02
7.765260e+01 1.74533781e+02
7.769130e+01 2.78976066e+02
7.773000e+01 3.48532154e+02
7.776870e+01 2.78816628e+02
7.780740e+01 1.74347194e+02
7.784200e+01 1.12872745e+02
7.787650e+01 7.62668511e+01
7.791100e+01 5.40965382e+01
7.794560e+01 4.00566451e+01
7.794590e+01 3.99881580e+01
7.801470e+01 2.42836294e+01
7.808380e+01 1.62349604e+01
7.815280e+01 1.16261880e+01
