47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
1.000000e-05 3.15476009e+03
1.250000e-05 2.82223630e+03
1.500000e-05 2.57677620e+03
2.000000e-05 2.23222966e+03
2.750000e-05 1.90438971e+03
3.500000e-05 1.68863386e+03
4.250000e-05 1.53287942e+03
5.000000e-05 1.41363796e+03
6.250000e-05 1.26492908e+03
7.500000e-05 1.15515640e+03
1.000000e-04 1.00107450e+03
1.250000e-04 8.95922610e+02
1.500000e-04 8.18303415e+02
2.000000e-04 7.09353566e+02
2.750000e-04 6.05685647e+02
3.500000e-04 5.37461301e+02
4.250000e-04 4.88209561e+02
5.000000e-04 4.50506082e+02
6.250000e-04 4.03484948e+02
7.500000e-04 3.68776454e+02
1.000000e-03 3.20058438e+02
1.250000e-03 2.86813655e+02
1.500000e-03 2.62274276e+02
2.000000e-03 2.27831479e+02
2.750000e-03 1.95062637e+02
3.500000e-03 1.73500317e+02
4.250000e-03 1.57936678e+02
5.000000e-03 1.46023476e+02
6.250000e-03 1.31169032e+02
7.500000e-03 1.20207022e+02
1.000000e-02 1.04824879e+02
1.250000e-02 9.43330917e+01
1.500000e-02 8.65921508e+01
2.000000e-02 7.57339507e+01
2.530000e-02 6.79588583e+01
3.147500e-02 6.15176561e+01
3.765000e-02 5.67407331e+01
5.000000e-02 5.00114587e+01
6.250000e-02 4.53619144e+01
7.500000e-02 4.19389506e+01
1.000000e-01 3.71533127e+01
1.250000e-01 3.39061539e+01
1.500000e-01 3.15235887e+01
2.000000e-01 2.82100158e+01
2.750000e-01 2.51115934e+01
3.500000e-01 2.31222693e+01
5.000000e-01 2.06952046e+01
7.500000e-01 1.86546404e+01
1.000000e+00 1.77083226e+01
1.500000e+00 1.73630582e+01
2.000000e+00 1.84306363e+01
2.750000e+00 2.33431246e+01
3.125000e+00 2.86215978e+01
3.500000e+00 3.80577138e+01
3.687500e+00 4.57471124e+01
3.875000e+00 5.69940678e+01
4.062500e+00 7.43298257e+01
4.250000e+00 1.03020021e+02
4.343750e+00 1.24969500e+02
4.437500e+00 1.55535463e+02
4.531250e+00 1.99863914e+02
4.625000e+00 2.67582717e+02
4.718750e+00 3.78396947e+02
4.812500e+00 5.77793222e+02
4.859380e+00 7.42933970e+02
4.906250e+00 9.89933972e+02
4.953130e+00 1.38114727e+03
5.000000e+00 2.04767293e+03
5.029650e+00 2.73506531e+03
5.059300e+00 3.79573915e+03
5.088950e+00 5.49553354e+03
5.118600e+00 8.24711120e+03
5.154300e+00 1.31888575e+04
5.190000e+00 1.64739618e+04
5.225700e+00 1.31675589e+04
5.261400e+00 8.22657170e+03
5.298420e+00 4.97757654e+03
5.335440e+00 3.19710178e+03
5.372460e+00 2.18777613e+03
5.409480e+00 1.57821568e+03
5.446500e+00 1.18736877e+03
5.483520e+00 9.23758415e+02
5.557560e+00 6.03403645e+02
5.631600e+00 4.24638843e+02
5.705640e+00 3.15250443e+02
5.853730e+00 1.94242880e+02
6.001810e+00 1.32484426e+02
6.149890e+00 9.68210457e+01
6.297970e+00 7.43932719e+01
6.446050e+00 5.93803657e+01
6.742210e+00 4.11532276e+01
7.038380e+00 3.09211029e+01
7.334540e+00 2.45987380e+01
7.500000e+00 2.22595515e+01
7.630700e+00 2.04222938e+01
8.223030e+00 1.54198470e+01
8.815350e+00 1.26263052e+01
9.407680e+00 1.08946645e+01
1.000000e+01 9.73667023e+00
1.125000e+01 8.34487896e+00
1.155680e+01 8.15742471e+00
1.233510e+01 7.75886285e+00
1.250000e+01 7.70048426e+00
1.311350e+01 7.62673881e+00
1.375000e+01 7.80387539e+00
1.389190e+01 7.86095943e+00
1.428110e+01 8.30795617e+00
1.467030e+01 9.23437036e+00
1.486490e+01 1.00588797e+01
1.500000e+01 1.09531851e+01
1.505940e+01 1.13520173e+01
1.525400e+01 1.35006888e+01
1.544860e+01 1.73510791e+01
1.564320e+01 2.51958199e+01
1.574050e+01 3.25321772e+01
1.583780e+01 4.49121063e+01
1.593510e+01 6.81146190e+01
1.598380e+01 8.80655753e+01
1.603240e+01 1.18935396e+02
1.608110e+01 1.69971608e+02
1.612970e+01 2.61731518e+02
1.615400e+01 3.36428255e+02
1.617840e+01 4.44303491e+02
1.620270e+01 6.03265041e+02
1.622700e+01 8.36847794e+02
1.626350e+01 1.33788679e+03
1.630000e+01 1.67528042e+03
1.633650e+01 1.34940442e+03
1.637300e+01 8.51448860e+02
1.641140e+01 5.17478941e+02
1.644970e+01 3.34708885e+02
1.648810e+01 2.31248855e+02
1.652640e+01 1.68796081e+02
1.656480e+01 1.28741887e+02
1.660320e+01 1.01704466e+02
1.667990e+01 6.87856539e+01
1.675660e+01 5.03522651e+01
1.683330e+01 3.90260552e+01
1.698680e+01 2.64143155e+01
1.714020e+01 1.99089146e+01
1.729360e+01 1.61080062e+01
1.744710e+01 1.36868809e+01
1.750000e+01 1.31201113e+01
1.760050e+01 1.20496956e+01
1.790740e+01 1.00285102e+01
1.821430e+01 8.86033549e+00
1.852110e+01 8.11538365e+00
1.882800e+01 7.62845636e+00
1.890000e+01 7.55901359e+00
1.897200e+01 7.43995054e+00
1.922900e+01 7.13563896e+00
1.948600e+01 6.90974423e+00
2.000000e+01 6.57106748e+00
2.022800e+01 6.48440338e+00
2.030000e+01 6.48078704e+00
2.037200e+01 6.42118976e+00
2.061260e+01 6.30033858e+00
2.085320e+01 6.21376336e+00
2.133430e+01 6.06836816e+00
2.229660e+01 5.84385845e+00
2.263280e+01 5.78845389e+00
2.394920e+01 5.60214387e+00
2.422110e+01 5.57066416e+00
2.526570e+01 5.49165814e+00
2.614570e+01 5.47931727e+00
2.658210e+01 5.48097756e+00
2.724030e+01 5.56191189e+00
2.789850e+01 5.77882398e+00
2.807030e+01 5.89103661e+00
2.822760e+01 5.99574569e+00
2.855670e+01 6.35622149e+00
2.888580e+01 6.98283498e+00
2.921490e+01 8.16952237e+00
2.937950e+01 9.18606220e+00
2.954400e+01 1.07452356e+01
2.970860e+01 1.32908390e+01
2.987310e+01 1.78228465e+01
3.003770e+01 2.69862529e+01
3.011990e+01 3.54916123e+01
3.020220e+01 4.97234073e+01
3.024330e+01 6.06960877e+01
