48-Cd_n-g
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
1.000000e-05 1.11503771e+05
1.250000e-05 9.97344095e+04
1.500000e-05 9.10468326e+04
2.000000e-05 7.88527952e+04
2.750000e-05 6.72508382e+04
3.500000e-05 5.96159302e+04
4.250000e-05 5.41046876e+04
5.000000e-05 4.98857928e+04
6.250000e-05 4.46247801e+04
7.500000e-05 4.07417242e+04
1.000000e-04 3.52921925e+04
1.250000e-04 3.15741958e+04
1.500000e-04 2.88304441e+04
2.000000e-04 2.49805113e+04
2.750000e-04 2.13195315e+04
3.500000e-04 1.89120538e+04
4.250000e-04 1.71753783e+04
5.000000e-04 1.58469599e+04
6.250000e-04 1.41919313e+04
7.500000e-04 1.29718253e+04
1.000000e-03 1.12624609e+04
1.250000e-03 1.00990925e+04
1.500000e-03 9.24265846e+03
2.000000e-03 8.04531142e+03
2.750000e-03 6.91393439e+03
3.500000e-03 6.17595446e+03
4.250000e-03 5.64810177e+03
5.000000e-03 5.24787383e+03
6.250000e-03 4.75524557e+03
7.500000e-03 4.39807121e+03
1.000000e-02 3.91068233e+03
1.250000e-02 3.59249520e+03
1.500000e-02 3.36933228e+03
2.000000e-02 3.08306065e+03
2.530000e-02 2.91020017e+03
3.147500e-02 2.80320344e+03
3.765000e-02 2.75989348e+03
5.000000e-02 2.79707757e+03
6.250000e-02 2.95842006e+03
7.500000e-02 3.23020375e+03
8.750000e-02 3.61980935e+03
1.000000e-01 4.14666125e+03
1.108150e-01 4.73284582e+03
1.216300e-01 5.45443249e+03
1.250000e-01 5.72601635e+03
1.358980e-01 6.60429269e+03
1.500000e-01 7.83742960e+03
1.501650e-01 7.85185815e+03
1.644330e-01 8.82476344e+03
1.715660e-01 9.03620389e+03
1.787000e-01 8.99036423e+03
1.893500e-01 8.43731296e+03
2.000000e-01 7.45494437e+03
2.178850e-01 5.52911626e+03
2.268280e-01 4.65978788e+03
2.357700e-01 3.91059575e+03
2.375000e-01 3.78847818e+03
2.440270e-01 3.32775160e+03
2.522840e-01 2.84013307e+03
