48-Cd_n-tot
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
1.000000e-05 1.11510451e+05
1.250000e-05 9.97412360e+04
1.500000e-05 9.10536591e+04
2.000000e-05 7.88596215e+04
2.750000e-05 6.72576646e+04
3.500000e-05 5.96227567e+04
4.250000e-05 5.41115141e+04
5.000000e-05 4.98926191e+04
6.250000e-05 4.46316065e+04
7.500000e-05 4.07485506e+04
1.000000e-04 3.52990191e+04
1.250000e-04 3.15810223e+04
1.500000e-04 2.88372705e+04
2.000000e-04 2.49873377e+04
2.750000e-04 2.13263579e+04
3.500000e-04 1.89188802e+04
4.250000e-04 1.71822047e+04
5.000000e-04 1.58537862e+04
6.250000e-04 1.41987430e+04
7.500000e-04 1.29786517e+04
1.000000e-03 1.12693019e+04
1.250000e-03 1.01059335e+04
1.500000e-03 9.24951410e+03
2.000000e-03 8.05218169e+03
2.750000e-03 6.92083389e+03
3.500000e-03 6.18288320e+03
4.250000e-03 5.65505977e+03
5.000000e-03 5.25484646e+03
6.250000e-03 4.76227668e+03
7.500000e-03 4.40514617e+03
1.000000e-02 3.91785965e+03
1.250000e-02 3.59977489e+03
1.500000e-02 3.37672898e+03
2.000000e-02 3.09067671e+03
2.530000e-02 2.91810878e+03
3.147500e-02 2.81144846e+03
3.765000e-02 2.76854809e+03
5.000000e-02 2.80668310e+03
6.250000e-02 2.96929852e+03
7.500000e-02 3.24273569e+03
8.750000e-02 3.63453630e+03
1.000000e-01 4.16430041e+03
1.108150e-01 4.75380707e+03
1.216300e-01 5.47963794e+03
1.250000e-01 5.75292946e+03
1.358980e-01 6.63672805e+03
1.500000e-01 7.87857372e+03
1.501650e-01 7.89310416e+03
1.644330e-01 8.87468838e+03
1.715660e-01 9.08939251e+03
1.787000e-01 9.04551388e+03
1.893500e-01 8.49250615e+03
2.000000e-01 7.50710743e+03
2.178850e-01 5.57268707e+03
2.268280e-01 4.69883570e+03
2.357700e-01 3.94548650e+03
2.375000e-01 3.82265435e+03
2.440270e-01 3.35923176e+03
2.522840e-01 2.86862710e+03
