49-In_n-tot
> 49-In-113:0.042900
> 49-In-115:0.957100
1.000000e-05 9.42813563e+03
1.250000e-05 8.43308504e+03
1.500000e-05 7.69856547e+03
2.000000e-05 6.66754517e+03
2.750000e-05 5.68653505e+03
3.500000e-05 5.04092249e+03
4.250000e-05 4.57485149e+03
5.000000e-05 4.21804290e+03
6.250000e-05 3.77306624e+03
7.500000e-05 3.44460726e+03
1.000000e-04 2.98356511e+03
1.250000e-04 2.66894509e+03
1.500000e-04 2.43670613e+03
2.000000e-04 2.11074235e+03
2.750000e-04 1.80060413e+03
3.500000e-04 1.59652285e+03
4.250000e-04 1.44920809e+03
5.000000e-04 1.33643315e+03
6.250000e-04 1.19581712e+03
7.500000e-04 1.09203458e+03
1.000000e-03 9.46397306e+02
1.250000e-03 8.47040863e+02
1.500000e-03 7.73724101e+02
2.000000e-03 6.70861767e+02
2.750000e-03 5.73071409e+02
3.500000e-03 5.08779578e+02
4.250000e-03 4.62416011e+02
5.000000e-03 4.26958551e+02
6.250000e-03 3.82798380e+02
7.500000e-03 3.50259299e+02
1.000000e-02 3.04702549e+02
1.250000e-02 2.73725690e+02
1.500000e-02 2.50944750e+02
2.000000e-02 2.19142236e+02
2.530000e-02 1.96528931e+02
3.147500e-02 1.77947296e+02
3.765000e-02 1.64293796e+02
5.000000e-02 1.45332501e+02
6.250000e-02 1.32514348e+02
7.500000e-02 1.23304748e+02
1.000000e-01 1.10937535e+02
1.250000e-01 1.03092501e+02
1.500000e-01 9.78050709e+01
2.000000e-01 9.16009232e+01
2.750000e-01 8.82438847e+01
3.500000e-01 8.89696707e+01
5.000000e-01 9.89625446e+01
6.250000e-01 1.16433142e+02
7.500000e-01 1.46394851e+02
8.750000e-01 1.99116755e+02
9.375000e-01 2.40969328e+02
1.000000e+00 3.00947460e+02
1.052440e+00 3.73748888e+02
1.104880e+00 4.80551292e+02
1.157310e+00 6.46280421e+02
1.190230e+00 8.20408465e+02
1.209750e+00 9.23674888e+02
1.235970e+00 1.13835127e+03
