50-Sn_n-tot
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
1.000000e-05 3.56939121e+01
1.250000e-05 3.24540214e+01
1.500000e-05 3.00625475e+01
2.000000e-05 2.67056083e+01
2.750000e-05 2.35114825e+01
3.500000e-05 2.14093269e+01
4.250000e-05 1.98917931e+01
5.000000e-05 1.87300061e+01
6.250000e-05 1.72810919e+01
7.500000e-05 1.62115704e+01
1.000000e-04 1.47102802e+01
1.250000e-04 1.36857429e+01
1.500000e-04 1.29294630e+01
2.000000e-04 1.18678675e+01
2.750000e-04 1.08577535e+01
3.500000e-04 1.01929607e+01
4.250000e-04 9.71303229e+00
5.000000e-04 9.34561792e+00
6.250000e-04 8.88738996e+00
7.500000e-04 8.54912856e+00
1.000000e-03 8.07430110e+00
1.250000e-03 7.75024403e+00
1.500000e-03 7.51102294e+00
2.000000e-03 7.17520838e+00
2.750000e-03 6.85564494e+00
3.500000e-03 6.64529550e+00
4.250000e-03 6.49342165e+00
5.000000e-03 6.37712779e+00
6.250000e-03 6.23206084e+00
7.500000e-03 6.12495466e+00
1.000000e-02 5.97454800e+00
1.250000e-02 5.87184770e+00
1.500000e-02 5.79599241e+00
2.000000e-02 5.68943172e+00
2.530000e-02 5.61295627e+00
3.147500e-02 5.54944727e+00
3.765000e-02 5.50221898e+00
5.000000e-02 5.43542830e+00
6.250000e-02 5.38902017e+00
7.500000e-02 5.35466743e+00
1.000000e-01 5.30624174e+00
1.250000e-01 5.27299379e+00
1.500000e-01 5.24831412e+00
2.000000e-01 5.21337889e+00
2.375000e-01 5.19529785e+00
2.750000e-01 5.17969302e+00
3.500000e-01 5.15717980e+00
5.000000e-01 5.12795553e+00
7.500000e-01 5.10015702e+00
8.750000e-01 5.09233992e+00
1.000000e+00 5.08646585e+00
1.063250e+00 5.08680831e+00
1.126500e+00 5.09034565e+00
1.189750e+00 5.10215435e+00
1.221380e+00 5.11538714e+00
1.253000e+00 5.13826257e+00
1.290000e+00 5.17990251e+00
1.327000e+00 5.20844574e+00
1.364000e+00 5.17978757e+00
1.401000e+00 5.13564037e+00
1.438440e+00 5.10608773e+00
1.475880e+00 5.08876013e+00
1.500000e+00 5.08185750e+00
1.513310e+00 5.07823938e+00
1.550750e+00 5.07157182e+00
1.625630e+00 5.06329627e+00
1.700500e+00 5.05807915e+00
1.850250e+00 5.05096703e+00
2.000000e+00 5.04549152e+00
2.375000e+00 5.03686742e+00
2.750000e+00 5.02916109e+00
3.500000e+00 5.01832814e+00
4.250000e+00 5.01061825e+00
5.000000e+00 5.00392627e+00
5.290000e+00 5.00263696e+00
5.435000e+00 5.00244414e+00
5.580000e+00 5.00294625e+00
5.725000e+00 5.00504438e+00
5.797500e+00 5.00743520e+00
5.870000e+00 5.01177509e+00
5.942500e+00 5.02021671e+00
5.978750e+00 5.02753636e+00
6.015000e+00 5.03881858e+00
6.051250e+00 5.05721762e+00
6.087500e+00 5.08945171e+00
6.123750e+00 5.15083080e+00
6.141880e+00 5.20199845e+00
6.160000e+00 5.27455441e+00
6.190000e+00 5.44375863e+00
6.220000e+00 5.55740360e+00
6.250000e+00 5.44550093e+00
6.280000e+00 5.27641519e+00
6.309060e+00 5.17021461e+00
6.338130e+00 5.10948084e+00
6.367190e+00 5.07384625e+00
6.396250e+00 5.05174348e+00
6.454380e+00 5.02729919e+00
6.512500e+00 5.01487924e+00
6.570630e+00 5.00768023e+00
6.628750e+00 5.00308233e+00
6.745000e+00 4.99759908e+00
6.861250e+00 4.99439560e+00
6.977500e+00 4.99221005e+00
7.210000e+00 4.98917640e+00
7.500000e+00 4.98656197e+00
7.675000e+00 4.98515336e+00
8.140000e+00 4.98216898e+00
9.070000e+00 4.97682385e+00
1.000000e+01 4.97177077e+00
1.250000e+01 4.96029849e+00
1.265850e+01 4.95961763e+00
1.398780e+01 4.95398308e+00
1.465240e+01 4.95122434e+00
1.498470e+01 4.94999281e+00
1.500000e+01 4.94996895e+00
1.515090e+01 4.94978571e+00
1.523390e+01 4.95027300e+00
1.527550e+01 4.95109158e+00
1.531700e+01 4.95291423e+00
1.538500e+01 4.95713269e+00
1.545300e+01 4.95240701e+00
