51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.000000e-05 2.48245557e+02
1.250000e-05 2.22038050e+02
1.500000e-05 2.02692427e+02
2.000000e-05 1.75536537e+02
2.750000e-05 1.49698125e+02
3.500000e-05 1.32693810e+02
4.250000e-05 1.20417624e+02
5.000000e-05 1.11020012e+02
6.250000e-05 9.92992665e+01
7.500000e-05 9.06479432e+01
1.000000e-04 7.85035474e+01
1.250000e-04 7.02160163e+01
1.500000e-04 6.40984499e+01
2.000000e-04 5.55114143e+01
2.750000e-04 4.73409844e+01
3.500000e-04 4.19639060e+01
4.250000e-04 3.80821214e+01
5.000000e-04 3.51105247e+01
6.250000e-04 3.14045275e+01
7.500000e-04 2.86689765e+01
1.000000e-03 2.48292027e+01
1.250000e-03 2.22089525e+01
1.500000e-03 2.02748907e+01
2.000000e-03 1.75601882e+01
2.750000e-03 1.49775051e+01
3.500000e-03 1.32780174e+01
4.250000e-03 1.20512896e+01
5.000000e-03 1.11123491e+01
6.250000e-03 9.94148564e+00
7.500000e-03 9.07743285e+00
1.000000e-02 7.86499939e+00
1.250000e-02 7.03798927e+00
1.500000e-02 6.42780549e+00
2.000000e-02 5.57189874e+00
2.530000e-02 4.95898923e+00
3.147500e-02 4.45121219e+00
3.765000e-02 4.07462257e+00
5.000000e-02 3.54408231e+00
6.250000e-02 3.17748193e+00
7.500000e-02 2.90757157e+00
1.000000e-01 2.53014299e+00
1.250000e-01 2.27398189e+00
1.500000e-01 2.08595348e+00
2.000000e-01 1.82427221e+00
2.750000e-01 1.57912598e+00
3.500000e-01 1.42116690e+00
5.000000e-01 1.22673994e+00
7.500000e-01 1.05794265e+00
1.000000e+00 9.71247588e-01
1.500000e+00 9.02514065e-01
2.000000e+00 9.07975695e-01
2.750000e+00 1.02164472e+00
3.500000e+00 1.31269243e+00
3.875000e+00 1.58652486e+00
4.250000e+00 2.02969889e+00
4.625000e+00 2.81100691e+00
5.000000e+00 4.38619521e+00
5.149390e+00 5.50082540e+00
5.298780e+00 7.17581037e+00
5.448160e+00 9.86566063e+00
5.597550e+00 1.46026564e+01
5.672240e+00 1.84615891e+01
5.746940e+00 2.41677185e+01
5.821630e+00 3.31224031e+01
5.896330e+00 4.83531965e+01
5.971020e+00 7.74165669e+01
6.008370e+00 1.02983947e+02
6.045710e+00 1.43603277e+02
6.083060e+00 2.13474081e+02
6.101730e+00 2.68660679e+02
6.120410e+00 3.47303949e+02
6.139080e+00 4.63704674e+02
6.157750e+00 6.43227481e+02
6.176430e+00 9.30805104e+02
6.195100e+00 1.39612848e+03
6.217550e+00 2.22952957e+03
6.240000e+00 2.78164625e+03
6.262450e+00 2.22126872e+03
6.284900e+00 1.38592277e+03
6.299410e+00 1.00653474e+03
6.313930e+00 7.45422669e+02
6.342950e+00 4.41200092e+02
6.371970e+00 2.85869400e+02
6.401000e+00 1.98513342e+02
6.430020e+00 1.45229272e+02
6.459050e+00 1.10577354e+02
6.517090e+00 6.99792086e+01
6.575140e+00 4.81257477e+01
6.633190e+00 3.50780501e+01
6.691240e+00 2.66874181e+01
6.749290e+00 2.09830817e+01
6.865390e+00 1.39586399e+01
6.981480e+00 9.97101931e+00
7.097580e+00 7.49751863e+00
7.213680e+00 5.86141790e+00
7.445870e+00 3.90583585e+00
7.500000e+00 3.65543794e+00
7.678060e+00 2.83400889e+00
7.910260e+00 2.18880660e+00
8.142450e+00 1.77415470e+00
8.606840e+00 1.30121217e+00
9.071230e+00 1.06493598e+00
1.000000e+01 8.91923517e-01
1.066770e+01 9.09394575e-01
1.133540e+01 1.00710838e+00
1.200310e+01 1.20642714e+00
1.250000e+01 1.48985573e+00
1.267080e+01 1.59324950e+00
1.300460e+01 1.92617819e+00
1.333840e+01 2.42541062e+00
1.367230e+01 3.22942551e+00
1.375000e+01 3.56273573e+00
1.400610e+01 4.67387710e+00
1.417310e+01 5.86679472e+00
1.434000e+01 7.65732121e+00
1.450690e+01 1.05338594e+01
1.467380e+01 1.56089779e+01
1.475730e+01 1.97526855e+01
1.484070e+01 2.58932385e+01
1.492420e+01 3.55569674e+01
1.500000e+01 5.05339908e+01
1.500770e+01 5.20561801e+01
1.504940e+01 6.50734461e+01
1.509110e+01 8.37115947e+01
1.513290e+01 1.11699596e+02
1.517460e+01 1.56388890e+02
1.521630e+01 2.33806309e+02
1.523720e+01 2.95391306e+02
1.525800e+01 3.83684198e+02
1.527890e+01 5.15515638e+02
1.529980e+01 7.20979208e+02
1.532060e+01 1.05499878e+03
1.534150e+01 1.60442546e+03
1.536580e+01 2.56328199e+03
1.539000e+01 3.19999472e+03
1.541430e+01 2.55870472e+03
1.543850e+01 1.59897239e+03
1.545630e+01 1.11420176e+03
1.547410e+01 7.97365362e+02
1.549200e+01 5.89874460e+02
1.550980e+01 4.50263773e+02
1.554540e+01 2.83659711e+02
1.558110e+01 1.93578052e+02
1.561670e+01 1.40022094e+02
1.565230e+01 1.05817991e+02
1.572360e+01 6.64393061e+01
1.579490e+01 4.55820152e+01
1.586620e+01 3.32598270e+01
1.593740e+01 2.53930166e+01
1.600870e+01 2.00736184e+01
1.615120e+01 1.35611851e+01
1.625000e+01 1.10171357e+01
1.629380e+01 9.89591782e+00
1.643630e+01 7.65408962e+00
1.657890e+01 6.18898208e+00
1.686400e+01 4.47644415e+00
1.687500e+01 4.44178477e+00
1.714910e+01 3.63110872e+00
1.743420e+01 3.18091469e+00
1.750000e+01 3.12607580e+00
1.771930e+01 3.02080886e+00
1.812500e+01 3.05929395e+00
1.828940e+01 3.19378074e+00
1.875000e+01 3.74510950e+00
1.885960e+01 3.99361134e+00
1.906250e+01 4.49030637e+00
1.937500e+01 5.67771426e+00
1.942980e+01 6.01909045e+00
1.968750e+01 7.64947883e+00
2.000000e+01 1.11415499e+01
2.016460e+01 1.41731002e+01
2.032920e+01 1.87306703e+01
2.049380e+01 2.60356579e+01
2.065840e+01 3.88272221e+01
2.074070e+01 4.91729063e+01
2.082290e+01 6.43435576e+01
2.090520e+01 8.78706585e+01
2.098750e+01 1.27160740e+02
2.106980e+01 1.99977214e+02
2.111100e+01 2.62034200e+02
2.115210e+01 3.57346728e+02
2.119330e+01 5.13553695e+02
2.119440e+01 5.20984652e+02
2.123440e+01 7.91203378e+02
2.125500e+01 1.01502416e+03
2.127560e+01 1.33544337e+03
2.129610e+01 1.80285480e+03
2.131670e+01 2.48227783e+03
2.134840e+01 3.96703814e+03
2.138000e+01 4.95276437e+03
2.141170e+01 3.95919207e+03
2.144330e+01 2.47338929e+03
2.147120e+01 1.60790901e+03
2.149910e+01 1.08896356e+03
2.152700e+01 7.73065206e+02
2.155490e+01 5.72207770e+02
2.161060e+01 3.45619108e+02
2.166640e+01 2.29577124e+02
2.172220e+01 1.62968714e+02
2.177800e+01 1.21446798e+02
2.188950e+01 7.47081459e+01
2.200110e+01 5.04770294e+01
2.211260e+01 3.63493208e+01
2.222420e+01 2.74100666e+01
2.233570e+01 2.14019744e+01
2.238880e+01 1.96602853e+01
2.255880e+01 1.40894175e+01
2.278190e+01 9.98160382e+00
2.300500e+01 7.44841935e+00
2.322810e+01 5.77800965e+00
2.358320e+01 4.19026026e+00
2.367430e+01 3.78551776e+00
2.412050e+01 2.69821770e+00
2.456670e+01 2.04090579e+00
2.477770e+01 1.83964727e+00
2.501290e+01 1.62673813e+00
2.590530e+01 1.17491021e+00
2.597210e+01 1.15856235e+00
2.656930e+01 1.06079561e+00
2.679770e+01 1.05296759e+00
2.716650e+01 1.08602232e+00
2.746510e+01 1.17079184e+00
2.769010e+01 1.29097862e+00
2.776370e+01 1.33515471e+00
2.806230e+01 1.65206727e+00
2.836090e+01 2.25355953e+00
2.851020e+01 2.76707251e+00
2.858250e+01 3.14718197e+00
2.865950e+01 3.55586774e+00
2.880880e+01 4.84159820e+00
2.895810e+01 7.12574042e+00
2.903280e+01 8.99666915e+00
2.910740e+01 1.17728959e+01
2.918210e+01 1.61441877e+01
2.925670e+01 2.36033962e+01
2.933140e+01 3.78828879e+01
2.936870e+01 5.04766096e+01
2.940600e+01 7.05152974e+01
2.944330e+01 1.05065817e+02
2.946200e+01 1.32393728e+02
2.948070e+01 1.71391907e+02
2.949930e+01 2.29240216e+02
2.951800e+01 3.18598642e+02
2.953660e+01 4.62089749e+02
2.955530e+01 6.94948590e+02
2.957770e+01 1.11151592e+03
2.960000e+01 1.38893137e+03
2.962240e+01 1.11060888e+03
2.964470e+01 6.93843915e+02
2.966070e+01 4.87429118e+02
2.967680e+01 3.51181235e+02
2.969280e+01 2.61165331e+02
2.970890e+01 2.00200087e+02
2.974090e+01 1.26864930e+02
2.977300e+01 8.69009318e+01
2.980510e+01 6.30261016e+01
2.983710e+01 4.77194485e+01
2.990130e+01 3.00254048e+01
2.996540e+01 2.06148040e+01
3.002960e+01 1.50349778e+01
3.009370e+01 1.14613989e+01
3.015780e+01 9.03716891e+00
3.028610e+01 6.05454886e+00
3.036730e+01 4.98119987e+00
3.041440e+01 4.36014001e+00
3.054270e+01 3.30778008e+00
3.067100e+01 2.60850310e+00
3.092750e+01 1.76471252e+00
3.118410e+01 1.29253149e+00
3.144060e+01 1.00011944e+00
3.169720e+01 8.05120862e-01
3.215210e+01 5.92857196e-01
3.221030e+01 5.66591111e-01
3.272350e+01 4.34407204e-01
3.323660e+01 3.49678323e-01
3.374970e+01 2.90457665e-01
3.393690e+01 2.76015898e-01
3.477600e+01 2.18124171e-01
3.572170e+01 1.77130212e-01
3.580220e+01 1.74154110e-01
3.682850e+01 1.52443307e-01
3.708500e+01 1.51794054e-01
3.734160e+01 1.59564229e-01
3.746990e+01 1.73666165e-01
3.759810e+01 2.12607705e-01
3.766230e+01 2.60116643e-01
3.769440e+01 3.01570742e-01
3.772640e+01 3.66436484e-01
3.775850e+01 4.75107184e-01
