51-Sb_n-tot
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.000000e-05 2.52123648e+02
1.250000e-05 2.25916141e+02
1.500000e-05 2.06570518e+02
2.000000e-05 1.79414628e+02
2.750000e-05 1.53576216e+02
3.500000e-05 1.36571901e+02
4.250000e-05 1.24295758e+02
5.000000e-05 1.14898145e+02
6.250000e-05 1.03177443e+02
7.500000e-05 9.45260768e+01
1.000000e-04 8.23817382e+01
1.250000e-04 7.40942071e+01
1.500000e-04 6.79766407e+01
2.000000e-04 5.93896051e+01
2.750000e-04 5.12191752e+01
3.500000e-04 4.58420968e+01
4.250000e-04 4.19603122e+01
5.000000e-04 3.89886583e+01
6.250000e-04 3.52827183e+01
7.500000e-04 3.25471101e+01
1.000000e-03 2.87073363e+01
1.250000e-03 2.60870861e+01
1.500000e-03 2.41529815e+01
2.000000e-03 2.14382790e+01
2.750000e-03 1.88555959e+01
3.500000e-03 1.71560510e+01
4.250000e-03 1.59293403e+01
5.000000e-03 1.49903169e+01
6.250000e-03 1.38194492e+01
7.500000e-03 1.29553306e+01
1.000000e-02 1.17427600e+01
1.250000e-02 1.09156642e+01
1.500000e-02 1.03053875e+01
2.000000e-02 9.44926637e+00
2.530000e-02 8.83613822e+00
3.147500e-02 8.32810108e+00
3.765000e-02 7.95125136e+00
5.000000e-02 7.42019520e+00
6.250000e-02 7.05307463e+00
7.500000e-02 6.78263264e+00
1.000000e-01 6.40415224e+00
1.250000e-01 6.14692788e+00
1.500000e-01 5.95784193e+00
2.000000e-01 5.69402125e+00
2.750000e-01 5.44562376e+00
3.500000e-01 5.28435764e+00
5.000000e-01 5.08317503e+00
7.500000e-01 4.90261143e+00
1.000000e+00 4.80347996e+00
1.500000e+00 4.70743171e+00
2.000000e+00 4.68151608e+00
2.750000e+00 4.73720341e+00
3.500000e+00 4.94885727e+00
3.875000e+00 5.16910319e+00
4.250000e+00 5.54375319e+00
4.625000e+00 6.23249753e+00
5.000000e+00 7.67273526e+00
5.149390e+00 8.71335377e+00
5.298780e+00 1.02969524e+01
5.448160e+00 1.28711995e+01
5.597550e+00 1.74585520e+01
5.672240e+00 2.12263869e+01
5.746940e+00 2.68296330e+01
5.821630e+00 3.56727387e+01
5.896330e+00 5.07988753e+01
5.971020e+00 7.98261839e+01
6.008370e+00 1.05463207e+02
6.045710e+00 1.46309509e+02
6.083060e+00 2.16774000e+02
6.101730e+00 2.72546065e+02
6.120410e+00 3.52143235e+02
6.139080e+00 4.70139185e+02
6.157750e+00 6.52419724e+02
6.176430e+00 9.44934207e+02
6.195100e+00 1.41923346e+03
6.217550e+00 2.27151342e+03
6.240000e+00 2.84229729e+03
6.262450e+00 2.27785742e+03
6.284900e+00 1.42728744e+03
6.299410e+00 1.03979820e+03
6.313930e+00 7.72661636e+02
6.342950e+00 4.60794095e+02
6.371970e+00 3.01152639e+02
6.401000e+00 2.11158064e+02
6.430020e+00 1.56138251e+02
6.459050e+00 1.20276923e+02
6.517090e+00 7.81295477e+01
6.575140e+00 5.53419795e+01
6.633190e+00 4.16764313e+01
6.691240e+00 3.28495905e+01
6.749290e+00 2.68222067e+01
6.865390e+00 1.93526488e+01
6.981480e+00 1.50734067e+01
7.097580e+00 1.23940994e+01
7.213680e+00 1.06048080e+01
7.445870e+00 8.43519330e+00
7.500000e+00 8.15126184e+00
7.678060e+00 7.21838840e+00
7.910260e+00 6.46687400e+00
8.142450e+00 5.96969817e+00
8.606840e+00 5.37318479e+00
9.071230e+00 5.04405378e+00
1.000000e+01 4.72564783e+00
1.066770e+01 4.64298040e+00
1.133540e+01 4.63891378e+00
1.200310e+01 4.72600558e+00
1.250000e+01 4.90967697e+00
1.267080e+01 4.97645165e+00
1.300460e+01 5.22429325e+00
1.333840e+01 5.62523454e+00
1.367230e+01 6.31360716e+00
1.375000e+01 6.61522722e+00
1.400610e+01 7.61829117e+00
1.417310e+01 8.73445531e+00
1.434000e+01 1.04496021e+01
1.450690e+01 1.32668995e+01
1.467380e+01 1.83441636e+01
1.475730e+01 2.25498122e+01
1.484070e+01 2.88443635e+01
1.492420e+01 3.88472159e+01
1.500000e+01 5.44996815e+01
1.500770e+01 5.60903290e+01
1.504940e+01 6.97862312e+01
1.509110e+01 8.94889546e+01
1.513290e+01 1.19215456e+02
1.517460e+01 1.66907600e+02
1.521630e+01 2.49923486e+02
1.523720e+01 3.16191066e+02
1.525800e+01 4.11432637e+02
1.527890e+01 5.54004054e+02
1.529980e+01 7.76800482e+02
1.532060e+01 1.14005260e+03
1.534150e+01 1.73958774e+03
1.536580e+01 2.79138559e+03
1.539000e+01 3.50179990e+03
1.541430e+01 2.81512315e+03
1.543850e+01 1.76955661e+03
1.545630e+01 1.23877618e+03
1.547410e+01 8.90838921e+02
1.549200e+01 6.62401920e+02
1.550980e+01 5.08344199e+02
1.554540e+01 3.23928790e+02
1.558110e+01 2.23799743e+02
1.561670e+01 1.64029477e+02
1.565230e+01 1.25706096e+02
1.572360e+01 8.13400908e+01
1.579490e+01 5.76571593e+01
1.586620e+01 4.35565596e+01
1.593740e+01 3.44838466e+01
1.600870e+01 2.83006532e+01
1.615120e+01 2.06441227e+01
1.625000e+01 1.76031997e+01
1.629380e+01 1.62608527e+01
1.643630e+01 1.35271993e+01
1.657890e+01 1.17048713e+01
1.686400e+01 9.50617074e+00
1.687500e+01 9.45920955e+00
1.714910e+01 8.33817215e+00
1.743420e+01 7.65507851e+00
1.750000e+01 7.55883816e+00
1.771930e+01 7.31363397e+00
1.812500e+01 7.15865519e+00
1.828940e+01 7.21742203e+00
1.875000e+01 7.61179001e+00
1.885960e+01 7.82994761e+00
1.906250e+01 8.28370417e+00
1.937500e+01 9.44281026e+00
1.942980e+01 9.79437333e+00
1.968750e+01 1.14827483e+01
2.000000e+01 1.52546366e+01
2.016460e+01 1.86252069e+01
