53-I_n-tot
>  53-I-127:1.000000
1.000000e-05 3.12696000e+02
1.250000e-05 2.80076000e+02
1.500000e-05 2.55997000e+02
2.000000e-05 2.22198000e+02
2.750000e-05 1.90039000e+02
3.500000e-05 1.68874000e+02
4.250000e-05 1.53594000e+02
5.000000e-05 1.41897000e+02
6.250000e-05 1.27309000e+02
7.500000e-05 1.16541000e+02
1.000000e-04 1.01425000e+02
1.250000e-04 9.11101000e+01
1.500000e-04 8.34957000e+01
2.000000e-04 7.28075000e+01
2.750000e-04 6.26377000e+01
3.500000e-04 5.59447000e+01
4.250000e-04 5.11130000e+01
5.000000e-04 4.74140000e+01
6.250000e-04 4.28009000e+01
7.500000e-04 3.93957000e+01
1.000000e-03 3.46158000e+01
1.250000e-03 3.13539000e+01
1.500000e-03 2.89460000e+01
2.000000e-03 2.55661000e+01
2.750000e-03 2.23502000e+01
3.500000e-03 2.02338000e+01
4.250000e-03 1.87059000e+01
5.000000e-03 1.75362000e+01
6.250000e-03 1.60774000e+01
7.500000e-03 1.50006000e+01
1.000000e-02 1.34891000e+01
1.250000e-02 1.24576000e+01
1.500000e-02 1.16962000e+01
2.000000e-02 1.06274000e+01
2.530000e-02 9.86121000e+00
3.147500e-02 9.22574000e+00
3.765000e-02 8.75383000e+00
5.000000e-02 8.08776000e+00
6.250000e-02 7.62626000e+00
7.500000e-02 7.28551000e+00
1.000000e-01 6.80704000e+00
1.250000e-01 6.48031000e+00
1.500000e-01 6.23895000e+00
2.000000e-01 5.89975000e+00
2.750000e-01 5.57622000e+00
3.500000e-01 5.36255000e+00
5.000000e-01 5.08860000e+00
7.500000e-01 4.82785000e+00
1.000000e+00 4.66938000e+00
1.500000e+00 4.47535000e+00
2.000000e+00 4.35381000e+00
2.585000e+00 4.25371000e+00
3.170000e+00 4.17839000e+00
3.755000e+00 4.11966000e+00
4.047500e+00 4.10058000e+00
4.193750e+00 4.10660000e+00
4.266880e+00 4.13174000e+00
4.340000e+00 4.22409000e+00
4.410000e+00 4.38036000e+00
4.480000e+00 4.21536000e+00
4.545000e+00 4.11742000e+00
4.610000e+00 4.07911000e+00
4.740000e+00 4.04772000e+00
5.000000e+00 4.01916000e+00
5.625000e+00 3.97366000e+00
6.250000e+00 3.93520000e+00
7.500000e+00 3.86843000e+00
1.000000e+01 3.76124000e+00
1.031500e+01 3.75172000e+00
1.063000e+01 3.78843000e+00
1.070000e+01 3.83763000e+00
1.077000e+01 3.78382000e+00
1.094060e+01 3.73436000e+00
1.111130e+01 3.72338000e+00
1.145250e+01 3.71007000e+00
1.213500e+01 3.68836000e+00
1.350000e+01 3.65305000e+00
1.486500e+01 3.63209000e+00
1.623000e+01 3.68423000e+00
1.630000e+01 3.72977000e+00
1.637000e+01 3.68859000e+00
1.659690e+01 3.65848000e+00
1.682380e+01 3.66738000e+00
1.727750e+01 3.70338000e+00
1.818500e+01 3.88745000e+00
1.863880e+01 4.12296000e+00
1.909250e+01 4.66353000e+00
1.931940e+01 5.22923000e+00
1.954630e+01 6.30230000e+00
1.965970e+01 7.23587000e+00
1.977310e+01 8.70006000e+00
1.988660e+01 1.11767000e+01
2.000000e+01 1.58378000e+01
2.009420e+01 2.36869000e+01
2.014130e+01 3.06277000e+01
2.018850e+01 4.16846000e+01
2.023560e+01 6.07337000e+01
2.028270e+01 9.71707000e+01
2.030620e+01 1.28767000e+02
2.032980e+01 1.77265000e+02
2.034160e+01 2.11288000e+02
2.035340e+01 2.54487000e+02
2.036510e+01 3.09386000e+02
2.037690e+01 3.78426000e+02
2.039140e+01 4.84720000e+02
2.040600e+01 6.06586000e+02
2.043500e+01 7.61369000e+02
2.044950e+01 7.18600000e+02
2.046410e+01 6.12906000e+02
2.049310e+01 3.86333000e+02
2.051390e+01 2.73625000e+02
2.053470e+01 1.98952000e+02
2.055560e+01 1.49459000e+02
2.057640e+01 1.15824000e+02
2.061800e+01 7.52361000e+01
2.065970e+01 5.30189000e+01
2.070130e+01 3.96841000e+01
2.074290e+01 3.11013000e+01
2.082620e+01 2.11221000e+01
2.090950e+01 1.57734000e+01
