55-Cs_n-tot
> 55-Cs-133:1.000000
1.000000e-05 1.45884000e+03
1.250000e-05 1.30524000e+03
1.500000e-05 1.19187000e+03
2.000000e-05 1.03272000e+03
2.750000e-05 8.81293000e+02
3.500000e-05 7.81635000e+02
4.250000e-05 7.09691000e+02
5.000000e-05 6.54614000e+02
6.250000e-05 5.85925000e+02
7.500000e-05 5.35222000e+02
1.000000e-04 4.64050000e+02
1.250000e-04 4.15480000e+02
1.500000e-04 3.79628000e+02
2.000000e-04 3.29303000e+02
2.750000e-04 2.81419000e+02
3.500000e-04 2.49906000e+02
4.250000e-04 2.27156000e+02
5.000000e-04 2.09740000e+02
6.250000e-04 1.88021000e+02
7.500000e-04 1.71988000e+02
1.000000e-03 1.49485000e+02
1.250000e-03 1.34128000e+02
1.500000e-03 1.22793000e+02
2.000000e-03 1.06882000e+02
2.750000e-03 9.17453000e+01
3.500000e-03 8.17844000e+01
4.250000e-03 7.45943000e+01
5.000000e-03 6.90906000e+01
6.250000e-03 6.22277000e+01
7.500000e-03 5.71627000e+01
1.000000e-02 5.00552000e+01
1.250000e-02 4.52066000e+01
1.500000e-02 4.16289000e+01
2.000000e-02 3.66098000e+01
2.530000e-02 3.30149000e+01
3.147500e-02 3.00359000e+01
3.765000e-02 2.78260000e+01
5.000000e-02 2.47114000e+01
6.250000e-02 2.25579000e+01
7.500000e-02 2.09715000e+01
1.000000e-01 1.87510000e+01
1.250000e-01 1.72419000e+01
1.500000e-01 1.61326000e+01
2.000000e-01 1.45855000e+01
2.750000e-01 1.31305000e+01
3.500000e-01 1.21882000e+01
5.000000e-01 1.10194000e+01
7.500000e-01 9.98988000e+00
1.000000e+00 9.45086000e+00
1.500000e+00 9.01565000e+00
2.000000e+00 9.06843000e+00
2.750000e+00 9.95570000e+00
3.500000e+00 1.24752000e+01
3.875000e+00 1.50854000e+01
4.250000e+00 1.97703000e+01
4.625000e+00 2.92500000e+01
4.812500e+00 3.80542000e+01
5.000000e+00 5.28461000e+01
5.211700e+00 8.57903000e+01
5.317550e+00 1.16801000e+02
5.423400e+00 1.69752000e+02
5.529250e+00 2.71205000e+02
5.582180e+00 3.60733000e+02
5.635100e+00 5.03323000e+02
5.688030e+00 7.49313000e+02
5.714490e+00 9.44080000e+02
5.740950e+00 1.22221000e+03
5.767410e+00 1.63489000e+03
5.793880e+00 2.27329000e+03
5.820340e+00 3.29983000e+03
5.846800e+00 4.96815000e+03
5.878400e+00 7.94526000e+03
5.910000e+00 9.92791000e+03
5.941600e+00 7.94191000e+03
5.973200e+00 4.96557000e+03
6.000520e+00 3.25634000e+03
6.027850e+00 2.22128000e+03
6.055170e+00 1.58600000e+03
6.082490e+00 1.17944000e+03
6.137140e+00 7.18056000e+02
6.191780e+00 4.80275000e+02
6.246430e+00 3.43244000e+02
6.301070e+00 2.57547000e+02
6.410360e+00 1.60784000e+02
6.519650e+00 1.10440000e+02
6.628940e+00 8.10064000e+01
