56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.000000e-05 5.96555771e+01
1.250000e-05 5.33575938e+01
1.500000e-05 4.87085890e+01
2.000000e-05 4.21828717e+01
2.750000e-05 3.59737777e+01
3.500000e-05 3.18872792e+01
4.250000e-05 2.89372257e+01
5.000000e-05 2.66788141e+01
6.250000e-05 2.38622112e+01
7.500000e-05 2.17831469e+01
1.000000e-04 1.88647384e+01
1.250000e-04 1.68731320e+01
1.500000e-04 1.54029833e+01
2.000000e-04 1.33393659e+01
2.750000e-04 1.13758279e+01
3.500000e-04 1.00835867e+01
4.250000e-04 9.15070473e+00
5.000000e-04 8.43651614e+00
6.250000e-04 7.54583318e+00
7.500000e-04 6.88835930e+00
1.000000e-03 5.96547451e+00
1.250000e-03 5.33565715e+00
1.500000e-03 4.87074875e+00
2.000000e-03 4.21815658e+00
2.750000e-03 3.59720889e+00
3.500000e-03 3.18855280e+00
4.250000e-03 2.89352587e+00
5.000000e-03 2.66767224e+00
6.250000e-03 2.38599122e+00
7.500000e-03 2.17805950e+00
1.000000e-02 1.88617854e+00
1.250000e-02 1.68698232e+00
1.500000e-02 1.53993635e+00
2.000000e-02 1.33351892e+00
2.530000e-02 1.18554358e+00
3.147500e-02 1.06280335e+00
3.765000e-02 9.71652937e-01
5.000000e-02 8.42993435e-01
6.250000e-02 7.53848583e-01
7.500000e-02 6.88030912e-01
1.000000e-01 5.95618616e-01
1.250000e-01 5.32529903e-01
1.500000e-01 4.85942181e-01
2.000000e-01 4.20511882e-01
2.750000e-01 3.58199790e-01
3.500000e-01 3.17146234e-01
5.000000e-01 2.64744276e-01
7.500000e-01 2.15366518e-01
1.000000e+00 1.85844826e-01
1.500000e+00 1.50703161e-01
2.000000e+00 1.29672461e-01
2.750000e+00 1.09604353e-01
3.500000e+00 9.63859448e-02
5.000000e+00 7.96247066e-02
7.500000e+00 6.43761837e-02
1.000000e+01 5.63061592e-02
1.250000e+01 5.31263233e-02
1.500000e+01 5.30035932e-02
1.750000e+01 6.14631324e-02
1.875000e+01 7.23438345e-02
2.000000e+01 9.51704930e-02
2.053860e+01 1.13121292e-01
2.107730e+01 1.40677235e-01
2.161590e+01 1.85976265e-01
2.215460e+01 2.68086281e-01
