56-Ba_n-tot
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.000000e-05 6.38181286e+01
1.250000e-05 5.75201464e+01
1.500000e-05 5.28710698e+01
2.000000e-05 4.63453593e+01
2.750000e-05 4.01361994e+01
3.500000e-05 3.60497981e+01
4.250000e-05 3.30997717e+01
5.000000e-05 3.08412689e+01
6.250000e-05 2.80247039e+01
7.500000e-05 2.59456609e+01
1.000000e-04 2.30272376e+01
1.250000e-04 2.10356088e+01
1.500000e-04 1.95654638e+01
2.000000e-04 1.75018414e+01
2.750000e-04 1.55383236e+01
3.500000e-04 1.42460736e+01
4.250000e-04 1.33131753e+01
5.000000e-04 1.25989959e+01
6.250000e-04 1.17083060e+01
7.500000e-04 1.10508311e+01
1.000000e-03 1.01279449e+01
1.250000e-03 9.49813593e+00
1.500000e-03 9.03322468e+00
2.000000e-03 8.38062063e+00
2.750000e-03 7.75967133e+00
3.500000e-03 7.35099200e+00
4.250000e-03 7.05597028e+00
5.000000e-03 6.83009141e+00
6.250000e-03 6.54840046e+00
7.500000e-03 6.34045417e+00
1.000000e-02 6.04853565e+00
1.250000e-02 5.84930123e+00
1.500000e-02 5.70222349e+00
2.000000e-02 5.49574507e+00
2.530000e-02 5.34769646e+00
3.147500e-02 5.22487347e+00
3.765000e-02 5.13364348e+00
5.000000e-02 5.00482489e+00
6.250000e-02 4.91551049e+00
7.500000e-02 4.84952673e+00
1.000000e-01 4.75678803e+00
1.250000e-01 4.69336792e+00
1.500000e-01 4.64645511e+00
2.000000e-01 4.58036138e+00
2.750000e-01 4.51706684e+00
3.500000e-01 4.47503035e+00
5.000000e-01 4.42066299e+00
7.500000e-01 4.36802182e+00
1.000000e+00 4.33526017e+00
1.500000e+00 4.29367631e+00
2.000000e+00 4.26626528e+00
2.750000e+00 4.23673822e+00
3.500000e+00 4.21419217e+00
5.000000e+00 4.17912275e+00
7.500000e+00 4.13426663e+00
1.000000e+01 4.09746031e+00
1.250000e+01 4.06650357e+00
1.500000e+01 4.03756068e+00
1.750000e+01 4.01680116e+00
1.875000e+01 4.01155096e+00
2.000000e+01 4.01643003e+00
2.053860e+01 4.02622491e+00
2.107730e+01 4.04501313e+00
2.161590e+01 4.08094859e+00
2.215460e+01 4.15358158e+00
