57-La_n-g
> 57-La-139:1.000000
1.000000e-05 4.55088000e+02
1.250000e-05 4.07043000e+02
1.500000e-05 3.71578000e+02
2.000000e-05 3.21796000e+02
2.750000e-05 2.74428000e+02
3.500000e-05 2.43255000e+02
4.250000e-05 2.20750000e+02
5.000000e-05 2.03521000e+02
6.250000e-05 1.82035000e+02
7.500000e-05 1.66174000e+02
1.000000e-04 1.43911000e+02
1.250000e-04 1.28718000e+02
1.500000e-04 1.17503000e+02
2.000000e-04 1.01760000e+02
2.750000e-04 8.67810000e+01
3.500000e-04 7.69229000e+01
4.250000e-04 6.98062000e+01
5.000000e-04 6.43580000e+01
6.250000e-04 5.75633000e+01
7.500000e-04 5.25476000e+01
1.000000e-03 4.55071000e+01
1.250000e-03 4.07024000e+01
1.500000e-03 3.71557000e+01
2.000000e-03 3.21771000e+01
2.750000e-03 2.74400000e+01
3.500000e-03 2.43222000e+01
4.250000e-03 2.20714000e+01
5.000000e-03 2.03483000e+01
6.250000e-03 1.81992000e+01
7.500000e-03 1.66127000e+01
1.000000e-02 1.43857000e+01
1.250000e-02 1.28657000e+01
1.500000e-02 1.17436000e+01
2.000000e-02 1.01683000e+01
2.530000e-02 9.03892000e+00
3.147500e-02 8.10201000e+00
3.765000e-02 7.40613000e+00
5.000000e-02 6.42373000e+00
6.250000e-02 5.74287000e+00
7.500000e-02 5.24007000e+00
1.000000e-01 4.53386000e+00
1.250000e-01 4.05155000e+00
1.500000e-01 3.69527000e+00
2.000000e-01 3.19476000e+00
2.750000e-01 2.71826000e+00
3.500000e-01 2.40534000e+00
5.000000e-01 2.01671000e+00
6.057500e-01 1.88372000e+00
6.586250e-01 1.95317000e+00
6.850630e-01 2.18362000e+00
6.982810e-01 2.48339000e+00
7.115000e-01 3.09512000e+00
7.340000e-01 4.55035000e+00
7.565000e-01 3.08691000e+00
7.717190e-01 2.37378000e+00
7.869380e-01 2.03431000e+00
8.173750e-01 1.74952000e+00
8.782500e-01 1.55831000e+00
1.000000e+00 1.40681000e+00
1.250000e+00 1.23171000e+00
1.500000e+00 1.11045000e+00
2.000000e+00 9.41574000e-01
2.750000e+00 7.79571000e-01
3.500000e+00 6.71471000e-01
5.000000e+00 5.31327000e-01
7.500000e+00 3.96887000e-01
1.000000e+01 3.15840000e-01
1.500000e+01 2.20398000e-01
2.000000e+01 1.65578000e-01
2.750000e+01 1.17212000e-01
3.500000e+01 8.93674000e-02
4.250000e+01 7.33036000e-02
5.000000e+01 6.69343000e-02
5.556410e+01 7.16139000e-02
5.834620e+01 8.04868000e-02
6.112820e+01 9.95213000e-02
6.391030e+01 1.43586000e-01
6.530130e+01 1.88804000e-01
6.669230e+01 2.72344000e-01
6.738780e+01 3.43266000e-01
6.808330e+01 4.52145000e-01
6.877880e+01 6.31661000e-01
6.947440e+01 9.59164000e-01
6.982210e+01 1.23515000e+00
7.016990e+01 1.65664000e+00
7.051760e+01 2.34744000e+00
7.086540e+01 3.59769000e+00
7.103930e+01 4.64313000e+00
7.121310e+01 6.22761000e+00
7.138700e+01 8.79724000e+00
7.156090e+01 1.33760000e+01
7.164780e+01 1.71447000e+01
7.173480e+01 2.27680000e+01
7.182170e+01 3.16929000e+01
7.190870e+01 4.71047000e+01
7.195210e+01 5.93938000e+01
7.199560e+01 7.71710000e+01
7.203910e+01 1.04227000e+02
7.208250e+01 1.48232000e+02
7.212600e+01 2.26542000e+02
7.214770e+01 2.90548000e+02
7.216950e+01 3.84750000e+02
7.219120e+01 5.30383000e+02
7.221290e+01 7.68326000e+02
7.223470e+01 1.18050000e+03
7.225640e+01 1.91494000e+03
7.227820e+01 3.06275000e+03
7.230000e+01 3.82698000e+03
7.232180e+01 3.06124000e+03
7.234360e+01 1.91333000e+03
7.235710e+01 1.40907000e+03
7.237060e+01 1.05626000e+03
7.239760e+01 6.36327000e+02
7.242460e+01 4.17172000e+02
7.245160e+01 2.92095000e+02
7.247870e+01 2.15010000e+02
7.250570e+01 1.64490000e+02
7.255970e+01 1.04834000e+02
7.261370e+01 7.24441000e+01
7.266770e+01 5.29836000e+01
7.277570e+01 3.18180000e+01
7.288380e+01 2.11834000e+01
7.299180e+01 1.51048000e+01
7.309980e+01 1.13098000e+01
7.320790e+01 8.78366000e+00
7.342390e+01 5.73644000e+00
7.364000e+01 4.03938000e+00
7.385610e+01 2.99867000e+00
7.407210e+01 2.31503000e+00
7.450430e+01 1.50137000e+00
7.493640e+01 1.05426000e+00
7.536850e+01 7.82603000e-01
7.580070e+01 6.05348000e-01
7.666490e+01 3.95807000e-01
7.752920e+01 2.81396000e-01
7.839340e+01 2.12143000e-01
7.925770e+01 1.67041000e-01
8.098620e+01 1.13724000e-01
8.271480e+01 8.44971000e-02
8.617180e+01 5.48983000e-02
8.962890e+01 4.06585000e-02
9.308590e+01 3.25012000e-02
1.000000e+02 2.35752000e-02
1.125000e+02 1.60910000e-02
1.250000e+02 1.22249000e-02
1.500000e+02 8.03126000e-03
1.750000e+02 5.74868000e-03
2.000000e+02 4.33002000e-03
2.240900e+02 3.42128000e-03
2.361350e+02 3.11920000e-03
2.421580e+02 3.16886000e-03
2.451690e+02 3.91543000e-03
2.466740e+02 7.11587000e-03
2.470510e+02 1.04123000e-02
2.474270e+02 1.96574000e-02
2.476150e+02 3.22712000e-02
2.478040e+02 6.68613000e-02
2.478980e+02 1.12778000e-01
2.479450e+02 1.56858000e-01
2.479920e+02 2.33551000e-01
2.480390e+02 3.85791000e-01
2.480620e+02 5.24747000e-01
2.480860e+02 7.54592000e-01
2.481090e+02 1.17657000e+00
2.481210e+02 1.53137000e+00
2.481330e+02 2.06321000e+00
2.481450e+02 2.92279000e+00
2.481560e+02 4.38858000e+00
2.481680e+02 7.14533000e+00
2.481800e+02 1.25111000e+01
