60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
1.000000e-05 2.50405132e+03
1.250000e-05 2.23968875e+03
1.500000e-05 2.04454635e+03
1.778280e-05 1.87961310e+03
2.000000e-05 1.77062678e+03
2.500000e-05 1.59664416e+03
2.750000e-05 1.51010955e+03
3.125000e-05 1.41808899e+03
3.162280e-05 1.40898579e+03
3.500000e-05 1.33853211e+03
3.750000e-05 1.29711592e+03
4.250000e-05 1.21478924e+03
5.000000e-05 1.11983418e+03
5.623410e-05 1.05657249e+03
6.250000e-05 1.00774928e+03
7.500000e-05 9.14334900e+02
1.000000e-04 7.91832196e+02
1.250000e-04 7.08231513e+02
1.500000e-04 6.46519775e+02
1.778280e-04 5.94361287e+02
2.000000e-04 5.59894679e+02
2.750000e-04 4.77470560e+02
3.162280e-04 4.45563525e+02
3.500000e-04 4.23225165e+02
4.250000e-04 3.84062357e+02
5.000000e-04 3.54081705e+02
5.623410e-04 3.34073186e+02
6.250000e-04 3.18631684e+02
7.500000e-04 2.89087151e+02
1.000000e-03 2.50341077e+02
1.250000e-03 2.23897158e+02
1.500000e-03 2.04376451e+02
1.778280e-03 1.87875562e+02
2.000000e-03 1.76971770e+02
2.750000e-03 1.50892846e+02
3.162280e-03 1.40795794e+02
3.500000e-03 1.33726372e+02
4.250000e-03 1.21331273e+02
5.000000e-03 1.11840269e+02
5.623410e-03 1.05505401e+02
6.250000e-03 1.00615256e+02
7.500000e-03 9.12582885e+01
1.000000e-02 7.89810837e+01
1.250000e-02 7.05974334e+01
1.500000e-02 6.44048665e+01
1.778280e-02 5.91673841e+01
2.000000e-02 5.57046595e+01
2.530000e-02 4.94600783e+01
3.147500e-02 4.42896864e+01
3.162280e-02 4.41700199e+01
3.765000e-02 4.04164385e+01
5.000000e-02 3.49610357e+01
5.623410e-02 3.29340428e+01
6.250000e-02 3.13661240e+01
7.500000e-02 2.83644458e+01
1.000000e-01 2.44091522e+01
1.250000e-01 2.16950738e+01
1.500000e-01 1.96810105e+01
1.778280e-01 1.79689894e+01
2.000000e-01 1.68333142e+01
2.375000e-01 1.53358009e+01
2.750000e-01 1.40929920e+01
3.162280e-01 1.30209431e+01
3.500000e-01 1.22670137e+01
4.250000e-01 1.09533680e+01
5.000000e-01 9.90462805e+00
5.623410e-01 9.22182372e+00
7.500000e-01 7.63902600e+00
9.999990e-01 6.26658368e+00
1.000000e+00 6.26657852e+00
1.000010e+00 6.26654568e+00
1.000030e+00 6.26647916e+00
1.000050e+00 6.26640988e+00
1.000110e+00 6.26621115e+00
1.000210e+00 6.26587468e+00
1.000420e+00 6.26517083e+00
1.000830e+00 6.26379488e+00
1.001650e+00 6.26104214e+00
1.003310e+00 6.25547651e+00
1.006610e+00 6.24441121e+00
1.013220e+00 6.22226297e+00
1.026440e+00 6.17802205e+00
1.052880e+00 6.08975915e+00
1.105770e+00 5.91401349e+00
1.211530e+00 5.56545586e+00
1.211540e+00 5.56542329e+00
1.211550e+00 5.56539072e+00
1.211560e+00 5.56535649e+00
1.211590e+00 5.56525796e+00
1.211660e+00 5.56502998e+00
1.211780e+00 5.56463584e+00
1.212030e+00 5.56381581e+00
1.212530e+00 5.56217577e+00
1.213530e+00 5.55889650e+00
1.215540e+00 5.55230873e+00
1.219540e+00 5.53919748e+00
1.227550e+00 5.51295734e+00
1.243570e+00 5.46053097e+00
1.275600e+00 5.35591979e+00
1.339670e+00 5.14745517e+00
1.467800e+00 4.73339389e+00
1.467810e+00 4.73336132e+00
1.467820e+00 4.73332958e+00
1.467830e+00 4.73329701e+00
1.467860e+00 4.73320013e+00
1.467930e+00 4.73297547e+00
1.468050e+00 4.73258879e+00
1.468310e+00 4.73175279e+00
1.468810e+00 4.73014425e+00
1.469810e+00 4.72692553e+00
1.471830e+00 4.72042709e+00
1.475850e+00 4.70749535e+00
1.483900e+00 4.68160925e+00
1.500000e+00 4.62987685e+00
1.534790e+00 4.55653374e+00
1.569570e+00 4.48343694e+00
1.639140e+00 4.33787692e+00
1.778280e+00 4.04922237e+00
1.778290e+00 4.04920597e+00
1.778300e+00 4.04918874e+00
1.778310e+00 4.04917151e+00
1.778340e+00 4.04912066e+00
1.778390e+00 4.04903451e+00
1.778500e+00 4.04884582e+00
1.778720e+00 4.04846926e+00
1.779150e+00 4.04773338e+00
1.780010e+00 4.04625996e+00
1.781750e+00 4.04328198e+00
1.785210e+00 4.03736048e+00
1.792140e+00 4.02550522e+00
1.806000e+00 4.00181875e+00
1.833710e+00 3.95455427e+00
1.889140e+00 3.86037048e+00
2.000000e+00 3.67345086e+00
2.154430e+00 3.49429128e+00
2.154440e+00 3.49427993e+00
2.154460e+00 3.49425722e+00
2.154480e+00 3.49423369e+00
2.154540e+00 3.49416557e+00
2.154640e+00 3.49405038e+00
2.154850e+00 3.49380948e+00
2.155260e+00 3.49333903e+00
2.156100e+00 3.49237543e+00
2.157760e+00 3.49047176e+00
2.161090e+00 3.48665390e+00
2.167740e+00 3.47903617e+00
2.181050e+00 3.46381091e+00
2.207670e+00 3.43345493e+00
2.260910e+00 3.37312445e+00
2.367390e+00 3.25408891e+00
2.580350e+00 3.02361009e+00
2.610160e+00 2.99230617e+00
2.610170e+00 2.99229565e+00
2.610180e+00 2.99228512e+00
2.610200e+00 2.99226407e+00
2.610230e+00 2.99223250e+00
2.610300e+00 2.99215967e+00
2.610430e+00 2.99202369e+00
2.610700e+00 2.99174121e+00
2.611240e+00 2.99117708e+00
2.612310e+00 2.99005934e+00
2.614460e+00 2.98781333e+00
2.618760e+00 2.98332547e+00
2.627370e+00 2.97435663e+00
2.644570e+00 2.95651298e+00
2.678980e+00 2.92110874e+00
2.747800e+00 2.85158152e+00
2.750000e+00 2.84945654e+00
2.885430e+00 2.76811352e+00
3.160700e+00 2.63983678e+00
3.162280e+00 2.63930804e+00
3.162290e+00 2.63930577e+00
3.162300e+00 2.63930473e+00
3.162320e+00 2.63930018e+00
3.162360e+00 2.63929272e+00
