60-Nd_n-tot
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
1.000000e-05 2.52011961e+03
1.250000e-05 2.25574513e+03
1.500000e-05 2.06060193e+03
1.778280e-05 1.89565746e+03
2.000000e-05 1.78667042e+03
2.500000e-05 1.61268469e+03
2.750000e-05 1.52614875e+03
3.125000e-05 1.43411774e+03
3.162280e-05 1.42501348e+03
3.500000e-05 1.35455861e+03
3.750000e-05 1.31314182e+03
4.250000e-05 1.23081408e+03
5.000000e-05 1.13585347e+03
5.623410e-05 1.07258930e+03
6.250000e-05 1.02376470e+03
7.500000e-05 9.30348081e+02
1.000000e-04 8.07840259e+02
1.250000e-04 7.24237242e+02
1.500000e-04 6.62524475e+02
1.778280e-04 6.10363538e+02
2.000000e-04 5.75896838e+02
2.750000e-04 4.93468876e+02
3.162280e-04 4.61559410e+02
3.500000e-04 4.39220970e+02
4.250000e-04 4.00058166e+02
5.000000e-04 3.70075343e+02
5.623410e-04 3.50066820e+02
6.250000e-04 3.34624502e+02
7.500000e-04 3.05078066e+02
1.000000e-03 2.66329718e+02
1.250000e-03 2.39884392e+02
1.500000e-03 2.20362448e+02
1.778280e-03 2.03860235e+02
2.000000e-03 1.92955208e+02
2.750000e-03 1.66873301e+02
3.162280e-03 1.56774764e+02
3.500000e-03 1.49703707e+02
4.250000e-03 1.37305821e+02
5.000000e-03 1.27812177e+02
5.623410e-03 1.21475268e+02
6.250000e-03 1.16583033e+02
7.500000e-03 1.07221928e+02
1.000000e-02 9.49365531e+01
1.250000e-02 8.65448936e+01
1.500000e-02 8.03444102e+01
1.778280e-02 7.50979727e+01
2.000000e-02 7.16283726e+01
2.530000e-02 6.53673028e+01
3.147500e-02 6.01776430e+01
3.162280e-02 6.00575162e+01
3.765000e-02 5.62853877e+01
5.000000e-02 5.07920314e+01
5.623410e-02 4.87459279e+01
6.250000e-02 4.71589887e+01
7.500000e-02 4.41194081e+01
1.000000e-01 4.00889425e+01
1.250000e-01 3.73005672e+01
1.500000e-01 3.52130556e+01
1.778280e-01 3.34201446e+01
2.000000e-01 3.22207142e+01
2.375000e-01 3.06168851e+01
2.750000e-01 2.92691970e+01
3.162280e-01 2.80838384e+01
3.500000e-01 2.72385503e+01
4.250000e-01 2.57263917e+01
5.000000e-01 2.44851055e+01
5.623410e-01 2.36466639e+01
7.500000e-01 2.16175151e+01
9.999990e-01 1.96984697e+01
1.000000e+00 1.96984624e+01
1.000010e+00 1.96984049e+01
1.000030e+00 1.96983066e+01
1.000050e+00 1.96981916e+01
1.000110e+00 1.96978799e+01
1.000210e+00 1.96973548e+01
1.000420e+00 1.96962473e+01
1.000830e+00 1.96940896e+01
1.001650e+00 1.96897742e+01
1.003310e+00 1.96810367e+01
1.006610e+00 1.96636602e+01
1.013220e+00 1.96288829e+01
1.026440e+00 1.95593864e+01
1.052880e+00 1.94206172e+01
1.105770e+00 1.91438507e+01
1.211530e+00 1.85933848e+01
1.211540e+00 1.85933356e+01
1.211550e+00 1.85932782e+01
1.211560e+00 1.85932290e+01
1.211590e+00 1.85930731e+01
1.211660e+00 1.85927122e+01
1.211780e+00 1.85920888e+01
1.212030e+00 1.85907927e+01
1.212530e+00 1.85881924e+01
1.213530e+00 1.85830082e+01
1.215540e+00 1.85725823e+01
1.219540e+00 1.85518373e+01
1.227550e+00 1.85103064e+01
1.243570e+00 1.84273108e+01
1.275600e+00 1.82615846e+01
1.339670e+00 1.79308872e+01
1.467800e+00 1.72725107e+01
1.467810e+00 1.72724615e+01
1.467820e+00 1.72724123e+01
1.467830e+00 1.72723549e+01
1.467860e+00 1.72721990e+01
1.467930e+00 1.72718464e+01
1.468050e+00 1.72712313e+01
1.468310e+00 1.72698943e+01
1.468810e+00 1.72673354e+01
1.469810e+00 1.72622093e+01
1.471830e+00 1.72518669e+01
1.475850e+00 1.72312640e+01
1.483900e+00 1.71900422e+01
1.500000e+00 1.71076234e+01
1.534790e+00 1.69763500e+01
1.569570e+00 1.68453528e+01
1.639140e+00 1.65840028e+01
1.778280e+00 1.60639232e+01
1.778290e+00 1.60638922e+01
1.778300e+00 1.60638612e+01
1.778310e+00 1.60638219e+01
1.778340e+00 1.60637290e+01
1.778390e+00 1.60635658e+01
1.778500e+00 1.60632084e+01
1.778720e+00 1.60624935e+01
1.779150e+00 1.60610949e+01
1.780010e+00 1.60583059e+01
1.781750e+00 1.60526576e+01
1.785210e+00 1.60414312e+01
1.792140e+00 1.60189475e+01
1.806000e+00 1.59740050e+01
1.833710e+00 1.58842504e+01
1.889140e+00 1.57050835e+01
2.000000e+00 1.53483006e+01
2.154430e+00 1.49653120e+01
2.154440e+00 1.49652882e+01
2.154460e+00 1.49652405e+01
2.154480e+00 1.49651929e+01
2.154540e+00 1.49650416e+01
2.154640e+00 1.49647951e+01
2.154850e+00 1.49642781e+01
2.155260e+00 1.49632681e+01
2.156100e+00 1.49612003e+01
2.157760e+00 1.49571041e+01
2.161090e+00 1.49488962e+01
2.167740e+00 1.49325042e+01
2.181050e+00 1.48997213e+01
2.207670e+00 1.48342632e+01
2.260910e+00 1.47037535e+01
2.367390e+00 1.44444341e+01
2.580350e+00 1.39337731e+01
2.610160e+00 1.38633018e+01
2.610170e+00 1.38632780e+01
2.610180e+00 1.38632542e+01
2.610200e+00 1.38632065e+01
2.610230e+00 1.38631350e+01
2.610300e+00 1.38629682e+01
2.610430e+00 1.38626585e+01
2.610700e+00 1.38620235e+01
2.611240e+00 1.38607534e+01
2.612310e+00 1.38582289e+01
2.614460e+00 1.38531559e+01
2.618760e+00 1.38430183e+01
2.627370e+00 1.38227359e+01
2.644570e+00 1.37823015e+01
2.678980e+00 1.37017076e+01
2.747800e+00 1.35418467e+01
2.750000e+00 1.35368376e+01
2.885430e+00 1.33059050e+01
3.160700e+00 1.28747330e+01
3.162280e+00 1.28725144e+01
3.162290e+00 1.28725442e+01
3.162300e+00 1.28725367e+01
3.162320e+00 1.28725051e+01
3.162360e+00 1.28724586e+01
