63-Eu_n-g
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.000000e-05 3.34503624e+05
1.308710e-05 2.92386425e+05
1.500000e-05 2.73129944e+05
1.617430e-05 2.62992782e+05
2.000000e-05 2.36491047e+05
2.234860e-05 2.23710943e+05
2.750000e-05 2.01673213e+05
2.852290e-05 1.98003025e+05
3.161010e-05 1.88096043e+05
3.469720e-05 1.79505758e+05
3.500000e-05 1.78730863e+05
3.575290e-05 1.76847180e+05
3.650570e-05 1.75020396e+05
3.801150e-05 1.71526980e+05
4.102300e-05 1.65111005e+05
4.704590e-05 1.54126440e+05
5.000000e-05 1.49496513e+05
5.939450e-05 1.37143972e+05
7.174310e-05 1.24758995e+05
7.500000e-05 1.22020546e+05
8.409170e-05 1.15212178e+05
1.000000e-04 1.05624058e+05
1.087890e-04 1.01253221e+05
1.334860e-04 9.13712725e+04
1.500000e-04 8.61778057e+04
1.581830e-04 8.39020479e+04
1.790920e-04 7.88376277e+04
2.000000e-04 7.45663818e+04
2.075780e-04 7.31833587e+04
2.322760e-04 6.91559082e+04
2.569730e-04 6.57222795e+04
2.750000e-04 6.35181559e+04
3.063670e-04 6.01435726e+04
3.500000e-04 5.62419931e+04
4.051560e-04 5.22161654e+04
5.000000e-04 4.69313366e+04
5.039450e-04 4.67443152e+04
5.162940e-04 4.61726691e+04
5.286420e-04 4.56211088e+04
5.533400e-04 4.45735731e+04
6.027340e-04 4.26740708e+04
7.500000e-04 3.81711730e+04
8.003130e-04 3.69157851e+04
9.978910e-04 3.29547421e+04
1.000000e-03 3.29188604e+04
1.006110e-03 3.28155481e+04
1.012220e-03 3.27131754e+04
1.024430e-03 3.25111327e+04
1.048870e-03 3.21175814e+04
1.097740e-03 3.13698644e+04
1.195470e-03 3.00130133e+04
1.500000e-03 2.66671490e+04
1.590620e-03 2.58547031e+04
1.788200e-03 2.43108190e+04
1.985780e-03 2.29936978e+04
2.000000e-03 2.29066107e+04
2.047620e-03 2.26214511e+04
2.095240e-03 2.23458857e+04
2.190470e-03 2.18214831e+04
2.380940e-03 2.08669373e+04
2.750000e-03 1.93027778e+04
2.776100e-03 1.92125092e+04
3.171250e-03 1.78548634e+04
3.500000e-03 1.69096999e+04
3.961560e-03 1.57764106e+04
4.751870e-03 1.42268062e+04
5.000000e-03 1.38154123e+04
5.666250e-03 1.28433936e+04
6.332500e-03 1.20237293e+04
7.500000e-03 1.08521119e+04
7.913120e-03 1.04970468e+04
9.493750e-03 9.35544920e+03
1.000000e-02 9.04610697e+03
1.132750e-02 8.33203632e+03
1.265500e-02 7.72932233e+03
1.500000e-02 6.86161557e+03
1.581620e-02 6.60337514e+03
1.897750e-02 5.76528487e+03
2.000000e-02 5.53710149e+03
2.213870e-02 5.11202335e+03
2.265000e-02 5.02655258e+03
2.530000e-02 4.58570947e+03
2.530010e-02 4.58569624e+03
2.530020e-02 4.58568275e+03
2.530040e-02 4.58565577e+03
2.530080e-02 4.58560234e+03
2.530160e-02 4.58549546e+03
2.530320e-02 4.58528171e+03
2.530640e-02 4.58485420e+03
2.531280e-02 4.58399920e+03
2.532560e-02 4.58228866e+03
2.535120e-02 4.57886862e+03
2.540250e-02 4.57201506e+03
2.550490e-02 4.55833648e+03
2.570990e-02 4.53096018e+03
2.611970e-02 4.47626065e+03
2.693940e-02 4.36695404e+03
2.857870e-02 4.14873948e+03
2.954580e-02 4.02039051e+03
3.185740e-02 3.77507231e+03
3.379150e-02 3.57096559e+03
3.765000e-02 3.23525649e+03
3.803730e-02 3.20463574e+03
3.841490e-02 3.17569340e+03
3.909880e-02 3.12374422e+03
4.016020e-02 3.04667927e+03
4.228310e-02 2.90236458e+03
5.000000e-02 2.46793308e+03
5.077460e-02 2.43103541e+03
5.152970e-02 2.39685206e+03
5.289750e-02 2.33505730e+03
5.480840e-02 2.25483300e+03
5.502040e-02 2.24595621e+03
5.808720e-02 2.13047372e+03
5.926620e-02 2.08624022e+03
6.464460e-02 1.92116023e+03
