63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.000000e-05 3.34511825e+05
1.308710e-05 2.92394573e+05
1.500000e-05 2.73138125e+05
1.617430e-05 2.63001461e+05
2.000000e-05 2.36499195e+05
2.234860e-05 2.23719569e+05
2.750000e-05 2.01681361e+05
2.852290e-05 1.98011173e+05
3.161010e-05 1.88104207e+05
3.469720e-05 1.79513937e+05
3.500000e-05 1.78739521e+05
3.575290e-05 1.76855359e+05
3.650570e-05 1.75028575e+05
3.801150e-05 1.71535158e+05
4.102300e-05 1.65119182e+05
4.704590e-05 1.54134614e+05
5.000000e-05 1.49505165e+05
5.939450e-05 1.37152146e+05
7.174310e-05 1.24767647e+05
7.500000e-05 1.22028721e+05
8.409170e-05 1.15220352e+05
1.000000e-04 1.05632232e+05
1.087890e-04 1.01261395e+05
1.334860e-04 9.13794468e+04
1.500000e-04 8.61859800e+04
1.581830e-04 8.39102222e+04
1.790920e-04 7.88458019e+04
2.000000e-04 7.45745560e+04
2.075780e-04 7.31920111e+04
2.322760e-04 6.91640825e+04
2.569730e-04 6.57304538e+04
2.750000e-04 6.35263301e+04
3.063670e-04 6.01517469e+04
3.500000e-04 5.62501674e+04
4.051560e-04 5.22243396e+04
5.000000e-04 4.69396065e+04
5.039450e-04 4.67525373e+04
5.162940e-04 4.61809337e+04
5.286420e-04 4.56293734e+04
5.533400e-04 4.45818430e+04
6.027340e-04 4.26823407e+04
7.500000e-04 3.81793951e+04
8.003130e-04 3.69240550e+04
9.978910e-04 3.29629642e+04
1.000000e-03 3.29270825e+04
1.006110e-03 3.28237702e+04
1.012220e-03 3.27213923e+04
1.024430e-03 3.25193496e+04
1.048870e-03 3.21257982e+04
1.097740e-03 3.13780812e+04
1.195470e-03 3.00211876e+04
1.500000e-03 2.66753671e+04
1.590620e-03 2.58628721e+04
1.788200e-03 2.43189881e+04
1.985780e-03 2.30018669e+04
2.000000e-03 2.29147320e+04
2.047620e-03 2.26296201e+04
2.095240e-03 2.23540496e+04
2.190470e-03 2.18296469e+04
2.380940e-03 2.08751064e+04
2.750000e-03 1.93108991e+04
2.776100e-03 1.92206305e+04
3.171250e-03 1.78629794e+04
3.500000e-03 1.69177677e+04
3.961560e-03 1.57844299e+04
4.751870e-03 1.42347757e+04
5.000000e-03 1.38234291e+04
5.666250e-03 1.28513126e+04
6.332500e-03 1.20316463e+04
7.500000e-03 1.08599780e+04
7.913120e-03 1.05048639e+04
9.493750e-03 9.36316605e+03
1.000000e-02 9.05382225e+03
