64-Gd_n-g
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.000000e-05 1.88072168e+06
1.250000e-05 1.68342072e+06
1.258930e-05 1.67637329e+06
1.260000e-05 1.67552887e+06
1.500000e-05 1.54112387e+06
1.580000e-05 1.49632338e+06
1.584890e-05 1.49438720e+06
1.995260e-05 1.33190511e+06
2.000000e-05 1.33002837e+06
2.016000e-05 1.32555118e+06
2.031990e-05 1.32107680e+06
2.063990e-05 1.31212245e+06
2.127970e-05 1.29421937e+06
2.255950e-05 1.25840772e+06
2.510000e-05 1.18731923e+06
2.511890e-05 1.18694398e+06
2.750000e-05 1.13966958e+06
3.160000e-05 1.05827117e+06
3.162280e-05 1.05795086e+06
3.500000e-05 1.01050642e+06
3.980000e-05 9.43075749e+05
3.981070e-05 9.42969209e+05
4.250000e-05 9.16192284e+05
5.000000e-05 8.41517814e+05
5.010000e-05 8.40678842e+05
5.011870e-05 8.40523101e+05
5.050630e-05 8.37295032e+05
5.052420e-05 8.37147761e+05
5.091250e-05 8.33953053e+05
5.092980e-05 8.33813242e+05
5.172500e-05 8.27386766e+05
5.174080e-05 8.27263471e+05
5.335000e-05 8.14706090e+05
5.336300e-05 8.14611287e+05
5.660000e-05 7.91005518e+05
5.660720e-05 7.90959238e+05
6.250000e-05 7.53082063e+05
6.309570e-05 7.49253172e+05
6.310000e-05 7.49225533e+05
7.500000e-05 6.89969691e+05
7.940000e-05 6.68060542e+05
7.943280e-05 6.67944946e+05
1.000000e-04 5.95461756e+05
1.250000e-04 5.33170594e+05
1.258930e-04 5.30945603e+05
1.260000e-04 5.30679006e+05
1.500000e-04 4.88262392e+05
1.580000e-04 4.74123890e+05
1.584890e-04 4.73513164e+05
1.995260e-04 4.22261707e+05
2.000000e-04 4.21669728e+05
2.016000e-04 4.20258506e+05
2.031990e-04 4.18848168e+05
2.063990e-04 4.16025728e+05
2.127970e-04 4.10382622e+05
2.255950e-04 3.99094679e+05
2.510000e-04 3.76687363e+05
2.511890e-04 3.76569177e+05
2.750000e-04 3.61679768e+05
3.160000e-04 3.36042760e+05
3.162280e-04 3.35941984e+05
3.500000e-04 3.21014941e+05
3.980000e-04 2.99799804e+05
3.981070e-04 2.99766329e+05
4.250000e-04 2.91353031e+05
5.000000e-04 2.67890349e+05
5.010000e-04 2.67626272e+05
5.011870e-04 2.67577377e+05
5.050630e-04 2.66563934e+05
5.052420e-04 2.66517714e+05
5.091250e-04 2.65515068e+05
5.092980e-04 2.65471190e+05
5.172500e-04 2.63454324e+05
5.174080e-04 2.63415632e+05
5.335000e-04 2.59474911e+05
5.336300e-04 2.59445165e+05
5.660000e-04 2.52038324e+05
5.660720e-04 2.52023814e+05
6.250000e-04 2.40148830e+05
6.309570e-04 2.38948423e+05
6.310000e-04 2.38939758e+05
7.500000e-04 2.20390987e+05
7.940000e-04 2.13532800e+05
7.943280e-04 2.13496711e+05
1.000000e-03 1.90867617e+05
1.250000e-03 1.71485061e+05
1.260000e-03 1.70709777e+05
1.500000e-03 1.57566277e+05
1.580000e-03 1.53185227e+05
2.000000e-03 1.37017577e+05
2.510000e-03 1.23244185e+05
2.750000e-03 1.18686846e+05
3.160000e-03 1.10901697e+05
3.500000e-03 1.06384751e+05
3.980000e-03 1.00008077e+05
4.250000e-03 9.75010619e+04
5.000000e-03 9.05373131e+04
5.010000e-03 9.04596163e+04
5.050630e-03 9.01468112e+04
5.091250e-03 8.98378848e+04
5.172500e-03 8.92316254e+04
5.335000e-03 8.80629134e+04
5.660000e-03 8.58860015e+04
6.250000e-03 8.24263527e+04
6.310000e-03 8.20745333e+04
7.500000e-03 7.67469039e+04
7.940000e-03 7.47770816e+04
1.000000e-02 6.83848386e+04
1.250000e-02 6.29941951e+04
1.259000e-02 6.28001369e+04
1.500000e-02 5.91385765e+04
1.585000e-02 5.78471942e+04
1.995000e-02 5.32987399e+04
2.000000e-02 5.32504760e+04
2.016000e-02 5.30962822e+04
2.032000e-02 5.29436068e+04
2.064000e-02 5.26416272e+04
2.128000e-02 5.20518462e+04
2.256000e-02 5.09201081e+04
2.512000e-02 4.88030637e+04
2.530000e-02 4.86598326e+04
2.567500e-02 4.83634701e+04
2.568130e-02 4.83585002e+04
2.569500e-02 4.83477578e+04
2.605000e-02 4.80693969e+04
2.606250e-02 4.80596201e+04
2.609000e-02 4.80383054e+04
2.680000e-02 4.74879975e+04
2.682500e-02 4.74687359e+04
2.688000e-02 4.74269700e+04
2.835000e-02 4.63106827e+04
2.846000e-02 4.62287258e+04
2.921000e-02 4.56699306e+04
3.140000e-02 4.40499359e+04
3.147500e-02 4.39949789e+04
3.162000e-02 4.38887308e+04
3.213190e-02 4.35177005e+04
3.264380e-02 4.31471396e+04
3.366750e-02 4.24074413e+04
3.571500e-02 4.09311597e+04
3.765000e-02 3.95377673e+04
3.981000e-02 3.79823775e+04
5.000000e-02 3.08597681e+04
5.012000e-02 3.07788497e+04
5.052560e-02 3.05059135e+04
5.093130e-02 3.02342420e+04
5.174250e-02 2.96943798e+04
5.336500e-02 2.86294358e+04
5.661000e-02 2.65664067e+04
6.250000e-02 2.31022980e+04
6.310000e-02 2.27494206e+04
7.126500e-02 1.86020196e+04
7.500000e-02 1.70401563e+04
7.943000e-02 1.51876837e+04
8.085200e-02 1.46876880e+04
8.523700e-02 1.31687300e+04
8.563900e-02 1.30484905e+04
9.042600e-02 1.16517893e+04
9.261850e-02 1.10323590e+04
1.000000e-01 9.27721358e+03
1.064730e-01 8.01639436e+03
1.129450e-01 6.96184080e+03
1.194180e-01 6.07696089e+03
1.250000e-01 5.43396056e+03
1.258900e-01 5.33144149e+03
1.340400e-01 4.55309701e+03
1.421900e-01 3.91746460e+03
1.500000e-01 3.41618641e+03
1.503400e-01 3.39436432e+03
1.584900e-01 2.96057540e+03
1.687500e-01 2.51418753e+03
1.790100e-01 2.15423818e+03
1.892700e-01 1.86091718e+03
1.995300e-01 1.61955149e+03
2.000000e-01 1.60954760e+03
2.016000e-01 1.57612807e+03
2.031990e-01 1.54365534e+03
2.063990e-01 1.48140802e+03
2.127980e-01 1.36688229e+03
2.255950e-01 1.17185768e+03
2.375000e-01 1.02433075e+03
2.383930e-01 1.01326499e+03
2.511900e-01 8.82914476e+02
2.674500e-01 7.48648327e+02
2.750000e-01 6.98754075e+02
2.837100e-01 6.41199322e+02
2.999700e-01 5.54111892e+02
3.162300e-01 4.82714415e+02
3.367000e-01 4.09934547e+02
3.500000e-01 3.72087441e+02
3.571700e-01 3.51688164e+02
3.776400e-01 3.04468000e+02
3.981100e-01 2.65737080e+02
4.235830e-01 2.26636309e+02
4.490550e-01 1.95240344e+02
5.000000e-01 1.48702731e+02
5.011900e-01 1.47815344e+02
5.052450e-01 1.44848229e+02
5.093010e-01 1.41966478e+02
5.174110e-01 1.36446209e+02
5.336330e-01 1.26300946e+02
5.660750e-01 1.09053376e+02
6.309600e-01 8.35449596e+01
7.126450e-01 6.30585271e+01
7.500000e-01 5.63892392e+01
7.943300e-01 4.84850084e+01
8.971650e-01 3.74412713e+01
1.000000e+00 2.96308243e+01
1.129470e+00 2.41110247e+01
1.258930e+00 2.03776327e+01
1.421910e+00 1.85957557e+01
1.500000e+00 1.91196292e+01
1.584890e+00 1.96961020e+01
1.676870e+00 2.26012453e+01
1.768850e+00 2.92403102e+01
1.790080e+00 3.23801116e+01
1.814830e+00 3.61289066e+01
1.860820e+00 4.89400412e+01
1.883820e+00 5.97978757e+01
1.906810e+00 7.62821117e+01
1.929810e+00 1.02341322e+02
1.941300e+00 1.20824761e+02
1.952800e+00 1.44070658e+02
1.963420e+00 1.70098202e+02
1.974030e+00 1.99692282e+02
1.995260e+00 2.54551410e+02
2.000000e+00 2.61844714e+02
2.008000e+00 2.66791804e+02
2.016000e+00 2.58437126e+02
2.021800e+00 2.52381686e+02
2.031990e+00 2.27123977e+02
2.035600e+00 2.18177635e+02
2.063200e+00 1.46466919e+02
2.063990e+00 1.45195121e+02
2.091230e+00 1.01370252e+02
2.119250e+00 7.78783975e+01
2.127970e+00 7.42293440e+01
2.147280e+00 6.62020353e+01
2.175300e+00 6.10944346e+01
2.231350e+00 6.21488733e+01
2.255950e+00 6.76598029e+01
2.287400e+00 7.49158829e+01
2.343450e+00 1.03140761e+02
2.371480e+00 1.27187305e+02
2.383920e+00 1.43067260e+02
2.399500e+00 1.63119637e+02
2.427530e+00 2.18863382e+02
2.447900e+00 2.84927248e+02
2.455550e+00 3.09851275e+02
2.483580e+00 4.67004944e+02
2.497590e+00 5.86741142e+02
2.511600e+00 7.45207461e+02
2.511890e+00 7.48944328e+02
2.512770e+00 7.60387329e+02
2.513640e+00 7.72002821e+02
2.515400e+00 7.95736862e+02
2.518900e+00 8.45243047e+02
2.525920e+00 9.51720395e+02
2.539950e+00 1.18177286e+03
2.568000e+00 1.46412321e+03
2.577990e+00 1.35982727e+03
2.596200e+00 1.17060464e+03
2.611040e+00 9.42937128e+02
2.624400e+00 7.38827044e+02
2.641210e+00 5.57540620e+02
2.644100e+00 5.35622622e+02
2.658020e+00 4.31692777e+02
2.677150e+00 3.47751506e+02
2.691640e+00 2.87626826e+02
2.710200e+00 2.51501317e+02
2.725250e+00 2.30266294e+02
2.743250e+00 2.23821654e+02
2.750000e+00 2.26837913e+02
2.758870e+00 2.30801710e+02
2.759780e+00 2.31702826e+02
2.776300e+00 2.62873476e+02
2.788480e+00 2.97133698e+02
2.792490e+00 3.10499842e+02
2.800650e+00 3.40173695e+02
2.825000e+00 3.89344041e+02
2.826110e+00 3.85704069e+02
2.849350e+00 3.15017591e+02
2.873700e+00 2.09597047e+02
2.891740e+00 1.54272723e+02
2.893340e+00 1.50890004e+02
2.909770e+00 1.18743608e+02
2.927810e+00 9.45749220e+01
2.945850e+00 7.72604661e+01
2.960580e+00 6.77359748e+01
2.981920e+00 5.55388678e+01
3.017990e+00 4.25600270e+01
3.027810e+00 4.00146885e+01
3.054060e+00 3.45740903e+01
3.090140e+00 2.90115171e+01
3.162280e+00 2.07479322e+01
3.259460e+00 1.51610798e+01
3.264630e+00 1.49344821e+01
3.356640e+00 1.20921165e+01
3.366980e+00 1.19199452e+01
3.453820e+00 1.09527261e+01
3.469330e+00 1.11341769e+01
3.500000e+00 1.15771630e+01
3.502410e+00 1.16120042e+01
3.551000e+00 1.43809912e+01
3.571680e+00 1.62701318e+01
3.616000e+00 2.04067486e+01
3.681000e+00 1.28798264e+01
3.718510e+00 9.64192262e+00
3.756020e+00 7.84907601e+00
3.776370e+00 7.35599686e+00
3.831040e+00 6.09966172e+00
3.981070e+00 4.64747340e+00
4.235800e+00 3.68323025e+00
4.250000e+00 3.65606872e+00
