64-Gd_n-tot
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
1.000000e-05 1.88084849e+06
1.250000e-05 1.68354754e+06
1.258930e-05 1.67650011e+06
1.260000e-05 1.67565569e+06
1.500000e-05 1.54124958e+06
1.580000e-05 1.49644872e+06
1.584890e-05 1.49451254e+06
1.995260e-05 1.33203045e+06
2.000000e-05 1.33015371e+06
2.016000e-05 1.32567647e+06
2.031990e-05 1.32120204e+06
2.063990e-05 1.31224760e+06
2.127970e-05 1.29434432e+06
2.255950e-05 1.25853228e+06
2.510000e-05 1.18744300e+06
2.511890e-05 1.18706776e+06
2.750000e-05 1.13979394e+06
3.160000e-05 1.05839651e+06
3.162280e-05 1.05807620e+06
3.500000e-05 1.01063176e+06
3.980000e-05 9.43201089e+05
3.981070e-05 9.43094547e+05
4.250000e-05 9.16317209e+05
5.000000e-05 8.41641589e+05
5.010000e-05 8.40802616e+05
5.011870e-05 8.40646948e+05
5.050630e-05 8.37420371e+05
5.052420e-05 8.37273031e+05
5.091250e-05 8.34076828e+05
5.092980e-05 8.33937016e+05
5.172500e-05 8.27510541e+05
5.174080e-05 8.27387245e+05
5.335000e-05 8.14829864e+05
5.336300e-05 8.14735062e+05
5.660000e-05 7.91129293e+05
5.660720e-05 7.91083013e+05
6.250000e-05 7.53205971e+05
6.309570e-05 7.49377094e+05
6.310000e-05 7.49349456e+05
7.500000e-05 6.90094756e+05
7.940000e-05 6.68186029e+05
7.943280e-05 6.68070433e+05
1.000000e-04 5.95587243e+05
1.250000e-04 5.33294577e+05
1.258930e-04 5.31069532e+05
1.260000e-04 5.30802928e+05
1.500000e-04 4.88386426e+05
1.580000e-04 4.74247961e+05
1.584890e-04 4.73637251e+05
1.995260e-04 4.22387178e+05
2.000000e-04 4.21795215e+05
2.016000e-04 4.20383945e+05
2.031990e-04 4.18973557e+05
2.063990e-04 4.16151019e+05
2.127970e-04 4.10507717e+05
2.255950e-04 3.99219381e+05
2.510000e-04 3.76811285e+05
2.511890e-04 3.76693104e+05
2.750000e-04 3.61804268e+05
3.160000e-04 3.36168248e+05
3.162280e-04 3.36067471e+05
3.500000e-04 3.21140429e+05
3.980000e-04 2.99925292e+05
3.981070e-04 2.99891817e+05
4.250000e-04 2.91478518e+05
5.000000e-04 2.68015836e+05
5.010000e-04 2.67751907e+05
5.011870e-04 2.67703013e+05
5.050630e-04 2.66689569e+05
5.052420e-04 2.66643349e+05
5.091250e-04 2.65640703e+05
5.092980e-04 2.65596825e+05
5.172500e-04 2.63579960e+05
5.174080e-04 2.63541266e+05
5.335000e-04 2.59600399e+05
5.336300e-04 2.59570653e+05
5.660000e-04 2.52163959e+05
5.660720e-04 2.52149450e+05
6.250000e-04 2.40274465e+05
6.309570e-04 2.39074058e+05
6.310000e-04 2.39065393e+05
7.500000e-04 2.20517765e+05
7.940000e-04 2.13660000e+05
7.943280e-04 2.13623910e+05
1.000000e-03 1.90994191e+05
1.250000e-03 1.71612229e+05
1.260000e-03 1.70836968e+05
1.500000e-03 1.57693938e+05
1.580000e-03 1.53313044e+05
2.000000e-03 1.37146334e+05
2.510000e-03 1.23373880e+05
2.750000e-03 1.18817003e+05
3.160000e-03 1.11032644e+05
3.500000e-03 1.06516599e+05
3.980000e-03 1.00141198e+05
4.250000e-03 9.76347214e+04
5.000000e-03 9.06724684e+04
5.010000e-03 9.05947716e+04
5.050630e-03 9.02821230e+04
5.091250e-03 8.99733446e+04
5.172500e-03 8.93672417e+04
5.335000e-03 8.81988426e+04
5.660000e-03 8.60225567e+04
6.250000e-03 8.25641785e+04
6.310000e-03 8.22124884e+04
7.500000e-03 7.68874912e+04
7.940000e-03 7.49186422e+04
1.000000e-02 6.85305628e+04
1.250000e-02 6.31449159e+04
1.259000e-02 6.29510375e+04
1.500000e-02 5.92940418e+04
1.585000e-02 5.80042694e+04
1.995000e-02 5.34624887e+04
2.000000e-02 5.34142248e+04
2.016000e-02 5.32603735e+04
2.032000e-02 5.31078546e+04
2.064000e-02 5.28063888e+04
2.128000e-02 5.22174345e+04
2.256000e-02 5.10873796e+04
2.512000e-02 4.89733292e+04
2.530000e-02 4.88302842e+04
2.567500e-02 4.85342442e+04
2.568130e-02 4.85292800e+04
2.569500e-02 4.85185499e+04
2.605000e-02 4.82405085e+04
2.606250e-02 4.82307427e+04
2.609000e-02 4.82094521e+04
2.680000e-02 4.76597690e+04
2.682500e-02 4.76405292e+04
2.688000e-02 4.75987998e+04
2.835000e-02 4.64834896e+04
2.846000e-02 4.64015944e+04
2.921000e-02 4.58432208e+04
3.140000e-02 4.42244300e+04
3.147500e-02 4.41694225e+04
3.162000e-02 4.40630765e+04
3.213190e-02 4.36922063e+04
3.264380e-02 4.33218055e+04
3.366750e-02 4.25822708e+04
3.571500e-02 4.11056906e+04
3.765000e-02 3.97115723e+04
3.981000e-02 3.81553721e+04
5.000000e-02 3.10215328e+04
5.012000e-02 3.09404431e+04
5.052560e-02 3.06668660e+04
5.093130e-02 3.03945536e+04
5.174250e-02 2.98533801e+04
5.336500e-02 2.87858133e+04
5.661000e-02 2.67170692e+04
6.250000e-02 2.32421074e+04
6.310000e-02 2.28881244e+04
7.126500e-02 1.87253777e+04
7.500000e-02 1.71568804e+04
7.943000e-02 1.52965394e+04
8.085200e-02 1.47942253e+04
8.523700e-02 1.32681441e+04
8.563900e-02 1.31473186e+04
9.042600e-02 1.17436835e+04
9.261850e-02 1.11210843e+04
1.000000e-01 9.35656889e+03
1.064730e-01 8.08859658e+03
1.129450e-01 7.02778768e+03
1.194180e-01 6.13740636e+03
1.250000e-01 5.49025359e+03
1.258900e-01 5.38707245e+03
1.340400e-01 4.60348108e+03
1.421900e-01 3.96338703e+03
1.500000e-01 3.45843440e+03
1.503400e-01 3.43645234e+03
1.584900e-01 2.99935648e+03
1.687500e-01 2.54942291e+03
1.790100e-01 2.18650522e+03
1.892700e-01 1.89066203e+03
1.995300e-01 1.64713924e+03
2.000000e-01 1.63704474e+03
2.016000e-01 1.60331926e+03
2.031990e-01 1.57054692e+03
2.063990e-01 1.50772204e+03
2.127980e-01 1.39211761e+03
2.255950e-01 1.19519307e+03
2.375000e-01 1.04617010e+03
2.383930e-01 1.03499211e+03
2.511900e-01 9.03268798e+02
2.674500e-01 7.67527203e+02
2.750000e-01 7.17058988e+02
2.837100e-01 6.58842094e+02
2.999700e-01 5.70707696e+02
3.162300e-01 4.98416554e+02
3.367000e-01 4.24684753e+02
3.500000e-01 3.86317296e+02
3.571700e-01 3.65637510e+02
3.776400e-01 3.17738890e+02
3.981100e-01 2.78425381e+02
4.235830e-01 2.38708933e+02
4.490550e-01 2.06789549e+02
5.000000e-01 1.59422348e+02
5.011900e-01 1.58518407e+02
5.052450e-01 1.55495177e+02
5.093010e-01 1.52558558e+02
5.174110e-01 1.46932283e+02
5.336330e-01 1.36587510e+02
5.660750e-01 1.18986295e+02
6.309600e-01 9.29108383e+01
7.126450e-01 7.18992708e+01
7.500000e-01 6.50455159e+01
7.943300e-01 5.69224720e+01
8.971650e-01 4.55024730e+01
1.000000e+00 3.73960485e+01
1.129470e+00 3.15883953e+01
1.258930e+00 2.76210068e+01
1.421910e+00 2.55927104e+01
1.500000e+00 2.60094543e+01
1.584890e+00 2.64696404e+01
1.676870e+00 2.92527751e+01
1.768850e+00 3.57558453e+01
1.790080e+00 3.88612474e+01
1.814830e+00 4.25722872e+01
1.860820e+00 5.53120909e+01
1.883820e+00 6.61389189e+01
1.906810e+00 8.26036986e+01
1.929810e+00 1.08673787e+02
1.941300e+00 1.27186276e+02
1.952800e+00 1.50488302e+02
1.963420e+00 1.76603299e+02
1.974030e+00 2.06327020e+02
1.995260e+00 2.61572701e+02
2.000000e+00 2.68962392e+02
2.008000e+00 2.74058759e+02
2.016000e+00 2.65804111e+02
2.021800e+00 2.59821210e+02
2.031990e+00 2.34588218e+02
2.035600e+00 2.25650636e+02
2.063200e+00 1.53765359e+02
2.063990e+00 1.52487236e+02
2.091230e+00 1.08444328e+02
2.119250e+00 8.47776970e+01
2.127970e+00 8.10888648e+01
2.147280e+00 7.29731672e+01
2.175300e+00 6.77713090e+01
2.231350e+00 6.87085626e+01
2.255950e+00 7.42066444e+01
2.287400e+00 8.14441710e+01
2.343450e+00 1.09777471e+02
2.371480e+00 1.33983155e+02
2.383920e+00 1.49994282e+02
2.399500e+00 1.70209132e+02
2.427530e+00 2.26496523e+02
2.447900e+00 2.93305292e+02
2.455550e+00 3.18508010e+02
2.483580e+00 4.77679968e+02
2.497590e+00 5.99102415e+02
2.511600e+00 7.59960942e+02
2.511890e+00 7.63755264e+02
2.512770e+00 7.75377830e+02
2.513640e+00 7.87174378e+02
2.515400e+00 8.11283829e+02
2.518900e+00 8.61585256e+02
2.525920e+00 9.69829185e+02
2.539950e+00 1.20400979e+03
2.568000e+00 1.49342057e+03
2.577990e+00 1.38841130e+03
2.596200e+00 1.19788375e+03
2.611040e+00 9.66936243e+02
2.624400e+00 7.59870273e+02
2.641210e+00 5.75540535e+02
2.644100e+00 5.53225530e+02
2.658020e+00 4.47380222e+02
2.677150e+00 3.61715222e+02
2.691640e+00 3.00283808e+02
2.710200e+00 2.63172187e+02
2.725250e+00 2.41151226e+02
2.743250e+00 2.34116072e+02
2.750000e+00 2.36930829e+02
2.758870e+00 2.40629845e+02
2.759780e+00 2.41513487e+02
2.776300e+00 2.72456764e+02
2.788480e+00 3.06655614e+02
2.792490e+00 3.20046983e+02
2.800650e+00 3.49823609e+02
2.825000e+00 3.99614925e+02
2.826110e+00 3.95982144e+02
2.849350e+00 3.25568632e+02
2.873700e+00 2.19748622e+02
2.891740e+00 1.64025671e+02
2.893340e+00 1.60609586e+02
2.909770e+00 1.28182243e+02
2.927810e+00 1.03743848e+02
2.945850e+00 8.61937991e+01
2.960580e+00 7.65065034e+01
2.981920e+00 6.41149502e+01
3.017990e+00 5.08687943e+01
3.027810e+00 4.82604877e+01
3.054060e+00 4.26899727e+01
3.090140e+00 3.69713768e+01
3.162280e+00 2.84352188e+01
3.259460e+00 2.26127975e+01
3.264630e+00 2.23756476e+01
3.356640e+00 1.93704455e+01
3.366980e+00 1.91822282e+01
3.453820e+00 1.80927294e+01
3.469330e+00 1.82537884e+01
3.500000e+00 1.86590915e+01
3.502410e+00 1.86909722e+01
3.551000e+00 2.14057305e+01
3.571680e+00 2.32881569e+01
3.616000e+00 2.74137351e+01
3.681000e+00 1.98701946e+01
3.718510e+00 1.65983247e+01
3.756020e+00 1.47712307e+01
3.776370e+00 1.42612056e+01
3.831040e+00 1.29625656e+01
3.981070e+00 1.14113695e+01
4.235800e+00 1.03201120e+01
4.250000e+00 1.02866779e+01
