73-Ta_n-tot
> 73-Ta-181:1.000000
1.000000e-05 1.06121000e+03
1.250000e-05 9.49825000e+02
1.500000e-05 8.67605000e+02
2.000000e-05 7.52194000e+02
2.750000e-05 6.42381000e+02
3.500000e-05 5.70111000e+02
4.250000e-05 5.17938000e+02
5.000000e-05 4.77997000e+02
6.250000e-05 4.28186000e+02
7.500000e-05 3.91416000e+02
1.000000e-04 3.39804000e+02
1.250000e-04 3.04583000e+02
1.500000e-04 2.78583000e+02
2.000000e-04 2.42089000e+02
2.750000e-04 2.07365000e+02
3.500000e-04 1.84513000e+02
4.250000e-04 1.68016000e+02
5.000000e-04 1.55387000e+02
6.250000e-04 1.39637000e+02
7.500000e-04 1.28011000e+02
1.000000e-03 1.11693000e+02
1.250000e-03 1.00558000e+02
1.500000e-03 9.23391000e+01
2.000000e-03 8.08032000e+01
2.750000e-03 6.98286000e+01
3.500000e-03 6.26073000e+01
4.250000e-03 5.73951000e+01
5.000000e-03 5.34057000e+01
6.250000e-03 4.84315000e+01
7.500000e-03 4.47609000e+01
1.000000e-02 3.96108000e+01
1.250000e-02 3.60983000e+01
1.500000e-02 3.35071000e+01
2.000000e-02 2.98730000e+01
2.530000e-02 2.72713000e+01
3.147500e-02 2.51162000e+01
3.765000e-02 2.35183000e+01
5.000000e-02 2.12679000e+01
6.250000e-02 1.97134000e+01
7.500000e-02 1.85692000e+01
1.000000e-01 1.69699000e+01
1.250000e-01 1.58849000e+01
1.500000e-01 1.50888000e+01
2.000000e-01 1.39816000e+01
2.750000e-01 1.29457000e+01
3.500000e-01 1.22798000e+01
5.000000e-01 1.14663000e+01
7.500000e-01 1.07830000e+01
8.400000e-01 1.06418000e+01
1.000000e+00 1.04753000e+01
1.500000e+00 1.04443000e+01
2.000000e+00 1.11023000e+01
2.562900e+00 1.33063000e+01
2.844350e+00 1.57387000e+01
3.125800e+00 2.03535000e+01
3.394350e+00 2.97379000e+01
3.528630e+00 3.87621000e+01
3.662900e+00 5.44419000e+01
3.797180e+00 8.51870000e+01
3.864310e+00 1.12963000e+02
3.931450e+00 1.58343000e+02
3.998590e+00 2.39856000e+02
4.032160e+00 3.07337000e+02
4.065730e+00 4.08426000e+02
4.099290e+00 5.69446000e+02
4.132860e+00 8.48060000e+02
4.149650e+00 1.07005000e+03
4.166430e+00 1.39008000e+03
4.183220e+00 1.87336000e+03
4.200000e+00 2.64641000e+03
4.212900e+00 3.59451000e+03
4.225800e+00 5.10008000e+03
4.238700e+00 7.60594000e+03
4.251600e+00 1.18514000e+04
4.265800e+00 1.89675000e+04
4.280000e+00 2.37249000e+04
4.294250e+00 1.89954000e+04
4.308500e+00 1.18811000e+04
4.319310e+00 8.19628000e+03
4.330110e+00 5.82085000e+03
4.340920e+00 4.28329000e+03
4.351720e+00 3.25807000e+03
4.373330e+00 2.04521000e+03
4.394940e+00 1.39450000e+03
4.416550e+00 1.00948000e+03
4.438160e+00 7.64209000e+02
4.481380e+00 4.82207000e+02
4.524590e+00 3.32852000e+02
4.567810e+00 2.44460000e+02
4.611030e+00 1.87884000e+02
4.654250e+00 1.49502000e+02
4.740690e+00 1.02242000e+02
4.827130e+00 7.53312000e+01
4.913560e+00 5.85451000e+01
5.000000e+00 4.73618000e+01
5.156250e+00 3.47965000e+01
5.312500e+00 2.74113000e+01
5.468750e+00 2.26918000e+01
5.625000e+00 1.94854000e+01
5.937500e+00 1.55175000e+01
6.250000e+00 1.32377000e+01
6.562500e+00 1.18058000e+01
6.875000e+00 1.08541000e+01
7.500000e+00 9.76561000e+00
8.125000e+00 9.40218000e+00
8.437500e+00 9.51850000e+00
8.750000e+00 9.97462000e+00
9.062500e+00 1.11053000e+01
9.218750e+00 1.21792000e+01
9.375000e+00 1.39171000e+01
9.531250e+00 1.68943000e+01
9.687500e+00 2.24670000e+01
9.765630e+00 2.72118000e+01
9.843750e+00 3.44706000e+01
9.921880e+00 4.63126000e+01
1.000000e+01 6.74350000e+01
1.007760e+01 1.09959000e+02
1.011630e+01 1.49568000e+02
1.015510e+01 2.16186000e+02
1.017450e+01 2.67859000e+02
