74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
1.000000e-05 9.15663131e+02
1.250000e-05 8.18994043e+02
1.500000e-05 7.47635395e+02
2.000000e-05 6.47472006e+02
2.750000e-05 5.52167624e+02
3.500000e-05 4.89443945e+02
4.250000e-05 4.44163894e+02
5.000000e-05 4.09499353e+02
6.250000e-05 3.66267794e+02
7.500000e-05 3.34355687e+02
1.000000e-04 2.89561438e+02
1.250000e-04 2.58992450e+02
1.500000e-04 2.36427445e+02
2.000000e-04 2.04753632e+02
2.750000e-04 1.74616187e+02
3.500000e-04 1.54782326e+02
4.250000e-04 1.40463860e+02
5.000000e-04 1.29502675e+02
6.250000e-04 1.15832409e+02
7.500000e-04 1.05741877e+02
1.000000e-03 9.15780799e+01
1.250000e-03 8.19126731e+01
1.500000e-03 7.47780393e+01
2.000000e-03 6.47638263e+01
2.750000e-03 5.52360897e+01
3.500000e-03 4.89665390e+01
4.250000e-03 4.44406028e+01
5.000000e-03 4.09761853e+01
6.250000e-03 3.66561626e+01
7.500000e-03 3.34677675e+01
1.000000e-02 2.89933463e+01
1.250000e-02 2.59408618e+01
1.500000e-02 2.36883547e+01
2.000000e-02 2.05280707e+01
2.530000e-02 1.82643215e+01
3.147500e-02 1.63881884e+01
3.765000e-02 1.49962468e+01
5.000000e-02 1.30342065e+01
6.250000e-02 1.16773416e+01
7.500000e-02 1.06775855e+01
1.000000e-01 9.27790118e+00
1.250000e-01 8.32632062e+00
1.500000e-01 7.62660426e+00
2.000000e-01 6.65029480e+00
2.375000e-01 6.19068184e+00
2.750000e-01 5.73129642e+00
3.500000e-01 5.13534669e+00
5.000000e-01 4.39425659e+00
7.500000e-01 3.73638654e+00
1.000000e+00 3.38536423e+00
1.500000e+00 3.08433286e+00
2.000000e+00 3.10439025e+00
2.531300e+00 3.53881226e+00
2.750000e+00 3.94812814e+00
2.796950e+00 4.04126904e+00
3.062600e+00 5.01538060e+00
3.195430e+00 5.83612247e+00
3.328250e+00 7.08405668e+00
3.461080e+00 9.11362908e+00
3.500000e+00 1.01775596e+01
3.593900e+00 1.27540738e+01
3.660310e+00 1.57628935e+01
3.726730e+00 2.02721610e+01
3.793140e+00 2.74824609e+01
3.859550e+00 4.00887026e+01
3.892760e+00 5.02777614e+01
3.909360e+00 5.69927511e+01
3.917660e+00 6.08918577e+01
3.925960e+00 6.52225569e+01
3.934270e+00 7.00524513e+01
3.942570e+00 7.54594810e+01
3.950870e+00 8.15406754e+01
3.959170e+00 8.84108253e+01
3.967470e+00 9.62138834e+01
3.975770e+00 1.05123494e+02
3.984070e+00 1.15360756e+02
3.992380e+00 1.27198198e+02
4.008980e+00 1.57179690e+02
4.025580e+00 1.99289518e+02
4.042190e+00 2.60942963e+02
4.058790e+00 3.56031317e+02
4.067090e+00 4.23965198e+02
4.075390e+00 5.12739064e+02
4.083690e+00 6.31371824e+02
4.091990e+00 7.93837217e+02
4.100300e+00 1.02240680e+03
4.108600e+00 1.35256767e+03
4.116900e+00 1.83942477e+03
4.125200e+00 2.55556414e+03
4.137600e+00 4.08400189e+03
4.150000e+00 5.09853689e+03
4.162400e+00 4.07117213e+03
4.174800e+00 2.53983282e+03
4.187690e+00 1.53237225e+03
4.200590e+00 9.81821939e+02
4.213480e+00 6.70442347e+02
4.226380e+00 4.82732073e+02
4.239270e+00 3.62536354e+02
4.250000e+00 2.95138530e+02
4.252160e+00 2.81571145e+02
4.277950e+00 1.83328312e+02
4.303740e+00 1.28609793e+02
4.329530e+00 9.51867128e+01
4.381100e+00 5.82993898e+01
4.432680e+00 3.95363075e+01
4.484250e+00 2.87383351e+01
4.535830e+00 2.19726268e+01
4.587400e+00 1.74613527e+01
4.690550e+00 1.20182672e+01
4.793700e+00 8.99334656e+00
4.896850e+00 7.14655715e+00
5.000000e+00 5.94074112e+00
5.156250e+00 4.81534094e+00
5.312500e+00 4.13633692e+00
5.625000e+00 3.41867131e+00
5.649430e+00 3.39342485e+00
5.937500e+00 3.15917553e+00
5.974140e+00 3.15008617e+00
6.250000e+00 3.17985293e+00
6.298850e+00 3.20615497e+00
6.461210e+00 3.37983042e+00
6.623560e+00 3.66356493e+00
6.785920e+00 4.14755952e+00
6.875000e+00 4.63615751e+00
6.948280e+00 5.05372028e+00
7.029450e+00 5.81437406e+00
7.110630e+00 6.94725056e+00
7.191810e+00 8.74041130e+00
7.272990e+00 1.18249221e+01
7.354170e+00 1.78085966e+01
7.394760e+00 2.31634449e+01
7.435340e+00 3.18246538e+01
7.455640e+00 3.83008272e+01
7.475930e+00 4.71187676e+01
7.496230e+00 5.95210791e+01
7.500000e+00 6.28895321e+01
7.516520e+00 7.76531204e+01
7.536820e+00 1.05404046e+02
7.557110e+00 1.50175797e+02
7.577410e+00 2.26369852e+02
7.597700e+00 3.59115320e+02
7.618850e+00 5.72196471e+02
7.640000e+00 7.13489981e+02
7.661150e+00 5.70617756e+02
7.682300e+00 3.57150390e+02
7.700410e+00 2.35572374e+02
7.718520e+00 1.61628506e+02
7.736620e+00 1.16084604e+02
7.754730e+00 8.68647824e+01
7.790940e+00 5.36364205e+01
7.827160e+00 3.64860523e+01
7.863370e+00 2.65993389e+01
7.899590e+00 2.04181097e+01
7.972010e+00 1.34479099e+01
8.044440e+00 9.83198642e+00
8.116870e+00 7.72644365e+00
8.189300e+00 6.39778673e+00
8.261730e+00 5.50846512e+00
8.406580e+00 4.43448348e+00
8.551440e+00 3.84101063e+00
8.696290e+00 3.48369429e+00
8.750000e+00 3.39916327e+00
8.841150e+00 3.27139464e+00
9.130860e+00 3.06681322e+00
9.420580e+00 2.99609987e+00
9.710290e+00 2.98958081e+00
1.000000e+01 3.01760561e+00
1.062500e+01 3.26966437e+00
1.108260e+01 3.48233018e+00
1.125000e+01 3.60400699e+00
1.146470e+01 3.76767632e+00
1.216530e+01 4.30224246e+00
1.219710e+01 4.34167234e+00
1.250000e+01 4.71759098e+00
1.292940e+01 5.28265742e+00
1.324790e+01 5.70232897e+00
1.329560e+01 5.79504831e+00
1.366180e+01 6.50767579e+00
1.375000e+01 6.67967293e+00
1.378920e+01 6.75866925e+00
1.402790e+01 7.40623240e+00
1.433050e+01 8.22970359e+00
1.439410e+01 8.47260133e+00
1.457720e+01 9.17421052e+00
