74-W_n-tot
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
1.000000e-05 9.20638920e+02
1.250000e-05 8.23969289e+02
1.500000e-05 7.52613455e+02
2.000000e-05 6.52450362e+02
2.750000e-05 5.57142842e+02
3.500000e-05 4.94419193e+02
4.250000e-05 4.49139853e+02
5.000000e-05 4.14475455e+02
6.250000e-05 3.71243895e+02
7.500000e-05 3.39331932e+02
1.000000e-04 2.94537947e+02
1.250000e-04 2.63968817e+02
1.500000e-04 2.41403689e+02
2.000000e-04 2.09729877e+02
2.750000e-04 1.79592331e+02
3.500000e-04 1.59758470e+02
4.250000e-04 1.45440004e+02
5.000000e-04 1.34478789e+02
6.250000e-04 1.20808514e+02
7.500000e-04 1.10717733e+02
1.000000e-03 9.65539216e+01
1.250000e-03 8.68887422e+01
1.500000e-03 7.97540444e+01
2.000000e-03 6.97397037e+01
2.750000e-03 6.02118873e+01
3.500000e-03 5.39421527e+01
4.250000e-03 4.94161507e+01
5.000000e-03 4.59516378e+01
6.250000e-03 4.16314214e+01
7.500000e-03 3.84428795e+01
1.000000e-02 3.39680881e+01
1.250000e-02 3.09152408e+01
1.500000e-02 2.86623790e+01
2.000000e-02 2.55014326e+01
2.530000e-02 2.32369093e+01
3.147500e-02 2.13599144e+01
3.765000e-02 1.99671038e+01
5.000000e-02 1.80033304e+01
6.250000e-02 1.66447406e+01
7.500000e-02 1.56431745e+01
1.000000e-01 1.42399859e+01
1.250000e-01 1.32848762e+01
1.500000e-01 1.25816563e+01
2.000000e-01 1.15982690e+01
2.375000e-01 1.11333216e+01
2.750000e-01 1.06686020e+01
3.500000e-01 1.00619674e+01
5.000000e-01 9.29930526e+00
7.500000e-01 8.60477341e+00
1.000000e+00 8.21579952e+00
1.500000e+00 7.83238406e+00
2.000000e+00 7.75404418e+00
2.531300e+00 8.04731748e+00
2.750000e+00 8.37054339e+00
2.796950e+00 8.44654568e+00
3.062600e+00 9.28158029e+00
3.195430e+00 1.00076150e+01
3.328250e+00 1.11353114e+01
3.461080e+00 1.30078237e+01
3.500000e+00 1.40097747e+01
3.593900e+00 1.64423795e+01
3.660310e+00 1.93211072e+01
3.726730e+00 2.36767693e+01
3.793140e+00 3.07091520e+01
3.859550e+00 4.31252552e+01
3.892760e+00 5.32314669e+01
3.909360e+00 5.99153715e+01
3.917660e+00 6.38035747e+01
3.925960e+00 6.81276124e+01
3.934270e+00 7.29558838e+01
3.942570e+00 7.83679166e+01
3.950870e+00 8.44623324e+01
3.959170e+00 9.13557778e+01
3.967470e+00 9.91953867e+01
3.975770e+00 1.08157720e+02
3.984070e+00 1.18468382e+02
3.992380e+00 1.30406002e+02
4.008980e+00 1.60699190e+02
4.025580e+00 2.03355599e+02
4.042190e+00 2.65969193e+02
4.058790e+00 3.62789152e+02
4.067090e+00 4.32092271e+02
4.075390e+00 5.22776192e+02
4.083690e+00 6.44130232e+02
4.091990e+00 8.10554950e+02
4.100300e+00 1.04503239e+03
4.108600e+00 1.38425588e+03
4.116900e+00 1.88531865e+03
4.125200e+00 2.62378654e+03
4.137600e+00 4.20541180e+03
4.150000e+00 5.26811849e+03
4.162400e+00 4.22299355e+03
4.174800e+00 2.64609506e+03
4.187690e+00 1.60454120e+03
4.200590e+00 1.03376000e+03
4.213480e+00 7.10163680e+02
4.226380e+00 5.14653342e+02
4.239270e+00 3.89199926e+02
4.250000e+00 3.18707606e+02
4.252160e+00 3.04517274e+02
4.277950e+00 2.01470903e+02
4.303740e+00 1.43848596e+02
4.329530e+00 1.08513755e+02
4.381100e+00 6.93044679e+01
4.432680e+00 4.92058831e+01
4.484250e+00 3.75511882e+01
4.535830e+00 3.01935202e+01
4.587400e+00 2.52508330e+01
4.690550e+00 1.92243980e+01
4.793700e+00 1.58259327e+01
4.896850e+00 1.37210257e+01
5.000000e+00 1.23271862e+01
5.156250e+00 1.10152521e+01
5.312500e+00 1.02108105e+01
5.625000e+00 9.34364104e+00
5.649430e+00 9.31243491e+00
5.937500e+00 9.00490443e+00
5.974140e+00 8.99108470e+00
6.250000e+00 8.98187891e+00
6.298850e+00 9.01407523e+00
6.461210e+00 9.20511533e+00
6.623560e+00 9.50412123e+00
6.785920e+00 1.00006589e+01
6.875000e+00 1.04943629e+01
6.948280e+00 1.09210440e+01
7.029450e+00 1.16906729e+01
7.110630e+00 1.28324411e+01
7.191810e+00 1.46362114e+01
7.272990e+00 1.77383035e+01
7.354170e+00 2.37637958e+01
7.394760e+00 2.91644766e+01
7.435340e+00 3.79126018e+01
7.455640e+00 4.44615115e+01
7.475930e+00 5.33865435e+01
7.496230e+00 6.59513508e+01
7.500000e+00 6.93673123e+01
7.516520e+00 8.43441541e+01
7.536820e+00 1.12523068e+02
7.557110e+00 1.58033738e+02
7.577410e+00 2.35578859e+02
7.597700e+00 3.70877907e+02
7.618850e+00 5.88543081e+02
7.640000e+00 7.33918131e+02
7.661150e+00 5.89444103e+02
7.682300e+00 3.72028586e+02
7.700410e+00 2.47935191e+02
7.718520e+00 1.72360655e+02
7.736620e+00 1.25758995e+02
7.754730e+00 9.58312976e+01
7.790940e+00 6.17563720e+01
7.827160e+00 4.41429637e+01
7.863370e+00 3.39774482e+01
7.899590e+00 2.76172029e+01
7.972010e+00 2.04423532e+01
8.044440e+00 1.67245864e+01
8.116870e+00 1.45675345e+01
8.189300e+00 1.32152983e+01
8.261730e+00 1.23193616e+01
8.406580e+00 1.12616491e+01
8.551440e+00 1.07065113e+01
8.696290e+00 1.03996443e+01
8.750000e+00 1.03365227e+01
8.841150e+00 1.02879221e+01
9.130860e+00 1.03476638e+01
9.420580e+00 1.05508066e+01
9.710290e+00 1.08233730e+01
1.000000e+01 1.11336557e+01
1.062500e+01 1.24568192e+01
1.108260e+01 1.34570329e+01
1.125000e+01 1.40731793e+01
1.146470e+01 1.48720543e+01
1.216530e+01 1.74791978e+01
1.219710e+01 1.76882058e+01
1.250000e+01 1.96792779e+01
1.292940e+01 2.25262260e+01
1.324790e+01 2.46383181e+01
1.329560e+01 2.51395009e+01
1.366180e+01 2.89878246e+01
1.375000e+01 2.99150164e+01
1.378920e+01 3.03285450e+01
1.402790e+01 3.39048657e+01
1.433050e+01 3.84409388e+01
1.439410e+01 3.98471430e+01
1.457720e+01 4.38977540e+01
