77-Ir_n-g
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
1.000000e-05 2.16869178e+04
1.250000e-05 1.93973261e+04
1.500000e-05 1.77072483e+04
2.000000e-05 1.53348584e+04
2.750000e-05 1.30775681e+04
3.500000e-05 1.15919742e+04
4.250000e-05 1.05194690e+04
5.000000e-05 9.69845227e+03
6.250000e-05 8.67447067e+03
7.500000e-05 7.91861694e+03
1.000000e-04 6.85762176e+03
1.250000e-04 6.13353408e+03
1.500000e-04 5.59905876e+03
2.000000e-04 4.84876414e+03
2.750000e-04 4.13485074e+03
3.500000e-04 3.66498580e+03
4.250000e-04 3.32576540e+03
5.000000e-04 3.06606452e+03
6.250000e-04 2.74216076e+03
7.500000e-04 2.50304720e+03
1.000000e-03 2.16736980e+03
1.250000e-03 1.93826059e+03
1.500000e-03 1.76911268e+03
2.000000e-03 1.53163376e+03
2.750000e-03 1.30559287e+03
3.500000e-03 1.15676939e+03
4.250000e-03 1.04929012e+03
5.000000e-03 9.66976450e+02
6.250000e-03 8.64272104e+02
7.500000e-03 7.88411543e+02
1.000000e-02 6.81853485e+02
1.250000e-02 6.09063720e+02
1.500000e-02 5.55292267e+02
2.000000e-02 4.79753344e+02
2.530000e-02 4.25572634e+02
3.147500e-02 3.80640010e+02
3.765000e-02 3.47309711e+02
5.000000e-02 3.00427170e+02
6.250000e-02 2.68209489e+02
7.500000e-02 2.44721417e+02
1.000000e-01 2.12635997e+02
1.250000e-01 1.91959632e+02
1.500000e-01 1.77992753e+02
1.750000e-01 1.68729089e+02
2.000000e-01 1.62393102e+02
2.375000e-01 1.58426528e+02
2.750000e-01 1.59269789e+02
3.125000e-01 1.65960923e+02
3.500000e-01 1.78909505e+02
3.875000e-01 2.01540785e+02
4.062500e-01 2.17575621e+02
4.250000e-01 2.38006262e+02
4.437500e-01 2.64300463e+02
4.625000e-01 2.98638409e+02
5.000000e-01 4.06735551e+02
5.291200e-01 5.60082496e+02
5.436800e-01 6.79640337e+02
5.582400e-01 8.48087289e+02
5.728000e-01 1.09394666e+03
5.873600e-01 1.46672301e+03
5.946400e-01 1.72545081e+03
6.019200e-01 2.05136336e+03
6.092000e-01 2.46195438e+03
6.164800e-01 2.97396782e+03
6.250000e-01 3.71361332e+03
6.255600e-01 3.76225921e+03
6.346400e-01 4.65454383e+03
6.528000e-01 5.72262482e+03
6.618800e-01 5.35348311e+03
6.709600e-01 4.53028851e+03
6.891200e-01 2.82070564e+03
7.085500e-01 1.68736591e+03
7.279800e-01 1.08486486e+03
7.474100e-01 7.51975672e+02
7.500000e-01 7.25763786e+02
7.668400e-01 5.57367988e+02
7.862700e-01 4.36200605e+02
8.057000e-01 3.56943875e+02
8.445600e-01 2.65571535e+02
8.750000e-01 2.29461266e+02
8.834200e-01 2.21160185e+02
9.222800e-01 2.04686304e+02
9.375000e-01 2.04170328e+02
1.000000e+00 2.20240148e+02
1.062500e+00 2.89183625e+02
1.063600e+00 2.90498710e+02
1.095400e+00 3.59578489e+02
1.125000e+00 4.62137379e+02
1.127200e+00 4.69908664e+02
1.159000e+00 6.59343123e+02
1.190800e+00 1.00881620e+03
1.206700e+00 1.30042867e+03
1.222600e+00 1.73185587e+03
1.238500e+00 2.38670198e+03
1.250000e+00 3.10597505e+03
1.254400e+00 3.38136237e+03
1.276200e+00 5.34676083e+03
1.298000e+00 6.61862205e+03
1.319800e+00 5.25473830e+03
1.341600e+00 3.26517124e+03
1.362180e+00 2.05363336e+03
1.375000e+00 1.61916484e+03
1.382750e+00 1.35666976e+03
1.403330e+00 9.46545883e+02
1.423900e+00 6.92194182e+02
1.444480e+00 5.26019075e+02
1.465050e+00 4.12393135e+02
1.500000e+00 2.93458376e+02
1.506200e+00 2.72442603e+02
1.547350e+00 1.93680696e+02
1.588500e+00 1.45081252e+02
1.670800e+00 9.07553700e+01
1.750000e+00 6.35855576e+01
1.753100e+00 6.25471965e+01
1.835400e+00 4.64731674e+01
1.917700e+00 3.62081680e+01
2.000000e+00 2.91800561e+01
2.187500e+00 2.01241549e+01
2.375000e+00 1.51216206e+01
2.562500e+00 1.24153500e+01
2.750000e+00 1.06284871e+01
3.125000e+00 9.05626972e+00
3.500000e+00 9.03231101e+00
3.875000e+00 1.06563798e+01
4.062500e+00 1.22907859e+01
4.250000e+00 1.49732847e+01
4.437500e+00 1.97315798e+01
4.625000e+00 2.85949637e+01
4.718750e+00 3.61794755e+01
4.812500e+00 4.79195429e+01
4.906250e+00 6.75039122e+01
4.953130e+00 8.26201104e+01
5.000000e+00 1.03853886e+02
5.039540e+00 1.29254880e+02
5.079080e+00 1.65697048e+02
5.118610e+00 2.20592271e+02
5.158150e+00 3.08671813e+02
5.177920e+00 3.74039351e+02
5.197690e+00 4.62459407e+02
5.217460e+00 5.85780701e+02
5.237230e+00 7.64134415e+02
5.256990e+00 1.03330244e+03
5.276760e+00 1.45943632e+03
5.296530e+00 2.16622660e+03
5.316300e+00 3.35888667e+03
5.338150e+00 5.35915516e+03
5.360000e+00 6.68173859e+03
5.381850e+00 5.33535783e+03
5.403700e+00 3.33031875e+03
5.424740e+00 2.08280537e+03
5.445790e+00 1.37018890e+03
5.466830e+00 9.53089147e+02
5.487880e+00 6.95465543e+02
5.508920e+00 5.27641689e+02
5.529960e+00 4.13182945e+02
5.572050e+00 2.72667576e+02
5.614140e+00 1.93693477e+02
5.656230e+00 1.45393779e+02
5.740400e+00 9.29792166e+01
5.824580e+00 6.90491725e+01
5.908750e+00 6.22562403e+01
5.950840e+00 6.69132172e+01
5.992930e+00 8.31234961e+01
6.005480e+00 9.33584160e+01
6.013970e+00 1.00285535e+02
6.035010e+00 1.29803164e+02
6.056060e+00 1.82530350e+02
6.077100e+00 2.78259209e+02
6.098050e+00 4.27930548e+02
6.119000e+00 5.26906710e+02
6.139950e+00 4.24212963e+02
6.160900e+00 2.71857996e+02
6.183290e+00 1.69334518e+02
6.205670e+00 1.13843353e+02
6.228060e+00 8.25166237e+01
6.250450e+00 6.35209013e+01
6.295220e+00 4.27669016e+01
6.339990e+00 3.21807327e+01
6.429540e+00 2.18620274e+01
6.508210e+00 1.74916725e+01
6.519090e+00 1.68925883e+01
6.698180e+00 1.21379320e+01
6.877280e+00 9.89170952e+00
7.010950e+00 9.20389997e+00
7.235460e+00 8.30369386e+00
7.513690e+00 8.46345798e+00
7.593650e+00 8.67215671e+00
7.765060e+00 9.76540012e+00
7.951840e+00 1.15663424e+01
8.016430e+00 1.24911485e+01
8.130930e+00 1.46843695e+01
8.142110e+00 1.49735244e+01
8.267790e+00 1.89930004e+01
8.310030e+00 2.08094210e+01
8.393480e+00 2.56951974e+01
8.489120e+00 3.34033467e+01
8.519160e+00 3.66364822e+01
8.578670e+00 4.60925032e+01
8.644850e+00 5.93501528e+01
8.668210e+00 6.60652478e+01
8.707690e+00 8.11235819e+01
8.757760e+00 1.06643778e+02
8.770530e+00 1.15136493e+02
8.802530e+00 1.45207078e+02
8.833370e+00 1.81007572e+02
8.847310e+00 2.03093639e+02
8.864800e+00 2.35917475e+02
8.869690e+00 2.47812709e+02
8.892080e+00 3.09534861e+02
8.896220e+00 3.23043023e+02
8.914470e+00 4.01360061e+02
8.927640e+00 4.68812632e+02
8.936850e+00 5.35232726e+02
8.959060e+00 7.27367003e+02
8.959240e+00 7.29460354e+02
8.970430e+00 8.79408388e+02
8.974770e+00 9.45365339e+02
8.981630e+00 1.07339432e+03
8.990480e+00 1.26116928e+03
8.992820e+00 1.32341760e+03
9.004010e+00 1.66157024e+03
9.006190e+00 1.73849171e+03
9.015210e+00 2.12841315e+03
9.021900e+00 2.46297321e+03
9.026400e+00 2.73555719e+03
9.044950e+00 4.03918035e+03
9.047200e+00 4.17077292e+03
9.068000e+00 5.14135799e+03
9.078400e+00 4.75170764e+03
9.088800e+00 4.16100283e+03
9.091050e+00 4.02875325e+03
9.109600e+00 2.72322541e+03
9.114100e+00 2.46664559e+03
9.127940e+00 1.81739352e+03
9.132680e+00 1.62969323e+03
9.141790e+00 1.36370949e+03
9.155750e+00 1.05393356e+03
9.169470e+00 8.20865505e+02
9.178830e+00 7.08833772e+02
9.197150e+00 5.37018408e+02
9.201900e+00 5.03841660e+02
9.224840e+00 3.75314284e+02
9.224980e+00 3.74702582e+02
9.248050e+00 2.92054005e+02
9.252520e+00 2.78857186e+02
9.280210e+00 2.16198744e+02
9.294200e+00 1.92091696e+02
9.335580e+00 1.38400883e+02
9.340350e+00 1.33918514e+02
9.386500e+00 1.00119931e+02
9.390940e+00 9.75294515e+01
9.446310e+00 7.46638713e+01
9.478800e+00 6.50597837e+01
9.557050e+00 4.99485473e+01
9.571100e+00 4.82155128e+01
9.663400e+00 4.45928416e+01
9.667790e+00 4.49144022e+01
9.709550e+00 4.92347415e+01
9.755700e+00 6.26741191e+01
9.778530e+00 7.62909689e+01
9.778780e+00 7.64438661e+01
9.801850e+00 1.00291157e+02
9.824930e+00 1.42494645e+02
9.848000e+00 2.18735381e+02
9.871000e+00 3.37787829e+02
9.889260e+00 4.00361624e+02
9.894000e+00 4.16644650e+02
9.917000e+00 3.35710849e+02
9.940000e+00 2.15116332e+02
9.955000e+00 1.59839637e+02
9.970000e+00 1.21836946e+02
1.000000e+01 7.75645384e+01
1.002060e+01 6.06916457e+01
1.004130e+01 4.95659630e+01
1.008250e+01 3.65784854e+01
1.012380e+01 3.00298345e+01
1.015630e+01 2.76711330e+01
1.016500e+01 2.70733117e+01
1.020630e+01 2.70400124e+01
1.024750e+01 3.04777749e+01
1.028880e+01 4.03067449e+01
1.030940e+01 4.97951415e+01
1.031250e+01 5.19788399e+01
1.033000e+01 6.43575226e+01
1.036000e+01 9.51782941e+01
1.039000e+01 1.15400271e+02
1.042000e+01 9.36481841e+01
1.045000e+01 6.14446376e+01
1.048410e+01 3.85884138e+01
1.051820e+01 2.65291973e+01
1.055230e+01 1.97945558e+01
1.058650e+01 1.56968345e+01
1.062500e+01 1.31080326e+01
1.065470e+01 1.11674351e+01
1.072290e+01 8.81317781e+00
1.085940e+01 6.33908292e+00
1.093750e+01 5.55691534e+00
1.099580e+01 5.02508510e+00
1.125000e+01 3.70388470e+00
1.126870e+01 3.61811705e+00
1.154160e+01 2.89036072e+00
1.187500e+01 2.32262185e+00
1.208740e+01 2.03808500e+00
1.250000e+01 1.68973019e+00
1.263320e+01 1.60384277e+00
1.372480e+01 1.18527507e+00
1.375000e+01 1.17934637e+00
1.481640e+01 1.03829379e+00
1.500000e+01 1.03161265e+00
1.590790e+01 1.05404618e+00
1.645370e+01 1.12035350e+00
1.699950e+01 1.25530773e+00
1.750000e+01 1.51947960e+00
1.754530e+01 1.54571263e+00
1.781820e+01 1.83620754e+00
1.809110e+01 2.33354961e+00
1.836400e+01 3.32312486e+00
1.850050e+01 4.25422419e+00
1.863690e+01 5.87063159e+00
1.875000e+01 8.54890374e+00
1.877340e+01 9.10444172e+00
1.884160e+01 1.21269556e+01
1.890980e+01 1.72743387e+01
1.897800e+01 2.71631858e+01
1.901220e+01 3.59436641e+01
1.904630e+01 5.00494899e+01
1.908040e+01 7.47316188e+01
1.909740e+01 9.45781838e+01
1.911450e+01 1.23330881e+02
1.912300e+01 1.42736010e+02
1.913150e+01 1.66878985e+02
1.914010e+01 1.97295830e+02
1.914860e+01 2.36055929e+02
1.915710e+01 2.86158958e+02
1.916570e+01 3.51470700e+02
1.917420e+01 4.36891607e+02
1.918270e+01 5.47404970e+02
1.919200e+01 6.99936870e+02
1.920140e+01 8.73942391e+02
1.922000e+01 1.09115723e+03
1.922930e+01 1.02685677e+03
1.923870e+01 8.73144491e+02
1.925730e+01 5.46499221e+02
1.926890e+01 4.02492641e+02
1.928050e+01 3.01932354e+02
1.930370e+01 1.82521535e+02
1.932690e+01 1.20388595e+02
1.935010e+01 8.50247460e+01
1.937340e+01 6.32951771e+01
1.939660e+01 4.91061654e+01
1.944300e+01 3.24726810e+01
1.948940e+01 2.35990140e+01
1.953580e+01 1.84338249e+01
1.962870e+01 1.33545143e+01
1.972150e+01 1.17794159e+01
1.981430e+01 1.25687272e+01
1.990720e+01 1.65546220e+01
1.995360e+01 2.08961585e+01
2.000000e+01 2.85976417e+01
2.004190e+01 4.15288175e+01
2.008380e+01 6.78162654e+01
2.010470e+01 9.20102889e+01
2.012560e+01 1.31459266e+02
2.014660e+01 1.99484544e+02
2.016750e+01 3.19833491e+02
2.018880e+01 5.09485188e+02
2.021000e+01 6.35564233e+02
2.023130e+01 5.08805252e+02
2.025250e+01 3.18908910e+02
2.026780e+01 2.24671490e+02
2.028300e+01 1.62496007e+02
2.029830e+01 1.21383858e+02
2.031360e+01 9.35381996e+01
2.034410e+01 6.00325267e+01
2.037460e+01 4.17646497e+01
2.040510e+01 3.08346153e+01
2.043570e+01 2.38190531e+01
2.049670e+01 1.56862421e+01
2.055780e+01 1.13413818e+01
2.061880e+01 8.75366338e+00
2.074090e+01 5.95523016e+00
2.086300e+01 4.55636381e+00
2.098510e+01 3.76332779e+00
2.111510e+01 3.33742518e+00
2.122930e+01 2.98750762e+00
2.147350e+01 2.69412238e+00
2.167270e+01 2.61863549e+00
2.171770e+01 2.61607125e+00
2.220620e+01 2.88127585e+00
2.223030e+01 2.90688058e+00
2.269460e+01 3.74308820e+00
2.278780e+01 3.97241826e+00
2.306660e+01 5.00987315e+00
2.318300e+01 5.66544691e+00
2.334540e+01 6.74837471e+00
2.342720e+01 7.65113237e+00
2.362420e+01 1.01952722e+01
2.367140e+01 1.11557067e+01
2.376360e+01 1.33778929e+01
2.379350e+01 1.44341080e+01
2.390290e+01 1.91756865e+01
2.391560e+01 2.00471026e+01
2.397670e+01 2.52901740e+01
2.403770e+01 3.27072744e+01
2.404230e+01 3.35801494e+01
2.406820e+01 3.95863077e+01
2.409880e+01 5.01323499e+01
2.411200e+01 5.69462993e+01
2.411400e+01 5.81012444e+01
2.412930e+01 7.00417284e+01
2.414450e+01 8.71176290e+01
2.415980e+01 1.12251048e+02
2.416990e+01 1.34254550e+02
2.417990e+01 1.59132790e+02
2.418170e+01 1.62025799e+02
2.420000e+01 1.93826240e+02
2.422010e+01 1.70704977e+02
2.424020e+01 1.33082593e+02
2.425140e+01 1.19563424e+02
2.425430e+01 1.16644334e+02
2.426840e+01 1.09527700e+02
2.428630e+01 1.08398723e+02
2.429660e+01 1.10488498e+02
2.432110e+01 1.22495026e+02
2.432480e+01 1.26119962e+02
2.435300e+01 1.57304076e+02
2.435600e+01 1.60859317e+02
2.439080e+01 2.37464940e+02
2.440820e+01 3.01222070e+02
2.440940e+01 3.07649491e+02
2.442570e+01 3.95687352e+02
2.444310e+01 5.37521875e+02
2.446050e+01 7.50329663e+02
2.446580e+01 8.43418803e+02
2.448530e+01 1.18647776e+03
2.451000e+01 1.47715606e+03
2.453480e+01 1.18818070e+03
2.455950e+01 7.54655188e+02
2.457850e+01 5.47245730e+02
2.458650e+01 4.60163574e+02
2.461340e+01 3.05384781e+02
2.464040e+01 2.21456653e+02
2.466730e+01 1.73590766e+02
2.469130e+01 1.53858122e+02
2.472120e+01 1.30900962e+02
2.477510e+01 1.23300037e+02
2.480410e+01 1.31448758e+02
2.482900e+01 1.40619268e+02
2.486050e+01 1.70782320e+02
2.488290e+01 1.95034549e+02
2.490990e+01 2.47881014e+02
2.491690e+01 2.70219166e+02
2.493680e+01 3.38945611e+02
2.495030e+01 4.06710598e+02
2.496380e+01 4.96789261e+02
2.497320e+01 5.82126758e+02
2.497720e+01 6.20007043e+02
2.499070e+01 7.89105814e+02
2.500140e+01 9.60118953e+02
2.500300e+01 9.86487887e+02
2.501540e+01 1.21561694e+03
2.502960e+01 1.38826930e+03
2.504000e+01 1.52397480e+03
2.505230e+01 1.47421133e+03
2.505780e+01 1.40401993e+03
2.506470e+01 1.32777017e+03
2.508600e+01 1.06982129e+03
2.508930e+01 1.04160253e+03
2.511420e+01 9.86235806e+02
2.511870e+01 9.98448648e+02
2.512830e+01 1.07151799e+03
2.514240e+01 1.25037998e+03
2.514810e+01 1.36297616e+03
2.516620e+01 1.76244686e+03
2.517750e+01 1.91838273e+03
2.519000e+01 2.10482795e+03
2.520700e+01 1.79824604e+03
2.521380e+01 1.67949671e+03
2.523640e+01 1.09940966e+03
2.523760e+01 1.06899742e+03
