77-Ir_n-tot
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
1.000000e-05 2.17006707e+04
1.250000e-05 1.94111163e+04
1.500000e-05 1.77210012e+04
2.000000e-05 1.53486486e+04
2.750000e-05 1.30913211e+04
3.500000e-05 1.16057271e+04
4.250000e-05 1.05332592e+04
5.000000e-05 9.71220518e+03
6.250000e-05 8.68826088e+03
7.500000e-05 7.93240715e+03
1.000000e-04 6.87137467e+03
1.250000e-04 6.14732429e+03
1.500000e-04 5.61281167e+03
2.000000e-04 4.86251705e+03
2.750000e-04 4.14861484e+03
3.500000e-04 3.67874990e+03
4.250000e-04 3.33952950e+03
5.000000e-04 3.07982489e+03
6.250000e-04 2.75592050e+03
7.500000e-04 2.51680631e+03
1.000000e-03 2.18112891e+03
1.250000e-03 1.95201598e+03
1.500000e-03 1.78286433e+03
2.000000e-03 1.54538106e+03
2.750000e-03 1.31933519e+03
3.500000e-03 1.17050734e+03
4.250000e-03 1.06302062e+03
5.000000e-03 9.80701964e+02
6.250000e-03 8.77985174e+02
7.500000e-03 8.02115899e+02
1.000000e-02 6.95532953e+02
1.250000e-02 6.22722030e+02
1.500000e-02 5.68929419e+02
2.000000e-02 4.93348807e+02
2.530000e-02 4.39124289e+02
3.147500e-02 3.94140262e+02
3.765000e-02 3.60758497e+02
5.000000e-02 3.13775081e+02
6.250000e-02 2.81455587e+02
7.500000e-02 2.57867443e+02
1.000000e-01 2.25584360e+02
1.250000e-01 2.04712190e+02
1.500000e-01 1.90551428e+02
1.750000e-01 1.81093062e+02
2.000000e-01 1.74562001e+02
2.375000e-01 1.70296539e+02
2.750000e-01 1.70833079e+02
3.125000e-01 1.77199579e+02
3.500000e-01 1.89804130e+02
3.875000e-01 2.12057619e+02
4.062500e-01 2.27892370e+02
4.250000e-01 2.48115092e+02
4.437500e-01 2.74194288e+02
4.625000e-01 3.08312379e+02
5.000000e-01 4.15983615e+02
5.291200e-01 5.69088787e+02
5.436800e-01 6.88635218e+02
5.582400e-01 8.57231149e+02
5.728000e-01 1.10356774e+03
5.873600e-01 1.47745914e+03
5.946400e-01 1.73716782e+03
6.019200e-01 2.06450512e+03
6.092000e-01 2.47715499e+03
6.164800e-01 2.99210756e+03
6.250000e-01 3.73673690e+03
6.255600e-01 3.78571002e+03
6.346400e-01 4.68534066e+03
6.528000e-01 5.76933715e+03
6.618800e-01 5.40341609e+03
6.709600e-01 4.57896613e+03
6.891200e-01 2.86112836e+03
7.085500e-01 1.71969815e+03
7.279800e-01 1.11184071e+03
7.474100e-01 7.75460139e+02
7.500000e-01 7.48931022e+02
7.668400e-01 5.78456061e+02
7.862700e-01 4.55574940e+02
8.057000e-01 3.75032676e+02
8.445600e-01 2.81860258e+02
8.750000e-01 2.44796914e+02
8.834200e-01 2.36223451e+02
9.222800e-01 2.18814376e+02
9.375000e-01 2.18032848e+02
1.000000e+00 2.32962665e+02
1.062500e+00 3.01013730e+02
1.063600e+00 3.02315454e+02
1.095400e+00 3.71045387e+02
1.125000e+00 4.73377850e+02
1.127200e+00 4.81136316e+02
1.159000e+00 6.70676416e+02
1.190800e+00 1.02109280e+03
1.206700e+00 1.31391993e+03
1.222600e+00 1.74760887e+03
1.238500e+00 2.40662907e+03
1.250000e+00 3.13142441e+03
1.254400e+00 3.40893057e+03
1.276200e+00 5.39382413e+03
1.298000e+00 6.68822767e+03
1.319800e+00 5.32463400e+03
1.341600e+00 3.32118056e+03
1.362180e+00 2.09832449e+03
1.375000e+00 1.65908027e+03
1.382750e+00 1.39370400e+03
1.403330e+00 9.78484745e+02
