78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.000000e-05 5.16054979e+02
1.249090e-05 4.61745508e+02
1.250000e-05 4.61594060e+02
1.498180e-05 4.21617751e+02
1.500000e-05 4.21357208e+02
1.513560e-05 4.19699324e+02
1.547190e-05 4.15620197e+02
1.568780e-05 4.13008737e+02
1.833770e-05 3.81178181e+02
1.862090e-05 3.78374780e+02
1.924480e-05 3.72262543e+02
1.964920e-05 3.68312185e+02
2.000000e-05 3.64906812e+02
2.115270e-05 3.55256618e+02
2.196890e-05 3.48442259e+02
2.230540e-05 3.45638034e+02
2.244540e-05 3.44475403e+02
2.290870e-05 3.41374227e+02
2.393780e-05 3.34568690e+02
2.461080e-05 3.30129214e+02
2.747310e-05 3.11347785e+02
2.750000e-05 3.11193650e+02
2.759570e-05 3.10655447e+02
2.769150e-05 3.10120234e+02
2.788300e-05 3.09056614e+02
2.818380e-05 3.07409149e+02
2.826590e-05 3.06960723e+02
2.903180e-05 3.02891416e+02
2.977530e-05 2.99145213e+02
2.980630e-05 2.98989409e+02
3.056350e-05 2.95198059e+02
3.082530e-05 2.94011770e+02
3.142880e-05 2.91294458e+02
3.362710e-05 2.81448766e+02
3.467370e-05 2.77172163e+02
3.500000e-05 2.75843812e+02
3.595730e-05 2.72296419e+02
3.691450e-05 2.68756049e+02
3.703630e-05 2.68306717e+02
3.807980e-05 2.64463993e+02
3.860900e-05 2.62718192e+02
3.882900e-05 2.61998244e+02
4.115960e-05 2.54410009e+02
4.155210e-05 2.53348221e+02
4.265790e-05 2.50364765e+02
4.606790e-05 2.41249839e+02
4.835830e-05 2.35139598e+02
5.000000e-05 2.30787456e+02
5.037930e-05 2.29921381e+02
5.178990e-05 2.26776756e+02
5.248080e-05 2.25292638e+02
5.320050e-05 2.23754865e+02
5.528470e-05 2.19533572e+02
5.602180e-05 2.18047719e+02
5.730200e-05 2.15713539e+02
5.852310e-05 2.13495657e+02
6.056930e-05 2.09805912e+02
6.166430e-05 2.07845313e+02
6.456540e-05 2.03589747e+02
7.127560e-05 1.93835508e+02
7.500000e-05 1.88437042e+02
7.547710e-05 1.87842692e+02
7.586360e-05 1.87367725e+02
7.653380e-05 1.86545005e+02
7.759050e-05 1.85272150e+02
7.825820e-05 1.84489714e+02
7.943280e-05 1.83115390e+02
7.970380e-05 1.82800074e+02
8.065270e-05 1.81753588e+02
8.393050e-05 1.78146764e+02
8.544190e-05 1.76642323e+02
8.857830e-05 1.73533459e+02
8.865690e-05 1.73456102e+02
9.238390e-05 1.69799471e+02
9.502010e-05 1.67503226e+02
9.772380e-05 1.65157751e+02
1.000000e-04 1.63191369e+02
1.050570e-04 1.59424052e+02
1.101130e-04 1.55670161e+02
1.102770e-04 1.55548929e+02
1.130780e-04 1.53484840e+02
1.190140e-04 1.49978767e+02
1.202260e-04 1.49270412e+02
1.371690e-04 1.39470740e+02
1.384080e-04 1.38756291e+02
1.479110e-04 1.34229839e+02
1.490660e-04 1.33683953e+02
1.500000e-04 1.33245125e+02
1.522940e-04 1.32310718e+02
1.545880e-04 1.31377049e+02
1.579930e-04 1.29992815e+02
1.591770e-04 1.29513179e+02
1.659850e-04 1.26761107e+02
1.683530e-04 1.25808204e+02
1.694110e-04 1.25384014e+02
1.706180e-04 1.24986241e+02
1.819700e-04 1.21257882e+02
1.867070e-04 1.19712226e+02
2.000000e-04 1.15393351e+02
2.073590e-04 1.13339304e+02
2.122250e-04 1.12106588e+02
2.238720e-04 1.09161691e+02
2.305830e-04 1.07482270e+02
2.338520e-04 1.06769344e+02
2.381020e-04 1.05850209e+02
2.538070e-04 1.02461961e+02
2.639780e-04 1.00514701e+02
2.750000e-04 9.84078381e+01
2.754230e-04 9.83383624e+01
2.764140e-04 9.81756392e+01
2.774050e-04 9.80129817e+01
2.793870e-04 9.76877654e+01
2.833500e-04 9.70379817e+01
2.912780e-04 9.57400741e+01
2.929030e-04 9.54747724e+01
3.016760e-04 9.40507745e+01
3.071330e-04 9.31666430e+01
3.106610e-04 9.25977942e+01
3.283520e-04 9.01783674e+01
3.388440e-04 8.87457945e+01
3.500000e-04 8.72292750e+01
3.668630e-04 8.52551046e+01
3.802480e-04 8.36944230e+01
3.834350e-04 8.33882231e+01
4.084230e-04 8.10038378e+01
4.131820e-04 8.05515088e+01
4.168700e-04 8.02030058e+01
4.595000e-04 7.62108823e+01
4.654240e-04 7.56584874e+01
5.000000e-04 7.29810177e+01
5.080210e-04 7.24479163e+01
5.128610e-04 7.21265100e+01
5.389930e-04 7.03962418e+01
5.423850e-04 7.01719224e+01
5.696790e-04 6.83735655e+01
5.699640e-04 6.83585690e+01
5.719090e-04 6.82564206e+01
5.755300e-04 6.80673616e+01
6.309580e-04 6.52026091e+01
6.319070e-04 6.51540067e+01
6.972870e-04 6.18153248e+01
7.208570e-04 6.08157961e+01
7.500000e-04 5.95886110e+01
7.762470e-04 5.86378544e+01
7.860040e-04 5.82861977e+01
8.264410e-04 5.68313410e+01
8.534800e-04 5.58628522e+01
8.656200e-04 5.55050477e+01
8.818400e-04 5.50307224e+01
9.028810e-04 5.44169623e+01
9.549930e-04 5.29043310e+01
9.776770e-04 5.22490686e+01
1.000000e-03 5.16050621e+01
1.044660e-03 5.04967266e+01
1.054020e-03 5.02869723e+01
1.108050e-03 4.90776069e+01
1.130870e-03 4.85675861e+01
1.161660e-03 4.78850193e+01
1.174900e-03 4.76291265e+01
1.216090e-03 4.68434994e+01
1.278660e-03 4.56538662e+01
1.416430e-03 4.34532995e+01
1.445440e-03 4.29932532e+01
1.500000e-03 4.21352580e+01
1.512650e-03 4.19639245e+01
1.558760e-03 4.13396597e+01
1.565090e-03 4.12540137e+01
1.604870e-03 4.07675055e+01
1.639140e-03 4.03487798e+01
1.697090e-03 3.96449165e+01
1.740370e-03 3.91200862e+01
1.774090e-03 3.87635197e+01
1.778280e-03 3.87195487e+01
1.881520e-03 3.76437399e+01
1.915660e-03 3.72885970e+01
2.000000e-03 3.64899977e+01
2.187760e-03 3.49650013e+01
2.222060e-03 3.46891114e+01
2.340350e-03 3.37447600e+01
2.344780e-03 3.37095031e+01
2.691540e-03 3.14898902e+01
2.750000e-03 3.11185525e+01
2.783160e-03 3.09367779e+01
2.870000e-03 3.04612565e+01
2.871000e-03 3.04562999e+01
2.890330e-03 3.03606478e+01
2.911070e-03 3.02583836e+01
2.958850e-03 3.00234092e+01
3.030660e-03 2.96710544e+01
3.134550e-03 2.91636387e+01
3.185000e-03 2.89181799e+01
3.311310e-03 2.83812801e+01
3.485940e-03 2.76427475e+01
3.500000e-03 2.75834450e+01
3.512890e-03 2.75330975e+01
3.554140e-03 2.73737984e+01
3.562070e-03 2.73431974e+01
3.608270e-03 2.71682486e+01
3.611250e-03 2.71569766e+01
3.620950e-03 2.71212854e+01
3.709610e-03 2.67955781e+01
3.716540e-03 2.67714466e+01
3.906330e-03 2.61120261e+01
3.933090e-03 2.60278955e+01
4.062450e-03 2.56229013e+01
4.073800e-03 2.55874517e+01
4.299770e-03 2.48902633e+01
4.366180e-03 2.47170571e+01
4.503960e-03 2.43600296e+01
5.000000e-03 2.30776373e+01
5.011870e-03 2.30512735e+01
5.047940e-03 2.29711926e+01
5.084010e-03 2.28911512e+01
5.156140e-03 2.27312078e+01
5.262920e-03 2.24947685e+01
5.300400e-03 2.24201927e+01
5.468680e-03 2.20863355e+01
5.588920e-03 2.18496178e+01
5.602280e-03 2.18234500e+01
5.852370e-03 2.13352887e+01
6.165960e-03 2.08020246e+01
6.441820e-03 2.03374915e+01
6.849580e-03 1.97574243e+01
6.968460e-03 1.95897275e+01
7.500000e-03 1.88423750e+01
7.585780e-03 1.87387594e+01
7.804120e-03 1.84753875e+01
7.884790e-03 1.83782643e+01
8.022470e-03 1.82292300e+01
