78-Pt_n-tot
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
1.000000e-05 5.26639209e+02
1.249090e-05 4.72326351e+02
1.250000e-05 4.72174903e+02
1.498180e-05 4.32198554e+02
1.500000e-05 4.31941389e+02
1.513560e-05 4.30283347e+02
1.547190e-05 4.26203825e+02
1.568780e-05 4.23592125e+02
1.833770e-05 3.91758899e+02
1.862090e-05 3.88955672e+02
1.924480e-05 3.82843819e+02
1.964920e-05 3.78893706e+02
2.000000e-05 3.75488620e+02
2.115270e-05 3.65838419e+02
2.196890e-05 3.59024059e+02
2.230540e-05 3.56219835e+02
2.244540e-05 3.55057200e+02
2.290870e-05 3.51955980e+02
2.393780e-05 3.45150336e+02
2.461080e-05 3.40710791e+02
2.747310e-05 3.21929214e+02
2.750000e-05 3.21775418e+02
2.759570e-05 3.21237212e+02
2.769150e-05 3.20701659e+02
2.788300e-05 3.19638373e+02
2.818380e-05 3.17990900e+02
2.826590e-05 3.17542472e+02
2.903180e-05 3.13473146e+02
2.977530e-05 3.09726925e+02
2.980630e-05 3.09571120e+02
3.056350e-05 3.05779767e+02
3.082530e-05 3.04593477e+02
3.142880e-05 3.01876184e+02
3.362710e-05 2.92030498e+02
3.467370e-05 2.87753640e+02
3.500000e-05 2.86425212e+02
3.595730e-05 2.82877848e+02
3.691450e-05 2.79337474e+02
3.703630e-05 2.78888139e+02
3.807980e-05 2.75045393e+02
3.860900e-05 2.73299639e+02
3.882900e-05 2.72579711e+02
4.115960e-05 2.64991730e+02
4.155210e-05 2.63929942e+02
4.265790e-05 2.60946485e+02
4.606790e-05 2.51831572e+02
4.835830e-05 2.45721339e+02
5.000000e-05 2.41369204e+02
5.037930e-05 2.40503124e+02
5.178990e-05 2.37358479e+02
5.248080e-05 2.35874350e+02
5.320050e-05 2.34336576e+02
5.528470e-05 2.30115280e+02
5.602180e-05 2.28629427e+02
5.730200e-05 2.26295247e+02
5.852310e-05 2.24077365e+02
6.056930e-05 2.20387620e+02
6.166430e-05 2.18427021e+02
6.456540e-05 2.14171455e+02
7.127560e-05 2.04417215e+02
7.500000e-05 1.99018749e+02
7.547710e-05 1.98424404e+02
7.586360e-05 1.97949441e+02
7.653380e-05 1.97126718e+02
7.759050e-05 1.95853860e+02
7.825820e-05 1.95071315e+02
7.943280e-05 1.93696808e+02
7.970380e-05 1.93381448e+02
8.065270e-05 1.92335041e+02
8.393050e-05 1.88728474e+02
8.544190e-05 1.87223970e+02
8.857830e-05 1.84114979e+02
8.865690e-05 1.84037618e+02
9.238390e-05 1.80380837e+02
9.502010e-05 1.78084591e+02
9.772380e-05 1.75739118e+02
1.000000e-04 1.73772737e+02
1.050570e-04 1.70005547e+02
1.101130e-04 1.66251784e+02
1.102770e-04 1.66130557e+02
1.130780e-04 1.64066540e+02
1.190140e-04 1.60560470e+02
1.202260e-04 1.59852115e+02
1.371690e-04 1.50052443e+02
1.384080e-04 1.49337992e+02
1.479110e-04 1.44811247e+02
1.490660e-04 1.44265326e+02
1.500000e-04 1.43826484e+02
1.522940e-04 1.42892062e+02
1.545880e-04 1.41958401e+02
1.579930e-04 1.40574166e+02
1.591770e-04 1.40094526e+02
1.659850e-04 1.37342431e+02
1.683530e-04 1.36389536e+02
1.694110e-04 1.35965348e+02
1.706180e-04 1.35567589e+02
1.819700e-04 1.31839381e+02
1.867070e-04 1.30293778e+02
2.000000e-04 1.25975058e+02
2.073590e-04 1.23920991e+02
2.122250e-04 1.22688261e+02
2.238720e-04 1.19743351e+02
2.305830e-04 1.18063933e+02
2.338520e-04 1.17350961e+02
2.381020e-04 1.16431767e+02
2.538070e-04 1.13043289e+02
2.639780e-04 1.11096190e+02
2.750000e-04 1.08989506e+02
2.754230e-04 1.08920063e+02
2.764140e-04 1.08757339e+02
2.774050e-04 1.08594648e+02
2.793870e-04 1.08269430e+02
2.833500e-04 1.07619643e+02
2.912780e-04 1.06321728e+02
2.929030e-04 1.06056425e+02
3.016760e-04 1.04632422e+02
3.071330e-04 1.03748295e+02
3.106610e-04 1.03179450e+02
3.283520e-04 1.00759887e+02
3.388440e-04 9.93272162e+01
3.500000e-04 9.78105925e+01
3.668630e-04 9.58366127e+01
3.802480e-04 9.42760799e+01
3.834350e-04 9.39698798e+01
4.084230e-04 9.15855180e+01
4.131820e-04 9.11331925e+01
4.168700e-04 9.07846929e+01
4.595000e-04 8.67925495e+01
4.654240e-04 8.62401528e+01
5.000000e-04 8.35626732e+01
5.080210e-04 8.30295760e+01
5.128610e-04 8.27081700e+01
5.389930e-04 8.09778974e+01
5.423850e-04 8.07535768e+01
5.696790e-04 7.89552171e+01
5.699640e-04 7.89402205e+01
5.719090e-04 7.88380716e+01
5.755300e-04 7.86490120e+01
6.309580e-04 7.57842555e+01
6.319070e-04 7.57356531e+01
6.972870e-04 7.23969726e+01
7.208570e-04 7.13974444e+01
7.500000e-04 7.01702667e+01
7.762470e-04 6.92194930e+01
7.860040e-04 6.88678377e+01
8.264410e-04 6.74130000e+01
8.534800e-04 6.64445241e+01
8.656200e-04 6.60867253e+01
8.818400e-04 6.56123995e+01
9.028810e-04 6.49986309e+01
9.549930e-04 6.34859741e+01
9.776770e-04 6.28307024e+01
1.000000e-03 6.21867008e+01
1.044660e-03 6.10780210e+01
1.054020e-03 6.08682653e+01
1.108050e-03 5.96589046e+01
1.130870e-03 5.91488870e+01
1.161660e-03 5.84663243e+01
1.174900e-03 5.82104334e+01
1.216090e-03 5.74248056e+01
1.278660e-03 5.62351701e+01
1.416430e-03 5.40345983e+01
1.445440e-03 5.35745533e+01
1.500000e-03 5.27165737e+01
1.512650e-03 5.25452238e+01
1.558760e-03 5.19209746e+01
1.565090e-03 5.18353258e+01
1.604870e-03 5.13488006e+01
1.639140e-03 5.09300770e+01
1.697090e-03 5.02262243e+01
1.740370e-03 4.97013911e+01
1.774090e-03 4.93448225e+01
1.778280e-03 4.93008514e+01
1.881520e-03 4.82250246e+01
1.915660e-03 4.78698778e+01
2.000000e-03 4.70713365e+01
2.187760e-03 4.55463237e+01
2.222060e-03 4.52704309e+01
2.340350e-03 4.43260694e+01
2.344780e-03 4.42908122e+01
2.691540e-03 4.20711785e+01
2.750000e-03 4.16998504e+01
2.783160e-03 4.15180660e+01
2.870000e-03 4.10425207e+01
2.871000e-03 4.10375642e+01
2.890330e-03 4.09419122e+01
2.911070e-03 4.08396472e+01
2.958850e-03 4.06046713e+01
3.030660e-03 4.02523138e+01
3.134550e-03 3.97448932e+01
3.185000e-03 3.94994317e+01
3.311310e-03 3.89625118e+01
3.485940e-03 3.82239392e+01
3.500000e-03 3.81646306e+01
3.512890e-03 3.81142485e+01
3.554140e-03 3.79549467e+01
3.562070e-03 3.79243446e+01
3.608270e-03 3.77493903e+01
3.611250e-03 3.77381179e+01
3.620950e-03 3.77024255e+01
3.709610e-03 3.73767226e+01
3.716540e-03 3.73525914e+01
3.906330e-03 3.66931874e+01
3.933090e-03 3.66090545e+01
4.062450e-03 3.62040458e+01
4.073800e-03 3.61685941e+01
4.299770e-03 3.54713604e+01
4.366180e-03 3.52981458e+01
4.503960e-03 3.49411010e+01
5.000000e-03 3.36586703e+01
5.011870e-03 3.36322818e+01
5.047940e-03 3.35522090e+01
5.084010e-03 3.34721692e+01
5.156140e-03 3.33122091e+01
5.262920e-03 3.30757476e+01
5.300400e-03 3.30011667e+01
5.468680e-03 3.26673056e+01
5.588920e-03 3.24305864e+01
5.602280e-03 3.24044174e+01
5.852370e-03 3.19162310e+01
6.165960e-03 3.13828996e+01
6.441820e-03 3.09183161e+01
6.849580e-03 3.03382183e+01
6.968460e-03 3.01705123e+01
7.500000e-03 2.94231101e+01
7.585780e-03 2.93194710e+01
7.804120e-03 2.90560942e+01
7.884790e-03 2.89589546e+01
8.022470e-03 2.88098887e+01
