79-Au_n-g
> 79-Au-197:1.000000
1.000000e-05 4.91444000e+03
1.250000e-05 4.39561000e+03
1.500000e-05 4.01263000e+03
2.000000e-05 3.47504000e+03
2.750000e-05 2.96354000e+03
3.500000e-05 2.62690000e+03
4.250000e-05 2.38388000e+03
5.000000e-05 2.19784000e+03
6.250000e-05 1.96581000e+03
7.500000e-05 1.79454000e+03
1.000000e-04 1.55414000e+03
1.250000e-04 1.39007000e+03
1.500000e-04 1.26897000e+03
2.000000e-04 1.09898000e+03
2.750000e-04 9.37242000e+02
3.500000e-04 8.30800000e+02
4.250000e-04 7.53960000e+02
5.000000e-04 6.95137000e+02
6.250000e-04 6.21779000e+02
7.500000e-04 5.67632000e+02
1.000000e-03 4.91631000e+02
1.250000e-03 4.39770000e+02
1.500000e-03 4.01492000e+02
2.000000e-03 3.47769000e+02
2.750000e-03 2.96664000e+02
3.500000e-03 2.63040000e+02
4.250000e-03 2.38774000e+02
5.000000e-03 2.20203000e+02
6.250000e-03 1.97050000e+02
7.500000e-03 1.79968000e+02
1.000000e-02 1.56007000e+02
1.250000e-02 1.39671000e+02
1.500000e-02 1.27625000e+02
2.000000e-02 1.10740000e+02
2.530000e-02 9.86618000e+01
3.147500e-02 8.86675000e+01
3.765000e-02 8.12652000e+01
5.000000e-02 7.08575000e+01
6.250000e-02 6.36863000e+01
7.500000e-02 5.84220000e+01
1.000000e-01 5.10938000e+01
1.250000e-01 4.61530000e+01
1.500000e-01 4.25520000e+01
2.000000e-01 3.75968000e+01
2.750000e-01 3.30556000e+01
3.500000e-01 3.02249000e+01
5.000000e-01 2.69552000e+01
7.500000e-01 2.46156000e+01
1.000000e+00 2.40249000e+01
1.500000e+00 2.55948000e+01
2.000000e+00 3.02583000e+01
2.705100e+00 4.51009000e+01
3.057650e+00 6.00811000e+01
3.410200e+00 8.69130000e+01
3.586480e+00 1.09022000e+02
3.762750e+00 1.42047000e+02
3.939030e+00 1.94601000e+02
4.027160e+00 2.33433000e+02
4.115300e+00 2.85911000e+02
4.203440e+00 3.59302000e+02
4.291580e+00 4.66433000e+02
4.379710e+00 6.31693000e+02
4.467850e+00 9.06076000e+02
4.511920e+00 1.11673000e+03
4.555990e+00 1.41084000e+03
4.600060e+00 1.83825000e+03
4.644130e+00 2.49106000e+03
4.688190e+00 3.55280000e+03
4.732260e+00 5.42148000e+03
4.754300e+00 6.91283000e+03
4.776330e+00 9.03051000e+03
4.798370e+00 1.20884000e+04
4.820400e+00 1.64836000e+04
4.855200e+00 2.62747000e+04
4.890000e+00 3.27059000e+04
4.924800e+00 2.60560000e+04
4.959600e+00 1.62254000e+04
5.000000e+00 9.24066000e+03
5.039060e+00 5.76367000e+03
5.078130e+00 3.86242000e+03
5.117190e+00 2.74233000e+03
5.156250e+00 2.03683000e+03
5.234380e+00 1.24054000e+03
5.312500e+00 8.29174000e+02
5.390630e+00 5.90893000e+02
5.468750e+00 4.41169000e+02
5.625000e+00 2.71320000e+02
5.781250e+00 1.82648000e+02
5.937500e+00 1.30786000e+02
6.093750e+00 9.79450000e+01
6.250000e+00 7.58935000e+01
6.562500e+00 4.91252000e+01
6.875000e+00 3.41809000e+01
7.187500e+00 2.50389000e+01
7.500000e+00 1.90641000e+01
8.125000e+00 1.20243000e+01
8.750000e+00 8.22019000e+00
9.375000e+00 5.95035000e+00
1.000000e+01 4.49613000e+00
1.125000e+01 2.82007000e+00
1.250000e+01 1.93576000e+00
1.375000e+01 1.41723000e+00
1.500000e+01 1.08934000e+00
1.750000e+01 7.16505000e-01
2.000000e+01 5.22804000e-01
2.329820e+01 3.85810000e-01
2.659650e+01 3.13084000e-01
3.319300e+01 2.56760000e-01
3.978940e+01 2.77042000e-01
4.308770e+01 3.29490000e-01
4.473680e+01 3.93970000e-01
4.514910e+01 4.31219000e-01
4.556140e+01 5.11811000e-01
4.576750e+01 6.05899000e-01
4.597360e+01 8.33414000e-01
4.607670e+01 1.10127000e+00
4.612820e+01 1.33492000e+00
4.617980e+01 1.70375000e+00
4.623130e+01 2.33363000e+00
4.628280e+01 3.52759000e+00
4.630860e+01 4.55563000e+00
4.633440e+01 6.12464000e+00
4.636010e+01 8.60625000e+00
4.638590e+01 1.25589000e+01
4.641800e+01 1.98442000e+01
4.645000e+01 2.46979000e+01
4.648210e+01 1.98334000e+01
4.651410e+01 1.25475000e+01
4.654130e+01 8.42175000e+00
4.656860e+01 5.90414000e+00
4.659580e+01 4.34819000e+00
4.662300e+01 3.34807000e+00
4.667750e+01 2.20824000e+00
4.673200e+01 1.61935000e+00
4.684090e+01 1.06834000e+00
4.694980e+01 8.31268000e-01
4.716770e+01 6.41930000e-01
4.738560e+01 5.74792000e-01
4.825710e+01 5.43792000e-01
5.000000e+01 6.69001000e-01
5.196570e+01 9.62861000e-01
5.294860e+01 1.21557000e+00
5.393140e+01 1.60662000e+00
5.491430e+01 2.26350000e+00
5.589710e+01 3.53105000e+00
5.638850e+01 4.72071000e+00
5.688000e+01 6.95917000e+00
5.712570e+01 9.15628000e+00
5.737140e+01 1.37668000e+01
5.749420e+01 1.88180000e+01
5.755570e+01 2.31606000e+01
5.761710e+01 3.00625000e+01
5.767850e+01 4.21821000e+01
5.774000e+01 6.66389000e+01
5.777070e+01 8.93507000e+01
5.778600e+01 1.05667000e+02
5.780140e+01 1.26998000e+02
5.781670e+01 1.55401000e+02
5.783210e+01 1.93739000e+02
5.784750e+01 2.45987000e+02
5.786280e+01 3.16531000e+02
5.787740e+01 4.02423000e+02
5.789190e+01 5.00577000e+02
5.792100e+01 6.23319000e+02
5.793560e+01 5.87322000e+02
5.795010e+01 5.00882000e+02
5.797920e+01 3.17346000e+02
5.801100e+01 1.92222000e+02
5.804270e+01 1.25902000e+02
5.807440e+01 8.93339000e+01
5.810620e+01 6.77817000e+01
5.816970e+01 4.54103000e+01
5.823320e+01 3.51328000e+01
5.836010e+01 2.73305000e+01
5.848710e+01 2.58850000e+01
5.874110e+01 3.04162000e+01
5.899500e+01 4.29664000e+01
5.912200e+01 5.38418000e+01
5.924900e+01 7.01335000e+01
5.937590e+01 9.57731000e+01
5.950290e+01 1.39171000e+02
5.956640e+01 1.73017000e+02
5.962990e+01 2.20907000e+02
5.969340e+01 2.91653000e+02
5.975690e+01 4.02017000e+02
5.982030e+01 5.86842000e+02
5.988380e+01 9.26214000e+02
5.991560e+01 1.20869000e+03
5.994730e+01 1.62566000e+03
5.997910e+01 2.25719000e+03
6.001080e+01 3.21457000e+03
6.005490e+01 5.14078000e+03
6.009900e+01 6.42205000e+03
6.014310e+01 5.13471000e+03
6.018720e+01 3.20801000e+03
6.022240e+01 2.16921000e+03
6.025760e+01 1.51525000e+03
