80-Hg_n-tot
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
1.000000e-05 1.90774413e+04
1.250000e-05 1.70658509e+04
1.500000e-05 1.55810206e+04
2.000000e-05 1.34967505e+04
2.234850e-05 1.28757542e+04
2.750000e-05 1.15135818e+04
2.852280e-05 1.13355898e+04
3.469700e-05 1.02611296e+04
3.500000e-05 1.02084003e+04
4.250000e-05 9.26616323e+03
5.000000e-05 8.54481736e+03
5.939400e-05 7.86873656e+03
6.250000e-05 7.64519955e+03
7.500000e-05 6.98113192e+03
7.969700e-05 6.80599544e+03
1.000000e-04 6.04896017e+03
1.087880e-04 5.82533751e+03
1.250000e-04 5.41280113e+03
1.500000e-04 4.94319662e+03
1.543940e-04 4.88526627e+03
2.000000e-04 4.28399862e+03
2.075770e-04 4.22062826e+03
2.750000e-04 3.65673521e+03
3.063660e-04 3.48407917e+03
3.500000e-04 3.24389337e+03
4.051550e-04 3.02469986e+03
4.250000e-04 2.94583316e+03
5.000000e-04 2.71764644e+03
6.250000e-04 2.43302435e+03
6.501550e-04 2.39073977e+03
7.500000e-04 2.22290433e+03
8.003100e-04 2.16353906e+03
1.000000e-03 1.92790713e+03
1.250000e-03 1.72654037e+03
1.295310e-03 1.69959443e+03
1.500000e-03 1.57786508e+03
1.590620e-03 1.54002847e+03
2.000000e-03 1.36910003e+03
2.585630e-03 1.21390468e+03
2.750000e-03 1.17034573e+03
3.171250e-03 1.09682421e+03
3.500000e-03 1.03944695e+03
4.085630e-03 9.65606824e+02
4.250000e-03 9.44881998e+02
5.000000e-03 8.72437091e+02
6.250000e-03 7.82002309e+02
6.332500e-03 7.77591294e+02
7.500000e-03 7.15168908e+02
8.166250e-03 6.90125108e+02
1.000000e-02 6.21196140e+02
1.250000e-02 5.56915578e+02
1.265500e-02 5.53966850e+02
1.500000e-02 5.09355605e+02
1.632750e-02 4.91572368e+02
2.000000e-02 4.42375632e+02
2.530000e-02 3.94139699e+02
3.147500e-02 3.53932887e+02
3.765000e-02 3.23916684e+02
5.000000e-02 2.81238856e+02
5.581650e-02 2.67343445e+02
6.250000e-02 2.51376819e+02
7.107480e-02 2.36111852e+02
7.500000e-02 2.29124178e+02
8.633300e-02 2.14782478e+02
1.000000e-01 1.97487175e+02
1.250000e-01 1.75543531e+02
1.473660e-01 1.60841469e+02
1.500000e-01 1.59110044e+02
2.000000e-01 1.35625203e+02
2.375000e-01 1.22900987e+02
2.694320e-01 1.14245728e+02
2.750000e-01 1.12736513e+02
3.500000e-01 9.73555565e+01
3.847160e-01 9.27462433e+01
5.000000e-01 7.74398780e+01
5.135650e-01 7.64221702e+01
7.500000e-01 5.86838690e+01
7.567830e-01 5.83886770e+01
1.000000e+00 4.78041647e+01
1.001830e+00 4.77600296e+01
1.250000e+00 4.17745198e+01
1.490100e+00 3.60094468e+01
1.500000e+00 3.57717396e+01
1.978360e+00 2.96978250e+01
2.000000e+00 2.94230553e+01
2.750000e+00 2.42496236e+01
2.965710e+00 2.34356940e+01
3.500000e+00 2.14197596e+01
3.931420e+00 2.04286254e+01
4.250000e+00 1.96967547e+01
5.000000e+00 1.85597406e+01
6.250000e+00 1.73720937e+01
6.418780e+00 1.72737891e+01
7.500000e+00 1.66440877e+01
7.837550e+00 1.65146022e+01
8.750000e+00 1.61646144e+01
1.000000e+01 1.58245893e+01
1.250000e+01 1.53818888e+01
1.282490e+01 1.53454212e+01
1.500000e+01 1.51013302e+01
1.564980e+01 1.50528455e+01
1.625000e+01 1.50080715e+01
1.750000e+01 1.49188813e+01
1.875000e+01 1.48705783e+01
1.937500e+01 1.48595922e+01
2.000000e+01 1.48706099e+01
2.037410e+01 1.49085884e+01
2.074820e+01 1.49780821e+01
2.112230e+01 1.51085923e+01
2.149640e+01 1.53710454e+01
2.168340e+01 1.56041166e+01
2.187040e+01 1.59701279e+01
2.205750e+01 1.65817178e+01
2.224450e+01 1.76967752e+01
2.233810e+01 1.86245375e+01
2.243160e+01 2.00129660e+01
2.252510e+01 2.22116464e+01
2.261860e+01 2.59677205e+01
2.266540e+01 2.89169532e+01
2.271210e+01 3.31082508e+01
2.273550e+01 3.58930248e+01
2.275890e+01 3.93230572e+01
2.278230e+01 4.36075186e+01
2.280570e+01 4.90444124e+01
2.282900e+01 5.60685324e+01
2.285240e+01 6.53308155e+01
2.287580e+01 7.78310554e+01
2.289920e+01 9.51476029e+01
2.292260e+01 1.19831482e+02
2.294590e+01 1.56051949e+02
2.296930e+01 2.10449719e+02
2.299270e+01 2.92136375e+02
2.302640e+01 4.62862867e+02
2.306000e+01 5.80323640e+02
2.307690e+01 5.49647550e+02
2.309370e+01 4.71568101e+02
2.312740e+01 3.02957667e+02
2.315370e+01 2.12897048e+02
2.317990e+01 1.55242919e+02
2.320610e+01 1.18127987e+02
2.323240e+01 9.34875162e+01
2.328490e+01 6.44216501e+01
2.333230e+01 5.03571651e+01
2.333740e+01 4.88440878e+01
2.338980e+01 3.96128993e+01
2.344230e+01 3.37162783e+01
2.354730e+01 2.68989637e+01
2.365230e+01 2.32557382e+01
2.375000e+01 2.12279294e+01
2.375720e+01 2.10784909e+01
2.386220e+01 1.96709010e+01
2.396720e+01 1.87063579e+01
2.417710e+01 1.75018601e+01
2.438710e+01 1.68027529e+01
2.459700e+01 1.63587268e+01
2.480690e+01 1.60578997e+01
2.499840e+01 1.58882707e+01
2.522680e+01 1.56994942e+01
2.563720e+01 1.55147018e+01
2.564670e+01 1.55104243e+01
2.571400e+01 1.54927917e+01
2.606660e+01 1.54004838e+01
2.648650e+01 1.53348440e+01
2.666450e+01 1.53221132e+01
2.732630e+01 1.53359803e+01
2.749760e+01 1.53496243e+01
2.750000e+01 1.53501126e+01
2.816600e+01 1.54861121e+01
2.833060e+01 1.55246188e+01
2.900580e+01 1.58414679e+01
2.916370e+01 1.59182308e+01
2.984560e+01 1.65914760e+01
2.999680e+01 1.67428399e+01
3.041330e+01 1.74782727e+01
3.082980e+01 1.86251816e+01
3.124640e+01 2.05249616e+01
3.127440e+01 2.07552715e+01
3.142800e+01 2.20186875e+01
3.152510e+01 2.28174208e+01
3.166290e+01 2.39522899e+01
3.187120e+01 2.67768047e+01
3.207940e+01 3.09663242e+01
3.228770e+01 3.75279995e+01
3.249590e+01 4.85740606e+01
