82-Pb_n-g
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
1.000000e-05 8.74553721e+00
1.250000e-05 7.82225258e+00
1.500000e-05 7.14070089e+00
2.000000e-05 6.18402709e+00
2.750000e-05 5.27375965e+00
3.500000e-05 4.67469093e+00
4.250000e-05 4.24220059e+00
5.000000e-05 3.91112163e+00
6.250000e-05 3.49821837e+00
7.500000e-05 3.19342146e+00
1.000000e-04 2.76557252e+00
1.250000e-04 2.47359780e+00
1.500000e-04 2.25808196e+00
2.000000e-04 1.95555609e+00
2.750000e-04 1.66770443e+00
3.500000e-04 1.47826084e+00
4.250000e-04 1.34149887e+00
5.000000e-04 1.23680178e+00
6.250000e-04 1.10622917e+00
7.500000e-04 1.00984396e+00
1.000000e-03 8.74550231e-01
1.250000e-03 7.82222048e-01
1.500000e-03 7.14067163e-01
2.000000e-03 6.18400208e-01
2.750000e-03 5.27373818e-01
3.500000e-03 4.67467093e-01
4.250000e-03 4.24221867e-01
5.000000e-03 3.91110573e-01
6.250000e-03 3.49824202e-01
7.500000e-03 3.19340859e-01
1.000000e-02 2.76556129e-01
1.250000e-02 2.47361482e-01
1.500000e-02 2.25807333e-01
2.000000e-02 1.95554894e-01
2.530000e-02 1.73869118e-01
3.147500e-02 1.55885111e-01
3.765000e-02 1.42528040e-01
5.000000e-02 1.23679467e-01
6.250000e-02 1.10623225e-01
7.500000e-02 1.00983761e-01
1.000000e-01 8.74543842e-02
1.250000e-01 7.82221741e-02
1.500000e-01 7.14058342e-02
2.000000e-01 6.18390822e-02
2.750000e-01 5.27364098e-02
3.500000e-01 4.67456799e-02
5.000000e-01 3.91098961e-02
7.500000e-01 3.19327571e-02
1.000000e+00 2.76541407e-02
1.500000e+00 2.25789148e-02
2.000000e+00 1.95533790e-02
2.750000e+00 1.66745239e-02
3.500000e+00 1.47798029e-02
5.000000e+00 1.23647073e-02
7.500000e+00 1.00944240e-02
1.000000e+01 8.74089496e-03
1.500000e+01 7.13509915e-03
2.000000e+01 6.17762948e-03
2.750000e+01 5.26634288e-03
3.500000e+01 4.66645893e-03
5.000000e+01 3.90154654e-03
7.500000e+01 3.18216712e-03
1.000000e+02 2.75311801e-03
1.500000e+02 2.24404483e-03
2.000000e+02 1.94065004e-03
2.375000e+02 1.79562348e-03
2.699590e+02 1.67145661e-03
2.750000e+02 1.65254170e-03
3.125000e+02 1.55753118e-03
3.399170e+02 1.48865419e-03
3.500000e+02 1.46403969e-03
4.098760e+02 1.36895683e-03
4.250000e+02 1.34710891e-03
4.273650e+02 1.34374063e-03
4.448550e+02 1.32436003e-03
4.536000e+02 1.32221902e-03
4.579720e+02 1.32705209e-03
4.623440e+02 1.34170449e-03
4.667170e+02 1.38111605e-03
4.689030e+02 1.42392272e-03
4.710890e+02 1.50490460e-03
4.721820e+02 1.57433774e-03
4.732750e+02 1.68126148e-03
4.743690e+02 1.85746410e-03
4.754620e+02 2.17720464e-03
4.760080e+02 2.44456697e-03
4.765550e+02 2.84913198e-03
4.771010e+02 3.50338851e-03
4.776480e+02 4.66287551e-03
4.779210e+02 5.61172978e-03
4.781940e+02 7.01890205e-03
4.784680e+02 9.23331279e-03
4.787410e+02 1.30074371e-02
4.790140e+02 2.02257293e-02
4.791510e+02 2.65844607e-02
4.792880e+02 3.66814721e-02
4.794240e+02 5.40547050e-02
4.795610e+02 8.72494763e-02
4.796290e+02 1.16044713e-01
4.796970e+02 1.60322969e-01
4.797660e+02 2.30945864e-01
4.798340e+02 3.44583761e-01
4.799170e+02 5.49664034e-01
4.800000e+02 6.86023908e-01
4.800840e+02 5.48438780e-01
4.801670e+02 3.42641453e-01
4.802450e+02 2.18230335e-01
4.803220e+02 1.45746617e-01
4.804000e+02 1.02621599e-01
4.804770e+02 7.56783414e-02
4.806320e+02 4.57308454e-02
4.807870e+02 3.06229293e-02
4.809420e+02 2.20230533e-02
4.810970e+02 1.66952572e-02
4.814070e+02 1.07263472e-02
4.817170e+02 7.64468509e-03
4.820260e+02 5.85186453e-03
4.823360e+02 4.71861045e-03
4.826460e+02 3.95726638e-03
4.832660e+02 3.02980222e-03
4.838860e+02 2.50781166e-03
4.845060e+02 2.18512370e-03
4.851250e+02 1.97171146e-03
4.863650e+02 1.71542494e-03
4.876040e+02 1.57285495e-03
4.888440e+02 1.48505423e-03
4.900840e+02 1.42687751e-03
4.925630e+02 1.35622440e-03
4.950420e+02 1.31571189e-03
5.000000e+02 1.27118346e-03
5.078130e+02 1.24086458e-03
5.156250e+02 1.22401178e-03
5.312500e+02 1.20192193e-03
5.625000e+02 1.16910814e-03
6.250000e+02 1.11122241e-03
7.500000e+02 1.00238664e-03
8.750000e+02 9.41487148e-04
1.000000e+03 8.81244648e-04
1.166400e+03 8.50077783e-04
1.249600e+03 8.50261781e-04
1.270400e+03 8.57790010e-04
1.291190e+03 8.80118429e-04
1.301590e+03 9.10708293e-04
1.306790e+03 9.40974826e-04
1.311990e+03 9.96012958e-04
1.317190e+03 1.11331189e-03
1.319790e+03 1.22993676e-03
1.322390e+03 1.44223202e-03
1.323690e+03 1.62083946e-03
1.324990e+03 1.89322169e-03
1.326290e+03 2.33873352e-03
1.327590e+03 3.14247175e-03
1.328240e+03 3.81221687e-03
1.328890e+03 4.82361799e-03
1.329540e+03 6.45538710e-03
1.330190e+03 9.34057622e-03
1.330520e+03 1.16961723e-02
1.330840e+03 1.51826773e-02
1.331170e+03 2.06551774e-02
1.331490e+03 2.99536005e-02
1.331820e+03 4.76369005e-02
1.331980e+03 6.31782520e-02
1.332140e+03 8.75753036e-02
1.332310e+03 1.29428672e-01
1.332470e+03 2.07889804e-01
1.332550e+03 2.74899379e-01
1.332630e+03 3.76360155e-01
1.332710e+03 5.34992731e-01
1.332790e+03 7.84356507e-01
1.332900e+03 1.25521147e+00
1.333000e+03 1.56441824e+00
1.333100e+03 1.25045981e+00
1.333210e+03 7.80686979e-01
1.333290e+03 5.20685955e-01
1.333380e+03 3.59946328e-01
1.333470e+03 2.59545301e-01
1.333550e+03 1.95038876e-01
1.333720e+03 1.19835725e-01
1.333890e+03 8.07794535e-02
1.334070e+03 5.79358790e-02
1.334240e+03 4.36485475e-02
1.334580e+03 2.74003245e-02
