82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
1.000000e-05 1.99441078e+01
1.250000e-05 1.90208530e+01
1.500000e-05 1.83392942e+01
2.000000e-05 1.73826047e+01
2.750000e-05 1.64723524e+01
3.500000e-05 1.58732889e+01
4.250000e-05 1.54407827e+01
5.000000e-05 1.51096757e+01
6.250000e-05 1.46967844e+01
7.500000e-05 1.43919925e+01
1.000000e-04 1.39641259e+01
1.250000e-04 1.36721499e+01
1.500000e-04 1.34566234e+01
2.000000e-04 1.31541050e+01
2.750000e-04 1.28663048e+01
3.500000e-04 1.26768289e+01
4.250000e-04 1.25400710e+01
5.000000e-04 1.24353928e+01
6.250000e-04 1.23047962e+01
7.500000e-04 1.22084339e+01
1.000000e-03 1.20731286e+01
1.250000e-03 1.19808178e+01
1.500000e-03 1.19126386e+01
2.000000e-03 1.18170012e+01
2.750000e-03 1.17259275e+01
3.500000e-03 1.16660192e+01
4.250000e-03 1.16227703e+01
5.000000e-03 1.15896637e+01
6.250000e-03 1.15483849e+01
7.500000e-03 1.15179518e+01
1.000000e-02 1.14751204e+01
1.250000e-02 1.14459036e+01
1.500000e-02 1.14243469e+01
2.000000e-02 1.13941273e+01
2.530000e-02 1.13724552e+01
3.147500e-02 1.13544380e+01
3.765000e-02 1.13410576e+01
5.000000e-02 1.13222449e+01
6.250000e-02 1.13091727e+01
7.500000e-02 1.12995659e+01
1.000000e-01 1.12859721e+01
1.250000e-01 1.12767413e+01
1.500000e-01 1.12699236e+01
2.000000e-01 1.12603184e+01
2.750000e-01 1.12511810e+01
3.500000e-01 1.12451822e+01
5.000000e-01 1.12374719e+01
7.500000e-01 1.12301543e+01
1.000000e+00 1.12257694e+01
1.500000e+00 1.12204672e+01
2.000000e+00 1.12172497e+01
2.750000e+00 1.12140527e+01
3.500000e+00 1.12118156e+01
5.000000e+00 1.12086958e+01
7.500000e+00 1.12054003e+01
1.000000e+01 1.12029225e+01
1.500000e+01 1.11992146e+01
2.000000e+01 1.11961135e+01
2.750000e+01 1.11920083e+01
3.500000e+01 1.11883112e+01
5.000000e+01 1.11814467e+01
7.500000e+01 1.11709015e+01
1.000000e+02 1.11611203e+01
1.500000e+02 1.11430305e+01
2.000000e+02 1.11264870e+01
2.375000e+02 1.11150295e+01
2.699590e+02 1.11056338e+01
2.750000e+02 1.11041732e+01
3.125000e+02 1.10939151e+01
3.399170e+02 1.10868206e+01
3.500000e+02 1.10842082e+01
4.098760e+02 1.10698079e+01
4.250000e+02 1.10661696e+01
4.273650e+02 1.10656516e+01
4.448550e+02 1.10618221e+01
4.536000e+02 1.10599151e+01
4.579720e+02 1.10589673e+01
4.623440e+02 1.10580293e+01
4.667170e+02 1.10571162e+01
4.689030e+02 1.10566822e+01
4.710890e+02 1.10562874e+01
4.721820e+02 1.10561187e+01
4.732750e+02 1.10559878e+01
4.743690e+02 1.10559281e+01
4.754620e+02 1.10560114e+01
4.760080e+02 1.10561624e+01
4.765550e+02 1.10564517e+01
4.771010e+02 1.10569919e+01
4.776480e+02 1.10580428e+01
4.779210e+02 1.10589394e+01
4.781940e+02 1.10603008e+01
4.784680e+02 1.10624739e+01
4.787410e+02 1.10662223e+01
4.790140e+02 1.10734469e+01
4.791510e+02 1.10798325e+01
4.792880e+02 1.10899910e+01
4.794240e+02 1.11074914e+01
4.795610e+02 1.11409558e+01
4.796290e+02 1.11699969e+01
4.796970e+02 1.12146620e+01
4.797660e+02 1.12859101e+01
4.798340e+02 1.14005654e+01
4.799170e+02 1.16074957e+01
4.800000e+02 1.17450854e+01
4.800840e+02 1.16062421e+01
4.801670e+02 1.13985596e+01
4.802450e+02 1.12729993e+01
4.803220e+02 1.11998371e+01
4.804000e+02 1.11563029e+01
4.804770e+02 1.11290971e+01
4.806320e+02 1.10988408e+01
4.807870e+02 1.10835603e+01
4.809420e+02 1.10748487e+01
4.810970e+02 1.10694382e+01
4.814070e+02 1.10633465e+01
4.817170e+02 1.10601682e+01
4.820260e+02 1.10582907e+01
4.823360e+02 1.10570794e+01
4.826460e+02 1.10562433e+01
4.832660e+02 1.10551716e+01
4.838860e+02 1.10545102e+01
4.845060e+02 1.10540490e+01
4.851250e+02 1.10536986e+01
4.863650e+02 1.10531695e+01
4.876040e+02 1.10527555e+01
4.888440e+02 1.10523958e+01
4.900840e+02 1.10520670e+01
4.925630e+02 1.10514543e+01
4.950420e+02 1.10508724e+01
5.000000e+02 1.10497464e+01
5.078130e+02 1.10482009e+01
5.156250e+02 1.10466697e+01
5.312500e+02 1.10436167e+01
5.625000e+02 1.10375165e+01
6.250000e+02 1.10252964e+01
7.500000e+02 1.10037200e+01
8.750000e+02 1.09842387e+01
1.000000e+03 1.09667096e+01
1.166400e+03 1.09458193e+01
1.249600e+03 1.09347056e+01
1.270400e+03 1.09318222e+01
1.291190e+03 1.09288950e+01
1.301590e+03 1.09274281e+01
1.306790e+03 1.09267024e+01
1.311990e+03 1.09259990e+01
1.317190e+03 1.09253559e+01
1.319790e+03 1.09250945e+01
1.322390e+03 1.09249325e+01
1.323690e+03 1.09249278e+01
1.324990e+03 1.09250225e+01
1.326290e+03 1.09253006e+01
1.327590e+03 1.09259582e+01
1.328240e+03 1.09265725e+01
1.328890e+03 1.09275481e+01
1.329540e+03 1.09291844e+01
1.330190e+03 1.09321522e+01
1.330520e+03 1.09346051e+01
1.330840e+03 1.09382629e+01
1.331170e+03 1.09440310e+01
1.331490e+03 1.09538685e+01
1.331820e+03 1.09726244e+01
1.331980e+03 1.09891281e+01
1.332140e+03 1.10150539e+01
1.332310e+03 1.10595496e+01
1.332470e+03 1.11429929e+01
1.332550e+03 1.12142714e+01
1.332630e+03 1.13222075e+01
1.332710e+03 1.14909805e+01
1.332790e+03 1.17563088e+01
1.332900e+03 1.22573688e+01
1.333000e+03 1.25865127e+01
1.333100e+03 1.22525605e+01
1.333210e+03 1.17526863e+01
1.333290e+03 1.14759962e+01
1.333380e+03 1.13049225e+01
1.333470e+03 1.11980555e+01
1.333550e+03 1.11293872e+01
1.333720e+03 1.10493151e+01
1.333890e+03 1.10077136e+01
1.334070e+03 1.09833675e+01
1.334240e+03 1.09681295e+01
1.334580e+03 1.09507769e+01
