92-U_n-g
>  92-U-235:0.007204
>  92-U-238:0.992796
1.000000e-05 1.76415259e+02
1.250000e-05 1.57789708e+02
1.500000e-05 1.44041662e+02
2.000000e-05 1.24743160e+02
2.414380e-05 1.14338905e+02
2.750000e-05 1.06417666e+02
2.828750e-05 1.05057683e+02
3.500000e-05 9.43812689e+01
3.657500e-05 9.24100822e+01
4.250000e-05 8.57613974e+01
5.000000e-05 7.88926127e+01
6.250000e-05 7.05630153e+01
7.500000e-05 6.44143083e+01
1.000000e-04 5.57832354e+01
1.250000e-04 4.98930580e+01
1.500000e-04 4.55449803e+01
2.000000e-04 3.94414403e+01
2.750000e-04 3.36336308e+01
3.500000e-04 2.98111097e+01
4.250000e-04 2.70513793e+01
5.000000e-04 2.49384515e+01
6.250000e-04 2.23031623e+01
7.500000e-04 2.03574944e+01
1.000000e-03 1.76258983e+01
1.250000e-03 1.57611412e+01
1.500000e-03 1.43841576e+01
2.000000e-03 1.24501333e+01
2.750000e-03 1.06078793e+01
3.500000e-03 9.39354392e+00
4.250000e-03 8.51536824e+00
5.000000e-03 7.84181639e+00
6.250000e-03 6.99966139e+00
7.500000e-03 6.37594652e+00
1.000000e-02 5.49662039e+00
1.250000e-02 4.89370248e+00
1.500000e-02 4.44747539e+00
1.750000e-02 4.12525500e+00
2.000000e-02 3.82112483e+00
2.075900e-02 3.75423761e+00
2.302950e-02 3.56039234e+00
2.530000e-02 3.37425865e+00
3.147500e-02 3.00665186e+00
3.765000e-02 2.73622238e+00
4.382500e-02 2.54217367e+00
5.000000e-02 2.35908859e+00
6.250000e-02 2.10154645e+00
7.500000e-02 1.91394426e+00
8.750000e-02 1.78125121e+00
1.000000e-01 1.65626398e+00
1.229150e-01 1.50099159e+00
1.250000e-01 1.48809033e+00
1.458300e-01 1.38977470e+00
1.500000e-01 1.37213699e+00
1.687450e-01 1.31595092e+00
1.916600e-01 1.25818183e+00
2.000000e-01 1.23992113e+00
2.184480e-01 1.22408881e+00
2.368950e-01 1.21334745e+00
2.553430e-01 1.20179958e+00
2.737900e-01 1.17880139e+00
2.750000e-01 1.17624005e+00
2.840580e-01 1.16274556e+00
2.943250e-01 1.14021134e+00
3.148600e-01 1.07823088e+00
3.500000e-01 9.61516091e-01
3.559300e-01 9.44412498e-01
3.739390e-01 9.01737982e-01
3.919480e-01 8.65597847e-01
4.099560e-01 8.34734919e-01
4.279650e-01 8.07874036e-01
5.000000e-01 7.23547223e-01
6.250000e-01 6.53762870e-01
7.500000e-01 5.98606526e-01
8.750000e-01 5.75173581e-01
9.375000e-01 5.69790164e-01
1.000000e+00 5.75158720e-01
1.050700e+00 6.04050629e-01
1.134200e+00 7.12341459e-01
1.155100e+00 7.18736958e-01
1.176000e+00 6.98153461e-01
1.217800e+00 6.24902442e-01
1.247900e+00 5.83785401e-01
1.278000e+00 5.58845096e-01
1.306000e+00 5.45038898e-01
1.334000e+00 5.25836829e-01
1.375630e+00 5.08551790e-01
1.417250e+00 4.97844962e-01
1.500000e+00 4.83149480e-01
1.500500e+00 4.83098580e-01
1.667000e+00 4.75657374e-01
1.750250e+00 4.74559674e-01
1.833500e+00 4.76412386e-01
1.875130e+00 4.80191649e-01
1.916750e+00 4.89619865e-01
1.937560e+00 4.99542710e-01
1.958380e+00 5.17885477e-01
1.979190e+00 5.56133026e-01
1.989590e+00 5.91840759e-01
2.000000e+00 6.49995072e-01
2.010800e+00 7.52225791e-01
2.034900e+00 1.07595100e+00
2.046900e+00 9.71615767e-01
2.058900e+00 7.82657058e-01
2.068010e+00 6.82626810e-01
2.077130e+00 6.18593002e-01
2.086240e+00 5.77647390e-01
2.095350e+00 5.50721519e-01
2.113580e+00 5.19532838e-01
2.131800e+00 5.03359978e-01
2.168250e+00 4.88673223e-01
2.204700e+00 4.83034533e-01
2.277600e+00 4.80163665e-01
2.350500e+00 4.81027913e-01
2.496300e+00 4.86364942e-01
2.599000e+00 4.92988855e-01
2.642100e+00 4.98639109e-01
2.698650e+00 5.08525139e-01
2.726930e+00 5.14125381e-01
2.755200e+00 5.19568913e-01
2.811750e+00 5.26765328e-01
2.868300e+00 5.30961619e-01
2.919400e+00 5.36824216e-01
2.970500e+00 5.46244556e-01
3.021600e+00 5.61811752e-01
3.047150e+00 5.74097734e-01
3.072700e+00 5.91972880e-01
3.142900e+00 6.79792637e-01
3.160450e+00 6.89553751e-01
3.178000e+00 6.80677832e-01
3.197990e+00 6.57343872e-01
3.213100e+00 6.41281464e-01
3.235370e+00 6.23439387e-01
3.257640e+00 6.13142682e-01
3.302180e+00 6.07297089e-01
3.346710e+00 6.12076192e-01
3.391250e+00 6.23251905e-01
3.435790e+00 6.41077341e-01
3.480330e+00 6.70621869e-01
3.502590e+00 6.94286101e-01
3.524860e+00 7.29779556e-01
3.547130e+00 7.87045396e-01
3.569400e+00 8.84768202e-01
3.592500e+00 1.04987897e+00
3.615600e+00 1.20234964e+00
3.627180e+00 1.19737162e+00
3.638750e+00 1.13122693e+00
3.661900e+00 9.56482058e-01
3.676710e+00 8.74161879e-01
3.691530e+00 8.18386249e-01
3.706340e+00 7.81448678e-01
3.721150e+00 7.56913462e-01
3.750780e+00 7.29429951e-01
3.780400e+00 7.17221498e-01
3.796990e+00 7.15273490e-01
3.825000e+00 7.15918454e-01
3.869600e+00 7.24089729e-01
3.914200e+00 7.34740754e-01
3.958800e+00 7.46714721e-01
4.067460e+00 7.80573005e-01
4.096480e+00 7.90445123e-01
4.176130e+00 8.30564241e-01
4.246230e+00 8.67257414e-01
4.321110e+00 9.41311068e-01
4.358540e+00 1.06164828e+00
4.377260e+00 1.28402086e+00
4.386620e+00 1.59380598e+00
4.393450e+00 2.15420900e+00
4.395980e+00 2.36186459e+00
4.407480e+00 3.79873671e+00
4.418980e+00 2.37924651e+00
4.428060e+00 1.63669423e+00
4.437140e+00 1.33606506e+00
4.455290e+00 1.13071343e+00
4.491610e+00 1.05176341e+00
4.502110e+00 1.05419530e+00
4.556440e+00 1.06860275e+00
4.564240e+00 1.07106567e+00
4.610780e+00 1.11174134e+00
4.665110e+00 1.16548742e+00
4.692270e+00 1.19759200e+00
4.709490e+00 1.22275323e+00
4.719440e+00 1.24140460e+00
4.746600e+00 1.30828448e+00
4.760190e+00 1.35382062e+00
4.773770e+00 1.41485251e+00
4.787350e+00 1.50394981e+00
4.800940e+00 1.64835251e+00
4.814520e+00 1.91248765e+00
4.821310e+00 2.13212312e+00
4.828100e+00 2.44886512e+00
4.849700e+00 3.79925049e+00
4.855130e+00 3.70792182e+00
4.860550e+00 3.37281374e+00
4.871400e+00 2.60954297e+00
4.879440e+00 2.22449882e+00
4.887480e+00 1.98103389e+00
4.895510e+00 1.82782464e+00
4.903550e+00 1.72949572e+00
4.919630e+00 1.62183010e+00
4.935700e+00 1.57338654e+00
4.951780e+00 1.55272616e+00
4.967850e+00 1.54656804e+00
5.000000e+00 1.55580816e+00
5.031000e+00 1.59784501e+00
5.062000e+00 1.64582671e+00
5.124000e+00 1.74998625e+00
5.194700e+00 1.87466634e+00
5.207660e+00 1.89803422e+00
5.265400e+00 2.05764270e+00
5.406800e+00 2.45199889e+00
5.415310e+00 2.47572400e+00
5.548150e+00 3.08253462e+00
5.622970e+00 3.42430319e+00
5.689500e+00 3.97548225e+00
5.779700e+00 4.72482846e+00
5.830630e+00 5.14968933e+00
5.869900e+00 5.69821430e+00
5.934450e+00 6.60408236e+00
5.960100e+00 7.15076419e+00
6.038280e+00 8.82905868e+00
6.050300e+00 9.24889300e+00
6.107450e+00 1.12612186e+01
6.142110e+00 1.24928659e+01
6.164600e+00 1.39205929e+01
6.221750e+00 1.75630799e+01
6.245940e+00 1.91247598e+01
6.250330e+00 1.95925008e+01
6.278900e+00 2.26895864e+01
6.297850e+00 2.48101898e+01
6.299480e+00 2.50803385e+01
6.320050e+00 2.86244633e+01
