92-U_n-tot
>  92-U-235:0.007204
>  92-U-238:0.992796
1.000000e-05 4.12045068e+02
1.250000e-05 3.69525800e+02
1.500000e-05 3.38139609e+02
2.000000e-05 2.94082251e+02
2.414380e-05 2.69298289e+02
2.750000e-05 2.52393712e+02
2.828750e-05 2.48925844e+02
3.500000e-05 2.25107355e+02
3.657500e-05 2.20052574e+02
4.250000e-05 2.05844221e+02
5.000000e-05 1.89406237e+02
6.250000e-05 1.70388397e+02
7.500000e-05 1.56349731e+02
1.000000e-04 1.36643063e+02
1.250000e-04 1.23193437e+02
1.500000e-04 1.13264191e+02
2.000000e-04 9.93257340e+01
2.750000e-04 8.60608502e+01
3.500000e-04 7.73290423e+01
4.250000e-04 7.10241330e+01
5.000000e-04 6.61961951e+01
6.250000e-04 6.01734471e+01
7.500000e-04 5.57260550e+01
1.000000e-03 4.94801364e+01
1.250000e-03 4.52147198e+01
1.500000e-03 4.20639525e+01
2.000000e-03 3.76371447e+01
2.750000e-03 3.34185110e+01
3.500000e-03 3.06373370e+01
4.250000e-03 2.86263419e+01
5.000000e-03 2.70847665e+01
6.250000e-03 2.51590835e+01
7.500000e-03 2.37354245e+01
1.000000e-02 2.17336492e+01
1.250000e-02 2.03655974e+01
1.500000e-02 1.93546327e+01
1.750000e-02 1.85929124e+01
2.000000e-02 1.79333503e+01
2.075900e-02 1.77711894e+01
2.302950e-02 1.73201615e+01
2.530000e-02 1.69110487e+01
3.147500e-02 1.60588881e+01
3.765000e-02 1.54224260e+01
4.382500e-02 1.49383547e+01
5.000000e-02 1.45178189e+01
6.250000e-02 1.38874053e+01
7.500000e-02 1.34221504e+01
8.750000e-02 1.30737542e+01
1.000000e-01 1.27766821e+01
1.229150e-01 1.23850045e+01
1.250000e-01 1.23572365e+01
1.458300e-01 1.21105118e+01
1.500000e-01 1.20733173e+01
1.687450e-01 1.19291224e+01
1.916600e-01 1.18135543e+01
2.000000e-01 1.17865676e+01
2.184480e-01 1.17751923e+01
2.368950e-01 1.17994878e+01
2.553430e-01 1.18412376e+01
2.737900e-01 1.18603460e+01
2.750000e-01 1.18583070e+01
2.840580e-01 1.18486984e+01
2.943250e-01 1.18111585e+01
3.148600e-01 1.16636733e+01
3.500000e-01 1.13244829e+01
3.559300e-01 1.12698247e+01
3.739390e-01 1.11245458e+01
3.919480e-01 1.10013268e+01
4.099560e-01 1.08976685e+01
4.279650e-01 1.08098950e+01
5.000000e-01 1.05594257e+01
6.250000e-01 1.03392135e+01
7.500000e-01 1.02070835e+01
8.750000e-01 1.01563841e+01
9.375000e-01 1.01648795e+01
1.000000e+00 1.02218742e+01
1.050700e+00 1.03454892e+01
1.134200e+00 1.06525089e+01
1.155100e+00 1.05955961e+01
1.176000e+00 1.04431315e+01
1.217800e+00 1.01002359e+01
1.247900e+00 9.94179183e+00
1.278000e+00 9.85116557e+00
1.306000e+00 9.82416658e+00
1.334000e+00 9.79254453e+00
1.375630e+00 9.74420500e+00
1.417250e+00 9.71361536e+00
1.500000e+00 9.67257422e+00
1.500500e+00 9.67235378e+00
1.667000e+00 9.62182105e+00
1.750250e+00 9.60093532e+00
1.833500e+00 9.58385423e+00
1.875130e+00 9.57884245e+00
1.916750e+00 9.58078063e+00
1.937560e+00 9.58816451e+00
1.958380e+00 9.60594083e+00
1.979190e+00 9.64835821e+00
1.989590e+00 9.69014907e+00
2.000000e+00 9.75985992e+00
2.010800e+00 9.88397098e+00
2.034900e+00 1.02833211e+01
2.046900e+00 1.01527996e+01
2.058900e+00 9.91500753e+00
2.068010e+00 9.78783846e+00
2.077130e+00 9.70533840e+00
2.086240e+00 9.65158277e+00
2.095350e+00 9.61531652e+00
2.113580e+00 9.57111636e+00
2.131800e+00 9.54573153e+00
2.168250e+00 9.51714888e+00
2.204700e+00 9.49996502e+00
2.277600e+00 9.47616181e+00
2.350500e+00 9.45687791e+00
2.496300e+00 9.42110901e+00
2.599000e+00 9.39541290e+00
2.642100e+00 9.38536113e+00
2.698650e+00 9.37626790e+00
2.726930e+00 9.37710575e+00
2.755200e+00 9.38458696e+00
2.811750e+00 9.41259993e+00
2.868300e+00 9.42895188e+00
2.919400e+00 9.43539043e+00
2.970500e+00 9.44742895e+00
3.021600e+00 9.47905908e+00
3.047150e+00 9.51012944e+00
3.072700e+00 9.55943267e+00
3.142900e+00 9.79063673e+00
3.160450e+00 9.79156468e+00
3.178000e+00 9.73179132e+00
3.197990e+00 9.63343844e+00
3.213100e+00 9.55948189e+00
3.235370e+00 9.48168502e+00
3.257640e+00 9.43188081e+00
3.302180e+00 9.38226580e+00
3.346710e+00 9.36636799e+00
3.391250e+00 9.36968795e+00
3.435790e+00 9.39231856e+00
3.480330e+00 9.44753389e+00
3.502590e+00 9.49877189e+00
3.524860e+00 9.58004145e+00
3.547130e+00 9.71406371e+00
3.569400e+00 9.93972003e+00
3.592500e+00 1.02974973e+01
3.615600e+00 1.05537071e+01
3.627180e+00 1.04725420e+01
3.638750e+00 1.02609428e+01
3.661900e+00 9.80139693e+00
3.676710e+00 9.60225807e+00
3.691530e+00 9.47131386e+00
3.706340e+00 9.38557857e+00
3.721150e+00 9.32819975e+00
3.750780e+00 9.26037517e+00
3.780400e+00 9.22380029e+00
3.796990e+00 9.21220913e+00
3.825000e+00 9.19401308e+00
3.869600e+00 9.17530669e+00
3.914200e+00 9.16177882e+00
3.958800e+00 9.15421762e+00
4.067460e+00 9.14389633e+00
4.096480e+00 9.14153942e+00
4.176130e+00 9.14297308e+00
4.246230e+00 9.14481424e+00
4.321110e+00 9.17871913e+00
4.358540e+00 9.27817273e+00
4.377260e+00 9.48989903e+00
4.386620e+00 9.79429649e+00
4.393450e+00 1.03507754e+01
4.395980e+00 1.05569695e+01
4.407480e+00 1.19870493e+01
4.418980e+00 1.05607568e+01
4.428060e+00 9.81279570e+00
4.437140e+00 9.50671797e+00
4.455290e+00 9.29035994e+00
4.491610e+00 9.18893065e+00
4.502110e+00 9.18458307e+00
4.556440e+00 9.16401822e+00
4.564240e+00 9.16149371e+00
4.610780e+00 9.16960640e+00
4.665110e+00 9.18590447e+00
4.692270e+00 9.19976636e+00
4.709490e+00 9.21380173e+00
4.719440e+00 9.22448665e+00
4.746600e+00 9.27109722e+00
4.760190e+00 9.30761550e+00
4.773770e+00 9.36109925e+00
4.787350e+00 9.44531549e+00
4.800940e+00 9.59014600e+00
4.814520e+00 9.86639954e+00
4.821310e+00 1.01007496e+01
4.828100e+00 1.04419839e+01
4.849700e+00 1.19102610e+01
4.855130e+00 1.18075015e+01
4.860550e+00 1.14360873e+01
4.871400e+00 1.05881283e+01
4.879440e+00 1.01569485e+01
4.887480e+00 9.88112415e+00
4.895510e+00 9.70450407e+00
4.903550e+00 9.58825619e+00
4.919630e+00 9.45379633e+00
4.935700e+00 9.38468301e+00
4.951780e+00 9.34627927e+00
