Li-7(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2.28400
1.25000E-05 2.04286
1.50000E-05 1.86486
2.00000E-05 1.61501
2.75000E-05 1.37727
3.50000E-05 1.22081
4.25000E-05 1.10787
5.00000E-05 1.02140
6.25000E-05 0.913561
7.50000E-05 0.833959
0.000100000 0.722225
0.000125000 0.645974
0.000150000 0.589689
0.000200000 0.510682
0.000275000 0.435508
0.000350000 0.386034
0.000425000 0.350319
0.000500000 0.322977
0.000625000 0.288878
0.000750000 0.263707
0.00100000 0.228375
0.00125000 0.204264
0.00150000 0.186466
0.00200000 0.161483
0.00275000 0.137712
0.00350000 0.122068
0.00425000 0.110775
0.00500000 0.102129
0.00625000 0.0913462
0.00750000 0.0833869
0.0100000 0.0722147
0.0125000 0.0645905
0.0150000 0.0589625
0.0200000 0.0510627
0.0253000 0.0454000
0.0314750 0.0407048
0.0376500 0.0372183
0.0500000 0.0322976
0.0625000 0.0288888
0.0750000 0.0263723
0.100000 0.0228400
0.125000 0.0204283
0.150000 0.0186480
0.200000 0.0161492
0.275000 0.0137717
0.350000 0.0122070
0.500000 0.0102127
0.750000 0.00833833
1.00000 0.00722100
1.50000 0.00589616
2.00000 0.00510637
2.75000 0.00435486
3.50000 0.00386026
5.00000 0.00322984
7.50000 0.00263726
10.0000 0.00228400
15.0000 0.00186480
20.0000 0.00161492
27.5000 0.00137717
35.0000 0.00122070
50.0000 0.00102127
75.0000 0.000833833
100.000 0.000722100
150.000 0.000575990
200.000 0.000490629
275.000 0.000410809
350.000 0.000359123
500.000 0.000294357
750.000 0.000234797
1000.00 0.000200000
1500.00 0.000177020
2000.00 0.000162335
2750.00 0.000147495
3500.00 0.000137167
5000.00 0.000123202
7500.00 0.000109046
10000.0 0.000100000
15000.0 7.75762E-05
20000.0 6.47873E-05
27500.0 5.30741E-05
35000.0 4.56347E-05
50000.0 3.65000E-05
60000.0 3.29329E-05
80000.0 2.80000E-05
100000 2.50000E-05
120000 2.30381E-05
130000 2.22262E-05
140000 2.15000E-05
150000 2.17700E-05
160000 2.20257E-05
180000 2.25000E-05
200000 2.55000E-05
210000 2.79016E-05
220000 3.04019E-05
230000 3.30000E-05
240000 3.44974E-05
250000 3.59974E-05
260000 3.75000E-05
270000 3.36969E-05
280000 3.03975E-05
290000 2.75206E-05
300000 2.50000E-05
310000 2.24259E-05
320000 2.01864E-05
330000 1.82294E-05
340000 1.65124E-05
350000 1.50000E-05
360000 1.40499E-05
380000 1.23918E-05
400000 1.10000E-05
450000 9.29805E-06
500000 8.00000E-06
546277 6.95715E-06
550000 6.88299E-06
600000 6.00000E-06
650000 5.83101E-06
700000 5.67880E-06
750000 5.54067E-06
800000 5.41450E-06
850000 5.29860E-06
900000 5.19160E-06
950000 5.09238E-06
1.00000E+06 5.00000E-06
1.05000E+06 4.98186E-06
1.10000E+06 4.96463E-06
1.15000E+06 4.94822E-06
1.20000E+06 4.93256E-06
1.25000E+06 4.91758E-06
1.30000E+06 4.90324E-06
1.40000E+06 4.87624E-06
1.50000E+06 4.85125E-06
1.60000E+06 4.82798E-06
1.70000E+06 4.80623E-06
1.80000E+06 4.78581E-06
1.90000E+06 4.76658E-06
2.00000E+06 4.74840E-06
2.10000E+06 4.73117E-06
2.20000E+06 4.71481E-06
2.30000E+06 4.69922E-06
2.40000E+06 4.68435E-06
2.50000E+06 4.67013E-06
2.60000E+06 4.65650E-06
2.70000E+06 4.64343E-06
2.80000E+06 4.63087E-06
2.82131E+06 4.62825E-06
2.90000E+06 4.61878E-06
3.00000E+06 4.60713E-06
3.10000E+06 4.59589E-06
3.14540E+06 4.59092E-06
3.20000E+06 4.58504E-06
3.30000E+06 4.57454E-06
3.40000E+06 4.56438E-06
3.50000E+06 4.55453E-06
3.60000E+06 4.54499E-06
3.70000E+06 4.53572E-06
3.71720E+06 4.53415E-06
3.71724E+06 4.53415E-06
3.80000E+06 4.52672E-06
3.90000E+06 4.51797E-06
4.00000E+06 4.50946E-06
4.10000E+06 4.50117E-06
4.20000E+06 4.49310E-06
4.28910E+06 4.48608E-06
4.28913E+06 4.48608E-06
4.30000E+06 4.48523E-06
4.40000E+06 4.47756E-06
4.50000E+06 4.47007E-06
4.60000E+06 4.46276E-06
4.70000E+06 4.45561E-06
4.80000E+06 4.44863E-06
4.86100E+06 4.44445E-06
4.86101E+06 4.44445E-06
4.90000E+06 4.44180E-06
5.00000E+06 4.43512E-06
5.10000E+06 4.42859E-06
5.20000E+06 4.42219E-06
5.29564E+06 4.41619E-06
5.30000E+06 4.41592E-06
5.35000E+06 4.41283E-06
5.40000E+06 4.40977E-06
5.43290E+06 4.40778E-06
5.45000E+06 4.40675E-06
5.50000E+06 4.40375E-06
5.55000E+06 4.40078E-06
5.60000E+06 4.39784E-06
5.70000E+06 4.39205E-06
5.80000E+06 4.38636E-06
5.90000E+06 4.38078E-06
