B-11(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 0.276645
1.15478E-05 0.257438
1.32158E-05 0.240645
1.49977E-05 0.225897
1.50000E-05 0.225881
1.68859E-05 0.212893
1.88714E-05 0.201382
2.00000E-05 0.195815
2.09443E-05 0.191157
2.30940E-05 0.182043
2.53093E-05 0.173893
2.75000E-05 0.167283
3.00518E-05 0.159583
3.49250E-05 0.148032
3.50000E-05 0.147888
3.98331E-05 0.138612
4.46904E-05 0.130863
4.94239E-05 0.124438
5.00000E-05 0.123803
5.89458E-05 0.113945
6.72728E-05 0.106660
7.42813E-05 0.101504
7.50000E-05 0.101065
8.61866E-05 0.0942330
0.000100000 0.0874829
0.000115478 0.0814091
0.000132158 0.0760985
0.000149977 0.0714349
0.000150000 0.0714299
0.000168859 0.0673226
0.000188714 0.0636827
0.000200000 0.0619222
0.000209443 0.0604491
0.000230940 0.0575670
0.000253093 0.0549899
0.000275000 0.0528996
0.000300518 0.0504647
0.000349250 0.0468117
0.000350000 0.0467662
0.000398331 0.0438330
0.000446904 0.0413824
0.000494239 0.0393509
0.000500000 0.0391501
0.000589458 0.0360327
0.000672728 0.0337290
0.000742813 0.0320984
0.000750000 0.0319596
0.000861866 0.0297991
0.00100000 0.0276645
0.00115478 0.0257438
0.00132158 0.0240645
0.00149977 0.0225897
0.00150000 0.0225881
0.00168859 0.0212893
0.00188714 0.0201382
0.00200000 0.0195815
0.00209443 0.0191157
0.00230940 0.0182043
0.00253093 0.0173893
0.00275000 0.0167283
0.00300518 0.0159583
0.00349250 0.0148032
0.00350000 0.0147888
0.00398331 0.0138612
0.00446904 0.0130863
0.00494239 0.0124438
0.00500000 0.0123803
0.00589458 0.0113945
0.00672728 0.0106660
0.00742813 0.0101504
0.00750000 0.0101065
0.00861866 0.00942330
0.0100000 0.00874829
0.0112303 0.00825521
0.0124303 0.00784661
0.0148471 0.00717964
0.0150000 0.00714620
0.0169633 0.00671688
0.0187462 0.00638949
0.0200000 0.00619868
0.0217780 0.00592809
0.0253000 0.00550000
0.0300421 0.00504728
0.0349152 0.00468183
0.0376500 0.00451579
0.0398233 0.00438384
0.0446807 0.00413869
0.0494146 0.00393546
0.0500000 0.00391505
0.0589375 0.00360352
0.0672657 0.00337308
0.0742754 0.00320997
0.0750000 0.00319598
0.0861832 0.00297997
0.100000 0.00276645
0.115478 0.00257438
0.132158 0.00240645
0.149977 0.00225897
0.150000 0.00225881
0.168859 0.00212893
0.188714 0.00201382
0.200000 0.00195815
0.209443 0.00191157
0.230940 0.00182043
0.253093 0.00173893
0.275000 0.00167283
0.300518 0.00159583
0.349250 0.00148032
0.350000 0.00147888
0.398331 0.00138612
0.446904 0.00130863
0.494239 0.00124438
0.500000 0.00123803
0.589458 0.00113945
0.672728 0.00106660
0.742814 0.00101504
0.750000 0.00101065
0.861866 0.000942330
1.00000 0.000874829
1.15478 0.000814091
1.32158 0.000760985
1.49977 0.000714349
1.50000 0.000714300
1.68859 0.000673226
1.88714 0.000636827
2.00000 0.000619221
2.09443 0.000604491
2.30940 0.000575670
2.53093 0.000549899
2.75000 0.000528996
3.00518 0.000504647
3.49250 0.000468117
3.50000 0.000467662
3.98331 0.000438330
4.46904 0.000413824
4.94239 0.000393509
5.00000 0.000391502
5.89458 0.000360327
6.72728 0.000337290
7.42814 0.000320984
7.50000 0.000319596
8.61866 0.000297991
10.0000 0.000276645
11.1214 0.000262327
12.3276 0.000249163
13.6207 0.000237041
15.0000 0.000225881
15.0025 0.000225861
16.4748 0.000215533
18.0386 0.000205978
20.0000 0.000196172
21.5036 0.000188655
25.3541 0.000173739
29.5880 0.000160829
30.0000 0.000159825
34.1973 0.000149599
39.1685 0.000139783
40.0000 0.000138435
44.4835 0.000131167
50.0000 0.000123733
50.1194 0.000123572
56.0500 0.000116852
62.2458 0.000110884
68.6749 0.000105566
75.0000 0.000101030
75.3041 0.000100812
89.5068 9.24687E-05
100.000 8.76330E-05
104.115 8.57365E-05
118.841 8.02491E-05
133.424 7.57366E-05
147.646 7.19967E-05
150.000 7.14946E-05
176.277 6.58909E-05
200.000 6.18800E-05
201.339 6.16537E-05
222.447 5.86557E-05
258.329 5.44297E-05
300.000 5.05083E-05
348.723 4.68503E-05
397.806 4.38677E-05
400.000 4.37569E-05
446.388 4.14140E-05
493.740 3.93799E-05
500.000 3.91616E-05
589.011 3.60576E-05
672.346 3.37512E-05
742.497 3.21188E-05
750.000 3.19739E-05
861.682 2.98169E-05
1000.00 2.76800E-05
1147.20 2.59466E-05
1293.68 2.45192E-05
1437.10 2.33348E-05
1500.00 2.29152E-05
1727.41 2.13980E-05
1983.02 2.00517E-05
2000.00 1.99768E-05
2199.26 1.90978E-05
2568.61 1.77515E-05
3000.00 1.65000E-05
3487.23 1.52960E-05
3978.06 1.43148E-05
4000.00 1.42784E-05
4463.88 1.35081E-05
4937.40 1.28395E-05
5000.00 1.27678E-05
5890.11 1.17482E-05
6723.46 1.09911E-05
7424.97 1.04554E-05
7500.00 1.04079E-05
8616.83 9.70045E-06
10000.0 9.00000E-06
10427.8 1.05612E-05
10845.4 1.22700E-05
11252.1 1.41223E-05
11647.2 1.61120E-05
12030.3 1.82312E-05
12400.8 2.04704E-05
12758.5 2.28189E-05
13103.2 2.52647E-05
13434.9 2.77952E-05
14079.5 3.32429E-05
14668.8 3.88787E-05
14773.0 3.99887E-05
15204.7 4.45885E-05
15689.6 5.02685E-05
16126.6 5.58289E-05
16519.0 6.11966E-05
17228.7 7.18615E-05
17780.9 8.10631E-05
18206.6 8.87296E-05
18864.4 0.000101610
19546.0 0.000116360
19568.7 0.000129565
19585.8 0.000140443
19611.4 0.000158496
19637.0 0.000178870
19659.7 0.000205859
19676.8 0.000228741
19689.6 0.000247557
19708.8 0.000278722
19728.0 0.000313810
19736.5 0.000341799
19744.4 0.000370302
19759.3 0.000430306
19772.4 0.000490734
19783.8 0.000550531
19793.8 0.000608800
19802.6 0.000664824
19817.9 0.000775554
19829.4 0.000870545
19838.1 0.000949348
19851.0 0.00108113
19864.0 0.00123120
19868.2 0.00133956
19872.2 0.00144979
19879.7 0.00168150
19886.2 0.00191443
19891.9 0.00214457
19896.9 0.00236853
19901.3 0.00258360
19909.0 0.00300802
19914.7 0.00337149
19919.1 0.00367264
19925.5 0.00417554
19932.0 0.00474730
19934.3 0.00517228
19936.4 0.00560519
19940.3 0.00651693
19943.8 0.00743557
19946.8 0.00834501
19949.4 0.00923156
19951.8 0.0100842
19955.8 0.0117702
19958.9 0.0132173
19961.2 0.0144182
19964.6 0.0164271
19968.0 0.0187160
19969.3 0.0202411
19971.8 0.0234437
19973.9 0.0266590
19975.8 0.0298321
19977.5 0.0329169
19978.9 0.0358767
19981.4 0.0417110
19983.3 0.0467014
19984.7 0.0508322
19986.9 0.0577235
19989.0 0.0655490
19991.8 0.0734322
19993.8 0.0799608
19996.9 0.0908578
20000.0 0.103240
20002.8 0.0921202
20004.8 0.0845737
20007.9 0.0743971
20011.0 0.0654450
20012.3 0.0605190
20014.8 0.0522601
20016.9 0.0459636
20018.8 0.0410797
20020.5 0.0372339
20021.9 0.0341654
20024.4 0.0293914
20026.3 0.0262540
20027.7 0.0241227
20029.9 0.0212458
20032.0 0.0187120
20034.3 0.0171772
20036.4 0.0158529
20040.3 0.0136388
20043.8 0.0119566
20046.8 0.0106558
20049.4 0.00963429
20051.8 0.00882110
20055.8 0.00755967
20058.9 0.00673345
20061.2 0.00617361
20064.6 0.00541989
20068.0 0.00475820
20072.2 0.00437428
20076.2 0.00404253
20083.7 0.00348682
20090.2 0.00306361
20095.9 0.00273566
20100.9 0.00247763
20105.3 0.00227190
20113.0 0.00195212
20118.7 0.00174219
20123.1 0.00159969
20129.5 0.00140750
20136.0 0.00123840
20144.5 0.00113743
