B-11(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 5.11665
1.15478E-05 5.09744
1.32158E-05 5.08065
1.49977E-05 5.06590
1.50000E-05 5.06588
1.68859E-05 5.05289
1.88714E-05 5.04138
2.00000E-05 5.03582
2.09443E-05 5.03116
2.30940E-05 5.02204
2.53093E-05 5.01389
2.75000E-05 5.00728
3.00518E-05 4.99958
3.49250E-05 4.98803
3.50000E-05 4.98789
3.98331E-05 4.97861
4.46904E-05 4.97086
4.94239E-05 4.96444
5.00000E-05 4.96380
5.89458E-05 4.95395
6.72728E-05 4.94666
7.42813E-05 4.94150
7.50000E-05 4.94107
8.61866E-05 4.93423
0.000100000 4.92748
0.000115478 4.92141
0.000132158 4.91610
0.000149977 4.91144
0.000150000 4.91143
0.000168859 4.90732
0.000188714 4.90368
0.000200000 4.90192
0.000209443 4.90045
0.000230940 4.89757
0.000253093 4.89499
0.000275000 4.89290
0.000300518 4.89047
0.000349250 4.88681
0.000350000 4.88677
0.000398331 4.88383
0.000446904 4.88138
0.000494239 4.87935
0.000500000 4.87915
0.000589458 4.87603
0.000672728 4.87373
0.000742813 4.87210
0.000750000 4.87196
0.000861866 4.86980
0.00100000 4.86767
0.00115478 4.86574
0.00132158 4.86407
0.00149977 4.86259
0.00150000 4.86259
0.00168859 4.86129
0.00188714 4.86014
0.00200000 4.85958
0.00209443 4.85912
0.00230940 4.85820
0.00253093 4.85739
0.00275000 4.85673
0.00300518 4.85596
0.00349250 4.85480
0.00350000 4.85479
0.00398331 4.85386
0.00446904 4.85309
0.00494239 4.85244
0.00500000 4.85238
0.00589458 4.85140
0.00672728 4.85067
0.00742813 4.85015
0.00750000 4.85011
0.00861866 4.84942
0.0100000 4.84875
0.0112303 4.84826
0.0124303 4.84785
0.0148471 4.84718
0.0150000 4.84715
0.0169633 4.84672
0.0187462 4.84639
0.0200000 4.84620
0.0217780 4.84593
0.0253000 4.84550
0.0300421 4.84505
0.0349152 4.84468
0.0376500 4.84452
0.0398233 4.84438
0.0446807 4.84414
0.0494146 4.84394
0.0500000 4.84392
0.0589375 4.84360
0.0672657 4.84337
0.0742754 4.84321
0.0750000 4.84320
0.0861832 4.84298
0.100000 4.84277
0.115478 4.84257
0.132158 4.84241
0.149977 4.84226
0.150000 4.84226
0.168859 4.84213
0.188714 4.84201
0.200000 4.84196
0.209443 4.84191
0.230940 4.84182
0.253093 4.84174
0.275000 4.84167
0.300518 4.84160
0.349250 4.84148
0.350000 4.84148
0.398331 4.84139
0.446904 4.84131
0.494239 4.84124
0.500000 4.84124
0.589458 4.84114
0.672728 4.84107
0.742814 4.84102
0.750000 4.84101
0.861866 4.84094
1.00000 4.84088
1.15478 4.84081
1.32158 4.84076
1.49977 4.84071
1.50000 4.84071
1.68859 4.84067
1.88714 4.84064
2.00000 4.84062
2.09443 4.84060
2.30940 4.84058
2.53093 4.84055
2.75000 4.84053
3.00518 4.84051
3.49250 4.84047
3.50000 4.84047
3.98331 4.84044
4.46904 4.84041
4.94239 4.84039
5.00000 4.84039
5.89458 4.84036
6.72728 4.84034
7.42814 4.84032
7.50000 4.84032
8.61866 4.84030
10.0000 4.84028
11.1214 4.84026
12.3276 4.84025
13.6207 4.84024
15.0000 4.84023
15.0025 4.84023
16.4748 4.84022
18.0386 4.84021
20.0000 4.84020
21.5036 4.84019
25.3541 4.84017
29.5880 4.84016
30.0000 4.84016
34.1973 4.84015
39.1685 4.84014
40.0000 4.84014
44.4835 4.84013
50.0000 4.84012
50.1194 4.84012
56.0500 4.84012
62.2458 4.84011
68.6749 4.84011
75.0000 4.84010
75.3041 4.84010
89.5068 4.84009
100.000 4.84009
104.115 4.84009
118.841 4.84008
133.424 4.84008
147.646 4.84007
150.000 4.84007
176.277 4.84007
200.000 4.84006
201.339 4.84006
222.447 4.84006
258.329 4.84005
300.000 4.84005
348.723 4.84005
397.806 4.84004
400.000 4.84004
446.388 4.84004
493.740 4.84004
500.000 4.84004
589.011 4.84004
672.346 4.84003
742.497 4.84003
750.000 4.84003
861.682 4.84003
1000.00 4.84003
1147.20 4.84003
1293.68 4.84003
1437.10 4.84002
1500.00 4.84002
1727.41 4.84002
1983.02 4.84002
2000.00 4.84002
2199.26 4.84002
2568.61 4.84002
3000.00 4.84002
3487.23 4.84002
3978.06 4.84001
4000.00 4.84001
4463.88 4.84001
4937.40 4.84001
5000.00 4.84001
5890.11 4.84001
6723.46 4.84001
7424.97 4.84001
7500.00 4.84001
8616.83 4.84001
10000.0 4.84001
10427.8 4.84225
10845.4 4.84444
11252.1 4.84657
11647.2 4.84864
12030.3 4.85065
12400.8 4.85260
12758.5 4.85447
13103.2 4.85628
13434.9 4.85802
14079.5 4.86140
14668.8 4.86449
14773.0 4.86504
15204.7 4.86731
15689.6 4.86985
16126.6 4.87215
16519.0 4.87421
17228.7 4.87793
17780.9 4.88084
18206.6 4.88307
18864.4 4.88653
19546.0 4.89012
19568.7 4.91509
19585.8 4.93383
19611.4 4.96198
19637.0 4.99018
19659.7 5.04511
19676.8 5.08635
19689.6 5.11732
19708.8 5.16379
19728.0 5.21031
19736.5 5.26565
19744.4 5.31758
19759.3 5.41500
19772.4 5.50027
19783.8 5.57496
19793.8 5.64038
19802.6 5.69763
19817.9 5.79784
19829.4 5.87315
19838.1 5.92958
19851.0 6.01440
19864.0 6.09923
19868.2 6.30289
19872.2 6.49407
19879.7 6.85244
19886.2 7.16664
19891.9 7.44099
19896.9 7.68173
19901.3 7.89222
19909.0 8.26038
19914.7 8.53678
19919.1 8.74448
19925.5 9.05559
19932.0 9.36725
19934.3 10.1826
19936.4 10.9437
19940.3 12.3790
19943.8 13.6331
19946.8 14.7279
19949.4 15.6886
19951.8 16.5298
19955.8 18.0021
19958.9 19.1046
19961.2 19.9353
19964.6 21.1761
19968.0 22.4207
19969.3 25.1593
19971.8 30.3022
19973.9 34.7975
19975.8 38.7495
19977.5 42.2000
19978.9 45.2116
19981.4 50.4826
19983.3 54.4573
19984.7 57.4283
19986.9 61.8854
19989.0 66.3436
19991.8 75.2219
19993.8 81.8733
19996.9 91.8836
20000.0 101.863
20002.8 93.0329
20004.8 86.4189
20007.9 76.4670
20011.0 66.5485
20012.3 63.8086
20014.8 58.6644
20016.9 54.1694
20018.8 50.2187
20020.5 46.7700
20021.9 43.7606
20024.4 38.4946
20026.3 34.5247
20027.7 31.5580
20029.9 27.1082
20032.0 22.6587
20034.3 21.8362
20036.4 21.0686
20040.3 19.6214
20043.8 18.3572
20046.8 17.2539
20049.4 16.2859
20051.8 15.4385
20055.8 13.9558
20058.9 12.8457
20061.2 12.0095
20064.6 10.7608
20068.0 9.50856
20072.2 9.30044
20076.2 9.10511
20083.7 8.73857
20090.2 8.41822
20095.9 8.13813
20100.9 7.89241
20105.3 7.67761
20113.0 7.30200
20118.7 7.02007
20123.1 6.80827
20129.5 6.49109
20136.0 6.17344
20144.5 6.11851
20152.4 6.06696
20167.3 5.97029
20180.4 5.88570
20191.8 5.81162
20201.8 5.74675
20210.6 5.68999
20225.9 5.59060
20237.4 5.51604
20246.1 5.46013
20259.0 5.37612
20272.0 5.29212
20294.7 5.25916
20311.8 5.23442
20324.6 5.21585
20343.8 5.18798
20363.0 5.16008
20385.7 5.14459
20402.8 5.13296
20428.4 5.11550
20454.0 5.09802
20684.7 5.09441
