C-12(n,g) CENDL-3.1
Energy(eV) XS(b)
1.00000E-05 0.171020
1.19336E-05 0.156553
1.38672E-05 0.145229
1.38672E-05 0.145229
1.77344E-05 0.128422
2.00000E-05 0.120929
2.16016E-05 0.116360
2.54688E-05 0.107163
3.32032E-05 0.0938549
4.09375E-05 0.0845252
5.00000E-05 0.0764825
5.64063E-05 0.0720084
7.18750E-05 0.0637908
8.73440E-05 0.0578669
0.000100000 0.0540813
0.000102813 0.0533363
0.000133750 0.0467628
0.000164688 0.0421421
0.000195625 0.0386665
0.000200000 0.0382412
0.000257500 0.0337022
0.000319375 0.0302619
0.000381250 0.0276976
0.000500000 0.0241859
0.000505000 0.0240659
0.000628750 0.0215679
0.000752500 0.0197149
0.00100000 0.0171020
0.00137969 0.0145426
0.00175938 0.0128667
0.00200000 0.0120622
0.00213907 0.0116607
0.00251875 0.0107395
0.00327813 0.00940464
0.00403750 0.00846773
0.00500000 0.00760322
0.00555625 0.00720981
0.00707500 0.00638361
0.00859375 0.00578800
0.0100000 0.00536264
0.0101125 0.00533251
0.0131500 0.00467175
0.0161875 0.00420747
0.0192250 0.00385837
0.0200000 0.00378233
0.0253000 0.00336000
0.0346375 0.00287941
0.0439750 0.00256075
0.0500000 0.00240417
0.0533125 0.00232958
0.0626500 0.00215196
0.0813250 0.00189304
0.100000 0.00171020
0.119336 0.00156553
0.138672 0.00145229
0.177344 0.00128422
0.200000 0.00120929
0.216016 0.00116360
0.254688 0.00107163
0.332032 0.000938549
0.409375 0.000845252
0.500000 0.000764825
0.564063 0.000720084
0.718750 0.000637908
0.873440 0.000578669
1.00000 0.000540813
1.02813 0.000533363
1.33750 0.000467628
1.64688 0.000421421
1.95625 0.000386665
2.00000 0.000382412
2.57500 0.000337022
3.19375 0.000302619
3.81250 0.000276976
5.00000 0.000241859
5.05000 0.000240659
6.28750 0.000215679
7.52500 0.000197149
10.0000 0.000171020
13.8672 0.000145229
17.7344 0.000128422
20.0000 0.000120929
21.6016 0.000116360
25.4688 0.000107163
33.2032 9.38549E-05
40.9375 8.45252E-05
50.0000 7.64825E-05
56.4063 7.20084E-05
71.8750 6.37908E-05
87.3440 5.78669E-05
100.000 5.40813E-05
102.813 5.33363E-05
133.750 4.67628E-05
164.688 4.21421E-05
195.625 3.86665E-05
200.000 3.82412E-05
257.500 3.37022E-05
319.375 3.02619E-05
381.250 2.76976E-05
500.000 2.41859E-05
505.000 2.40659E-05
