Mg-24(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.27798
1.25000E-05 6.01094
1.50000E-05 5.81381
2.00000E-05 5.53711
2.75000E-05 5.27384
3.50000E-05 5.10057
4.25000E-05 4.97548
5.00000E-05 4.87972
6.25000E-05 4.76029
7.50000E-05 4.67214
0.000100000 4.54839
0.000125000 4.46395
0.000150000 4.40161
0.000200000 4.31411
0.000275000 4.23086
0.000350000 4.17606
0.000425000 4.13651
0.000500000 4.10623
0.000625000 4.06846
0.000750000 4.04058
0.00100000 4.00145
0.00125000 3.97475
0.00150000 3.95504
0.00200000 3.92737
0.00275000 3.90104
0.00350000 3.88371
0.00425000 3.87120
0.00500000 3.86163
0.00625000 3.84968
0.00750000 3.84087
0.0100000 3.82849
0.0125000 3.82005
0.0150000 3.81382
0.0200000 3.80507
0.0253000 3.79879
0.0314750 3.79359
0.0376500 3.78973
0.0500000 3.78428
0.0625000 3.78050
0.0750000 3.77771
0.100000 3.77380
0.125000 3.77113
0.150000 3.76916
0.200000 3.76639
0.275000 3.76376
0.350000 3.76202
0.500000 3.75981
0.750000 3.75774
1.00000 3.75650
1.50000 3.75503
2.00000 3.75415
2.75000 3.75331
3.50000 3.75276
5.00000 3.75206
7.50000 3.75139
10.0000 3.75098
15.0000 3.75049
20.0000 3.75019
27.5000 3.74989
35.0000 3.74968
50.0000 3.74938
75.0000 3.74905
100.000 3.74880
150.000 3.74840
200.000 3.74807
275.000 3.74761
350.000 3.74717
500.000 3.74635
750.000 3.74504
1000.00 3.74377
1500.00 3.74126
2000.00 3.73881
2750.00 3.73518
3500.00 3.73163
5000.00 3.72473
7500.00 3.71380
10000.0 3.70362
15000.0 3.68576
20000.0 3.67188
26587.3 3.66188
33174.6 3.66623
38587.3 3.68750
44000.0 3.73612
45174.6 3.75205
45761.8 3.76101
46055.5 3.76604
46202.3 3.76981
46275.7 3.77640
46312.4 3.79787
46330.7 3.87692
46335.3 3.95400
46339.9 4.15796
46342.2 4.41760
46344.5 5.05298
46345.7 5.79062
46346.8 7.36042
46347.4 8.93694
46348.0 11.6737
46348.5 16.9513
46348.8 21.5098
46349.1 27.8278
46349.6 42.5055
46350.0 52.0372
46350.5 42.1645
46350.9 27.8281
46351.4 18.6329
46351.8 13.4608
46352.3 10.4682
46352.7 8.66660
46353.6 6.66766
46354.5 5.67181
46356.3 4.76345
46358.0 4.37746
46361.6 4.06364
46365.2 3.94277
46372.3 3.85063
46379.4 3.81685
46407.9 3.78330
46465.0 3.77543
46579.0 3.77515
46807.1 3.77859
47263.2 3.78682
48175.5 3.80501
50000.0 3.84822
57249.5 4.16286
60874.3 4.48172
64499.0 5.03539
68123.8 6.07311
71748.5 8.24879
73560.9 10.2832
75373.3 13.6264
77185.6 19.4377
78998.0 29.9649
81249.0 53.4067
82374.5 66.0821
83500.0 71.1746
88002.0 32.8871
89501.8 24.5316
91001.5 19.1314
92501.3 15.5507
94001.0 13.0892
97000.5 10.0469
100000 8.31776
104794 6.78080
109587 5.94066
114381 5.42915
119175 5.09444
128762 4.70221
138349 4.50397
157524 4.40324
167111 4.46418
171905 4.52379
174302 4.56176
175500 4.58296
176099 4.59424
176399 4.60044
176549 4.60513
176623 4.61335
176661 4.63943
176680 4.73020
176689 5.02632
176694 5.83189
176696 7.38920
176697 9.55952
176698 14.4902
176699 20.5212
176700 24.4166
176701 20.5046
176702 14.4696
176703 10.1116
176704 7.91671
