Mg-25(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9.57544
1.25000E-05 8.56453
1.50000E-05 7.81831
2.00000E-05 6.77086
2.75000E-05 5.77421
3.50000E-05 5.11829
4.25000E-05 4.64477
5.00000E-05 4.28227
6.25000E-05 3.83018
7.50000E-05 3.49646
0.000100000 3.02802
0.000125000 2.70834
0.000150000 2.47237
0.000200000 2.14113
0.000275000 1.82596
0.000350000 1.61854
0.000425000 1.46881
0.000500000 1.35417
0.000625000 1.21121
0.000750000 1.10568
0.00100000 0.957544
0.00125000 0.856453
0.00150000 0.781831
0.00200000 0.677086
0.00275000 0.577421
0.00350000 0.511829
0.00425000 0.464477
0.00500000 0.428227
0.00625000 0.383018
0.00750000 0.349646
0.0100000 0.302802
0.0125000 0.270834
0.0150000 0.247237
0.0200000 0.214113
0.0253000 0.190370
0.0314750 0.170677
0.0376500 0.156055
0.0500000 0.135417
0.0625000 0.121121
0.0750000 0.110568
0.100000 0.0957544
0.125000 0.0856454
0.150000 0.0781832
0.200000 0.0677087
0.275000 0.0577422
0.350000 0.0511830
0.500000 0.0428228
0.750000 0.0349647
1.00000 0.0302804
1.50000 0.0247239
2.00000 0.0214116
2.75000 0.0182600
3.50000 0.0161858
5.00000 0.0135422
7.50000 0.0110573
10.0000 0.00957606
15.0000 0.00781908
20.0000 0.00677174
27.5000 0.00577525
35.0000 0.00511946
50.0000 0.00428368
75.0000 0.00349821
100.000 0.00303006
150.000 0.00247492
200.000 0.00214415
275.000 0.00182961
350.000 0.00162278
500.000 0.00135953
750.000 0.00111285
1000.00 0.000966560
1500.00 0.000794736
2000.00 0.000694259
2750.00 0.000601862
3500.00 0.000544749
5000.00 0.000482634
7500.00 0.000460017
10000.0 0.000518038
12099.8 0.000668351
13149.6 0.000814830
14199.5 0.00105749
15249.4 0.00148850
16299.3 0.00234176
16824.2 0.00310844
17349.1 0.00433731
17874.1 0.00644177
18399.0 0.0103133
19900.0 0.0342239
20000.0 0.0334474
20350.3 0.0268849
20700.5 0.0192546
21050.8 0.0135530
21401.0 0.00977013
21847.9 0.00676283
22294.7 0.00493504
22741.6 0.00376498
23188.4 0.00297877
24082.2 0.00202847
24975.9 0.00150138
26763.3 0.000970914
28550.8 0.000725014
32125.6 0.000518612
35700.5 0.000449950
42850.3 0.000462972
50000.0 0.000626627
53216.6 0.000779774
56433.1 0.00103135
59649.7 0.00148415
61257.9 0.00191958
62062.1 0.00251996
62263.1 0.00296960
62464.1 0.00411528
62564.7 0.00561256
62665.2 0.00961359
62715.4 0.0148180
62765.7 0.0281667
62790.8 0.0444676
62803.4 0.0589998
62816.0 0.0823698
62828.5 0.123350
62841.1 0.204024
62847.4 0.276264
62853.6 0.391012
62859.9 0.582136
62866.2 0.906378
62873.1 1.44953
62880.0 1.81160
62886.9 1.44902
62893.8 0.906054
62900.3 0.575389
62906.7 0.383232
62913.2 0.269174
62919.6 0.198054
62932.5 0.119124
62945.4 0.0793808
62958.3 0.0567817
62971.2 0.0427955
62997.0 0.0271419
63022.8 0.0190713
63048.5 0.0143829
63100.1 0.00944127
63151.7 0.00703490
63203.3 0.00569104
63306.4 0.00433401
63512.8 0.00338583
63719.1 0.00310371
64544.4 0.00314601
66194.9 0.00420412
67845.5 0.00605639
69496.0 0.00911346
70447.0 0.0115544
71398.0 0.0142744
73300.0 0.0172969
75202.0 0.0136734
77104.0 0.00954211
77686.1 0.00935802
78268.2 0.0108991
78559.3 0.0135380
78704.8 0.0160586
78850.3 0.0202237
78995.8 0.0276159
79141.4 0.0421831
79214.1 0.0551337
79286.9 0.0754848
79359.6 0.108852
79432.4 0.164351
79516.2 0.261232
79600.0 0.325651
79683.9 0.260025
79767.7 0.163278
79865.9 0.0944092
79964.1 0.0595096
80062.4 0.0408041
80160.6 0.0299160
80357.0 0.0185766
80553.4 0.0131628
80749.9 0.0102248
80946.3 0.00865922
81142.8 0.00907436
81241.0 0.0145214
81265.5 0.0198040
81290.1 0.0327238
81302.4 0.0474221
81308.5 0.0597169
81314.6 0.0781961
81320.8 0.107663
81326.9 0.157898
81333.1 0.250279
81339.2 0.427942
81344.6 0.681145
81350.0 0.849843
81355.4 0.680450
81360.8 0.427366
81365.3 0.286161
81369.8 0.199238
81374.3 0.145013
81378.8 0.109874
81387.8 0.0694939
81396.8 0.0484240
81405.8 0.0361780
81414.8 0.0284686
81432.8 0.0196958
81450.9 0.0150811
81468.9 0.0123538
81504.9 0.00940061
81576.9 0.00699966
81648.9 0.00599232
81936.9 0.00453316
82512.9 0.00346713
83665.0 0.00246483
85969.2 0.00154949
88273.4 0.00109216
90577.5 0.000819307
95185.9 0.000527895
97490.1 0.000460632
98642.2 0.000464673
99218.2 0.000556761
99506.2 0.000936089
99650.2 0.00238842
99722.3 0.00768101
99740.3 0.0126656
99758.3 0.0252581
99767.3 0.0403193
99776.3 0.0742958
99780.8 0.109713
99785.3 0.176438
99789.8 0.319817
99792.0 0.454957
99794.3 0.667658
99797.1 1.06884
99800.0 1.33504
99802.9 1.06726
99805.8 0.667596
99808.8 0.400281
99811.8 0.255404
99814.9 0.173981
99817.9 0.125229
99824.0 0.0730295
99830.0 0.0475863
99842.2 0.0247715
99854.3 0.0152136
99878.6 0.00753083
99902.9 0.00458294
99951.4 0.00234862
100000 0.00152989
100163 0.000764596
100325 0.000590816
100650 0.000497545
101300 0.000477657
102600 0.000584535
103250 0.000736444
103900 0.00106813
104225 0.00138830
104550 0.00193251
104875 0.00292335
105200 0.00480379
105500 0.00760927
105800 0.00946200
106100 0.00752453
106400 0.00473664
106602 0.00344562
106805 0.00257716
107209 0.00158735
107614 0.00109078
108019 0.000813138
108828 0.000531993
109637 0.000398841
111256 0.000276789
112875 0.000220412
116112 0.000164762
119350 0.000134906
125824 0.000100653
132299 8.07151E-05
145249 5.90660E-05
158198 4.93912E-05
179099 4.77794E-05
189550 5.30153E-05
200000 6.41830E-05
204998 7.31620E-05
207498 8.09072E-05
208747 9.38972E-05
209372 0.000135471
209684 0.000294446
209841 0.000912208
209919 0.00326265
209958 0.0117484
209977 0.0394752
