Si-30(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 5.38599
1.25000E-05 4.81738
1.50000E-05 4.39764
2.00000E-05 3.80847
2.75000E-05 3.24787
3.50000E-05 2.87893
4.25000E-05 2.61259
5.00000E-05 2.40869
6.25000E-05 2.15440
7.50000E-05 1.96669
0.000100000 1.70320
0.000125000 1.52339
0.000150000 1.39066
0.000200000 1.20434
0.000275000 1.02707
0.000350000 0.910398
0.000425000 0.826173
0.000500000 0.761694
0.000625000 0.681280
0.000750000 0.621921
0.00100000 0.538599
0.00125000 0.481738
0.00150000 0.439764
0.00200000 0.380847
0.00275000 0.324787
0.00350000 0.287893
0.00425000 0.261259
0.00500000 0.240869
0.00625000 0.215440
0.00750000 0.196669
0.0100000 0.170320
0.0125000 0.152339
0.0150000 0.139066
0.0200000 0.120435
0.0253000 0.107079
0.0314750 0.0960027
0.0376500 0.0877777
0.0500000 0.0761696
0.0625000 0.0681283
0.0750000 0.0621924
0.100000 0.0538603
0.125000 0.0481741
0.150000 0.0439768
0.200000 0.0380851
0.275000 0.0324793
0.350000 0.0287899
0.500000 0.0240876
0.750000 0.0196677
1.00000 0.0170330
1.50000 0.0139078
2.00000 0.0120448
2.75000 0.0102723
3.50000 0.00910581
5.00000 0.00761912
7.50000 0.00622188
10.0000 0.00538909
15.0000 0.00440146
20.0000 0.00381289
27.5000 0.00325309
35.0000 0.00288486
50.0000 0.00241587
75.0000 0.00197568
100.000 0.00171382
150.000 0.00140427
200.000 0.00122081
275.000 0.00104783
350.000 0.000935656
500.000 0.000797140
750.000 0.000680655
1000.00 0.000635789
1250.00 0.000651084
1500.00 0.000770231
1625.00 0.000920024
1750.00 0.00122110
1812.50 0.00148995
1875.00 0.00191803
1937.50 0.00265361
2000.00 0.00406762
2029.29 0.00522262
2058.59 0.00700712
2087.88 0.00997261
2117.18 0.0154367
2131.82 0.0200818
2146.47 0.0272313
2161.12 0.0390634
2175.76 0.0607585
2183.09 0.0791269
2190.41 0.107290
2197.73 0.153684
2205.06 0.238195
2208.72 0.309298
2212.38 0.417676
2216.04 0.594746
2219.70 0.913470
2221.53 1.17853
2223.37 1.57793
2225.20 2.22030
2227.03 3.35003
2227.94 4.26898
2228.86 5.62131
2229.77 7.73290
2230.69 11.2843
2231.60 17.9514
2232.06 23.7045
2232.52 32.6305
2232.98 47.5391
2233.43 74.6553
2233.66 97.1012
2233.89 130.023
2234.12 179.469
2234.35 253.310
2234.68 405.425
2235.00 506.280
2235.33 404.786
2235.65 253.227
2235.99 153.797
2236.32 99.0150
2236.66 67.8382
2236.99 49.0010
2237.33 36.8548
2237.66 28.6714
2238.33 18.6888
2239.00 13.1068
2239.67 9.68618
2241.00 5.89669
2242.34 3.95884
2243.68 2.83981
2245.02 2.13568
2246.36 1.66424
2249.03 1.09190
2251.71 0.771238
2254.39 0.573672
2257.06 0.443406
2262.42 0.287711
2267.77 0.201781
2273.12 0.149376
2278.47 0.115086
2289.18 0.0744072
2299.88 0.0521119
2310.59 0.0385810
2321.29 0.0297544
2342.70 0.0193160
2364.11 0.0136096
2385.52 0.0101511
2406.93 0.00789632
2449.75 0.00522970
2492.57 0.00377046
2535.39 0.00288443
2578.21 0.00230541
2663.85 0.00161779
2749.49 0.00123893
2920.77 0.000854447
3092.05 0.000671325
3263.33 0.000569803
3605.90 0.000471764
3948.46 0.000447940
4291.02 0.000516571
4462.30 0.000652988
4633.58 0.00107432
4719.22 0.00167786
4762.04 0.00228822
4804.86 0.00341369
4847.68 0.00584362
4869.09 0.00828144
4890.50 0.0127523
4901.20 0.0165379
4911.91 0.0223446
4922.61 0.0319133
4933.32 0.0493596
4938.67 0.0640508
4944.02 0.0864592
4949.38 0.123124
4954.73 0.189260
4957.41 0.244383
4960.08 0.327583
4962.76 0.461769
4965.43 0.698894
4966.77 0.892554
4968.11 1.17886
4969.45 1.62793
4970.79 2.39017
4972.13 3.83749
4972.79 5.10263
4973.46 7.09768
4974.13 10.4902
4974.80 16.8677
4975.14 22.3145
4975.47 30.5229
4975.81 43.3691
4976.14 63.4585
4976.57 101.582
4977.00 126.907
4977.43 101.470
4977.86 63.4488
4978.21 42.7975
4978.55 29.8374
4978.90 21.6413
4979.25 16.2750
4979.94 10.0457
4980.63 6.76515
4981.32 4.84840
4982.01 3.63829
4983.40 2.26041
4984.78 1.53690
4986.16 1.11173
4987.55 0.841120
4988.93 0.658528
4991.70 0.434849
4994.47 0.308459
4997.23 0.230138
5000.00 0.178281
5004.88 0.121510
5009.77 0.0881355
5014.65 0.0668678
5019.53 0.0524874
5029.30 0.0348482
5039.06 0.0248517
5048.83 0.0186427
5058.59 0.0145244
5078.13 0.00957083
5097.66 0.00681782
5117.19 0.00513102
5156.25 0.00325572
5195.31 0.00229057
5234.38 0.00172866
5312.50 0.00113246
5468.75 0.000670653
5625.00 0.000495379
5937.50 0.000358472
6250.00 0.000303342
7500.00 0.000229713
10000.0 0.000184083
15000.0 0.000145508
20000.0 0.000125203
27500.0 0.000107068
35000.0 9.58564E-05
50000.0 8.31243E-05
75000.0 7.60668E-05
100000 8.22784E-05
119623 0.000102723
129434 0.000124398
139245 0.000163061
149056 0.000239552
153962 0.000308609
158868 0.000420936
163773 0.000620654
168679 0.00102355
169905 0.00118751
170518 0.00128456
171132 0.00139377
171745 0.00151713
172051 0.00158482
172358 0.00165696
172665 0.00173391
172971 0.00181606
173278 0.00190384
173584 0.00199773
174198 0.00220587
174811 0.00244509
175424 0.00272073
176037 0.00303883
176650 0.00340608
177264 0.00382936
178490 0.00486722
179740 0.00618951
180990 0.00763985
183490 0.00908889
184740 0.00832218
185990 0.00693555
188490 0.00426914
191408 0.00243590
194325 0.00150765
197243 0.00100857
200161 0.000717683
203078 0.000535815
205996 0.000415462
211831 0.000272192
217666 0.000194329
223502 0.000148992
229337 0.000129699
230796 0.000135562
232254 0.000163602
232984 0.000207180
233348 0.000251594
233713 0.000332832
234078 0.000504258
234260 0.000671369
234443 0.000967229
234625 0.00156740
234716 0.00213002
234807 0.00308496
234898 0.00490286
234944 0.00649463
234990 0.00900894
235035 0.0132944
235081 0.0213784
235104 0.0282942
235126 0.0387826
235149 0.0552151
235172 0.0809696
235201 0.129588
235230 0.161811
235259 0.129356
235288 0.0809490
235321 0.0468629
235354 0.0292203
235387 0.0196094
235420 0.0139626
235453 0.0104028
235486 0.00804396
235552 0.00521674
235617 0.00365804
235683 0.00271419
235815 0.00167796
235947 0.00115232
236078 0.000850037
236342 0.000533772
236605 0.000380051
236868 0.000293817
237395 0.000205125
237922 0.000162360
238448 0.000138183
239502 0.000112573
241608 9.10753E-05
243715 8.08501E-05
252142 6.16446E-05
268996 4.42566E-05
285849 3.61245E-05
294276 3.76491E-05
296383 4.17594E-05
298490 5.44983E-05
299543 7.23503E-05
300070 8.99472E-05
300596 0.000121406
301123 0.000186020
301386 0.000247399
301650 0.000353173
301913 0.000558929
302045 0.000743386
302176 0.00104183
302308 0.00156977
302440 0.00262375
302506 0.00358366
302571 0.00513080
302637 0.00776408
302703 0.0123545
302772 0.0197365
302840 0.0247340
302909 0.0198960
302977 0.0124807
303031 0.00852433
303084 0.00600706
303137 0.00439452
303191 0.00332846
303298 0.00207911
303404 0.00141522
303511 0.00102509
303618 0.000777812
303832 0.000495055
304045 0.000346131
304259 0.000258444
304686 0.000164707
305113 0.000118311
305541 9.20139E-05
306395 6.47961E-05
307250 5.16641E-05
308104 4.42898E-05
309813 3.66255E-05
313231 3.05591E-05
316649 2.79551E-05
330320 2.36819E-05
357664 1.99382E-05
385007 1.88916E-05
391843 1.98714E-05
398678 2.34726E-05
402096 2.86378E-05
403805 3.36775E-05
405514 4.25109E-05
407223 5.99953E-05
408078 7.59111E-05
408932 0.000102067
409787 0.000149301
410214 0.000188458
410641 0.000246911
411068 0.000338963
411496 0.000493372
411923 0.000770907
412350 0.00128996
412745 0.00205564
413140 0.00257016
413535 0.00206339
413930 0.00129642
414381 0.000753901
414833 0.000473453
415284 0.000321367
415736 0.000232297
416187 0.000176408
416638 0.000139298
417541 9.48908E-05
418444 7.04593E-05
419347 5.56384E-05
421152 3.93480E-05
422958 3.10545E-05
424763 2.62503E-05
428374 2.11437E-05
435597 1.70731E-05
442819 1.53811E-05
471707 1.28680E-05
529485 1.08264E-05
587262 9.79007E-06
616150 1.00608E-05
623373 1.06363E-05
630595 1.23691E-05
634206 1.47976E-05
637817 2.16170E-05
639622 3.09202E-05
641428 5.64086E-05
642331 9.01934E-05
642782 0.000122531
643233 0.000178788
643685 0.000289850
643911 0.000391036
644136 0.000557792
644362 0.000860426
644475 0.00111285
644588 0.00149166
644701 0.00209359
644813 0.00311465
644926 0.00498140
645039 0.00855305
645140 0.0136880
645240 0.0171264
645341 0.0137190
645441 0.00858414
645557 0.00493345
645673 0.00305736
645788 0.00204265
645904 0.00145035
646020 0.00107904
646136 0.000833042
646367 0.000539065
646599 0.000377590
646830 0.000279838
647293 0.000172772
647756 0.000118600
648219 8.74981E-05
649145 5.50094E-05
650071 3.92812E-05
650997 3.04972E-05
652848 2.15547E-05
656552 1.50329E-05
660255 1.27698E-05
667663 1.13576E-05
675070 1.12688E-05
682477 1.19474E-05
689884 1.40086E-05
693587 1.66048E-05
697291 2.33371E-05
699143 3.21502E-05
700995 5.58037E-05
701920 8.68554E-05
702383 0.000116467
702846 0.000167849
703309 0.000268997
703541 0.000360913
703772 0.000511921
704004 0.000785036
704119 0.00101172
704235 0.00135083
704351 0.00188672
704467 0.00278861
704582 0.00441812
704698 0.00748316
704804 0.0119546
704910 0.0148790
705016 0.0118574
705122 0.00740941
705186 0.00549396
705251 0.00414371
705380 0.00252327
705508 0.00166810
705637 0.00117692
705766 0.000872431
705895 0.000672293
706152 0.000434941
706410 0.000305640
706667 0.000227774
707182 0.000142936
707697 0.000100271
708212 7.59096E-05
709242 5.07118E-05
710272 3.87573E-05
711302 3.23011E-05
713362 2.62857E-05
717481 2.38278E-05
721601 2.60729E-05
725721 3.17329E-05
729841 4.23566E-05
733960 6.23546E-05
738080 0.000100924
741765 0.000156787
745450 0.000194847
749135 0.000158188
752820 0.000101891
755564 7.30023E-05
758307 5.42101E-05
763794 3.37815E-05
769281 2.41250E-05
774768 1.90961E-05
780254 1.64800E-05
785741 1.58070E-05
788485 1.67479E-05
791228 2.04942E-05
793972 4.03417E-05
794658 5.89174E-05
795343 0.000105207
795686 0.000159710
796029 0.000280068
796201 0.000402657
796372 0.000627311
796458 0.000814452
796544 0.00109077
796629 0.00151067
796715 0.00215277
796950 0.00446262
797068 0.00368821
797185 0.00232857
797264 0.00167567
797342 0.00123066
797421 0.000929398
797499 0.000721786
797657 0.000467388
797814 0.000326591
797971 0.000241577
798128 0.000186758
798442 0.000123023
798757 8.90146E-05
799071 6.88677E-05
799699 4.74048E-05
800328 3.70799E-05
800957 3.16530E-05
802214 2.76911E-05
804728 4.03864E-05
805985 9.42455E-05
806300 0.000141955
806614 0.000255427
806771 0.000382494
806928 0.000645775
807007 0.000895946
807085 0.00131942
807164 0.00209573
807243 0.00359511
807380 0.00751405
807449 0.00627232
807518 0.00397869
807566 0.00282445
807614 0.00205232
807710 0.00118828
807806 0.000767072
807902 0.000538004
808094 0.000315469
808286 0.000218037
808670 0.000144908
809054 0.000133305
809438 0.000160751
809822 0.000255506
810014 0.000365985
810206 0.000589266
810302 0.000791969
810398 0.00111672
810494 0.00166138
810590 0.00258538
810695 0.00407849
810800 0.00490626
810905 0.00379593
811010 0.00236224
811135 0.00134785
811260 0.000837225
