P-31(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 8.29935
1.09051E-05 7.94984
1.17640E-05 7.65612
1.25708E-05 7.40805
1.33221E-05 7.19756
1.47465E-05 6.84351
1.50000E-05 6.78834
1.59138E-05 6.58946
1.68495E-05 6.40514
1.83573E-05 6.13826
2.00000E-05 5.88251
2.18102E-05 5.63478
2.35280E-05 5.42660
2.51417E-05 5.25075
2.66442E-05 5.10157
2.75000E-05 5.02619
2.94929E-05 4.85063
3.18275E-05 4.67057
3.36990E-05 4.53991
3.50000E-05 4.45830
3.67146E-05 4.35075
4.00000E-05 4.16948
4.36203E-05 3.99389
4.70559E-05 3.84633
5.00000E-05 3.73264
5.02833E-05 3.72170
5.32883E-05 3.61596
5.89856E-05 3.43809
6.36549E-05 3.31046
6.73979E-05 3.21785
7.34291E-05 3.08378
7.50000E-05 3.05306
8.00000E-05 2.95529
8.72406E-05 2.83084
9.41117E-05 2.72625
0.000100000 2.64566
0.000100566 2.63792
0.000106576 2.56297
0.000117971 2.43690
0.000127310 2.34643
0.000134796 2.28079
0.000146858 2.18576
0.000150000 2.16399
0.000160000 2.09469
0.000174481 2.00648
0.000188223 1.93235
0.000200000 1.87522
0.000201133 1.86973
0.000213153 1.81661
0.000235942 1.72725
0.000254619 1.66313
0.000269591 1.61661
0.000275000 1.60150
0.000293716 1.54925
0.000320000 1.48470
0.000348962 1.42217
0.000350000 1.42019
0.000376447 1.36963
0.000402266 1.32525
0.000426306 1.28760
0.000471885 1.22426
0.000500000 1.19005
0.000509240 1.17881
0.000539184 1.14584
0.000587433 1.09809
0.000640000 1.05234
0.000697925 1.00803
0.000750000 0.972743
0.000752894 0.970782
0.000804532 0.939325
0.000852612 0.912638
0.000943770 0.867746
0.00100000 0.843500
0.00101848 0.835532
0.00107837 0.812159
0.00117487 0.778320
0.00128000 0.745890
0.00139585 0.714480
0.00150000 0.689472
0.00150579 0.688082
0.00160907 0.665786
0.00170523 0.646870
0.00188754 0.615051
0.00200000 0.597866
0.00203696 0.592218
0.00215674 0.575652
0.00234973 0.551667
0.00256000 0.528681
0.00275000 0.510424
0.00279170 0.506417
0.00301158 0.487707
0.00321813 0.471903
0.00341045 0.458496
0.00350000 0.452957
0.00377508 0.435943
0.00407392 0.419759
0.00431347 0.408017
0.00469946 0.391017
0.00500000 0.379374
0.00512000 0.374725
0.00558340 0.358944
0.00602315 0.345683
0.00643626 0.334481
0.00682090 0.324978
0.00750000 0.310092
0.00755016 0.308993
0.00814783 0.297522
0.00862694 0.289199
0.00939893 0.277150
0.0100000 0.268897
0.0102400 0.265602
0.0111668 0.254417
0.0120463 0.245017
0.0128725 0.237078
0.0136418 0.230342
0.0150000 0.219791
0.0151003 0.219012
0.0162957 0.210881
0.0172539 0.204982
0.0187979 0.196441
0.0200000 0.190592
0.0204800 0.188256
0.0215912 0.183381
0.0233722 0.176304
0.0253000 0.169500
0.0275899 0.162239
0.0297628 0.156140
0.0318042 0.150993
0.0337048 0.146628
0.0373084 0.139291
0.0376500 0.138683
0.0402618 0.134031
0.0426292 0.130216
0.0464439 0.124696
0.0500000 0.120174
0.0506000 0.119411
0.0551797 0.114295
0.0595257 0.109999
0.0636083 0.106373
0.0674097 0.103298
0.0746168 0.0981292
0.0750000 0.0978888
0.0805235 0.0944231
0.0852584 0.0917357
0.0928878 0.0878473
0.100000 0.0846612
0.101200 0.0841237
0.110359 0.0805198
0.119051 0.0774932
0.127217 0.0749385
0.134819 0.0727722
0.149234 0.0691309
0.150000 0.0689616
0.161047 0.0665200
0.170517 0.0646268
0.185776 0.0618874
0.200000 0.0596429
0.202400 0.0592642
0.220719 0.0567253
0.238103 0.0545931
0.254433 0.0527933
0.269639 0.0512673
0.275000 0.0507902
0.298467 0.0487020
0.322094 0.0468626
0.341034 0.0455289
0.350000 0.0449618
0.371551 0.0435990
0.404800 0.0417510
0.441438 0.0399623
0.476206 0.0384603
0.500000 0.0375365
0.508867 0.0371923
0.539277 0.0361172
0.596935 0.0343100
0.644188 0.0330142
0.682067 0.0320746
0.743103 0.0307150
0.750000 0.0305800
0.809600 0.0294131
0.882875 0.0281530
0.952411 0.0270948
1.00000 0.0264441
1.01773 0.0262016
1.07856 0.0254442
1.19387 0.0241710
1.28838 0.0232582
1.36413 0.0225962
1.48621 0.0216384
1.50000 0.0215433
1.61920 0.0207212
1.76575 0.0198335
1.90482 0.0190880
2.00000 0.0186296
2.03547 0.0184587
2.15711 0.0179252
2.38774 0.0170282
2.57675 0.0163851
2.72827 0.0159188
2.75000 0.0158587
2.97241 0.0152440
3.23840 0.0145979
3.41400 0.0142135
3.50000 0.0140430
3.69540 0.0136558
4.00000 0.0131200
4.42673 0.0124709
4.77639 0.0120052
5.00000 0.0117357
5.05665 0.0116674
5.50817 0.0111785
6.00000 0.0107100
7.50000 0.0105100
9.00000 0.0103000
10.0000 0.0102857
15.0000 0.0102143
20.0000 0.0101428
27.5000 0.0100357
35.0000 0.00992853
42.3230 0.00982390
50.0000 0.00975343
69.0010 0.00957900
75.0000 0.00954598
100.000 0.00940837
111.930 0.00934270
150.000 0.00921205
170.180 0.00914280
200.000 0.00908777
275.000 0.00894937
350.000 0.00881096
354.260 0.00880310
500.000 0.00866865
644.540 0.00853530
750.000 0.00848131
1000.00 0.00835332
1093.60 0.00830540
1500.00 0.00818091
1721.70 0.00811300
2000.00 0.00806849
2750.00 0.00794854
3500.00 0.00782860
3656.30 0.00780360
5000.00 0.00770131
6000.00 0.00762518
7000.00 0.00754905
7133.30 0.00753890
8000.00 0.00750401
8400.00 0.00748790
8900.00 0.00746777
9200.00 0.00745570
9600.00 0.00743959
9900.00 0.00742751
10000.0 0.00742349
10500.0 0.00740336
10900.0 0.00738725
11300.0 0.00737115
11900.0 0.00734699
12409.0 0.00732650
12500.0 0.00732436
14000.0 0.00728904
15100.0 0.00726313
15200.0 0.00726078
15800.0 0.00724665
16300.0 0.00723488
16800.0 0.00722310
18000.0 0.00719485
19500.0 0.00715953
19930.0 0.00714940
20000.0 0.00714836
25000.0 0.00707418
30000.0 0.00700000
32500.0 0.00695370
40000.0 0.00681482
50000.0 0.00662963
60000.0 0.00644444
90000.0 0.00588889
100000 0.00570370
125000 0.00524074
137000 0.00501852
143000 0.00490741
147000 0.00483333
151000 0.00475926
155000 0.00468519
163000 0.00453704
173000 0.00435185
181000 0.00420370
183000 0.00416667
195000 0.00394444
201000 0.00383333
207000 0.00372222
219000 0.00350000
