S-32(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 26.5672
1.25000E-05 23.7624
1.50000E-05 21.6920
2.00000E-05 18.7858
2.75000E-05 16.0206
3.50000E-05 14.2008
4.25000E-05 12.8870
5.00000E-05 11.8812
6.25000E-05 10.6269
7.50000E-05 9.70096
0.000100000 8.40127
0.000125000 7.51433
0.000150000 6.85961
0.000200000 5.94060
0.000275000 5.06616
0.000350000 4.49067
0.000425000 4.07522
0.000500000 3.75716
0.000625000 3.36051
0.000750000 3.06771
0.00100000 2.65672
0.00125000 2.37624
0.00150000 2.16920
0.00200000 1.87858
0.00275000 1.60206
0.00350000 1.42007
0.00425000 1.28870
0.00500000 1.18812
0.00625000 1.06269
0.00750000 0.970095
0.0100000 0.840126
0.0125000 0.751432
0.0150000 0.685960
0.0200000 0.594058
0.0253000 0.528182
0.0314750 0.473544
0.0376500 0.432973
0.0500000 0.375714
0.0625000 0.336048
0.0750000 0.306768
0.100000 0.265668
0.125000 0.237620
0.150000 0.216916
0.200000 0.187853
0.275000 0.160200
0.350000 0.142001
0.500000 0.118804
0.750000 0.0969996
1.00000 0.0840013
1.50000 0.0685820
2.00000 0.0593897
2.75000 0.0506425
3.50000 0.0448852
5.00000 0.0375460
7.50000 0.0306457
10.0000 0.0265309
15.0000 0.0216476
20.0000 0.0187346
27.5000 0.0159606
35.0000 0.0141331
50.0000 0.0118006
75.0000 0.00960259
100.000 0.00828813
150.000 0.00672211
200.000 0.00578304
275.000 0.00488352
350.000 0.00428695
500.000 0.00351909
750.000 0.00278665
1000.00 0.00234360
1500.00 0.00181132
2000.00 0.00149172
2750.00 0.00118901
3500.00 0.000993413
5000.00 0.000754536
7500.00 0.000551544
10000.0 0.000447948
15000.0 0.000352663
20000.0 0.000320897
25173.9 0.000345724
26467.3 0.000384862
27760.8 0.000498741
28407.5 0.000657381
28730.9 0.000815587
29054.2 0.00110371
29377.6 0.00171490
29539.3 0.00231689
29701.0 0.00339855
29781.8 0.00429596
29862.7 0.00564477
29943.5 0.00780665
30024.3 0.0115918
30105.2 0.0191356
30145.6 0.0260799
30186.0 0.0376534
30226.4 0.0590177
30246.7 0.0771455
30266.9 0.104865
30287.1 0.149979
30307.3 0.229384
30327.5 0.382617
30337.6 0.512414
30347.7 0.698780
30363.9 1.12161
30380.0 1.40375
30396.2 1.11942
30412.3 0.697343
30424.7 0.477799
30437.1 0.337564
30449.5 0.247317
30461.9 0.187490
30486.7 0.117054
30511.5 0.0794710
30536.2 0.0573060
30561.0 0.0432304
30610.6 0.0270936
30660.2 0.0185783
30709.7 0.0135543
30759.3 0.0103474
30808.9 0.00817754
30908.0 0.00551528
31007.2 0.00400669
31106.3 0.00307020
31205.4 0.00244928
31403.7 0.00170300
31602.0 0.00128868
31998.6 0.000868695
32395.1 0.000670964
32791.7 0.000562602
33584.8 0.000454618
35171.0 0.000379675
36757.3 0.000357345
39929.8 0.000353128
41516.0 0.000363233
42309.1 0.000388101
42705.7 0.000475888
42904.0 0.000819957
43003.1 0.00218360
43052.7 0.00754798
43077.5 0.0282907
43083.7 0.0490710
43089.9 0.105667
43093.0 0.180437
43096.1 0.375427
43097.6 0.618187
43099.2 1.19820
43100.0 1.85142
43100.7 3.17565
43101.1 4.43186
43101.5 6.46301
43101.9 10.1596
43102.3 16.8836
43102.6 26.9605
43103.0 33.8100
43103.4 26.9608
43103.7 16.8841
43104.0 12.4753
43104.2 9.43427
43104.6 5.70156
43105.1 3.74527
43105.5 2.62585
43106.4 1.48128
43107.3 0.945079
43109.1 0.478450
