S-32(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 27.5376
1.25000E-05 24.7329
1.50000E-05 22.6625
2.00000E-05 19.7563
2.75000E-05 16.9911
3.50000E-05 15.1712
4.25000E-05 13.8574
5.00000E-05 12.8517
6.25000E-05 11.5973
7.50000E-05 10.6714
0.000100000 9.37175
0.000125000 8.48480
0.000150000 7.83008
0.000200000 6.91107
0.000275000 6.03663
0.000350000 5.46114
0.000425000 5.04569
0.000500000 4.72764
0.000625000 4.33098
0.000750000 4.03818
0.00100000 3.62719
0.00125000 3.34671
0.00150000 3.13967
0.00200000 2.84905
0.00275000 2.57253
0.00350000 2.39055
0.00425000 2.25917
0.00500000 2.15859
0.00625000 2.03316
0.00750000 1.94057
0.0100000 1.81060
0.0125000 1.72190
0.0150000 1.65643
0.0200000 1.56453
0.0253000 1.49865
0.0314750 1.44402
0.0376500 1.40344
0.0500000 1.34619
0.0625000 1.30652
0.0750000 1.27724
0.100000 1.23614
0.125000 1.20809
0.150000 1.18739
0.200000 1.15832
0.275000 1.13067
0.350000 1.11247
0.500000 1.08927
0.750000 1.06746
1.00000 1.05446
1.50000 1.03903
2.00000 1.02984
2.75000 1.02108
3.50000 1.01531
5.00000 1.00795
7.50000 1.00102
10.0000 0.996869
15.0000 0.991918
20.0000 0.988938
27.5000 0.986063
35.0000 0.984135
50.0000 0.981602
75.0000 0.979070
100.000 0.977421
150.000 0.975190
200.000 0.973589
275.000 0.971701
350.000 0.970122
500.000 0.967407
750.000 0.963476
1000.00 0.959890
1500.00 0.953223
2000.00 0.946946
2750.00 0.937985
3500.00 0.929404
5000.00 0.913007
7500.00 0.887017
10000.0 0.861812
15000.0 0.811659
20000.0 0.760114
25173.9 0.705330
26467.3 0.692747
27760.8 0.684287
28407.5 0.686109
28730.9 0.691841
29054.2 0.705607
29377.6 0.739516
29539.3 0.775055
29701.0 0.840796
29781.8 0.896175
29862.7 0.980107
29943.5 1.11555
30024.3 1.35401
30105.2 1.83137
30145.6 2.27194
30186.0 3.00742
30226.4 4.36715
30246.7 5.52206
30266.9 7.28928
30287.1 10.1674
30307.3 15.2367
30327.5 25.0264
30337.6 33.3234
30347.7 45.2421
30363.9 72.3066
30380.0 90.4207
30396.2 72.2978
30412.3 45.3135
30424.7 31.2648
30437.1 22.2862
30449.5 16.5053
30461.9 12.6713
30486.7 8.15472
30511.5 5.74279
30536.2 4.31912
30561.0 3.41426
30610.6 2.37557
30660.2 1.82638
30709.7 1.50164
30759.3 1.29385
30808.9 1.15285
30908.0 0.979037
31007.2 0.879735
31106.3 0.817451
31205.4 0.775624
31403.7 0.724167
31602.0 0.694337
31998.6 0.661403
32395.1 0.643067
32791.7 0.630623
33584.8 0.612905
35171.0 0.586593
36757.3 0.563321
39929.8 0.517724
41516.0 0.494512
42309.1 0.482760
42705.7 0.476935
42904.0 0.474398
43003.1 0.474668
43052.7 0.480859
43077.5 0.507310
43083.7 0.534090
43089.9 0.607187
43093.0 0.703834
43096.1 0.955948
43097.6 1.26986
43099.2 2.01991
43100.0 2.86464
43100.7 4.57710
43101.1 6.20161
43101.5 8.82827
43101.9 13.6087
43102.3 22.3040
43102.6 35.3353
43103.0 44.1930
43103.4 35.3356
43103.7 22.3046
43104.0 16.6032
43104.2 12.6706
43104.6 7.84345
