Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 21.7782
1.25000E-05 19.4790
1.50000E-05 17.7818
2.00000E-05 15.3995
2.75000E-05 13.1327
3.50000E-05 11.6409
4.25000E-05 10.5639
5.00000E-05 9.73946
6.25000E-05 8.71124
7.50000E-05 7.95223
0.000100000 6.88683
0.000125000 6.15977
0.000150000 5.62307
0.000200000 4.86972
0.000275000 4.15291
0.000350000 3.68116
0.000425000 3.34060
0.000500000 3.07988
0.000625000 2.75472
0.000750000 2.51471
0.00100000 2.17780
0.00125000 1.94788
0.00150000 1.77816
0.00200000 1.53993
0.00275000 1.31326
0.00350000 1.16408
0.00425000 1.05638
0.00500000 0.973937
0.00625000 0.871115
0.00750000 0.795214
0.0100000 0.688675
0.0125000 0.615968
0.0150000 0.562299
0.0200000 0.486964
0.0253000 0.432962
0.0314750 0.388174
0.0376500 0.354916
0.0500000 0.307978
0.0625000 0.275462
0.0750000 0.251460
0.100000 0.217768
0.125000 0.194775
0.150000 0.177803
0.200000 0.153978
0.275000 0.131308
0.350000 0.116388
0.500000 0.0973694
0.750000 0.0794919
1.00000 0.0688333
1.50000 0.0561881
2.00000 0.0486482
2.75000 0.0414718
3.50000 0.0367470
5.00000 0.0307218
7.50000 0.0250533
10.0000 0.0216701
15.0000 0.0176505
20.0000 0.0152490
27.5000 0.0129583
35.0000 0.0114463
50.0000 0.00951189
75.0000 0.00768322
100.000 0.00658672
150.000 0.00527907
200.000 0.00449675
275.000 0.00375284
350.000 0.00326588
500.000 0.00265343
750.000 0.00209489
1000.00 0.00177536
1500.00 0.00141539
2000.00 0.00121342
2750.00 0.00103285
3500.00 0.000923742
4250.00 0.000855439
5000.00 0.000819146
5820.35 0.000825341
6230.53 0.000861472
6640.70 0.000946651
6845.79 0.00102509
7050.88 0.00114904
7255.96 0.00135596
7461.05 0.00173250
7563.59 0.00204632
7666.14 0.00251878
7768.68 0.00327651
7819.95 0.00383952
7871.23 0.00460339
7922.50 0.00567605
7973.77 0.00724857
8025.04 0.00968560
8076.31 0.0137533
8101.95 0.0168897
8127.59 0.0212845
8153.22 0.0276981
8178.86 0.0375454
8204.49 0.0536690
8230.13 0.0823129
8242.95 0.105378
8255.77 0.138400
8268.58 0.186561
8281.40 0.256576
8301.10 0.409730
8320.80 0.512915
8340.55 0.411177
8360.30 0.256924
8373.11 0.186510
8385.92 0.138108
8411.54 0.0818282
8437.16 0.0531558
8462.78 0.0370546
8488.40 0.0272419
8514.02 0.0208637
8565.26 0.0133932
8616.50 0.00937157
8667.74 0.00696929
8718.99 0.00542322
8770.23 0.00437107
8872.71 0.00307303
8975.19 0.00233370
9077.67 0.00187314
9180.15 0.00156690
9385.11 0.00119734
9590.08 0.000990681
9795.04 0.000862915
10000.0 0.000777933
10312.5 0.000693521
10625.0 0.000639213
11250.0 0.000573980
11875.0 0.000535965
12500.0 0.000510668
13750.0 0.000478474
15000.0 0.000459238
16250.0 0.000448430
17500.0 0.000445630
18750.0 0.000453289
20000.0 0.000478621
21313.3 0.000546589
21969.9 0.000616309
22626.5 0.000740120
23283.1 0.000985278
23611.4 0.00120700
23939.8 0.00156813
24268.1 0.00221098
24432.2 0.00273617
24596.4 0.00350933
24760.5 0.00470411
24924.7 0.00665795
25088.9 0.0100481
25253.0 0.0161095
25416.0 0.0255287
25579.0 0.0319390
25742.5 0.0256963
25906.0 0.0161386
26025.7 0.0113198
26145.4 0.00817219
26265.1 0.00611296
26384.8 0.00472939
26624.2 0.00308169
26863.6 0.00219414
27103.1 0.00167146
27342.5 0.00135035
27581.9 0.00120833
27641.7 0.00125059
27701.6 0.00145464
27731.5 0.00177123
27746.5 0.00209273
27761.4 0.00267835
27776.4 0.00390721
27783.9 0.00509586
27791.4 0.00718527
27798.8 0.0113704
27802.6 0.0152423
27806.3 0.0217296
27810.1 0.0338016
27811.9 0.0441316
27813.8 0.0600644
27815.7 0.0863127
27817.5 0.133350
27819.4 0.226656
27820.3 0.308306
27821.3 0.426942
27822.7 0.684080
27824.1 0.855033
27825.5 0.683913
27826.9 0.428345
27828.0 0.294942
27829.0 0.209779
27830.1 0.154150
27831.2 0.117426
27833.3 0.0737774
27835.4 0.0504725
27837.5 0.0366218
27839.7 0.0278120
27843.9 0.0177206
27848.2 0.0123745
27852.4 0.00922489
27860.9 0.00584845
27869.4 0.00417164
27877.9 0.00322069
27894.9 0.00223430
27912.0 0.00175749
27929.0 0.00148925
27963.0 0.00120962
28031.0 0.000986657
28099.1 0.000889778
28371.3 0.000728406
28915.6 0.000585820
29460.0 0.000505261
30004.3 0.000453153
31093.0 0.000394159
31637.4 0.000391051
31773.5 0.000404297
31909.5 0.000449658
31977.6 0.000515610
32011.6 0.000581771
32045.6 0.000701977
32079.7 0.000954605
32096.7 0.00120041
32113.7 0.00163567
32130.7 0.00251840
32139.2 0.00334706
32147.7 0.00475535
32156.2 0.00744263
32160.5 0.00979827
32164.7 0.0135272
32169.0 0.0199231
32173.2 0.0320330
32175.3 0.0424825
32177.5 0.0583473
32179.6 0.0835160
