K-41(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 73.4860
1.25000E-05 65.7278
1.50000E-05 60.0010
2.00000E-05 51.9624
2.75000E-05 44.3137
3.50000E-05 39.2799
4.25000E-05 35.6459
5.00000E-05 32.8639
6.25000E-05 29.3944
7.50000E-05 26.8333
0.000100000 23.2383
0.000125000 20.7849
0.000150000 18.9740
0.000200000 16.4319
0.000275000 14.0132
0.000350000 12.4213
0.000425000 11.2722
0.000500000 10.3924
0.000625000 9.29525
0.000750000 8.48536
0.00100000 7.34851
0.00125000 6.57269
0.00150000 6.00000
0.00200000 5.19612
0.00275000 4.43123
0.00350000 3.92783
0.00425000 3.56442
0.00500000 3.28620
0.00625000 2.93923
0.00750000 2.68310
0.0100000 2.32356
0.0125000 2.07820
0.0150000 1.89707
0.0200000 1.64282
0.0253000 1.46056
0.0314750 1.30938
0.0376500 1.19711
0.0500000 1.03865
0.0625000 0.928865
0.0750000 0.847812
0.100000 0.734016
0.125000 0.656336
0.150000 0.598978
0.200000 0.518433
0.275000 0.441742
0.350000 0.391227
0.500000 0.326765
0.750000 0.266045
1.00000 0.229751
1.50000 0.186540
2.00000 0.160652
2.75000 0.135878
3.50000 0.119466
5.00000 0.0983688
7.50000 0.0782811
10.0000 0.0661475
15.0000 0.0515776
20.0000 0.0428176
27.5000 0.0344855
35.0000 0.0290593
50.0000 0.0223308
75.0000 0.0164031
100.000 0.0131797
125.000 0.0111627
150.000 0.00978503
200.000 0.00802566
275.000 0.00654770
350.000 0.00567784
500.000 0.00468409
698.504 0.00401803
797.757 0.00392013
822.570 0.00400244
847.383 0.00432780
859.789 0.00482297
872.196 0.00626931
878.399 0.00829481
881.501 0.0103193
884.602 0.0140120
887.704 0.0218604
889.255 0.0296066
890.806 0.0435589
891.581 0.0551628
892.356 0.0726511
893.132 0.100786
893.907 0.150320
894.295 0.190587
894.683 0.249932
895.070 0.342542
895.458 0.498588
895.846 0.791546
896.040 1.04466
896.233 1.43862
896.427 2.09695
896.621 3.30039
896.718 4.29899
896.815 5.76646
896.912 7.97827
897.009 11.3130
897.145 18.1021
897.282 22.6245
897.418 18.0994
897.555 11.3163
897.655 7.89269
897.755 5.65494
897.855 4.18647
897.955 3.19855
898.155 2.01764
898.355 1.37817
898.555 0.997707
898.755 0.754470
899.155 0.474023
899.556 0.325220
